Verkiezing;;Gemeenteraad Aa en Hunze 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Aa en Hunze;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1680;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis Gieten;OBS Gieten;Zorgcentrum Dekelhem;Ontmoetingscentrum Boerhorn Rolde;Dropshuis de Eekhof;Het Markehuis Grolloo;Dorpshuis de Trefkoel Gasselte;MFC de Spil Gasselternijveen;Dorpshuis Gasselternijveenschemond;Dorpshuis Ous Hoes Gieterveen;Dorpshuis de Kiep Eexterveenschekanaal;MFC de Badde;Gemeenschapshuis de Spiker Nieuw Annerveen;Dorpscentrum 't Achterhoes Eexterveen;Dorpshuis Annen 1;Dorpshuis Schipborg;Cafe/Restaurant Eext;Dorpshuis de Gasterij Gasteren;Gemeenschap Oes Stee Anderen;Dorpshuis Anloo;Dorpshuis Annen 2;Cafe Hofsteenge Rolde;Gemeentehuis Gieten;Gemeentehuis Gieten;Onmoetingscentrum de Boerhoorn Rolde;MFC de Spil Gasselternijveen;Dorpshuis Annen
;aangetroffen stembiljetten;;;13037;790;562;570;1501;349;598;872;596;273;425;160;216;183;302;800;376;713;250;160;237;712;609;333;532;410;178;330
;meer stembiljetten dan toegelaten kiezers;;;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1
;minder stembiljetten dan toegelaten kiezers;;;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
;geen verklaring;;;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Gemeentebelangen Aa en Hunze;;;4983;328;253;288;339;104;245;443;350;126;156;80;101;43;137;294;103;320;89;47;87;246;167;117;209;96;91;124
;;1;Heijerman, H.;1237;83;60;61;85;26;35;229;80;41;52;26;9;5;36;39;37;47;30;16;22;26;36;40;42;27;23;24
;;2;Reinders, L.;250;6;1;8;40;1;128;5;1;1;2;0;0;1;2;4;2;6;0;3;1;6;11;2;7;10;0;2
;;3;Vedder, R.;598;5;8;14;6;1;3;4;6;3;7;3;1;13;5;199;12;22;8;0;18;162;1;2;21;1;0;73
;;4;Oosterhuis, G.;425;69;42;56;24;4;11;14;14;14;22;5;2;3;9;8;17;14;6;3;2;13;8;19;33;4;3;6
;;5;Wolters, P.;393;5;3;8;5;1;0;13;210;53;16;2;2;1;1;2;0;0;2;3;0;2;2;1;3;0;56;2
;;6;van der Werf, J.M.;80;21;11;9;1;1;0;2;1;0;1;1;0;0;1;0;0;3;0;0;0;0;1;10;13;2;1;1
;;7;Oortwijn-de Jong, B.;236;10;6;6;2;1;0;4;8;4;10;27;79;14;15;12;0;7;3;1;1;4;3;6;4;0;1;8
;;8;Groen, H.;77;8;29;8;1;0;1;4;1;0;3;0;0;0;0;0;0;0;1;0;0;1;2;4;13;0;1;0
;;9;Hoiting, H.H.;40;6;9;12;2;0;0;1;1;0;0;1;0;0;0;1;0;0;0;1;1;1;0;2;2;0;0;0
;;10;Boelen, A.A.;250;17;9;9;2;0;1;146;12;7;7;1;0;0;2;0;2;0;3;5;0;1;3;4;8;5;5;1
;;11;Mulder, P.H.;291;6;3;11;1;0;3;0;2;0;4;0;1;0;9;13;1;197;7;7;1;10;1;4;8;1;0;1
;;12;Lensing, H.;129;4;4;5;17;4;47;0;2;1;1;0;1;1;2;2;1;3;2;2;0;1;12;4;6;7;0;0
;;13;Brands, R.;291;8;1;0;131;8;8;0;1;0;2;6;0;0;5;0;2;6;4;3;0;4;69;0;3;30;0;0
;;14;Wolf, P.;86;9;13;16;1;6;1;1;3;0;18;1;0;1;0;0;0;2;0;0;0;1;4;1;7;0;0;1
;;15;Wolf, H.;96;1;0;5;14;49;2;1;1;0;2;0;0;0;0;3;0;1;0;0;4;2;9;0;0;2;0;0
;;16;Glastra, R.;103;32;17;25;0;0;0;6;0;0;6;1;0;0;0;1;0;1;0;0;0;1;0;5;6;0;1;1
;;17;Bruins, H.;45;1;0;0;0;0;0;0;0;0;0;2;1;2;37;1;0;0;0;0;0;0;0;0;1;0;0;0
;;18;Huizinga, J.A.;21;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;14;0;0;0;0;1;0;3;0;0
;;19;Beijering, L.P.;11;0;0;0;1;0;3;0;1;0;0;0;0;0;0;0;0;2;0;1;0;0;1;0;0;2;0;0
;;20;Vos, J.R.;27;1;0;3;2;0;0;0;0;0;2;2;0;2;9;1;0;2;0;0;0;1;0;1;0;0;0;1
;;21;Wiersum, J.J.;33;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;26;0;2;0;1;1;0;0;1;0;0;0
;;22;Tiems-Cazemier, B.A.;81;0;1;3;1;0;2;0;0;0;1;2;3;0;2;4;3;1;6;2;36;9;1;0;1;0;0;3
;;23;Berghuis, I.;91;19;22;13;3;1;0;5;1;0;0;0;1;0;0;1;0;2;0;0;0;0;3;4;14;2;0;0
;;24;Pul, N.;92;15;14;16;0;0;0;8;5;2;0;0;1;0;2;1;0;4;1;0;0;0;0;7;16;0;0;0
2;VVD;;;2150;127;86;59;371;111;137;104;29;21;73;5;17;44;48;107;60;89;38;44;22;111;177;43;93;73;10;51
;;1;Luinge, B.A.;1093;81;40;30;227;65;34;36;14;13;16;3;6;32;28;38;40;59;23;29;11;30;90;25;63;49;2;9
;;2;Heling, R.J.;122;1;3;4;15;4;60;2;0;0;1;0;0;1;2;2;0;3;0;3;0;1;12;2;2;4;0;0
;;3;Rossingh-van Os, H.M.;191;18;12;6;8;4;1;16;3;4;45;1;2;2;8;1;7;6;3;3;4;4;10;4;10;2;1;6
;;4;Lubbers, R.P.;65;5;0;9;4;1;28;8;0;0;0;0;0;0;0;1;0;1;0;0;0;1;1;1;4;1;0;0
;;5;Boersma, A.H.;148;2;9;2;2;0;0;0;1;0;0;1;4;4;1;41;3;3;4;3;1;42;0;0;3;0;0;22
;;6;Fluks, J.C.;187;0;2;0;79;1;5;0;0;0;2;0;0;0;1;3;1;6;4;4;3;5;53;1;1;11;0;5
;;7;Tuparia, L.M.;69;2;2;0;1;4;3;1;1;0;1;0;1;1;2;18;0;0;0;1;3;19;0;2;1;0;0;6
;;8;Siegers, H.N.;22;0;0;0;9;0;1;2;1;0;0;0;0;0;0;1;4;1;0;0;0;0;0;2;0;1;0;0
;;9;Panneman, A.H.M.;24;0;0;1;1;0;0;2;6;4;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;7;0
;;10;Hadderingh, S.;64;7;3;1;2;1;0;34;3;0;1;0;1;0;0;0;0;1;0;0;0;1;2;1;6;0;0;0
;;11;Emmens, J.;36;2;2;1;12;1;0;1;0;0;2;0;0;0;2;1;0;0;1;0;0;0;5;0;1;4;0;1
;;12;Homan, G.;5;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;13;Smeenge, E.;32;0;0;0;1;28;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;14;Terpstra-Boekweg, N.H.;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;8;0;1;0;0;0;2
;;15;Tjarks, L.W.;11;1;0;0;4;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;16;Udding-Blok, E.H.;22;0;1;0;2;0;0;0;0;0;2;0;0;0;2;0;4;6;2;1;0;0;2;0;0;0;0;0
;;17;Bartelds, W.;47;8;12;5;0;0;0;2;0;0;2;0;3;4;2;0;1;1;1;0;0;0;1;3;2;0;0;0
3;Partij van de Arbeid (P.v.d.A.);;;1886;117;72;93;226;30;54;97;61;36;64;32;28;39;18;170;40;108;11;20;29;142;89;61;80;74;24;71
;;1;ten Brink-Arends, J.;997;54;33;35;97;19;37;61;32;21;41;10;15;20;13;126;27;30;6;4;15;91;44;37;33;41;14;41
;;2;Klein Langenhorst, F.;85;14;5;20;4;0;2;3;0;0;4;3;0;2;1;0;2;1;1;0;0;1;2;7;10;1;0;2
;;3;Petzinger, P.R.A.J.;38;0;2;2;1;0;0;1;0;1;8;14;2;1;0;2;0;0;0;1;1;2;0;0;0;0;0;0
;;4;Hadderingh, A.;106;4;0;7;3;0;0;5;0;0;0;1;0;4;2;19;0;2;2;0;2;26;3;2;10;1;0;13
;;5;Bruining, R.;58;2;3;1;2;0;1;0;0;0;0;0;2;0;0;1;1;38;0;2;1;0;1;0;0;2;0;1
;;6;Bartol, H.;41;4;10;12;1;0;0;1;2;0;0;0;0;1;0;2;0;0;0;0;0;0;0;2;4;2;0;0
;;7;Malewicz, M.;26;1;1;1;1;0;0;0;0;0;0;0;2;0;0;1;2;10;0;0;1;0;1;1;3;0;0;1
;;8;Hagenus, M.;99;5;4;3;14;0;3;5;20;11;3;1;3;1;0;1;2;3;0;1;1;2;2;1;2;2;8;1
;;9;Bertens, J.T.C.P.M.;9;0;1;0;0;0;0;0;4;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0
;;10;Verbeek, T.;8;1;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;1;2;0;0
;;11;Pathuis, H.;77;6;1;1;4;0;1;1;1;0;1;1;1;1;0;9;2;7;0;0;2;12;1;0;1;20;0;4
;;12;Santes, H.;162;5;2;4;77;3;4;2;0;0;3;0;2;7;1;0;0;4;1;6;0;2;25;3;4;0;0;7
;;13;van der Maas-Visser, H.;38;15;5;2;2;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;6;5;0;0;0
;;14;Steenstra, R.;7;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0
;;15;Eisses, T.;35;4;2;0;0;0;0;15;0;1;1;0;1;1;0;3;0;0;0;0;1;1;0;1;3;1;0;0
;;16;Ceelen, W.H.H.;25;0;0;0;13;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;1;2;1;0;0
;;17;Hovius, A.;12;0;0;1;0;0;0;0;0;0;0;0;0;1;0;2;1;0;0;0;5;1;0;0;1;0;0;0
;;18;Smit, A.;23;1;1;1;4;8;1;0;2;1;0;0;0;0;0;1;0;1;0;0;0;1;1;0;0;0;0;0
;;19;Brongers, J.R.R.;7;0;1;0;0;0;2;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0
;;20;Springer, A.;33;1;1;2;1;0;2;1;0;0;1;2;0;0;1;2;0;12;0;2;0;3;0;0;0;1;0;1
4;GROENLINKS;;;1941;77;65;42;269;62;87;130;56;22;55;25;39;27;45;100;93;116;79;29;67;97;76;68;70;85;21;39
;;1;Koops, L.;566;18;23;7;85;27;47;40;13;7;13;8;2;11;11;32;23;20;20;6;21;25;27;16;16;31;4;13
;;2;Neesen, M.G.W.;424;13;15;6;30;14;8;20;7;1;19;8;37;12;13;27;37;16;21;8;13;31;13;13;14;9;7;12
;;3;Schonewille, J. K.;109;8;0;4;8;3;0;7;3;1;12;0;0;1;13;6;4;5;4;1;5;4;1;8;7;2;0;2
;;4;Wudich, K.;210;13;10;4;17;3;3;5;4;1;0;1;0;0;1;12;12;61;4;5;14;9;4;11;5;5;2;4
;;5;van den Berg, L. M.;134;8;1;9;9;0;2;6;26;12;8;1;0;2;3;7;7;1;4;0;0;7;3;6;5;1;6;0
;;6;Lambert, N. J. P.;113;1;4;4;41;3;5;3;1;0;1;0;0;1;0;1;1;6;0;2;1;2;15;2;3;14;0;2
;;7;Creemers, J. L. P. M.;10;0;0;0;1;1;0;0;0;0;0;6;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
;;8;Andriessen, H.;44;3;0;0;4;5;20;3;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;1;5;0;0
;;9;Prenger, J.;34;0;1;0;4;0;0;0;0;0;0;0;0;0;0;0;1;3;15;2;4;0;0;1;2;1;0;0
;;10;Houx, C. A. M.;37;3;6;7;1;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;8;7;0;0;1
;;11;Meijering, A.;63;1;0;0;37;4;1;0;0;0;0;0;0;0;0;1;0;1;0;2;0;1;6;0;0;7;0;2
;;12;Zwolsman, M. C.;44;0;0;0;28;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;5;0;1;7;0;0
;;13;Huisman, B. N.;37;2;0;0;0;0;0;2;0;0;0;0;0;0;0;7;1;0;1;0;4;16;0;0;1;0;0;3
;;14;Wassink, M.;90;6;5;1;1;1;0;41;1;0;2;0;0;0;3;2;7;2;4;0;2;0;1;3;6;0;2;0
;;15;van Dinteren, G. M.;26;1;0;0;3;1;1;1;0;0;0;1;0;0;0;1;0;1;4;3;3;1;1;0;1;3;0;0
5;D66;;;1076;76;47;35;184;22;40;56;30;17;34;7;22;16;37;70;26;42;17;10;15;69;60;23;34;50;5;32
;;1;Fonk, G.A.W.;371;27;15;12;82;4;6;23;9;4;10;4;7;5;7;19;10;17;6;2;3;17;26;4;15;29;2;6
;;2;Jager, B.E.;59;3;1;0;4;3;0;6;1;0;7;0;3;0;19;4;3;1;0;0;1;2;0;1;0;0;0;0
;;3;Brinkhorst, J.W.;44;0;0;0;12;5;2;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;12;1;2;7;0;0
;;4;Geudeker, K.H.B.;38;3;2;0;13;1;0;2;0;0;0;0;1;0;2;1;0;0;0;0;0;2;0;0;2;5;0;4
;;5;de Groot, M.A.;208;18;14;8;15;2;6;18;20;9;14;2;5;6;5;10;7;3;4;3;1;10;12;2;5;3;3;3
;;6;Jansen, A.;54;17;9;10;0;0;0;1;0;0;0;0;2;0;1;0;0;1;0;0;0;0;0;6;6;1;0;0
;;7;Schenkel, M.;30;2;2;2;15;0;0;0;0;0;0;0;0;0;0;1;0;2;0;2;0;1;1;1;0;0;0;1
;;8;de Vries, M.;198;4;3;2;15;6;6;5;0;4;2;1;4;4;3;35;5;10;5;2;10;37;3;6;4;4;0;18
;;9;Wisselink, S.;31;1;0;1;23;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;1;0;0
;;10;Bardie, J.G.;32;0;1;0;5;0;19;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;4;1;0;0;0;0
;;11;Bijsterbosch, W.J.;11;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;7;1;0;0;0;0;1;0;0;0;0
6;CDA;;;934;59;39;49;106;18;34;37;63;47;38;8;9;14;16;56;52;35;15;9;16;45;36;21;40;32;27;13
;;1;Hilgenga, S.;472;23;18;22;52;10;24;22;16;17;20;3;6;11;6;27;35;28;13;3;11;29;21;7;19;15;5;9
;;2;Stol, K.J.;73;2;7;4;0;0;0;2;25;10;3;0;1;1;0;0;5;1;0;0;1;0;0;1;1;1;8;0
;;3;Banga, H.;65;20;7;15;0;0;0;0;1;0;0;0;0;0;1;1;0;0;1;0;0;0;2;8;9;0;0;0
;;4;Messak, C.P.;56;0;1;0;24;2;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;11;0;3;5;7;0
;;5;van de Belt, J.;28;0;1;3;0;0;0;0;11;2;3;0;0;0;3;0;2;2;0;0;0;0;0;0;0;1;0;0
;;6;Sybenga, D.J.;30;11;4;3;2;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;4;2;0;0;0
;;7;van den Berg, J.R.;9;0;0;0;0;0;0;0;2;1;0;0;0;0;5;0;1;0;0;0;0;0;0;0;0;0;0;0
;;8;Haan, F.J.;49;0;0;1;0;0;0;2;0;0;0;0;1;0;0;22;3;1;1;0;2;12;0;0;1;0;0;3
;;9;Souverijn, J.H.;15;0;0;0;1;4;0;0;0;1;4;4;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;10;Holtjer, A.H.;25;1;0;1;7;0;0;1;1;0;2;0;0;0;0;1;3;0;0;6;1;1;0;0;0;0;0;0
;;11;Thijms, J.;36;0;0;0;19;0;4;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;10;0;0
;;12;Visker, H.J.;7;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;3;0;0;0;0;0;0;0;0;0;0;1
;;13;de Wolde, M.;16;0;0;0;0;0;5;6;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
;;14;Spijk, A.;10;1;0;0;1;0;0;1;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0
;;15;Rombout, J.K.;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;16;Mentink, C.M.J.;21;1;0;0;0;0;0;0;1;5;6;0;0;0;1;3;0;1;0;0;1;1;0;0;0;0;1;0
;;17;Koops, A.R.;6;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0
;;18;Dijkstra, H.J.;14;0;1;0;0;0;0;2;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0
