Verkiezing;;Gemeenteraad Assen 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Assen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0106;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Stadhuis;Stembureau De Nieuwe Kolk;Stembureau City Life Church;Stembureau WPDA;Stembureau de Spreng I;Stembureau de Spreng II;Stembureau Buurthuis de Zonnereep;Stembureau De Schulp;Stembureau Sportpark Asser Boys;Stembureau Provinciehuis Drenthe;Stembureau Het Schakelveld;Stembureau Stadsbroekhal;Stembureau De Dissel;Stembureau Korfbal- en tennisvereniging AVO;Stembureau Pand 17;Stembureau Sportcomplex Marsdiek;Stembureau De Opstandingskerk;Stembureau 't Markehuus I;Stembureau de Maasstee;Stembureau MFA Pittelo I;Stembureau MFA Pittelo II;Stembureau Sporthal De Timp;Stembureau De Componist;Stembureau Sporthal Olympus I;Stembureau Sporthal Olympus II;Stembureau 't Markehuus II;Stembureau Dr. Naussau College Penta;Stembureau MFA Kloosterveste I;Stembureau MFA Kloosterveste II;Stembureau IJsvereniging Kloosterveen;Stembureau Het Lichtpunt;Stembureau Molukse kerk Pniël;Stembureau Rode Kruisgebouw;Stembureau De Bron I;Stembureau De Bron II;Stembureau Stadhuis Dinsdag;Stembureau de Spreng Dinsdag;Stembureau Dissel Dinsdag;Stembureau Componist Dinsdag;Stembureau Stadhuis Maandag;Stembureau de Spreng Maandag;Stembureau Dissel Maandag;Stembureau Componist Maandag;Stembureau MFA Kloosterveste Dinsdag;Stembureau MFA Kloosterveste Maandag;Stembureau Rode Kruisgebouw maandag;Stembureau Rode Kruisgebouw dinsdag;Stembureau 't Markehuus maandag;Stembureau 't Markehuus dinsdag
;;8;van Kemenade, F.H.J.M.;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;2;0;0;1;0;0;1;1;1;1;0;0;0;0;0;0;0
;;9;Lie, J.T.;34;1;0;0;0;3;0;0;1;1;0;0;0;5;2;1;0;4;0;0;0;0;1;1;0;0;0;0;0;3;1;3;0;1;0;0;0;0;2;0;0;0;1;0;1;0;0;0;2;0
;;10;Smale, L.R.C.;29;0;1;0;0;0;1;0;0;1;0;2;0;1;0;0;1;1;0;0;0;0;2;0;3;0;0;1;0;0;3;2;1;1;0;0;3;0;0;1;0;1;1;0;1;0;0;1;0;0
;;11;Emmens, H.M.;10;0;0;0;0;0;0;1;0;0;0;0;0;2;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0
;;12;Schaaphok, B.D.;22;0;2;2;0;0;0;0;3;0;0;1;0;0;0;1;0;0;1;0;3;0;0;0;0;0;0;0;2;2;0;1;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0
;;13;Raaijen, P.C.;19;3;3;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;2;1;2;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0
;;14;de Bruin, M.;27;1;2;0;0;1;0;0;0;0;1;1;0;6;0;1;1;0;2;0;2;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;3;1;0;0;1
;;15;Redmeijer, B.;8;1;0;0;0;0;0;2;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;16;Vermeulen, C.G.;28;0;2;4;0;1;0;0;0;0;0;0;1;3;0;0;0;0;2;0;0;0;0;0;0;0;1;0;3;4;0;2;0;0;0;0;2;0;0;0;1;0;0;0;2;0;0;0;0;0
;;17;Panhuis, F.L.;38;1;1;0;1;0;0;1;2;2;0;2;0;4;1;0;3;0;1;1;0;0;0;0;0;0;0;0;0;2;3;1;0;0;0;0;2;0;1;0;0;1;2;0;3;1;0;0;1;1
;;18;van Zomeren, M.F.P.;9;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0
;;19;Leemrijse, R.B.;43;1;2;0;0;1;2;3;4;2;3;0;1;1;0;2;2;2;1;0;0;0;0;0;0;0;1;1;0;0;2;3;0;1;0;0;0;4;0;1;0;0;0;0;0;0;0;0;1;2
6;D66;;;2357;116;129;77;14;35;39;44;59;108;84;43;30;138;80;52;41;44;57;25;16;19;33;52;15;21;46;7;72;90;47;62;12;30;9;13;94;54;57;29;56;31;74;27;64;49;10;10;18;25
;;1;Bornkamp, A.;1267;50;54;26;4;22;22;26;25;78;47;22;21;72;43;27;27;24;32;9;7;13;18;26;9;7;27;3;38;46;26;23;7;15;7;6;54;30;41;20;32;18;47;14;34;29;7;6;12;14
;;2;van de Kant, D.J.;448;24;30;16;6;6;6;10;16;15;12;7;4;32;9;7;12;7;9;7;2;3;5;11;4;5;10;1;17;19;12;22;1;3;1;4;16;16;5;4;5;1;12;5;9;11;1;2;1;5
;;3;Klingenberg, D.M.;137;10;10;6;0;1;3;2;2;4;3;3;4;5;22;5;1;3;6;4;0;1;2;1;0;1;0;1;1;6;3;7;0;3;0;2;3;0;0;0;2;0;1;2;2;3;0;0;1;1
;;4;de Jong, W.J.N.M.;46;2;1;7;1;0;0;0;1;1;2;2;0;1;1;2;0;1;0;0;1;0;0;1;0;0;0;0;1;1;1;0;0;2;0;0;5;2;1;0;1;4;1;0;1;2;0;0;0;0
;;5;Moes, R.;46;3;9;8;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;0;5;1;0;0;0;1;1;0;0;3;1;2;1;0;2;0;1;0;0
;;6;Koppelman, J.C.M.;64;3;0;3;1;0;0;1;3;2;2;2;0;5;1;2;0;1;1;1;0;0;2;2;0;3;3;0;2;3;2;3;0;1;0;0;1;1;1;0;5;1;0;2;1;1;0;0;1;1
;;7;Haks, J.L.;21;4;3;1;0;0;1;0;2;0;0;0;1;4;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
;;8;Joppe, D.J.W.;14;2;0;2;0;1;0;1;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0
;;9;van Bruggen, W.H.;32;1;1;0;0;0;0;0;0;1;1;2;0;5;0;2;1;0;0;1;2;0;0;2;0;2;0;0;1;0;0;1;0;0;0;1;1;1;0;1;0;1;1;0;2;0;0;0;0;1
;;10;Koppelaar, J.;16;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;1;1;0;0;5;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0
;;11;de Vries, S.M.;14;0;2;1;0;1;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;1;0;0;1;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0
;;12;Kleve, A.;23;1;1;1;0;0;0;0;0;0;5;0;0;1;0;2;0;0;0;0;0;0;1;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;1;0;3;0;1;0;1;0;1;0
;;13;Kootstra, T.J.;30;1;4;0;1;0;0;1;0;1;1;0;0;0;0;1;0;1;4;0;4;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;3;0;1;0;0;0;0;0;2;0;1;0;0;0
;;14;Joustra, M.;23;3;1;0;0;1;1;0;3;0;0;0;0;3;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;3;0;0;0;0;1
;;15;Stout, R.P.;8;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;1;0;0;0;0;0;0;0
;;16;Pak, N.;7;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0
;;17;Wevers, B.;20;0;0;0;0;0;1;0;2;0;2;0;0;2;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;2;0;1;0;0;0;0;0;0;1;1;0;1;0;1;3;0;0;0;0;0
;;18;Bakx, R.M.A.;16;2;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;1;1;0;1;0;1;0;0;0;0;0
;;19;Veerman, G.K.;7;2;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
;;20;Eggens, A.J.;17;2;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;1;0;0;2;1;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;1;0;1;0;1;0;0;0;0
;;21;Bergsma, B.;58;3;2;1;1;2;2;2;0;2;5;2;0;4;3;1;0;1;3;0;0;0;0;2;0;0;1;1;4;4;1;0;1;1;0;0;3;2;2;0;1;0;1;0;0;0;0;0;0;0
;;22;Hoogeveen, M.J.M.;21;0;2;0;0;0;0;1;0;4;1;1;0;0;0;2;0;0;1;0;0;0;1;0;0;0;1;0;1;1;0;0;0;0;0;0;2;0;0;0;0;1;0;0;1;0;0;0;0;1
;;23;Doornbos, M.G.;22;1;2;3;0;0;2;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;3;1;2;0;0;0;0;0;0;1
7;50PLUS;;;1665;70;37;14;7;14;26;33;37;26;47;21;23;125;32;33;36;44;52;43;22;15;53;81;11;4;59;6;49;43;16;14;8;25;25;21;53;23;69;43;45;24;76;15;36;18;11;13;27;40
;;1;Otto, C.H.M.;916;39;12;7;5;6;19;19;27;14;29;8;16;76;20;15;7;25;25;21;8;8;33;42;5;1;26;5;26;25;10;10;2;10;17;16;29;14;41;25;30;13;42;9;26;10;5;8;12;18
;;2;Aharouil, H.;201;10;5;1;0;1;1;3;3;2;5;7;2;17;2;3;2;6;3;5;3;3;6;19;2;1;11;0;10;2;0;1;3;5;0;0;9;2;3;9;4;3;9;2;2;2;2;2;3;5
;;3;Zwikker, A.;249;11;8;1;1;2;1;6;3;7;5;1;4;14;7;6;25;7;8;8;6;1;7;10;2;1;4;0;3;10;4;0;1;4;5;3;7;3;13;3;6;2;15;1;2;3;0;0;2;6
;;4;Kant, A.H.;62;1;3;0;0;0;0;1;0;0;1;2;0;3;1;0;0;1;4;3;0;1;1;2;0;0;10;0;0;3;0;1;1;0;0;0;2;0;3;0;1;0;1;1;1;0;0;2;4;8
;;5;Heeling-Wichers, H.D.;186;6;7;3;1;5;3;3;0;2;7;2;1;13;1;8;2;4;10;6;5;2;4;7;2;0;7;1;5;2;2;2;0;2;2;2;5;4;7;4;3;5;8;1;3;3;4;1;6;3
;;6;Geramian-Nik, H.;10;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0
;;7;Wood, D.R.;10;0;0;1;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0
;;8;Fonhof, G.J.;31;3;2;0;0;0;2;1;2;1;0;1;0;1;1;0;0;0;1;0;0;0;2;0;0;1;1;0;2;1;0;0;0;3;0;0;1;0;0;1;0;1;0;1;2;0;0;0;0;0
8;SP (Socialistische Partij);;;2008;121;54;27;19;37;40;47;47;43;63;58;26;139;23;33;13;53;72;27;21;37;56;78;17;12;58;6;42;45;9;43;22;37;25;17;63;43;60;32;54;33;61;24;39;29;6;20;32;45
;;1;Drenthe, J.;1263;86;29;17;8;22;22;27;29;24;36;42;17;85;13;26;7;31;44;16;13;23;44;42;8;7;36;4;26;28;4;19;11;21;19;11;43;34;49;22;30;22;41;18;25;24;4;14;15;25
;;2;Ananias, B.C.;152;5;6;3;5;4;4;4;4;2;5;3;3;9;5;1;1;8;2;0;1;4;5;4;0;1;6;0;8;4;2;6;1;3;1;1;3;0;1;2;6;3;4;2;3;0;0;1;3;3
;;3;Staples, A.D.;53;2;3;1;0;1;1;2;1;0;5;3;2;5;0;0;0;3;1;0;0;4;0;1;0;1;1;1;1;1;0;1;1;1;0;0;2;1;0;1;2;0;0;1;1;0;1;1;0;0
;;4;van Brakel-Engberts, T.C.;237;10;9;6;2;3;5;4;3;10;10;5;1;20;4;2;2;8;9;4;0;0;5;18;3;1;5;1;6;4;1;9;1;3;2;2;5;4;6;4;8;3;8;2;4;3;0;1;6;5
;;5;Pezij, W.;28;5;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;3;0;1;1;0;0;0;0;1;6;3;0;0;0;0;1;0;1;0;0;0;2;0;0;0;0;0
;;6;Huijsdens, V.;12;0;0;0;0;0;0;0;0;0;0;1;0;3;0;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0
;;7;Hofstra, J.;11;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;2;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0
;;8;van der Laan, H.;50;1;3;0;1;1;3;4;1;3;2;0;0;6;0;0;0;2;1;0;2;2;0;2;0;0;0;0;0;1;0;0;1;1;1;1;2;1;1;0;2;0;0;0;1;0;0;0;1;3
;;9;Boon, D.P.W.;10;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;1;0;0
;;10;Hashemy, M.;9;0;0;0;1;2;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
;;11;Boelens-van der Velde, L.;25;2;0;0;0;2;1;0;0;0;1;1;0;1;1;0;0;0;0;0;2;0;0;0;0;0;2;0;0;1;2;2;0;2;0;0;0;1;1;0;0;0;1;0;1;0;0;0;1;0
;;12;van Lienen-Mozer, W.;8;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2
;;13;Brouwer, E.;7;0;0;0;0;1;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
;;14;Prescher, J.J.;21;2;0;0;0;0;0;0;2;0;1;0;1;1;0;0;0;0;2;0;0;0;1;2;0;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;1;0
;;15;Broekema, J.;122;7;3;0;1;1;4;6;6;1;2;2;0;8;0;1;2;1;10;3;2;0;1;4;6;1;3;0;1;5;0;2;0;2;1;2;6;2;0;2;5;3;4;1;1;0;1;2;3;4
9;CDA;;;2175;64;82;33;7;25;19;50;40;50;67;55;35;115;36;61;25;97;77;20;26;10;47;58;9;9;50;16;105;70;41;71;12;35;46;21;79;39;81;42;43;28;49;25;81;46;17;17;18;26
;;1;Witteman, R.E.;966;38;44;16;1;7;9;22;18;26;33;29;13;43;16;26;11;46;37;9;10;3;21;32;4;2;21;10;35;26;19;29;1;12;24;13;37;18;36;19;20;14;18;13;32;19;6;5;10;13
;;2;Trul-Kreuze, I.A.;412;11;14;5;2;9;4;8;7;5;9;7;6;18;6;12;8;16;18;0;3;3;12;7;1;2;15;4;28;22;11;19;1;6;4;1;17;7;11;9;8;6;9;4;12;9;6;4;0;6
;;3;Hendrikse, A.J.;162;3;3;2;2;2;3;5;3;2;2;0;1;24;3;11;1;5;9;3;1;0;2;3;0;0;1;0;3;9;3;2;0;4;1;0;6;2;11;6;4;0;7;2;5;2;2;0;1;1
;;4;Deen-Werkman, M.O.;86;3;4;2;0;0;0;4;1;4;1;1;0;5;3;0;0;1;4;1;0;0;1;3;2;2;2;2;8;1;1;4;0;0;1;0;2;2;4;1;1;4;1;0;1;4;0;4;0;1
;;5;Velthuis, A.;153;1;4;2;1;1;0;5;6;8;5;4;5;9;0;1;0;3;1;4;6;1;6;5;0;1;1;0;4;2;0;4;0;5;8;1;7;1;10;4;3;1;7;0;4;5;1;0;3;3
;;6;Kok, J.J.;49;0;5;4;0;2;0;2;0;0;3;1;2;2;1;1;1;3;0;0;0;0;1;2;1;0;0;0;2;0;1;2;0;2;0;0;3;1;1;0;2;0;0;2;0;1;0;0;0;1
;;7;Witteman, J.;18;1;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;7;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0
;;8;Tavenier, D.P.;14;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;1;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;2;0;0;0;0;1;0;0;2;0
;;9;Barkema, M.E.;44;2;0;0;0;1;0;1;0;0;1;0;0;6;0;2;1;2;2;1;1;0;1;1;0;1;4;0;4;1;0;1;3;0;0;1;1;1;2;0;0;0;0;1;1;0;0;0;0;1
;;10;Kraft van Ermel, R.R.;25;1;1;1;0;1;0;0;0;0;0;0;0;0;1;0;0;2;0;0;2;0;0;1;0;0;1;0;0;0;0;0;7;2;1;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0
;;11;Martijn, J.N.;24;0;0;1;0;0;0;0;0;1;3;0;2;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;1;0;1;0;0;0;0;4;2;0;0;1;0;0;1;2;1;0;0;0;0
;;12;Slagter-Beute, L.R.;71;2;2;0;1;0;1;0;0;0;4;3;2;4;0;1;0;4;4;1;0;0;1;0;1;1;3;0;11;6;2;3;0;0;0;0;1;1;2;1;0;0;0;0;7;2;0;0;0;0
;;13;Stokking, E.J.;6;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Kroeze, J.;14;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0
;;15;de Korte, G.G.J.;24;0;3;0;0;0;0;2;1;0;2;1;0;0;0;2;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;2;1;0;0;0;0;0;3;0;0;1;0;0
;;16;Poelman, T.;64;1;0;0;0;1;0;0;1;2;3;4;1;2;2;0;1;0;2;0;1;0;1;2;0;0;0;0;5;2;3;3;0;2;2;4;1;1;0;1;2;2;0;2;5;2;1;0;2;0
;;17;Klein Koerkamp, G.J.;20;1;1;0;0;1;1;0;2;0;0;0;1;0;1;0;0;3;0;0;1;2;0;0;0;0;0;0;1;0;1;2;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0
;;18;Breimer, T.;23;0;0;0;0;0;0;1;0;0;0;2;0;0;3;5;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;5;0;2;0;0;0;0;0
10;ASSEN CENTRAAL;;;3962;145;110;64;18;51;43;98;114;73;111;113;39;209;63;108;64;67;156;46;69;46;126;147;18;23;96;30;172;166;91;116;25;63;23;25;113;61;86;82;83;34;60;42;175;110;20;29;52;87
;;1;Smit, A.;1287;51;43;26;5;10;15;24;25;21;55;32;20;57;20;39;23;21;43;14;21;12;44;49;9;10;32;10;48;54;25;33;4;29;9;6;36;24;32;18;32;12;20;11;61;35;11;9;18;29
;;2;Rengers, L.G.J.;621;27;11;8;4;8;8;17;14;9;10;12;7;28;9;16;18;16;37;12;12;9;22;32;1;0;13;9;11;9;7;7;1;3;5;3;28;7;14;24;24;6;17;19;19;7;2;8;11;20
;;3;de Rijke-Criens, A.;599;14;12;7;0;7;5;9;17;8;10;18;1;26;9;21;4;5;19;5;11;7;7;11;3;5;18;3;59;44;19;32;4;6;5;8;11;5;12;10;4;5;3;4;50;36;1;3;5;11
;;4;Bonder, A.;78;2;0;0;0;1;5;1;0;2;0;4;1;4;0;0;1;1;4;0;1;0;0;3;0;0;1;1;9;7;5;4;0;1;0;0;1;1;4;1;1;0;0;0;5;0;0;2;2;3
;;5;van der Wal, H.;139;2;2;0;2;1;0;2;0;3;1;4;1;2;1;1;2;0;2;0;0;1;5;6;0;0;0;0;18;16;19;4;1;3;0;3;3;1;1;4;3;0;2;0;12;8;0;2;0;1
;;6;Talens, J.;50;3;0;0;0;0;0;2;0;1;1;3;3;0;0;1;0;1;1;0;2;0;1;1;0;0;4;0;2;1;1;8;0;1;0;0;0;0;1;1;1;0;0;0;2;8;0;0;0;0
;;7;van der Meulen-ter Braake, P.;189;12;10;3;2;2;0;3;3;0;7;6;0;28;9;4;8;4;8;1;1;1;5;4;0;0;1;1;4;7;1;3;3;3;0;1;5;1;8;8;3;0;7;0;5;1;1;0;4;1
;;8;Boor, R.W.;65;2;3;1;0;0;1;0;1;0;0;3;0;1;0;5;2;2;4;2;2;1;3;7;1;0;0;1;0;3;0;4;3;1;0;0;4;0;1;0;1;1;0;0;2;0;0;0;0;3
;;9;Luppes, M.;89;3;3;9;0;1;2;1;4;1;2;7;0;3;4;0;0;2;6;0;0;2;6;4;1;0;1;0;1;2;1;1;0;0;0;1;5;1;1;0;2;0;1;3;1;2;1;1;1;2
;;10;Rengers, P.J.;81;2;4;0;0;1;0;1;5;2;3;2;0;6;0;2;0;3;6;2;5;1;6;4;0;1;0;2;2;2;4;2;0;1;1;0;1;1;0;0;1;0;0;0;5;0;1;0;0;2
;;11;Molijn, R.G.;23;0;1;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;2;1;0;0;6;1;0;0;2;0;0;2;1;0;1;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0
;;12;Oostra, F.;135;3;6;3;1;3;4;4;4;3;5;6;0;6;1;6;3;1;3;4;1;0;3;5;0;1;12;1;5;4;2;6;0;2;2;1;3;0;2;3;0;0;3;0;2;7;0;1;0;3
;;13;Alwasity, Z.;94;7;3;1;2;0;1;0;4;1;2;6;1;7;0;3;0;2;6;3;2;6;1;6;2;2;0;0;1;3;1;1;2;0;0;0;2;2;2;1;0;0;0;3;0;4;2;0;2;0
;;14;Buisman, N.I.;38;2;0;0;0;0;0;1;1;0;1;0;0;10;4;2;1;0;0;0;0;0;1;0;1;1;0;0;2;2;0;1;0;1;0;0;1;1;0;0;0;1;2;0;1;0;0;0;0;1
;;15;Posthumus, F.;210;3;3;0;2;8;1;26;23;6;5;6;2;5;2;1;0;5;4;1;4;3;9;11;0;3;9;0;3;3;3;1;2;3;0;1;2;15;0;6;9;8;0;1;3;1;0;1;0;6
;;16;Potze, H.;36;2;1;0;0;0;0;0;0;1;3;0;1;1;0;1;0;1;2;0;0;0;1;0;0;0;0;0;2;1;0;5;0;1;0;0;3;0;0;2;1;0;0;1;2;0;0;1;3;0
;;17;Puper, J.;144;5;7;5;0;8;0;3;9;15;3;2;1;15;1;2;2;0;7;1;0;2;6;1;0;0;2;1;3;2;0;2;0;5;0;1;3;1;6;3;1;1;5;0;1;1;0;1;6;4
;;18;Prent, E.;34;0;0;0;0;0;0;0;2;0;1;1;0;3;0;3;0;1;1;0;6;0;0;0;0;0;1;0;0;2;2;0;3;2;0;0;2;0;2;0;0;0;0;0;1;0;0;0;0;1
;;19;de Rijke, W.M.;50;5;1;1;0;1;1;4;2;0;1;1;1;5;3;1;0;2;1;0;1;1;0;2;0;0;0;1;2;2;0;2;1;1;1;0;2;0;0;1;0;0;0;0;2;0;1;0;0;0
