Verkiezing;;Gemeenteraad De Wolden 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente De Wolden;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1690;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis Zuidwolde;Ontmoetingscentrum De Boerhoorn;Dorpshuis 't Markehuus;Dorpshuis Buddingehof (1);Dorpshuis De Kolonie;Streekcentrum De Snikke;Dorpshuis Linde;Dorpshuis 't Drogterhuus;Buitencentrum De Poort;Sportcafé De Marse;Dorpshuis Bastogne;Dorpshuis De Schakel;Welzijncentrum Havezate (1);Welzijncentrum De Havezate (2);Dorpshuis D' Olde Karke;Dorpshuis De Alke;Dorpshuis Buddingehof (2);Dorpshuis De Veldhoek;De Ontmoetingskerk;Gemeentehuis Zuidwolde;Dorpshuis Buddingehof;Welzijncentrum Havezate (1);Buitencentrum De Poort;Gemeentehuis Zuidwolde;Dorpshuis Buddingehof;Welzijncentrum Havezate (1);Buitencentrum De Poort
Gebiednummer;;;;;1;2;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28
Postcode;;;;;7921 GD;7921 GB;7924 PP;7961 AM;7961 NH;7924 RD;7925 PB;7705 PH;7963 AH;7963 BZ;7964 KK;7958 SB;7957 AW;7957 AW;7932 PP;7927 TC;7961 AM;7958 RC;7921 AH;7921 GD;7961 AM;7957 AW;7963 AH;7921 GD;7961 AM;7957 AW;7963 AH
;;9;Huls, R.J.W.;20;1;5;0;0;0;0;0;0;0;0;0;1;2;0;1;0;0;0;2;4;0;0;0;0;0;4;0
;;10;Velema, P.J.G.;53;1;0;0;0;0;0;0;0;0;2;3;12;16;11;0;0;0;0;1;2;0;4;0;0;1;0;0
;;11;Moes, N.A.;47;0;0;4;0;0;0;0;0;10;12;3;1;0;2;1;0;0;2;0;0;0;0;7;0;0;0;5
;;12;Verburg, J.;44;10;1;1;0;1;2;1;4;1;4;0;4;1;1;0;0;0;3;3;4;0;0;0;1;1;0;1
6;D66;;;761;115;25;15;21;25;11;24;14;22;47;24;53;33;43;11;15;37;22;44;21;16;19;11;50;9;23;11
;;1;Haar, A.;275;46;12;8;2;4;8;5;8;7;9;11;9;5;12;4;8;15;10;21;10;11;8;4;24;2;7;5
;;2;Salomé, E.L.;270;23;3;7;10;10;3;12;4;7;18;9;41;20;20;3;3;12;10;8;6;5;3;2;14;6;9;2
;;3;Lotterman, H.;33;0;0;0;0;1;0;0;0;5;12;2;1;0;0;0;1;3;2;0;0;0;0;2;1;0;0;3
;;4;Dam-van der Duin, H.D.;69;29;4;0;1;1;0;2;1;1;0;1;0;0;1;0;0;2;0;12;5;0;0;0;9;0;0;0
;;5;Karis, H.P.M.;10;2;0;0;2;4;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
;;6;Marechal, F.N.W.M.;5;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0
;;7;Veenstra, J.;6;2;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;8;Bosch, A.;7;0;0;0;0;0;0;0;0;0;0;0;0;1;0;4;0;1;0;0;0;0;0;0;1;0;0;0
;;9;Hijmans, A.J.;15;6;4;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0
;;10;Hage-Beckers, B.M.P;15;0;0;0;0;1;0;0;0;1;8;0;0;0;0;0;0;0;0;1;0;0;0;3;0;0;0;1
;;11;Logtenberg, M.S.;22;2;0;0;0;0;0;0;0;0;0;1;0;4;5;0;0;0;0;0;0;0;4;0;1;0;5;0
;;12;van der Linde, B.;13;0;0;0;6;2;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;1;0;0
;;13;Koopal, S.A.;5;3;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Stellink, K.;9;0;0;0;0;0;0;0;0;0;0;0;0;3;2;0;0;0;0;0;0;0;3;0;0;0;1;0
;;15;Kool, M.M.;7;1;0;0;0;0;0;1;0;0;0;0;1;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0
7;ChristenUnie;;;678;87;28;9;26;29;15;17;21;11;16;18;49;29;19;25;58;20;20;74;26;12;7;1;39;12;3;7
;;1;den Hollander, C.A.;369;44;14;6;19;21;10;9;12;6;6;10;25;19;12;10;26;12;6;37;14;11;4;0;17;12;1;6
;;2;Warta, R.A.M.;34;5;0;0;0;0;0;0;3;0;2;2;2;0;2;1;12;1;1;1;1;0;0;0;1;0;0;0
;;3;Vlot, B.A.;10;0;0;0;0;0;0;3;3;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;2;0;0;0
;;4;de Ruiter, G.J.;39;1;0;0;0;0;0;4;0;0;0;0;2;0;0;0;3;1;2;24;0;1;0;0;1;0;0;0
;;5;Bekendam, H.W.;97;25;8;1;2;1;4;0;2;0;2;2;3;7;3;3;10;3;2;0;7;0;0;0;12;0;0;0
;;6;Oosterbroek, J.;9;0;0;0;2;1;0;0;1;1;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;7;Idsinga, T.;13;1;0;1;0;0;1;0;0;0;0;0;0;0;0;5;1;0;0;2;2;0;0;0;0;0;0;0
;;8;ten Hoeve, H.;9;0;0;0;1;2;0;0;0;0;1;0;0;2;0;0;0;2;1;0;0;0;0;0;0;0;0;0
;;9;Koetsier, H.;32;1;0;0;1;1;0;0;0;0;1;0;14;0;1;1;0;0;8;2;0;0;0;0;0;0;1;1
;;10;de Vries, J.C.;11;2;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;1;0;0;0;4;0;0;0
;;11;Paumen, H.J.E.M.;11;1;0;0;0;1;0;0;0;4;2;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
;;12;Vrijhof-Risseeuw, R.;13;1;0;1;0;1;0;0;0;0;2;3;0;0;1;0;2;0;0;1;0;0;0;0;0;0;1;0
;;13;Wiechers, J.H.;31;6;6;0;0;1;0;1;0;0;0;0;0;1;0;3;2;1;0;4;1;0;2;1;2;0;0;0
