Verkiezing;;Gemeenteraad Tynaarlo 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Tynaarlo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1730;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Ons Dorpshuis;VV Actief;Sporthal Groote Veen;Sportcentrum De Marsch (drive-through);Restaurant 't Huys van Bunne;MFA Borchkwartier;Sporthal De Kamp;Sporthal De Kamp;MFA Yders Hoes;Gymzaal Tynaarlo;Grand Café Het Witte Huis;MFA De Zeijer Hoogte;Dorpshuis Klein Kruierij;Sporthal De Zwet;Brasserie 't Hof van Zuidlaren;Sporthal De Zwet;GKv Kandelaarskerk;Harens Lyceum;Waterpark de Bloemert (Expeditiepoort);Dorpshuis De Zaandorre;Gemeentehuis;Sporthal Groote Veen;'t Loughoes;Brinkhotel;MFA Borchkwartier;Sportcentrum De Marsch (drive-through);Sporthal De Zwet;Sporthal De Zwet;Sporthal Groote Veen;Sporthal Groote Veen;Gemeentehuis;Gemeentehuis
;aangetroffen stembiljetten;;;16569;791;433;589;296;375;779;521;561;504;769;338;337;233;613;549;625;851;815;193;143;468;512;1045;583;632;329;303;451;547;679;302;403
;meer stembiljetten dan toegelaten kiezers;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Leefbaar Tynaarlo/EVZ-2000;;;2857;80;46;72;32;69;119;163;190;104;205;71;58;68;132;108;113;136;137;31;33;101;62;102;103;78;30;46;69;53;65;85;96
;;1;Vellinga, J.J.;911;15;12;15;11;25;37;69;82;38;59;20;31;22;24;29;29;53;44;11;4;44;11;24;37;27;6;14;22;13;14;31;38
;;2;Machielsen, A.M.;407;23;10;17;10;9;39;7;20;16;13;4;11;3;17;9;19;13;17;7;1;11;9;21;12;17;10;4;12;13;23;2;8
;;3;Franke, H.J.;328;3;4;0;1;7;0;2;1;3;15;0;1;17;44;38;33;35;35;2;1;4;5;1;31;2;1;17;14;2;1;6;2
;;4;Elzerman, H.T.M.;88;7;2;18;0;0;1;0;1;3;2;0;0;0;0;0;1;3;1;0;0;0;12;14;1;1;2;0;0;5;10;2;2
;;5;Weering, J.;134;14;11;14;5;0;2;3;1;10;1;0;0;0;1;2;2;1;0;0;0;1;12;24;0;0;9;0;1;11;7;0;2
;;6;Rutgers, R.;160;3;0;3;1;3;0;13;27;0;24;5;1;1;10;0;8;8;3;1;1;11;0;1;3;1;0;2;5;2;0;12;11
;;7;van Gestel, J.P.W.;32;0;0;0;0;0;0;1;0;0;0;0;0;1;2;2;1;1;1;0;22;0;0;0;0;1;0;0;0;0;0;0;0
;;8;Kloos, C.H.;344;8;1;2;1;19;1;42;47;23;31;9;7;2;7;16;5;4;9;4;1;20;6;7;7;0;1;5;6;4;0;23;26
;;9;Hegge, L.J.C.E.;36;0;0;0;0;0;1;1;0;0;26;1;2;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;1;1;0
;;10;van Zuiden, G.;76;0;0;1;0;1;0;5;0;3;8;29;2;2;4;1;1;3;1;2;0;0;1;2;0;2;0;1;2;2;0;0;3
;;11;de Sterke, M.;13;2;1;0;0;1;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;2;1;0;0;0;0;1;0;2;0;0
;;12;de Nijs, M.B.;31;1;1;0;0;0;13;0;0;0;0;2;0;0;0;0;1;1;0;0;0;0;0;1;0;10;0;0;0;0;1;0;0
;;13;Franke, D.;122;0;2;0;0;0;2;2;1;8;11;0;1;2;15;10;10;8;23;1;0;5;1;0;11;1;1;2;3;0;1;1;0
;;14;Akker, R.M.;35;0;0;1;0;1;17;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;12;0;0;0;1;1;0;0
;;15;Niewold, A.J.;30;0;0;0;0;0;2;0;0;0;0;1;0;16;0;1;0;2;1;3;0;0;0;0;0;1;0;0;0;0;2;0;1
;;16;Frieman, H.B.;20;0;0;0;0;0;0;2;1;0;14;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;17;Engelsman, S.;8;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0
;;18;Schat, T.;27;1;1;0;1;1;0;10;4;0;0;0;2;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;2;2
;;19;van Aarden, R.L.C.;9;1;0;0;1;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;2;0;0
;;20;Posthumus, H.;12;0;0;0;0;0;0;3;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;3;0
;;21;van Maren, W.J.;8;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;0;0;0;0;0;0;0;0;0
;;22;Kraaijenbrink, R.A.;7;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;3;0;0;1;0;0;0;0;0;0;0;1;0
;;23;Dijkhuizen, T.;19;2;0;0;0;0;2;0;0;0;1;0;0;1;2;0;1;3;1;0;0;0;0;1;0;1;0;1;2;0;0;0;1
2;VVD;;;1926;53;31;32;19;50;130;41;55;68;132;57;77;35;60;67;53;63;109;24;19;69;52;98;100;121;23;34;57;44;48;45;60
;;1;Pieters, G.;800;16;13;11;9;24;52;22;21;28;69;17;19;13;26;35;15;24;45;7;14;26;22;37;42;51;10;14;26;17;15;32;28
;;2;Kamminga, J.H.;441;27;13;12;9;11;45;5;11;18;16;9;6;7;10;8;5;9;20;5;1;7;16;27;19;47;8;5;11;22;17;4;11
;;3;Smits, J.;122;5;1;7;1;2;5;1;2;8;4;0;1;0;3;8;4;3;2;1;0;6;8;22;4;10;3;0;1;3;7;0;0
;;4;van Doren-Pasman, N.B.N.;159;3;1;0;0;1;14;1;5;3;9;18;1;6;2;0;11;10;15;2;1;5;3;8;5;10;1;4;6;1;6;4;3
;;5;Heikamp, N.T.;50;0;0;0;0;0;2;9;9;1;2;0;0;0;1;0;0;1;2;0;0;12;1;0;0;0;0;1;0;0;0;3;6
;;6;Pieters-de Vries, L.H.C.;73;1;0;1;0;2;8;2;3;2;21;1;0;0;3;2;8;2;2;1;1;3;0;0;3;2;1;2;0;0;0;0;2
;;7;Onur, M.;113;0;0;0;0;0;3;0;1;2;0;1;0;2;13;12;8;11;15;0;1;0;0;1;21;0;0;8;11;0;0;0;3
;;8;Noord, J.;110;0;0;1;0;10;0;1;3;4;4;0;49;2;2;1;1;1;0;3;1;10;1;2;3;0;0;0;2;0;0;2;7
;;9;Bakker, R.W.P.;37;1;0;0;0;0;0;0;0;1;0;11;0;5;0;1;1;2;7;5;0;0;0;0;2;0;0;0;0;1;0;0;0
;;10;van Heukelum, J.J.;21;0;3;0;0;0;1;0;0;1;7;0;1;0;0;0;0;0;1;0;0;0;1;1;1;1;0;0;0;0;3;0;0
3;GROENLINKS;;;2183;155;57;76;42;47;133;71;57;46;83;68;46;34;68;44;77;87;75;28;18;73;48;161;59;112;57;56;54;57;88;38;68
;;1;Ririhena, M.A.;698;33;15;24;10;17;40;25;31;15;25;24;13;5;31;10;31;42;24;11;6;49;15;42;17;25;17;17;14;9;19;18;24
;;2;Bijkerk, G.J.;776;72;23;29;19;11;48;11;13;21;21;26;18;11;19;13;25;24;27;11;5;9;17;73;19;46;25;23;16;32;43;11;15
;;3;Nieman, W.J.;66;1;0;0;0;1;27;0;1;0;1;0;1;0;2;1;0;0;1;0;0;0;1;0;2;20;2;0;0;2;2;1;0
;;4;Meerman, A.M.;111;16;5;12;3;7;0;1;0;0;3;2;1;0;0;2;0;0;0;0;0;1;5;22;1;3;4;1;1;5;15;1;0
;;5;Oele, D.E.;34;1;0;1;0;0;2;2;0;0;2;0;0;13;0;0;0;1;0;0;0;0;1;3;0;2;0;2;2;0;1;1;0
;;6;van der Meij, W.K.N.;27;0;1;2;0;3;0;0;0;0;7;3;0;0;0;0;0;4;1;0;0;3;0;0;1;0;0;1;0;0;0;0;1
;;7;Nienhuis, J.;116;2;0;2;2;2;6;14;6;3;12;8;6;1;3;0;7;6;3;1;2;3;1;5;2;2;0;2;4;0;1;1;9
;;8;Weemstra, A.;24;0;0;0;0;1;0;8;2;0;0;0;2;0;0;0;0;1;0;0;0;2;1;0;0;0;0;0;0;0;0;3;4
;;9;Kalverboer, K.M.A.;82;17;7;2;5;3;5;1;0;3;2;1;1;0;1;1;0;2;0;1;1;1;4;4;1;6;5;0;1;2;4;0;1
;;10;van de Klundert, E.J.;8;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0
;;11;Meerman-Scheven, A.M.G.;27;5;0;1;1;2;1;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;1;5;1;2;2;0;0;1;1;0;0
;;12;Stalma, P.A.C.;59;0;0;0;0;0;0;0;0;1;0;1;0;0;7;9;8;3;8;1;1;1;0;0;8;0;0;4;6;1;0;0;0
;;13;Voogd, M.C.;36;4;5;1;1;0;3;3;0;1;2;1;0;0;0;0;1;0;1;1;0;1;1;2;0;1;2;0;0;3;1;0;1
;;14;Bakker, D.;2;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;van der Merwe, L.;14;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;1;2;0;2;0;0;0;1;1;0;0
;;16;Assies, H.H.;25;1;0;0;0;0;0;0;0;1;0;0;1;0;2;6;2;1;2;0;2;0;0;0;4;0;0;0;3;0;0;0;0
;;17;Binnema, G.A.;17;2;0;0;0;0;1;0;0;0;5;0;0;0;0;0;0;1;3;1;0;0;0;0;2;1;0;0;0;0;0;0;1
;;18;Postma, J.C.;4;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;19;Rietkerk-Sipkes, K.E.;28;0;0;0;0;0;0;2;3;0;0;0;3;0;1;0;0;0;0;0;0;2;0;1;1;2;0;0;0;0;0;1;12
;;20;Harleman, F.A.J.;20;0;0;0;0;0;0;1;0;0;2;0;0;0;1;1;3;0;1;0;0;0;0;0;0;0;0;6;5;0;0;0;0
;;21;Kuipers, K.;9;0;0;0;0;0;0;0;0;0;1;0;0;4;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0
4;Democraten 66 (D66);;;1896;79;35;58;34;35;164;63;56;48;63;44;25;24;62;47;76;75;81;37;9;61;44;134;66;142;27;22;54;61;91;29;50
;;1;Kardol, C.E.;1098;54;31;41;24;27;92;16;19;33;42;25;18;14;24;18;35;42;38;26;6;29;32;104;23;78;18;9;26;52;68;15;19
;;2;van Os, H.W.A.;107;2;0;2;1;2;5;2;6;2;3;5;4;4;2;3;6;2;7;1;2;8;0;4;6;10;2;2;2;2;4;1;5
;;3;Stradmeijer, C.I.;251;5;0;2;1;4;4;5;2;9;2;4;1;5;31;22;30;27;23;2;0;1;0;3;27;3;0;9;20;0;2;5;2
;;4;Lukkien, J.B.R.;80;1;0;0;0;0;1;17;16;1;2;3;0;0;1;0;0;0;2;2;1;13;0;0;2;1;0;0;1;0;0;5;11
;;5;Engels, A.S.;139;11;3;7;5;2;17;0;1;1;7;4;0;0;1;2;3;1;4;4;0;3;6;14;2;16;6;0;2;5;9;1;2
;;6;van Dort, P.T.;11;1;0;3;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;0;0;0;0;1;0;0
;;7;van den Boogaard, J.J.W.;37;1;0;0;0;0;3;7;7;0;2;1;1;0;1;0;0;0;0;2;0;2;1;1;1;0;0;0;0;0;2;2;3
;;8;van der Meer, D.B.;15;0;0;0;0;0;0;7;0;0;2;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;3
;;9;Vemer, P.;89;1;0;0;0;0;38;1;1;2;3;0;0;0;0;0;0;1;4;0;0;1;2;0;0;30;0;0;0;1;2;0;2
;;10;Hulscher, J.H.W.;12;0;1;0;0;0;1;2;1;0;0;2;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;2
;;11;Kroek, B.;9;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;2;0;0;0;0;0;2;0;0;0;1;0;0;0;0
;;12;Kloen, K.A.;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0
;;13;Vrijhof, H.J.;22;0;0;1;0;0;2;3;2;0;0;0;1;0;0;0;1;0;1;0;0;3;1;2;1;1;0;0;2;0;0;0;1
;;14;de Boer-Welling, I.F.;14;2;0;0;3;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;2;0;1;2;0;0
;;15;Hokwerda, O.;8;1;0;1;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0
5;CDA;;;995;26;27;14;18;16;32;28;40;14;23;16;7;4;32;58;41;105;82;9;6;30;21;47;51;21;14;28;53;48;38;22;24
;;1;Middendorp, H.L.;377;14;17;5;6;6;12;16;25;11;9;11;4;1;4;17;7;34;28;2;0;10;13;14;17;5;7;12;12;18;18;13;9
;;2;Haisma, F.;123;1;0;0;3;0;0;2;0;0;3;3;0;1;8;7;12;24;19;2;3;0;0;0;16;0;1;4;12;0;0;2;0
;;3;Wiersema, H.;177;7;7;7;7;6;7;3;1;0;1;0;1;1;3;4;6;13;7;0;1;5;7;30;3;3;4;0;6;18;18;0;1
;;4;Knot, K.H.;94;1;0;0;0;0;1;0;0;0;0;0;0;0;12;10;8;14;19;0;0;0;0;0;6;0;1;7;14;0;0;0;1
;;5;Klooster, J.A.;18;0;0;0;0;2;1;0;0;0;1;1;1;0;1;1;0;0;0;0;0;3;0;0;0;0;0;0;0;2;0;0;5
;;6;Arkesteijn-Enthoven, J.M.J.;63;0;0;0;0;0;0;0;0;3;4;0;0;0;3;15;5;11;4;4;2;0;0;0;3;0;0;2;4;0;0;2;1
;;7;Muijs, C.T.;15;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;1;0;0
;;8;van den Berg, J.;15;0;0;0;0;0;1;4;3;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
;;9;de Boer, P.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;10;Marbun, L.T.;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
;;11;Schuiling, W.A.;9;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;0;0;1;0;0;0;0;0;2;0;0;0;2;0;0;0;0
;;12;Koekoek-Mulder, E.;27;0;0;0;0;0;0;2;8;0;2;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;1;0;0;0;1;4
;;13;Jager, D.;7;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0
;;14;Dijkman-de Vries, K.A.M.;4;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;15;Larkens, H.J.;4;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;16;Visser, B.M.;14;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;2;2;0;0;0;0;0;2;1;0;1;1;0;0;1;0
;;17;Huisman, M.J.;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;5;0;0;0
;;18;bij de Weg, H.;6;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;1
;;19;ter Veer, B.C.A.;5;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
;;20;Arkesteijn, H.A.M.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
;;21;Hoogers, W.;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Jongma-Roelants, C.W.M.;6;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0
;;23;Koning-van der Schaaf, M.C.;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;van Bochove, R.;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;25;Maat, A.J.;6;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0
;;26;Smilde, M.C.A.;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;27;van Glansbeek, R.C.M.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0
6;Gemeentebelangen Tynaarlo;;;1038;67;43;103;42;29;45;14;17;53;25;6;7;10;25;18;19;29;27;0;9;13;83;102;25;30;31;1;24;53;72;3;13
;;1;van Gelder, J.;370;18;15;30;13;11;22;5;10;13;12;5;3;4;16;8;11;11;15;0;5;5;23;26;12;12;7;1;13;12;24;2;6
;;2;Leistra, B.J.;55;6;1;5;4;0;7;2;1;0;0;0;0;0;0;0;0;1;0;0;0;1;3;3;3;4;8;0;0;4;2;0;0
;;3;Franke, D.J.;80;8;4;15;2;2;1;0;2;5;1;0;0;0;0;3;0;0;3;0;0;2;9;7;2;1;1;0;1;4;7;0;0
;;4;Ubels, H.M.;56;3;5;8;0;1;1;2;0;9;0;0;0;1;1;0;1;2;2;0;0;0;6;4;0;0;2;0;3;4;1;0;0
;;5;Gorter, R.;49;3;2;4;5;1;1;1;0;3;2;0;0;0;0;0;0;0;0;0;0;0;2;13;0;2;4;0;0;3;3;0;0
;;6;Haijkens-Bolt, J.J.;137;8;5;4;6;1;9;2;1;8;4;1;1;1;7;4;2;5;3;0;3;4;14;13;2;5;2;0;5;7;6;1;3
;;7;Slagter-Knaap, E.C.;41;4;1;7;1;2;2;0;0;2;1;0;2;0;0;1;0;1;0;0;0;0;2;6;1;1;1;0;0;3;1;0;2
;;8;Terwal-Arends, J.;36;4;1;1;0;1;1;0;1;3;0;0;1;0;0;0;1;2;1;0;0;0;1;5;0;3;1;0;2;1;6;0;0
;;9;Ubels, T.W.;11;0;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;1;3;0;0
;;10;Polling, G.W.;85;7;0;11;4;8;0;0;0;5;1;0;0;3;1;0;1;2;1;0;0;0;14;7;2;1;4;0;0;7;6;0;0
;;11;Hönebecke, W.;32;1;0;7;3;2;0;1;1;3;0;0;0;0;0;1;0;0;0;0;0;1;2;5;0;1;0;0;0;0;4;0;0
;;12;Krijthe, R.J.;19;0;1;3;3;0;1;0;0;1;1;0;0;0;0;0;2;0;0;0;0;0;2;2;2;0;0;0;0;1;0;0;0
;;13;Polling-Idsingh, J.E.;22;3;1;4;0;0;0;0;0;0;1;0;0;0;0;1;0;3;0;0;1;0;1;2;0;0;0;0;0;2;3;0;0
;;14;Boelens, G.A.;20;1;1;2;0;0;0;1;0;0;0;0;0;0;0;0;0;1;2;0;0;0;2;4;0;0;0;0;0;3;3;0;0
;;15;Arends-Nieland, M.E.C.;18;1;4;2;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;1;3;0;1
;;16;Paré, W.;7;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1
7;Partij van de Arbeid (P.v.d.A.);;;1942;72;47;55;38;40;46;65;61;40;95;32;60;8;98;68;96;89;120;20;17;54;47;134;74;48;31;52;71;86;89;42;47
;;1;Dijkstra, T.A.H.;772;25;16;15;17;9;13;28;13;21;28;16;17;6;45;33;44;47;64;12;8;11;16;43;40;19;12;26;36;36;30;14;12
;;2;Lubbers, A.;464;16;12;14;7;15;18;27;29;8;22;13;20;0;16;7;5;19;17;2;3;27;11;27;6;20;11;6;11;14;24;13;24
;;3;Gerritsen, G.F.;53;0;2;1;1;0;1;0;0;0;0;0;0;0;11;6;7;2;2;0;1;1;0;0;4;0;0;6;6;1;1;0;0
;;4;Koning, M.;140;2;0;2;3;0;0;1;0;0;0;1;5;1;19;11;28;13;14;2;3;1;1;1;6;1;2;7;10;3;2;0;1
;;5;de Graaf, K.B.;76;1;0;0;0;0;2;0;0;0;0;0;0;0;4;7;5;4;20;2;1;2;0;2;13;0;0;6;5;0;1;1;0
;;6;Ensing-Compaan, C.;155;14;10;12;7;2;5;1;0;3;0;0;0;0;0;1;2;0;1;0;1;0;14;35;0;5;4;0;0;15;21;2;0
;;7;Beerda, A.S.;44;2;0;1;0;1;1;3;9;0;3;0;1;0;0;1;0;2;0;0;0;5;0;1;2;0;0;0;0;2;1;2;7
;;8;van der Werf, F.;21;1;0;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;1;2;0;0;0;6;0;0;0;0;0;5;2;0;0
;;9;Peters, J.W.S.;57;1;0;0;2;0;2;1;3;0;30;0;2;0;1;0;0;0;0;0;0;4;0;1;0;2;0;0;1;2;0;4;1
;;10;Ensing, A.;39;4;3;4;1;1;1;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;2;9;1;0;2;0;0;1;6;1;0
;;11;Roggen, J.A.;25;0;0;0;0;1;0;4;5;0;2;1;2;1;0;0;0;1;0;0;0;2;0;1;1;0;0;0;0;1;0;2;1
;;12;Bakker, H.;11;0;0;0;0;8;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;13;van der Weijden, C.;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
;;14;Berends, H.;17;1;1;3;0;1;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;2;1;0;1
;;15;Martens, A.;11;0;0;0;0;0;0;0;0;1;9;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;Kalk, A.;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;0;0;0;0;0;0;0;1;0;2;0;1;0
;;17;van den Bergen-Stalenhoef, G.W.M.;18;1;0;0;0;0;0;0;1;0;0;1;12;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
