Verkiezing;;Gemeenteraad Emmen 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Emmen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0114;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;Stadskerk;De Goede Herderkerk;Atlas Theater;Wijkcentrum Meerstede;Ichthus;Nationaal Archief;Buurthuis 't Bargermeertje;CBK De Fabriek;Dorpshuis 't Hoefijzer Zuidbarge;De Schanskuil;Dorpshuis Weerdinge;Wijkcentrum Angelslo;Kerkgebouw Het Baken;Kantine Sporthal Emmerhout;De Schepershof;De Wilker;Gymnastieklokaal O.b.s. De Brink;'t Brinkenhoes;Kerkgebouw De Bron;Mondenhal;Multifunctioneel Centrum De Badde;Dorpshuis 't Stadhoes;Protestantse kerk;Kantine sporthal De Klabbe;Dorpshuis De Stobbe;Buurtgebouw Ons Dorp;Buurtvereniging De Viersprong;Dorpshuis De Foxel;Veenkerk;De Collink;Kantine sporthal De Eendracht;Dorpshuis De Meerstal;Kruiskerk;Buurtvereniging Het Kruidenveld;Buurtschap Ons Belang;Wijk- en Dienstencentrum Noorderbreedte;Kantine sporthal De Zon;Buurthuis 't Hoekje;Dorpshuis De Klink;Parc Centrum Sandur;Dorphuis d'Aole Turfstee;S.K.W. Barnstee;'t Schienvat;Kantine S.C. Erica;Gymlokaal Jachthoorn;Zuiderkerk;Gymlokaal De Trans;Gymlokaal Valkenveld 1;Gymlokaal Valkenveld 2;Kantine DZOH;Zalencentrum d' Aol Meul;Kantine SVV'04;'t Aole Gemientehoes;De Dorpshoeve;De Webbe;Dorpshuis Trefpunt;Drenthe College, locatie Veldlaan;Dorpshuis De Veurkamer;Informatiecentrum Delftlanden;Gemeentehuis (ma);Gemeentehuis (di);Wijkcentrum Meerstede (ma);Wijkcentrum Meerstede (di);Wijkcentrum Angelslo (ma);Wijkcentrum Angelslo (di);De Schepershof (ma);De Schepershof (di);Kerkgebouw De Bron (ma);Kerkgebouw De Bron (di);Multifunctioneel Centrum De Badde (ma);Multifunctioneel Centrum De Badde (di);Protestantse kerk (ma);Protestantse kerk (di);De Collink (ma);De Collink (di);Kantine sporthal De Eendracht (ma);Kantine sporthal De Eendracht (di);Kruiskerk (ma);Kruiskerk (di);Dorpshuis De Klink (ma);Dorpshuis De Klink (di);S.K.W. Barnstee (ma);S.K.W. Barnstee (di);'t Schienvat (ma);'t Schienvat (di);Kantine DZOH (ma);Kantine DZOH (di);'t Aole Gemientehoes (ma);'t Aole Gemientehoes (di);De Dorpshoeve (ma);De Dorpshoeve (di);De Webbe (ma);De Webbe (di);Dorpshuis De Veurkamer (ma);Dorpshuis De Veurkamer (di);Mobiel stembureau 1 (ma);Mobiel stembureau 2 (ma);Mobiel stembureau 3 (di);Mobiel stembureau 4 (di);Mobiel stembureau 5 (wo);Mobiel stembureau 6 (wo)
;;28;Bremer, W.W.;19;0;1;0;0;0;3;0;0;0;0;2;0;0;0;1;2;0;2;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;29;Schiphouwer, S.A.G.;69;6;0;0;2;2;0;0;0;0;1;0;0;0;2;0;0;0;0;1;2;0;0;0;0;2;1;0;0;6;0;0;0;3;2;1;0;0;0;6;0;0;1;2;1;0;0;0;0;4;1;0;0;0;0;0;0;0;2;1;10;0;3;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0
;;30;Uffels, J.A.;20;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;9;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;31;van der Ham, A.E.;52;1;1;0;3;3;0;0;0;0;1;0;2;0;1;0;2;0;0;4;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;4;0;1;1;2;0;1;1;2;5;1;0;0;0;0;0;0;1;1;1;3;0;0;3;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;32;Reilman, J.K.A.;121;9;1;1;7;4;3;0;4;0;0;1;1;1;4;0;1;0;2;8;6;0;0;1;0;0;6;0;0;0;0;0;0;1;0;0;3;1;1;2;0;1;0;2;3;2;3;0;2;0;0;1;1;0;1;0;0;0;2;0;2;3;6;0;1;0;3;1;1;0;6;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;2;0;1;1;1;0;0;0;0;1;2;1;0;0;1;0;0
2;Partij van de Arbeid (P.v.d.A.);;;6669;213;59;84;89;223;99;45;72;89;85;79;50;151;106;118;171;62;51;314;116;27;81;25;25;158;85;124;40;40;11;45;59;99;72;62;108;85;53;91;65;152;26;185;68;99;15;23;96;159;117;163;51;13;85;21;30;23;89;89;84;84;135;53;72;42;80;58;111;60;67;11;22;19;28;4;5;6;23;41;51;9;17;8;30;25;21;53;92;15;25;4;2;1;6;31;52;14;20;20;3;24;6
;;1;Louwes - Linnemann, A.G.;2421;62;19;22;32;71;34;15;24;34;28;29;20;61;29;35;58;33;17;106;33;12;32;18;5;18;19;17;4;7;5;12;43;80;35;21;34;22;18;34;26;59;12;38;34;42;6;9;31;72;54;56;23;11;35;11;14;12;39;42;22;28;58;21;25;20;27;23;39;23;23;3;11;2;11;0;2;6;19;15;20;2;11;5;5;7;7;19;34;10;12;1;1;1;1;8;22;9;12;13;1;13;5
;;2;Wanders, R.;869;49;12;23;15;55;23;7;12;13;15;6;5;28;10;17;20;9;8;54;20;2;6;0;1;1;2;0;0;4;1;0;0;2;14;4;7;5;5;5;8;21;7;15;5;8;0;2;15;26;28;20;8;0;3;4;3;3;5;5;7;23;24;16;17;9;15;9;11;12;9;1;1;0;0;0;0;0;0;4;3;1;1;1;1;7;2;14;16;1;2;1;0;0;0;2;5;3;2;0;0;2;1
;;3;Rink, G.P.;1235;42;16;23;19;33;20;11;12;21;24;6;9;0;10;21;24;9;7;54;24;3;8;2;11;93;42;81;23;21;0;9;6;6;4;10;11;10;15;15;5;26;0;21;15;20;2;2;14;24;10;41;5;0;4;3;5;4;9;10;38;13;22;2;14;4;10;12;16;13;13;1;3;12;15;1;1;0;2;2;3;1;1;0;4;5;4;10;18;1;2;2;1;0;0;2;5;0;0;3;1;3;0
;;4;Hummel, T.;336;3;1;0;3;4;3;1;4;0;0;1;3;24;6;2;3;1;1;14;6;2;5;0;0;3;3;2;1;1;2;1;0;0;13;16;26;29;8;19;11;8;1;3;5;8;0;0;3;4;3;1;1;1;5;0;2;2;3;1;2;2;3;1;2;1;1;0;1;0;3;0;0;0;0;0;0;0;2;15;12;1;1;0;0;2;4;0;2;0;2;0;0;0;1;1;1;0;0;0;0;3;0
;;5;Horstman, G.J.;263;11;4;2;5;11;2;0;9;1;2;1;0;11;29;7;3;4;0;12;3;0;3;0;0;1;1;0;0;0;2;1;3;3;0;0;5;2;1;1;2;5;0;4;1;6;0;0;3;7;0;2;3;1;3;1;0;0;9;5;0;3;10;2;4;2;11;3;10;1;5;3;2;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;4;0;0;0;0;0;0;2;3;0;1;0;0;1;0
;;6;de Vries, A.;131;1;0;0;0;5;1;0;5;1;1;0;1;1;2;0;1;0;0;1;1;1;0;0;7;33;8;13;6;4;0;2;0;3;0;0;3;0;0;0;1;2;0;2;0;1;0;1;2;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;5;2;0;0;0;0;0;2;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0
;;7;Kilinçci, U.H.;249;10;1;2;3;12;4;6;0;6;3;1;0;4;4;18;19;2;4;20;13;0;0;3;0;1;2;3;0;0;0;0;0;0;1;1;0;2;0;0;1;8;0;0;0;0;0;1;7;4;4;5;0;0;0;1;1;0;15;0;2;5;0;2;2;0;8;6;12;1;4;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3;5;0;0;0;0;0;1;1;2;0;0;1;0;0;0
;;8;Mulder, B.J.;80;0;0;0;1;3;0;0;1;1;2;2;1;3;1;0;7;0;2;7;0;0;1;0;0;5;1;0;0;1;1;0;0;0;0;0;0;0;0;3;1;2;0;0;0;2;0;0;0;5;1;3;0;0;3;0;0;0;0;1;1;0;0;0;1;1;2;0;5;0;4;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;1;0
;;9;Spang, V.S.L.R.;91;1;0;0;0;1;2;0;0;0;0;0;0;3;1;1;1;0;0;2;0;0;0;0;0;1;0;0;2;1;0;1;1;0;4;5;8;13;2;6;2;2;0;0;0;1;0;0;0;1;0;3;0;0;4;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;4;9;1;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;10;Zuiderveld, R.;92;3;0;1;0;2;0;1;0;0;0;2;2;1;0;1;1;0;2;9;8;0;5;0;0;0;1;0;1;0;0;0;1;0;0;1;2;1;0;1;0;4;1;2;2;3;1;0;4;2;1;4;0;0;3;0;0;0;1;2;1;2;1;1;0;1;1;0;0;7;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;Smit, H.;79;1;1;0;0;3;0;0;0;0;1;16;0;2;0;3;7;0;1;1;0;0;0;0;0;0;0;2;2;0;0;0;2;2;0;1;0;1;0;1;3;2;2;2;1;0;1;0;0;1;1;2;1;0;0;0;1;0;0;2;2;0;1;1;1;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;12;Rolfes, G.G.;132;4;1;1;1;5;3;1;1;0;0;5;1;3;4;6;1;1;1;7;1;1;1;0;0;0;0;0;1;0;0;1;2;3;1;0;10;0;0;5;0;2;0;4;0;4;0;0;8;4;5;3;0;0;2;0;1;0;1;1;4;1;0;2;0;1;0;0;4;2;2;0;0;0;0;0;0;0;0;0;0;1;2;0;0;1;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Poppen, P.J.;59;3;3;4;0;2;0;0;0;1;0;4;2;2;1;0;0;0;0;8;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;1;0;4;0;1;0;0;0;0;0;1;1;4;0;0;0;0;0;0;1;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0
;;14;Venhuizen, S.;19;0;1;0;1;1;0;0;0;3;1;0;1;0;0;0;2;0;0;6;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;Sulmann, J.H.G.;154;2;0;0;1;4;2;0;0;0;0;0;0;0;3;0;3;1;1;1;0;0;0;0;0;0;4;1;0;1;0;3;0;0;0;0;0;0;1;0;1;0;0;91;2;0;0;0;1;1;0;5;1;0;0;0;0;0;1;0;0;0;1;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;van der Sluis, R.P.F.;12;0;0;0;0;1;0;0;0;0;1;0;0;0;1;1;3;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Meulenbelt - Schepers, M.J.;54;2;0;0;3;3;1;0;0;0;3;0;1;0;4;0;2;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;2;2;0;0;2;0;0;0;1;1;1;3;0;0;0;0;0;0;1;0;0;1;1;0;0;0;1;0;3;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;0;0;0;0;0;0;1;1;1;0;0
;;18;Sierat, P.A.;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;4;16;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Mensen-Maat, F.S.;28;1;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;14;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Arends, J.C.;109;8;0;3;3;2;4;0;3;0;0;5;1;4;1;4;6;1;0;4;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;2;2;0;2;0;0;6;2;2;4;0;0;0;0;0;0;1;0;3;4;8;3;1;1;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;4;0;0;0;0
;;21;Cramer, N.;8;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;de Vries, B.;78;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;5;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;1;0;5;8;0;0;0;0;7;0;0;0;0;0;1;16;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;11;11;0;0;0;0;0;0
;;23;Schomaker, J.G.M.;56;5;0;0;0;2;0;1;0;4;2;0;0;1;0;2;2;0;4;5;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5;3;0;0;0;0;0;0;1;0;0;1;5;0;2;0;0;1;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;24;IJsselstijn - Oosterling, E.C.;28;2;0;0;2;2;0;0;0;1;0;0;1;1;0;0;1;0;0;1;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;25;Thalens - Kolker, M.H.;61;3;0;2;0;0;0;2;0;0;2;1;0;1;0;0;1;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;2;0;0;0;0;21;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;3;5;0;0;0;3;0;1;1;0;0;0;0;0
3;CDA;;;4162;120;34;49;38;68;73;27;29;55;86;56;49;42;36;28;83;16;18;127;54;13;43;29;22;65;45;30;15;14;16;52;11;29;64;56;58;58;63;54;20;69;12;125;122;110;7;19;19;55;60;89;30;69;284;47;45;12;36;83;37;49;81;17;34;20;37;24;31;49;55;4;5;13;16;8;9;1;2;27;41;3;4;21;16;42;43;36;49;35;75;9;13;2;11;15;30;15;14;6;5;16;4
;;1;Kleine, R.E.;1802;68;23;34;17;39;46;13;14;19;38;35;12;26;16;12;48;11;7;57;18;9;27;17;7;26;12;8;6;6;8;29;4;8;17;20;11;12;24;17;7;39;2;72;49;31;2;4;8;26;27;47;13;9;47;11;21;5;18;47;22;15;53;13;22;11;26;18;22;26;25;4;2;4;7;2;3;1;2;14;8;2;4;10;12;21;8;19;32;2;6;3;0;1;6;12;16;10;12;3;4;9;4
;;2;Wittendorp, J.B.W.;312;10;1;1;0;0;5;4;0;0;2;4;0;1;1;5;5;0;1;6;2;0;1;1;0;1;0;0;0;0;0;5;1;7;1;0;3;8;3;4;1;3;6;14;3;3;0;2;1;2;4;3;0;13;76;12;2;2;1;2;3;3;2;0;2;2;1;2;0;4;0;0;0;0;1;2;1;0;0;1;3;0;0;2;3;1;2;0;2;9;26;2;3;0;0;1;0;0;0;0;0;1;0
;;3;van Dijken, D.H.;244;7;2;3;0;6;2;1;2;16;23;1;0;0;3;1;1;2;0;32;18;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;3;0;2;0;1;5;0;0;0;2;3;9;12;1;0;1;0;0;0;3;2;6;6;4;1;1;0;2;0;0;9;22;0;0;0;1;1;0;0;0;0;1;1;0;2;0;0;0;9;5;0;1;1;0;0;0;0;1;0;0;2;1;0;0
;;4;Tuik, M.M.;218;2;0;0;0;2;1;0;0;1;1;1;0;1;1;1;0;0;0;0;1;0;0;0;1;0;0;0;3;2;0;7;3;7;23;17;24;15;18;17;3;1;3;4;3;4;0;1;0;1;1;1;0;0;4;2;4;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;0;0;4;12;0;0;1;1;5;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;5;Nobbe, J.H.;158;0;1;0;0;2;1;1;0;0;0;2;0;0;4;1;1;0;0;0;0;0;2;3;14;33;31;18;5;5;1;0;0;0;0;0;0;0;0;0;0;1;0;3;0;0;0;0;0;1;3;0;0;0;0;0;0;0;1;0;0;1;3;0;1;0;2;0;3;0;0;0;0;7;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;6;Rolloos, L.;35;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;5;0;0;1;3;0;0;1;2;0;7;1;0;0;6;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;7;Gommer-Gelijk, R.;430;4;2;2;3;2;8;1;2;7;5;4;0;2;0;2;7;0;4;10;8;0;3;4;0;1;1;2;0;0;2;1;1;2;6;2;4;2;3;2;1;5;1;4;6;5;0;3;2;4;4;4;1;35;127;0;3;3;2;11;2;5;4;0;1;4;1;0;2;3;0;0;0;1;0;0;0;0;0;2;3;0;0;0;0;1;0;2;2;16;34;3;5;0;0;0;3;0;1;0;0;5;0
;;8;Bijen, A.J.;160;8;0;4;4;5;2;2;5;2;2;2;1;4;3;3;5;0;2;7;2;0;2;0;0;0;1;0;0;0;0;2;0;0;4;2;1;4;5;2;2;2;0;4;2;9;1;0;3;6;3;2;2;0;0;0;0;1;0;2;0;4;1;0;1;1;1;2;0;1;3;0;2;1;0;1;1;0;0;1;2;0;0;1;0;0;3;2;2;0;2;0;0;0;0;0;2;1;0;0;0;0;0
;;9;Schulte, J.B.;103;1;1;0;3;3;0;0;1;0;0;2;0;0;0;0;1;0;0;2;0;0;0;1;0;0;0;2;0;0;0;2;1;0;11;8;7;10;6;4;1;0;0;2;2;2;0;1;0;0;1;1;0;0;0;0;1;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;10;0;0;0;0;3;3;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;10;van Straten, R.;33;0;0;0;2;1;0;0;1;0;1;0;0;2;0;2;2;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;2;3;2;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;van den Berg, C.M.S.;65;1;0;1;0;1;4;1;0;0;1;0;22;2;4;1;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;2;0;1;0;3;0;1;0;1;1;0;0;0;0;1;0;0;0;0;1;1;0;0;4;0;1;0;0;0;1;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
;;12;Beuker, R.;90;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;0;0;0;2;0;1;21;26;0;1;0;0;0;0;1;0;0;0;1;0;2;4;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;6;15;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Plas-Kerperin, H.H.;49;2;0;0;2;0;0;1;0;0;0;1;11;0;0;0;0;1;0;1;1;0;1;3;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;4;0;3;0;0;0;0;2;0;0;0;0;2;3;0;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;3;0;0;0;0;0;0;0;0;0;0
;;14;Jumelet, H.G.;260;11;2;3;2;4;0;2;3;5;9;4;1;1;4;0;6;0;1;2;1;2;2;0;0;1;0;0;1;0;0;3;0;3;1;1;5;2;4;2;2;6;0;7;26;20;1;3;2;3;1;3;10;2;10;1;1;0;3;7;0;5;7;0;2;2;2;0;4;0;2;0;1;0;0;0;0;0;0;1;1;0;0;5;0;4;11;0;1;5;1;0;0;0;1;0;6;2;1;0;0;0;0
;;15;Veldhuijzen van Zanten-Eilering, A.M.G.;48;1;1;1;1;2;3;0;1;3;1;0;0;2;0;0;3;0;0;2;0;1;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;1;1;0;0;3;0;0;0;1;0;0;2;6;1;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;16;Steffens, P.G.H.;50;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;1;3;0;0;0;1;0;0;0;0;0;1;0;0;0;3;2;0;0;0;0;0;0;0;6;2;13;5;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;3;0;0;0;0;0;0;0;0
;;17;Kroezen, H.;11;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;Oldenbeuving, A.H.;42;3;1;0;1;1;1;0;0;2;0;0;1;0;0;0;1;1;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;3;0;3;0;0;3;0;0;1;0;2;0;0;1;0;1;0;0;4;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;19;Oosterwijk, P.;11;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
;;20;Ensink, F.;41;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;4;0;0;0;3;1;4;9;0;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;2;0;0;1;0;2;0;0;0;0;0;0;0
4;PVV (Partij voor de Vrijheid);;;2462;40;14;13;14;49;19;7;17;13;7;23;18;65;56;35;56;14;34;49;42;7;84;45;38;98;66;56;44;44;8;52;29;48;62;40;46;33;45;54;27;28;28;66;37;25;15;13;19;21;28;20;22;4;67;21;38;22;24;46;17;16;24;11;19;7;24;16;24;14;16;6;18;15;13;2;3;10;6;26;17;1;6;4;9;3;6;3;8;6;17;0;0;3;7;10;13;0;3;0;0;3;1
;;1;Bosma, K.;1618;24;13;9;9;34;10;3;11;9;5;15;15;52;34;19;43;7;20;27;28;7;71;40;31;85;56;48;38;38;7;34;13;33;34;28;24;19;27;27;10;14;15;42;20;16;8;8;12;14;13;16;8;1;29;15;33;10;10;22;12;10;15;8;14;4;18;10;17;7;12;4;16;11;10;2;2;5;5;16;8;0;1;3;5;1;3;2;7;3;5;0;0;1;2;9;3;0;3;0;0;0;1
