Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Het Raadhuis;Buurthuis het Oor (vh De Westerkim);vh J. v. d Sleedenhuis;MFC Het Knooppunt;MFC De Magneet (vh NNCZ Grote Beer);Boerderij (vh School Erflanden);MFC De Magneet;Oosterkerk;Sporthal Het Activum (vh Wolfbos);Buurthuis DES-gebouw;School Zuiderbreedte;De Goede Herderkerk;Maranatha kerk;De Vredehorst (vh WZC De Vecht);Gymzaal Curiestraat (vh Flt Weideheem I);Sporthal Trasselt (vh Basisschool 't Kienholt);Buurthuis De Weideblik;MFC De Cirkel;Dorpscentrum 't Anker;Sporthal De Marke (vh WZC Beatrix);Sporthal De Brug (vh De Open Deur/'t Vonder);Centrumkerk (vh Jul. van Stolbergschool);Gymzaal Booyenverlaat (vh De Schuthoek);Sporthal Trasselt;Dorpshuis 't Overschotje;De Wenning;MFC De Opsteker;Vereniging Ons Dorpshuis;Dorpshuis De Vuurkorf;MFC De Eiken;Het Raadhuis;Sporthal Het Activum;Sporthal Trasselt;Sporthal De Marke;De Wenning;Het Raadhuis;Sporthal Het Activum;Sporthal Trasselt;Sporthal De Marke;De Wenning
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41
Postcode;;;;;7901 BP;7901 GK;7901 AV;7902 JG;7904 LW;7908 AC;7904 LW;7905 CA;7902 NX;7906 BG;7906 GA;7906 HB;7907 EG;7908 AD;7909 BT;7908 PB;7908 LL;7914 PM;7913 AE;7913 AG;7916 PW;7902 EP;7908 EE;7908 PB;7931 TL;7933 PW;7918 AX;7934 PE;7912 TH;7936 PB;7901 BP;7902 NX;7908 PB;7913 AG;7933 PW;7901 BP;7902 NX;7908 PB;7913 AG;7933 PW
;;6;Benjamins, J.;255;20;12;4;13;12;3;15;7;14;21;6;9;5;9;6;1;6;9;5;2;3;7;6;2;6;5;1;2;5;3;8;4;1;0;0;12;3;4;2;2
;;7;van der Meulen, S.;99;2;0;3;5;2;2;11;6;7;1;6;3;0;2;7;1;9;0;3;1;1;1;5;1;1;0;0;0;0;1;7;0;1;0;0;5;1;4;0;0
;;8;Özbilir, C.;135;6;1;0;2;6;5;4;12;35;5;0;8;0;3;1;0;2;0;0;0;0;1;0;4;1;1;1;0;0;0;6;5;0;0;0;6;16;2;2;0
;;9;Vos, A.H.;113;0;0;0;0;2;1;2;2;0;2;4;1;0;0;0;0;0;0;28;36;11;1;1;0;0;1;1;0;0;1;0;0;0;5;0;0;0;0;14;0
;;10;Wolleswinkel, E.;70;10;5;1;3;1;0;3;4;0;1;3;5;2;4;2;2;5;0;2;0;1;1;1;0;0;0;1;0;0;1;4;0;0;1;0;6;0;1;0;0
;;11;Prins, M.H.;32;0;3;2;0;0;0;0;1;0;0;1;0;0;1;0;0;3;2;0;0;0;0;2;0;8;2;0;1;2;0;0;0;0;1;0;2;0;0;0;1
;;12;Doorten, R.A.;147;8;3;3;3;5;9;5;7;0;9;3;8;1;7;4;5;9;2;0;0;0;4;7;8;0;6;1;1;1;3;3;4;2;0;0;2;6;7;1;0
;;13;Melissen, J.J.T.;69;0;0;0;0;1;0;2;0;1;0;0;0;0;1;0;0;0;0;0;0;3;0;1;0;1;39;0;2;0;0;0;0;1;0;8;1;0;0;0;8
;;14;Koopmans, H.;52;1;1;1;1;1;4;1;3;2;0;0;2;1;3;0;1;3;1;0;0;1;0;1;0;5;5;1;3;0;0;2;0;0;0;0;2;2;1;0;3
;;15;Abdullah, M.;46;1;1;1;0;7;5;2;0;1;0;11;1;0;2;1;2;1;3;0;0;1;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
;;16;Bijl, J.;18;0;0;0;2;4;0;0;1;2;0;0;0;1;2;2;2;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;van der Laan, K.;56;3;0;0;2;2;8;0;4;1;0;5;0;0;3;1;3;3;1;2;0;0;0;3;0;0;2;0;0;1;0;2;0;4;0;0;0;0;5;0;1
;;18;Baas, A.;74;1;2;2;3;0;0;1;3;0;6;1;7;2;0;3;0;2;1;0;0;0;2;0;0;23;2;1;2;0;0;1;2;0;0;0;2;3;0;1;1
;;19;Beuling, H.B.;12;0;0;0;2;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Bremer-Smit, J.;77;0;1;0;1;1;1;0;1;2;4;1;3;0;2;0;0;1;3;16;16;3;0;2;0;0;0;1;0;0;0;1;0;0;9;0;0;0;0;8;0
;;21;van Slochteren, P.A.O.;83;2;3;0;1;8;0;2;5;2;2;2;1;0;0;0;0;1;1;0;4;2;0;1;2;3;7;0;26;2;2;0;0;0;0;0;3;1;0;0;0
;;22;Vaartjes, L.;26;1;0;0;0;7;1;6;3;0;0;2;0;0;1;0;0;0;2;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;van Rij, M.W.;19;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;1;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0
;;24;Fidom, J.G.D.;14;2;0;0;0;0;1;0;1;0;0;1;2;0;1;0;1;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
;;25;Munster, A.;69;0;2;1;0;7;0;3;4;0;0;0;0;29;8;2;0;6;0;0;0;0;2;2;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0
;;26;Reinders, H.;32;1;0;0;0;0;0;0;1;2;0;2;0;0;3;0;0;2;1;10;5;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;2;0;0
;;27;Vos, H.;24;3;0;0;1;2;0;0;0;0;3;0;1;3;0;1;0;0;1;0;1;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;3;0;1;0;0
;;28;van Genne, J.L.;5;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;29;Giethoorn, J.;35;0;0;0;1;0;0;3;0;0;2;0;1;0;0;0;0;0;0;1;0;6;0;1;1;1;0;17;0;0;0;1;0;0;0;0;0;0;0;0;0
;;30;Alting, J.;9;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;5;0;1;0;0;0;0;0;0;0;0;0;0;0
;;31;Stoefzand, J.;98;4;1;2;2;4;2;6;2;0;3;6;5;0;1;1;1;0;17;8;2;6;2;1;0;1;1;2;1;5;4;2;0;1;2;0;0;0;0;3;0
2;CDA;;;3528;209;82;62;95;96;122;104;168;33;62;100;191;50;156;62;89;131;172;100;115;80;36;71;92;69;102;69;39;73;39;77;47;62;43;20;118;75;132;58;27
;;1;Jansen-Brandsema, A.L.N.;1631;91;49;36;50;51;54;55;102;14;30;50;98;26;92;29;46;78;50;28;23;38;16;30;44;17;21;42;9;16;10;49;23;31;11;4;61;42;82;26;7
;;2;Feenstra-Paas, H.;93;2;1;0;2;1;2;2;1;0;1;0;6;0;0;3;0;2;1;1;1;1;0;1;3;4;15;0;5;0;11;2;1;2;0;4;4;3;5;0;6
;;3;Koekoek-van de Kolk, F.;48;6;0;1;1;1;4;0;4;3;1;2;5;2;0;1;0;3;3;1;1;0;0;1;0;0;1;2;0;0;0;2;1;0;0;0;1;0;0;1;0
