Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Burgerhoes;Cultuurhuis Landgraaf;Ontmoetingsruimte A gen Bruk;Parochiezaal Kerkplein;Ontmoetingsruimte A gen Maar;Unit Calshof  (ipv zorgcentrum Calshof);Gymzaal Leenhof;Wijkcentrum An de Koel  (ipv Harlekijn);Unit 't Eikske;Buurthuis de Molt;Harmoniezaal SUN-plein;Scouting St. Tarcisius;Ontmoetingscentrum Oude Heide;Sporthal Hoefveld (ipv school 't Valder);Gemeenschapshuis 't Ströatje;Theater Landgraaf (ipv zorgcentrum Heereveld);Gymzaal Olympia  Landgraaf (ipv school De Wegwijzer);MFC An d'r Put;Café d'r Sjtee Uul;Café 't Steenen Kruis (ipv school de Speurneus);Gemeenschapshuis De Residentie;Gemeenschapshuis D'r Eck;EV  Burgerhoes 14 maart 2022;EV MFC An d'r Put 14 maart 2022;EV gymzaal Olympia 14 maart 2022;EV wijkcentrum An de Koel 14 maart 2022;EV Burgerhoes 15 maart 2022;EV MFC An d'r Put 15 maart 2022;EV gymzaal Olympia 15 maart 2022;EV wijkcentrum An de Koel 15 maart 2022;EV Gemeenschapshuis D'r Eck 15 maart 2022
Gebiednummer;;;;;1;2;3;11;12;22;23;30;32;42;101;111;112;121;201;202;203;204;211;212;221;231;300;302;303;304;400;402;403;404;405
Postcode;;;;;6371 LB;6371 AW;6371 HW;6372 EZ;6372 EP;6372 RH;6371 HX;6372 AC;6372 VW;6371 EC;6373 LG;6373 CW;6373 GJ;6373 TT;6374 KC;6374 ES;6374 AE;6374 HR;6374 GS;6374 VR;6374 BK;6374 LV;6371 LB;6374 HR;6374 AE;6372 AC;6371 LB;6374 HR;6374 AE;6372 AC;6374 LV
;;22;Gerards, H.C.J.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;1;0;0
;;23;Thalen - van den Berg, A.H.L.J.;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
;;24;Mennis, A.J.M.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
;;25;Stuitje, A.J.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;26;Raats, H.F.A.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;Erfkemper, J.T.H.M.;30;1;0;0;0;0;0;0;0;1;3;0;0;0;0;10;0;0;3;3;0;4;0;0;1;0;0;0;2;0;0;2
2;GBBL Schaesberg;;;2133;101;77;143;252;343;187;34;170;155;153;26;25;16;19;14;14;5;12;7;13;17;2;70;0;3;80;92;4;3;95;1
;;1;Schiffelers, A.J.M.;828;34;31;41;88;111;66;14;72;64;47;14;8;8;12;7;4;2;5;1;7;7;2;34;0;3;38;45;4;3;55;1
;;2;Heuvelmans, N.J.H.;345;17;7;17;57;77;40;8;28;33;9;2;2;2;2;1;0;1;2;0;1;1;0;3;0;0;13;16;0;0;6;0
;;3;Willemsen-Naedenoen, P.A.G.A.;261;9;13;16;41;65;47;3;11;14;9;1;1;0;1;1;2;1;1;2;1;0;0;8;0;0;4;4;0;0;6;0
;;4;Hensgens, R.H.H.;70;0;1;5;8;12;10;0;3;5;13;1;0;0;0;0;5;0;0;0;0;1;0;0;0;0;2;2;0;0;2;0
;;5;de Haan - Stienen, J.W.C.;187;6;5;15;26;49;6;3;16;16;2;7;1;1;0;0;1;0;2;2;0;2;0;5;0;0;8;4;0;0;10;0
;;6;Moling, A.J.M.;49;3;0;20;3;2;2;0;0;5;3;0;4;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;3;0
;;7;Meijer, S.;46;10;5;5;3;2;2;0;1;3;5;1;0;0;0;0;1;0;0;0;0;1;0;1;0;0;1;3;0;0;2;0
;;8;IJntema, A.C.F.M.;10;0;0;1;1;0;0;1;0;1;1;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;2;0;0;0;0
;;9;Gieben, F.P.J.M.;53;2;6;2;1;5;3;0;1;0;19;0;0;0;0;0;1;0;0;0;0;1;0;11;0;0;0;0;0;0;1;0
;;10;Kortis, R.H.J.M.;46;0;3;6;2;2;3;3;2;7;0;0;1;5;0;3;0;0;0;0;0;0;0;3;0;0;0;4;0;0;2;0
;;11;Geilenkirchen, H.J.;54;2;2;5;3;1;0;0;0;0;37;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0
;;12;Brüll, B.J.A.;10;2;0;0;1;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0
;;13;Douven, R.J.J.J.;13;5;2;0;0;1;2;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;14;Brouwer, F.W.J.;28;2;0;0;0;3;0;0;5;1;0;0;0;0;0;1;0;0;1;0;1;2;0;0;0;0;7;3;0;0;2;0
;;15;Nauta, A.;23;0;1;0;5;1;0;0;13;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
;;16;Stienen, P.J.A.W.;8;0;0;1;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
;;17;Mulders, H.A.H.;8;4;0;0;1;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;Offergelt, H.M.E.J.;3;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Westdorp, B.G.E.;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Winthaegen, J.H.M.;10;0;0;3;1;0;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;21;Zenden, J.J.H.;8;0;0;2;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;22;Beckers-Krebbers, E.E.A.;10;1;0;1;2;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;1;0
;;23;de Schepper, P.P.L.;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;Barlage, R.;4;0;0;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;Ypenburg, E.J.P.;31;1;0;2;5;0;1;0;8;2;1;0;4;0;2;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;1;0
;;26;Dritty, A.;24;3;1;1;3;3;0;0;0;0;4;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;4;0;0;2;0
3;CDA;;;2079;94;47;97;90;124;57;32;79;92;52;75;51;76;136;124;55;21;103;108;37;115;29;61;58;10;34;99;57;12;47;7
;;1;Kropman, S.J.J.T.;583;25;18;43;22;32;30;12;20;12;4;19;13;33;81;27;11;6;21;17;6;33;5;20;8;3;4;36;10;2;8;2
;;2;Dreissen-Embrechts, E.J.M.;332;17;0;21;34;26;12;3;9;11;9;19;10;10;7;12;9;1;5;19;11;20;7;12;9;2;4;15;8;2;7;1
;;3;Smeets, B.J.M.;547;22;12;5;17;17;4;4;3;11;4;13;11;18;23;67;27;8;55;59;15;36;10;11;32;3;2;15;30;6;4;3
;;4;Sevens, R.C.M.;114;1;4;2;1;3;1;1;6;39;0;2;2;0;5;1;0;2;7;1;1;4;0;3;2;0;9;7;0;0;10;0
;;5;Jurgen-Bok, C.J.A.;123;8;1;1;0;6;0;0;8;5;30;0;5;6;5;4;2;2;2;3;0;7;0;3;1;1;9;6;1;0;7;0
;;6;Haan, F.M.W.;147;7;2;5;9;28;3;1;22;5;3;4;2;3;9;7;4;0;0;3;2;1;0;2;4;0;6;3;3;0;9;0
;;7;Pelsers, L.J.;33;2;0;0;1;0;1;0;1;0;1;1;2;0;0;4;0;0;4;1;0;6;0;1;0;0;0;5;0;2;1;0
;;8;Cremers, P.P.H.;14;0;0;0;0;0;0;0;0;2;0;4;0;3;0;0;1;0;0;1;0;0;0;1;0;0;0;2;0;0;0;0
;;9;Dings, J.P.M.;62;3;10;6;3;1;5;0;1;0;1;7;2;0;3;0;0;0;5;0;0;3;0;6;1;1;0;4;0;0;0;0
;;10;Pihler-Gielkens, W.M.M.;6;1;0;3;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;Deguelle, S.G.B.;12;0;0;0;0;0;0;0;2;0;0;1;1;1;1;0;0;0;0;0;0;4;0;0;0;0;0;2;0;0;0;0
;;12;Ploemen, H.J.M.;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;7;0;0;0;0;1;0;0;0;1
;;13;Janssen, H.F.A.;13;2;0;5;0;0;0;0;0;0;0;4;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
