Verkiezing;;Gemeenteraad Beek 2022;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Beek;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0888;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;ASTA;de Dagbeeker;Duivenlokaal;Woon-/Zorgcentrum;Verenigingslokaal L'Union;Muziekschool;Gemeenschapshuis;Verenigingslokaal Willem Tell;Gasterie Genhout Treft;BMV Spaubeek;Bejaardensociëteit;De Haamen;BMV Spaubeek;ASTA;ASTA;ASTA;Gemeenschapshuis;Gemeenschapshuis;Gasterie Genhout Treft;Gasterie Genhout Treft;BMV Spaubeek;BMV Spaubeek
;minder stembiljetten dan toegelaten kiezers;;;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
;geen verklaring;;;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;BBB-NDB;;;1825;94;100;142;26;126;116;131;29;122;54;58;74;61;57;147;141;68;87;35;41;40;76
;;1;Schoenmakers, H.G.J.;394;19;17;23;5;11;28;5;4;88;12;10;16;10;10;26;20;10;12;21;33;5;9
;;2;van Es, M.G.M.;556;34;38;65;13;69;37;24;8;6;14;24;9;14;29;51;54;12;16;3;0;20;16
;;3;Meurkens, M.J.A.M.;215;7;4;5;3;8;3;48;0;3;5;0;18;8;4;20;15;23;36;0;0;3;2
;;4;van Es, D.N.T.;116;9;10;18;3;6;5;1;0;0;2;3;3;4;1;21;19;1;2;2;0;3;3
;;5;Muijlkens, S.H.J.;176;11;12;13;1;13;11;8;0;10;12;5;4;9;6;12;9;9;6;1;3;5;16
;;6;Gijzen, C.J.M.;61;3;9;5;0;8;2;4;3;0;0;0;1;3;1;10;9;0;0;0;3;0;0
;;7;van Reenen, M.J.;38;1;1;2;0;2;1;4;11;3;1;2;0;1;0;2;1;0;0;2;0;1;3
;;8;Blanek, M.;23;1;0;1;0;1;17;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1
;;9;Hoogland, H.J.C.;16;0;0;2;0;0;0;8;0;0;0;0;2;2;0;0;0;0;2;0;0;0;0
;;10;Heil, M.T.G.M.;42;5;2;5;1;2;0;1;1;10;2;0;0;0;1;0;2;1;0;6;2;1;0
;;11;Orbons, J.L.L.;83;2;3;0;0;4;0;26;2;0;2;1;13;3;0;0;0;11;11;0;0;1;4
;;12;Boel, M.J.P.;34;1;2;0;0;0;1;0;0;0;3;8;1;4;0;0;0;0;0;0;0;1;13
;;13;van de Schilde, J.A.J.C.;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
;;14;Steeman, J.P.M.;10;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;7
;;15;Stalman, F.H.M.;24;1;0;0;0;0;0;1;0;1;0;3;7;0;1;2;3;1;2;0;0;0;2
;;16;Wolfs, R.P.E.;13;0;0;0;0;0;9;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0
;;17;Spronkmans, A.M.J.;5;0;0;1;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0
;;18;Beckers, H.J.H.;15;0;0;2;0;1;1;0;0;1;0;2;0;3;0;0;5;0;0;0;0;0;0
2;CDA;;;2452;148;137;132;22;177;92;149;91;100;108;107;88;128;86;161;228;86;80;18;41;126;147
;;1;Diederen, R.;581;50;34;35;6;51;30;13;50;28;12;5;17;19;30;63;75;11;10;1;12;14;15
;;2;Ghijsen, G.A.M.G.;356;7;25;9;3;11;13;63;11;7;2;5;37;8;10;17;14;56;49;1;2;5;1
;;3;Schwillens, M.M.R.;275;4;3;7;0;0;1;4;0;0;45;41;4;48;4;3;5;0;1;0;0;48;57
;;4;Theuns, M.L.M.;299;33;27;27;3;68;21;11;1;5;3;1;3;2;17;19;46;1;0;7;1;3;0
;;5;De Bruijn-de Vos, M.J.E.J.;91;1;1;1;1;1;1;2;1;46;0;1;0;1;3;2;3;1;3;6;16;0;0
;;6;Beaumont, R.R.A.;85;4;3;1;2;4;0;34;0;0;0;1;3;0;2;6;10;5;8;0;0;1;1
;;7;Janssen, J.;66;10;10;9;0;1;2;3;1;3;0;1;9;1;2;6;3;0;1;0;1;3;0
;;8;Horsmans, H.G.L.M.;75;4;7;2;2;0;3;1;3;1;2;2;3;1;5;11;18;5;2;0;2;0;1
;;9;Dirx, R.H.C.M.;84;7;7;10;2;4;6;6;5;0;1;0;1;0;5;13;13;1;2;0;1;0;0
;;10;Notten, D.M.F.J.;77;5;6;5;0;19;4;3;1;0;2;0;5;0;1;3;17;0;1;1;2;1;1
;;11;Verpoort, E.H.A.M.;74;14;6;5;0;8;7;0;1;1;1;2;2;3;1;7;13;0;3;0;0;0;0
;;12;van den Bongard, M.;129;0;1;1;0;1;0;2;0;0;20;30;2;22;0;0;2;2;0;1;0;16;29
;;13;Broekhoven-Ummels, M.P.G.V.;23;0;0;0;0;0;0;0;0;0;1;8;0;2;0;0;0;0;0;0;0;5;7
;;14;Gorissen, S.H.L.;21;0;3;0;0;0;3;1;0;8;1;0;0;1;0;0;0;0;0;0;4;0;0
;;15;Demandt, T.J.M.;21;2;1;2;2;4;0;0;0;0;0;0;0;0;0;4;6;0;0;0;0;0;0
;;16;Haagmans, H.T.M.;21;2;0;0;0;1;0;0;16;0;0;0;1;0;1;0;0;0;0;0;0;0;0
;;17;van Wunnik, R.V.;3;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;Beaumont, F.M.W.;7;0;1;0;0;0;0;4;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
;;19;van de Wouwer-Tummers, W.T.M.;14;0;0;0;0;0;0;0;0;0;1;5;0;3;0;0;0;0;0;0;0;3;2
;;20;Maassen, J.W.J.B.;12;1;0;5;1;0;0;0;0;0;0;0;0;0;3;2;0;0;0;0;0;0;0
;;21;Falchi, S.J.J.;7;1;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;22;van Laar, R.;35;0;0;0;0;0;0;0;0;0;4;1;0;6;2;0;0;0;0;1;0;13;8
;;23;Pesch, E.H.;13;0;1;2;0;0;1;2;0;0;3;0;0;0;0;3;1;0;0;0;0;0;0
;;24;Boonekamp, N.P.I.;7;0;0;0;0;4;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0
;;25;Gerits, J.G.W.M.;10;0;0;0;0;0;0;0;0;1;0;1;0;2;0;0;0;0;0;0;0;0;6
;;26;van der Velden, P.A.J.M.;11;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;6
;;27;Coumans, M.J.H.;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;Gerrickens, H.P.J.;6;0;0;0;0;0;0;0;0;0;2;1;0;1;0;0;0;0;0;0;0;2;0
;;29;Kaelen, M.L.J.;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;30;Wachelder, J.M.M.;34;0;0;2;0;0;0;0;0;0;6;0;0;5;0;0;2;2;0;0;0;6;11
;;31;Hodzelmans, H.J.A.M.;12;0;0;1;0;0;0;0;0;0;2;0;0;3;0;0;0;0;0;0;0;5;1
3;Progressief Beek;;;1715;115;127;108;3;91;70;95;85;102;61;107;56;76;66;118;103;50;50;43;48;57;84
;;1;Heitzer, H.J.M.;353;8;8;19;0;11;13;14;10;8;31;65;6;37;0;17;9;4;7;3;6;29;48
;;2;Vennik, N.;350;32;27;31;1;29;12;22;12;11;6;14;14;11;20;21;27;14;13;8;4;9;12
;;3;Pirson, J.M.D.;320;13;19;16;1;11;14;9;7;69;0;4;8;4;13;36;20;5;4;25;36;2;4
;;4;Weusten, M.J.G.E.;82;9;23;5;0;3;2;1;2;0;1;2;4;1;7;7;8;1;0;2;0;2;2
;;5;Kösters, M.B.E.J.;73;9;5;6;0;13;5;2;4;2;2;0;0;2;2;7;5;5;1;0;0;1;2
;;6;Willems, C.G.M.H.;33;4;1;0;0;2;9;1;1;1;1;0;0;0;0;9;3;0;0;0;0;1;0
;;7;Urlings, I.J.G.;102;3;6;6;0;5;0;3;41;3;0;0;7;4;6;7;4;1;4;0;0;1;1
;;8;Frenken, J.H.G.;63;3;0;0;0;1;0;2;0;1;12;16;1;7;1;0;1;0;0;0;0;8;10
;;9;Hennekens, J.T.;62;3;0;0;0;3;0;17;0;0;1;2;5;2;3;0;2;12;8;0;1;2;1
;;10;Hendriks, P.;58;10;1;2;0;0;1;9;1;2;2;1;3;3;4;2;8;4;3;1;0;1;0
;;11;Schreurs, F.P.H.;8;1;4;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Naser, F.;19;3;1;3;0;0;1;4;0;0;0;0;1;2;0;3;0;1;0;0;0;0;0
;;13;Dols, M.M.W.A.;24;4;4;1;0;7;0;0;0;0;0;0;0;1;2;3;2;0;0;0;0;0;0
;;14;Eummelen, S.M.G.;37;3;13;0;0;1;0;1;5;1;0;0;2;0;4;3;4;0;0;0;0;0;0
;;15;van Rens, H.A.J.;40;1;7;2;0;4;4;1;1;1;1;0;1;2;2;1;4;2;4;2;0;0;0
;;16;Alami, I.;34;1;4;7;1;1;7;6;0;0;0;1;2;0;0;0;3;0;1;0;0;0;0
;;17;Vangangelt, H.J.C.;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0
;;18;van Rens - Wilms, A.L.M.G.;7;1;1;2;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0
;;19;Scheers, P.C.H.;9;1;2;0;0;0;0;2;1;0;0;1;0;0;0;0;0;0;1;0;0;1;0
;;20;Bijen, J.M.J.M.;14;1;1;2;0;0;0;0;0;3;1;0;0;0;0;0;3;0;1;0;1;0;1
;;21;Mennens, P.G.H.;23;4;0;5;0;0;1;1;0;0;2;0;2;0;1;2;0;1;0;1;0;0;3
4;VVD;;;519;64;30;24;4;34;18;18;34;37;28;10;20;12;28;50;42;9;11;4;3;15;24
;;1;Roebroek-Keulers, I.F.M.;210;24;11;10;2;6;12;6;12;7;15;9;8;5;13;22;13;5;7;1;0;10;12
;;2;Steinhart, J.J.;53;7;2;0;0;2;3;1;12;2;2;0;2;0;1;11;3;1;2;1;0;0;1
;;3;Bisschoff, R.J.W.;25;2;0;1;0;7;1;3;1;2;2;0;0;0;1;1;2;0;1;0;0;0;1
;;4;Lemmens -  Veugen, M.I.T.;43;11;5;1;0;5;0;3;0;0;0;0;1;1;3;5;5;0;1;1;0;0;1
;;5;Nysten, F.C.A.;21;4;2;4;1;1;0;0;3;0;1;0;2;0;0;1;1;0;0;0;1;0;0
;;6;Feron, K.B.G.;45;5;4;5;0;6;0;0;1;3;2;0;3;1;0;7;3;0;0;0;1;0;4
;;7;Keulers, M.A.I.M.;33;0;1;0;0;5;0;1;0;16;2;0;2;2;1;0;1;1;0;0;0;0;1
;;8;Slangen, P.M.N.;26;1;2;0;0;0;0;0;0;6;1;0;2;2;2;0;3;0;0;1;1;2;3
;;9;Frijns, C.E.P.;16;2;1;1;0;0;0;1;3;0;2;0;0;0;3;1;1;1;0;0;0;0;0
;;10;Frijns - Frusch, M.C.J.;29;2;2;1;1;2;0;2;2;1;1;0;0;1;3;2;8;0;0;0;0;0;1
;;11;Hermens, R.G.J.;6;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;1;0
;;12;Lemmens, H.M.J.;12;4;0;1;0;0;2;1;0;0;0;1;0;0;0;0;0;1;0;0;0;2;0
5;Sociaal Belang Beek;;;296;18;18;19;2;15;21;22;5;5;16;14;26;9;7;28;25;11;15;0;2;9;9
;;1;Schraven, M.A.;67;5;4;5;1;4;3;9;1;0;4;4;6;1;4;2;3;2;8;0;0;1;0
;;2;Stijnen-ter Horst, B.M.;64;2;7;8;0;2;3;3;1;1;3;2;9;1;1;4;7;3;3;0;0;2;2
;;3;Paquay, L.E.C.R.;60;9;5;3;0;2;6;3;1;1;0;0;3;2;1;14;6;1;1;0;2;0;0
;;4;Tummers, D.H.P.;19;0;1;1;0;5;2;0;2;0;0;0;4;1;0;0;2;0;0;0;0;0;1
;;5;Hornesch, R.W.;39;0;1;1;0;2;0;0;0;2;8;8;0;4;1;2;0;0;0;0;0;5;5
;;6;Schraven-Golsteijn, D.C.G.M.;11;1;0;0;0;0;0;2;0;0;1;0;3;0;0;2;1;1;0;0;0;0;0
;;7;Muurmans, R.M.;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;1;1
;;8;Hoogeboom, R.H.;24;1;0;0;1;0;6;5;0;0;0;0;1;0;0;2;1;4;3;0;0;0;0
;;9;Koomen, J.T.M.;6;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;3;0;0;0;0;0;0
6;Belang van Beek;;;646;45;70;47;4;45;41;31;37;47;23;23;21;28;29;52;40;6;13;12;14;6;12
;;1;Muijres, M.P.E.;161;14;5;8;0;7;11;11;6;9;5;16;7;20;3;12;8;2;5;1;3;4;4
;;2;Lemmens-Liebers, L.P.R.J.;41;1;2;0;0;0;5;0;3;11;1;2;1;2;1;5;0;0;2;1;1;1;2
;;3;Hoedemakers, H.J.M.;148;16;27;19;3;9;11;5;4;1;2;2;5;2;7;16;10;1;3;1;0;1;3
;;4;Vluggen, M.J.M.;30;2;0;3;0;2;0;3;0;9;0;0;0;0;2;1;1;0;0;4;3;0;0
;;5;Muijres, I.M.A.;23;1;4;3;0;1;0;1;0;3;1;0;3;0;1;1;2;0;2;0;0;0;0
;;6;Boskamp, M.F.G.;38;2;2;2;0;10;4;0;1;3;0;0;2;1;3;4;3;0;0;0;0;0;1
;;7;Wijsen, P.W.A.;15;1;3;2;0;2;1;0;0;0;1;0;0;0;2;0;1;2;0;0;0;0;0
;;8;Maes, H.W.J.M.;4;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;1
;;9;Stevens-Voncken, P.J.M.;46;2;7;4;0;2;3;1;15;0;3;0;1;1;0;0;6;0;1;0;0;0;0
;;10;Lemmens, E.J.J.M.;18;0;1;0;0;1;0;0;0;7;0;0;0;0;0;2;1;0;0;3;3;0;0
;;11;Peters, G.H.G.;6;0;2;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0
;;12;Boskamp, P.G.L.J.;29;0;4;1;0;4;3;0;2;0;4;0;0;0;1;4;3;0;0;0;2;0;1
;;13;Nysten, G.A.E.;87;6;13;5;0;6;3;10;4;3;5;3;2;2;9;7;5;1;0;2;1;0;0
