Verkiezing;;Gemeenteraad Maastricht 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Maastricht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0935;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Stadhuis, Merretkamer;Stembureau Centre Céramique;Stembureau Theater aan het Vrijthof;Stembureau Muziekschool Kumulus;Stembureau Showroom Garage Bollen;Stembureau Verenigingszaal Circolo Sardegna;Stembureau Kumulus West;Stembureau NS Centraal Station;Stembureau Universiteit Maastricht, Kruithuis;Stembureau Centre Céramique;Stembureau Regionaal Historisch Centrum Limburg;Stembureau Wijkcombinatiegebouw La Bellettsa;Stembureau Buurtcentrum Sint Pieter;Stembureau Provincie Limburg (het LAB ingang parkeerdek);Stembureau Scoutinggebouw Sint Gerlach;Stembureau Stichting Moetiara Maloekoe;Stembureau Sportcafé Jekerdal;Stembureau Gemeenschapshuis Aen de Wan;Stembureau Athos;Stembureau Hotel van der Valk;Stembureau Harmoniezaal 'De Greune';Stembureau Gemeenschapshuis Aen de Wan;Stembureau Zaal Aajd Vroenhoven, Harmonie Wilhelmina Wolder;Stembureau Basisschool Anne Frank;Stembureau Sporthal Daalhof 1;Stembureau Gemeenschapshuis De Klaekeburg;Stembureau Buurtcentrum Atrium;Stembureau Buurtcentrum De Boeckel;Stembureau Bejaardensociëteit Belfort;Stembureau vm. Basisschool de Kring;Stembureau Sporthal Daalhof 2;Stembureau Harmoniezaal Kon. Harmonie Heer;Stembureau Buurtcentrum Mariaberg;Stembureau Kantine RKSV Heer;Stembureau Flat Elisabeth Gruytersstraat;Stembureau Restobar Mama;Stembureau Gebouw LEF-team;Stembureau Trefcentrum Wittevrouwenveld;Stembureau Maris Stella;Stembureau St. Annakerk;Stembureau Scouting Amby;Stembureau Buurtcentrum De Romein;Stembureau Café-zaal De Kardinaal;Stembureau Bibliotheeksteunpunt Malpertuis;Stembureau Amyerhoof;Stembureau De Wiemerink;Stembureau Buurtcentrum Nazareth;Stembureau Maastrichtse Verkennersband;Stembureau Gemeenschapshuis Kap. Lochtmanhuis;Stembureau Centre Manjefiek Malberg 1;Stembureau Gymzaal Borgharen;Stembureau Centre Manjefiek Malberg 2;Stembureau  Dorpscentrum De Aw Sjaol;Stembureau Wijkcentrum De Luibe;Stembureau Restaurant Manjefiek;Stembureau Buurtcentrum Boschpoort;Stembureau Winkelcentrum Brusselse Poort;Stembureau Gymzaal OBS de Regenboog;Stembureau Basisschool El Habib;Stembureau Pathé bioscoop, Cine café;Stembureau Stadhuis Merretkamer;Stembureau Centre Ceramique;Stembureau Buurtcentrum Sint Pieter;Stembureau Harmoniezaal 'De Greune';Stembureau Gemeenschapshuis Aen de Wan;Stembureau Sporthal Daalhof;Stembureau vm Basisschool de Kring;Stembureau Amyerhoof;Stembureau Maastrichtse Verkennersband;Stembureau Gemeenschapshuis Kap. Lochtmanhuis;Stembureau Stadhuis Merretkamer;Stembureau Centre Ceramique;Stembureau Buurtcentrum Sint Pieter;Stembureau Harmoniezaal 'De Greune';Stembureau Gemeenschapshuis Aen de Wan;Stembureau Sporthal Daalhof;Stembureau vm Basisschool de kring;Stembureau Amyerhoof;Stembureau Maastrichtse Verkennersband;Stembureau Gemeenschapshuis Kap. Lochtmanhuis
;;35;Wolters, W.P.M.;18;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
;;36;Kerckhoffs, L.H.;13;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;37;Haack, C.M.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;38;Smeets, L.G.H.M.;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;39;Keulen, P.H.;16;0;0;0;1;0;0;0;1;0;1;0;4;0;0;0;0;0;0;1;0;0;0;0;1;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;40;Janssen, J.W.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;41;Rompelberg, G.T.J.;9;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
;;42;Bonfrère, J.F.;18;1;0;5;0;1;1;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;1;0
2;Seniorenpartij Maastricht (SPM);;;4869;64;88;14;45;47;35;37;23;27;27;19;60;105;20;17;111;49;72;60;52;62;52;70;103;49;43;155;118;131;119;29;87;42;21;118;49;38;54;14;73;59;43;59;84;147;42;62;47;11;54;69;52;14;46;56;29;70;31;49;2;49;78;56;47;62;59;47;150;69;11;59;92;57;50;116;105;64;180;82;11
;;1;Bastiaens, F.H.;1501;26;52;11;23;14;16;11;11;12;17;11;20;61;11;10;12;35;15;38;23;19;15;11;40;17;12;50;17;30;18;6;32;18;8;43;23;17;14;2;24;7;14;7;15;9;9;22;10;3;12;39;22;7;16;8;9;33;14;1;0;23;42;28;15;20;10;10;13;14;5;32;35;24;10;19;30;11;31;22;5
;;2;Steijns, J.M.A.F.;608;7;5;0;5;5;9;1;4;1;0;0;11;5;4;1;7;0;28;1;4;2;18;5;8;5;6;10;51;13;72;2;15;1;4;11;7;4;0;0;5;2;2;3;1;4;3;8;9;1;8;4;2;3;4;27;0;6;2;1;0;2;7;2;0;15;5;25;2;4;1;5;6;3;3;41;9;40;6;5;0
;;3;Makatita-Hendrix, M.W.M.;513;6;8;1;4;6;3;4;2;2;5;2;7;8;0;0;84;4;15;7;11;0;8;2;21;8;9;11;14;3;13;4;13;3;4;7;5;4;4;1;5;3;3;1;7;13;6;5;2;0;1;8;2;0;4;6;4;3;0;0;1;4;8;3;3;12;5;6;8;7;1;5;11;7;3;24;3;3;7;5;1
;;4;Willems, H.L.L.M.;431;0;5;0;1;1;2;0;0;3;0;0;1;0;0;0;0;1;0;0;5;0;0;0;3;1;2;6;7;0;1;0;4;1;2;1;0;0;1;1;2;34;0;35;0;85;0;4;0;0;0;0;1;1;0;0;2;0;4;0;0;3;3;2;3;0;2;0;87;2;1;0;4;0;0;4;3;1;99;0;0
;;5;Meertens, J.J.M.;299;3;1;0;2;3;0;6;1;0;2;0;0;1;0;0;2;1;3;0;1;18;1;40;4;5;1;15;1;2;0;2;2;3;2;6;1;1;4;0;1;3;2;9;1;20;4;2;2;0;5;4;6;2;0;3;0;7;0;0;0;0;1;1;15;2;4;0;16;4;0;0;5;0;17;5;8;0;11;5;0
;;6;Boelen, J.E.M.E.;448;4;4;0;1;3;0;3;2;2;0;1;1;0;2;0;0;1;2;6;2;14;4;5;1;9;3;47;6;68;2;5;3;7;0;42;7;4;4;0;18;1;6;0;8;2;0;1;0;1;2;0;5;0;8;3;4;9;1;0;1;2;5;3;5;5;26;0;3;7;2;2;0;1;7;5;34;0;2;4;0
;;7;Mevissen, H.;66;0;0;0;0;4;1;0;0;0;0;0;0;0;2;1;1;0;0;0;0;0;0;0;16;0;5;0;0;0;3;2;1;0;1;1;0;0;1;0;0;2;0;0;0;0;0;3;1;0;0;2;0;0;1;2;1;0;3;0;0;1;4;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;1;0;0
;;8;Rodolf-Lejeune, S.R.Y.;96;2;0;0;0;2;1;0;0;2;1;0;0;3;1;1;1;0;1;0;1;1;0;0;3;0;1;1;11;1;3;1;4;0;0;0;0;3;0;3;0;0;0;0;1;1;0;2;2;3;0;0;0;0;1;4;3;0;2;0;0;0;2;1;0;3;1;5;2;1;0;1;1;0;0;3;2;4;2;1;0
;;9;Mermi, H.I.;405;6;2;0;5;1;0;4;1;0;0;0;19;1;0;0;2;1;2;1;3;0;1;0;1;1;0;4;3;6;2;4;2;3;0;0;0;1;21;6;7;2;10;0;46;2;17;12;17;1;22;0;6;0;1;0;6;3;4;47;0;6;0;0;0;0;1;1;0;24;0;6;7;0;0;4;12;1;0;35;2
;;10;Sabel, E.A.;78;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;5;1;1;1;1;2;1;2;0;2;1;0;2;0;0;1;0;2;0;0;1;0;7;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;3;0;1;0;11;0;0;0;5;1;0;1;1;2;16;0;0
;;11;Partouns-Sondeijker, M.G.C.E.;42;0;4;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;2;1;0;1;1;0;0;0;0;0;0;0;0;0;2;1;0;1;1;2;0;0;2;0;0;0;0;1;1;1;0;0;0;0;1;0;0;1;0;1;0;0;0;0;1;0;0;0;2;0;2;0;1;0;0;2;1;2;0;1;0;1;2
;;12;Erckens, J.H.A.M.;87;1;1;0;0;4;0;0;0;2;0;0;0;1;0;0;0;3;3;3;0;3;1;0;1;2;0;1;1;3;0;2;1;3;0;3;3;2;1;0;3;0;2;0;0;0;0;0;0;0;0;3;1;0;2;0;0;3;0;0;0;2;0;5;3;1;0;0;0;1;0;0;2;8;5;0;1;0;0;0;0
;;13;Sprenger, H.G.M.;16;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;2;0;0;0;0;0;1;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;14;Pieters, J.M.P.;7;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;15;Frijns, J.;23;0;0;0;3;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;1;2;0;0;0;0;1;0;0;0;0;0;0;0;2;1;1;1;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;16;van Stiphout, C.B.C.A.;56;5;0;0;0;0;0;3;1;0;0;0;0;3;0;1;0;0;0;1;0;0;2;0;0;0;0;3;1;2;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;2;3;0;2;0;0;0;3;0;0;1;0;0;0;2;0;1;0;1;1;0;0;4;0;2;2;1;1;2;0;1;0;2;0
;;17;Janssen-Nelissen, M.A.G.;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;1;0;2;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;2;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0
;;18;van Sundert, J.J.M.;48;2;4;0;0;0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;1;0;0;0;0;0;2;0;1;0;2;0;2;0;0;0;0;0;0;8;2;0;0;0;0;0;0;0;0;0;1;0;0;3;0;0;0;0;0;1;1;0;0;4;1;0;4;1;1
;;19;Engelbert, H.L.;12;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0
;;20;Voorvelt, J.P.J.M.;65;0;0;2;0;0;0;2;0;3;0;0;0;14;0;2;0;2;0;1;0;0;0;0;1;0;0;2;0;0;2;0;1;0;0;0;0;0;0;0;1;2;0;1;0;1;0;0;0;0;0;0;0;0;2;0;0;2;1;0;0;0;1;7;0;0;1;0;2;0;0;1;4;5;2;0;0;0;0;0;0
;;21;van Dooren, R.A.L.M.;25;1;0;0;0;0;0;1;0;0;0;2;0;4;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;2;0;0;0;0;0;0;0;0;2;2;4;0;0;0;0;0;0;0
;;22;Nelissen, W.E.A.;24;0;2;0;1;1;0;0;0;0;0;0;0;0;0;0;2;0;0;1;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;1;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;1;0
3;GROENLINKS;;;4605;252;120;119;65;64;26;113;96;51;101;67;39;130;36;24;48;73;62;98;59;36;57;43;137;21;60;57;87;22;50;26;145;38;20;36;124;44;64;22;108;47;27;27;19;84;28;46;21;17;24;60;14;133;50;27;43;62;104;6;23;82;83;45;25;50;29;27;43;12;6;127;114;63;26;53;30;30;35;19;4
;;1;Krabbendam, G.;1482;48;38;18;18;18;6;20;24;22;20;23;14;43;14;9;16;24;18;26;24;14;19;17;46;8;21;12;24;4;10;12;47;15;6;13;35;10;15;3;26;16;9;9;10;34;10;17;6;4;14;45;7;120;22;16;12;7;29;3;5;22;27;12;11;13;9;7;17;2;1;33;39;23;8;17;15;12;8;8;3
;;2;Janssen, M.J.G.;143;5;2;3;1;1;1;3;6;0;2;3;2;3;1;0;1;2;2;7;1;1;2;0;4;2;0;3;3;3;2;3;3;1;0;0;3;4;4;2;3;3;1;1;0;4;1;3;0;1;1;1;0;1;4;0;0;0;6;0;0;3;6;0;0;1;1;1;5;0;0;2;4;2;0;0;1;1;0;0;0
;;3;Hermens, S.;1422;88;37;42;20;17;17;30;30;16;34;19;11;52;12;6;12;28;16;32;17;12;24;18;42;8;25;24;24;10;14;4;48;14;11;13;42;16;15;9;33;11;8;12;6;28;6;7;9;6;0;8;3;8;15;4;15;19;38;3;8;19;25;19;6;13;12;7;11;6;2;41;27;15;12;13;9;10;17;1;1
;;4;Mülders, M.T.G.;132;20;5;8;3;1;0;3;0;0;0;1;0;2;0;0;3;1;1;2;0;0;0;0;5;0;0;1;1;1;0;1;2;1;0;0;1;1;3;1;3;0;0;1;0;3;3;1;1;0;0;0;0;0;2;0;1;0;5;0;2;14;3;1;1;0;2;0;0;0;0;9;6;1;2;1;0;0;2;0;0
;;5;van der Gugten, A.C.;120;2;4;2;1;2;0;6;0;1;1;3;1;12;1;2;3;0;5;4;3;1;1;1;4;0;1;2;2;0;0;0;1;0;0;2;0;1;2;0;11;2;0;0;0;0;1;3;0;0;0;0;0;3;0;0;0;1;2;0;0;0;3;0;0;4;0;4;4;1;0;2;2;2;2;1;0;0;0;1;0
;;6;Rekko, K.A.W.M.;405;20;14;10;5;12;2;30;8;3;9;7;6;4;0;3;5;7;6;9;4;2;1;3;7;1;3;2;7;3;1;0;10;0;1;1;21;4;6;2;21;3;2;1;1;5;1;6;1;2;2;2;0;1;3;0;3;15;5;0;2;10;8;7;3;7;3;1;0;1;2;12;16;7;1;5;2;1;1;3;0
;;7;Vos, A.E.;24;5;0;0;0;0;0;0;1;2;0;1;0;1;0;0;0;0;1;2;0;0;1;0;0;0;1;0;1;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
;;8;Kadijk, J.M.;148;8;5;4;3;0;0;5;6;1;2;1;0;1;3;0;1;2;2;1;1;2;1;1;3;0;1;1;9;0;13;0;8;1;0;1;2;0;2;0;3;0;0;0;1;4;2;0;0;0;0;0;1;0;1;1;1;4;3;0;1;0;1;0;1;7;0;4;2;1;1;2;4;4;0;3;1;3;1;0;0
;;9;Schouten, H.C.;46;3;3;0;1;0;0;0;2;0;1;0;0;0;0;0;0;0;4;0;0;0;0;1;2;0;1;0;0;0;3;0;3;0;0;2;2;0;0;0;0;1;2;0;0;1;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;3;0;0;1;0;0;1;0;1;0;3;0;0;0;0;0
;;10;Lucas, A.N.;302;29;4;25;9;6;0;6;15;3;21;3;2;2;2;0;3;2;3;5;7;1;2;1;9;0;3;6;7;1;3;3;9;3;0;0;6;2;7;0;6;4;1;0;1;2;2;5;3;2;3;0;1;0;0;0;1;12;2;0;2;6;3;1;0;0;2;2;0;0;0;14;9;2;0;3;1;0;2;0;0
;;11;Huberts, D.;10;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;12;Habets, M.W.G.;13;2;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;13;Vegt, J.H.;11;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0
;;14;Widdershoven, C.L.;45;3;0;0;0;0;0;1;0;1;0;0;1;1;1;0;0;1;0;0;2;1;3;1;3;0;2;0;1;0;0;0;3;0;0;0;1;0;1;0;0;2;0;1;0;0;0;1;0;0;2;0;0;0;1;0;1;0;2;0;0;0;1;0;0;1;0;0;0;0;0;0;0;3;0;0;1;1;0;1;0
;;15;Bolleman, J.K.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
;;16;Genet, D.K.;43;1;0;3;1;0;0;2;0;0;3;0;1;0;0;0;1;2;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;1;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;2;6;0;0;1;0;0;0;0;0;0;1;0;0;3;1;0;0;2;0;0;0;0;0
;;17;Bollen, C.P.G.;19;0;0;0;0;2;0;1;0;0;0;0;0;1;0;0;0;3;0;3;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
;;18;Luja, C.M.M.;13;2;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
;;19;Reimerink, M.;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Knols, P.A.M.;6;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;Pellemans, R.A.M.;12;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;22;van Drongelen, E.S.;16;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;4;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0
;;23;Sheehan, D.P.;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
;;24;Coumans-Loos, W.F.M.J.;7;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
;;25;Keijbets, H.J.M.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;26;Khazzoum, F.;28;5;2;1;1;0;0;0;0;0;1;0;0;1;0;0;0;0;1;1;0;0;1;0;0;0;0;1;1;0;0;1;0;0;0;0;0;1;1;0;0;0;4;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
;;27;Hollanders, L.;21;0;1;0;0;1;0;1;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;1;0;3;0;0;0;0;2;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0
;;28;Hajema, K.J.;12;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0
;;29;van Arum, A.;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;30;van Tijen, C.;6;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;31;Rozenboom, I.;11;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;32;Gerards-Dröes, M.E.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;33;Rosier, M.A.S.;8;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;34;Sonnen, V.A.A.M.;7;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;35;Tinnemans, A.M.;7;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
