Verkiezing;;Gemeenteraad Echt-Susteren 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Echt-Susteren;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1711;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stadhuis;Cultuurhuis Edith Stein;Zorgcentrum De Egthe;Buurthuis St. Joris;Zwembad In de Bandert;Fanfarezaal 'Lei van Naer';Sportzaal Hubertusstraat;Clubgebouw Slekker Boys;Gemeenschapshuis 't Patronaat;Gemeenschapshuis Oos Heem;Gemeenschapshuis de Annendaal;D'n Hermeniezaal;'t Stift;Sporthal Reinoudhal;Café de Tunnelbar;Gemeenschapshuis De Koppel;Gemeenschapshuis Roosteren;Sporthal De Sjirp;Gemeenschapshuis Nieuwstadt;Stadhuis (maandag);Fanfarezaal 'Lei van Naer' (maandag);Gemeenschapshuis 't Patronaat (maandag);Gemeenschapshuis Oos Heem (maandag);Gemeenschapshuis De Annendaal (maandag);'t Stift (maandag);Gemeenschapshuis De Koppel (maandag);Gemeenschapshuis Roosteren (maandag);Gemeenschapshuis Nieuwstadt (maandag);Stadhuis (dinsdag);Fanfarezaal 'Lei van Naer' (dinsdag);Gemeenschapshuis 't Patronaat (dinsdag);Gemeenschapshuis Oos Heem (dinsdag);Gemeenschapshuis De Annendaal (dinsdag);'t Stift (dinsdag);Gemeenschapshuis De Koppel (dinsdag);Gemeenschapshuis Roosteren (dinsdag);Gemeenschapshuis Nieuwstadt (dinsdag)
;meer stembiljetten dan toegelaten kiezers;;;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;LIJST SAMENWERKING;;;3637;144;93;84;148;101;175;113;120;134;253;342;200;217;227;133;59;34;23;25;107;60;40;56;53;96;16;10;4;133;99;64;45;63;132;13;14;7
;;1;Wackers, J.M.C.;574;30;10;7;7;14;13;12;16;5;3;2;92;78;63;13;27;10;10;8;9;2;5;1;1;52;6;5;1;10;5;1;0;0;49;2;5;0
;;2;Dijcks, J.J.M.;614;4;13;12;21;11;24;15;16;9;20;290;5;1;8;0;0;2;0;0;12;6;0;6;45;1;0;2;2;16;9;2;4;55;1;0;2;0
;;3;Beckers, F.F.H.;261;12;14;5;31;20;17;13;9;11;7;5;11;11;11;5;3;8;2;3;14;1;1;0;1;2;0;0;0;10;20;4;0;0;6;2;2;0
;;4;Verheesen, J.K.M.;482;25;24;23;26;31;36;28;8;71;9;3;2;8;1;2;0;4;0;1;25;23;24;2;0;1;1;2;0;38;20;39;0;0;5;0;0;0
;;5;Peters, H.J.J.;297;3;3;1;2;1;1;5;2;0;4;2;31;50;60;62;2;1;1;3;0;1;0;0;2;22;1;0;0;3;4;0;1;0;28;0;0;1
;;6;van Yperen, I.;99;9;6;4;4;4;25;7;3;0;0;1;1;4;1;0;2;2;0;1;1;4;0;0;0;0;0;0;0;2;13;1;0;0;2;0;1;1
;;7;Hendricks, L.G.M.;280;8;1;1;5;2;18;12;14;0;108;7;0;0;1;1;0;0;2;0;3;6;0;36;0;0;0;1;0;6;16;2;21;5;0;0;0;4
;;8;Bocken, A.J.M.;280;11;0;1;2;2;10;2;4;4;0;0;37;50;53;8;19;5;0;4;7;0;0;0;1;13;2;0;1;3;1;0;0;0;34;6;0;0
;;9;van Oppen, L.J.M.A.;46;5;1;1;0;0;0;0;0;0;2;16;6;0;2;1;0;1;0;1;0;3;0;1;0;2;0;0;0;2;0;0;0;1;0;1;0;0
;;10;van Gellecom, J.W.A.G.;107;9;7;22;23;4;8;1;0;0;0;0;0;2;2;0;0;0;0;0;16;3;0;0;0;0;0;0;0;9;1;0;0;0;0;0;0;0
;;11;Eijpe, M.L.M.;60;0;2;0;0;0;0;0;0;0;0;2;6;5;4;37;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;1
;;12;Scheffer, B.M.;25;1;0;0;0;0;1;0;0;0;1;0;1;0;2;1;5;0;2;3;0;0;0;1;0;0;6;0;0;0;0;0;0;0;0;1;0;0
;;13;Gootzen, B.S.T.;46;1;2;0;1;3;0;3;0;17;0;1;2;1;0;0;0;1;0;0;0;2;4;0;0;0;0;0;0;1;0;6;1;0;0;0;0;0
;;14;Loete, N.;37;4;0;0;0;0;0;0;0;2;19;2;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;5;0;0;1;0;0
;;15;Peusen, J.F.M.;51;4;1;0;0;0;1;1;0;0;18;3;2;1;11;2;0;0;3;0;0;0;0;2;0;0;0;0;0;1;0;0;0;1;0;0;0;0
;;16;Pustjens-Linssen, C.F.M.R.;19;4;1;0;3;1;2;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;1;0;0;0
;;17;Montforts, D.F.E.;27;4;0;3;0;1;3;1;2;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;3;0;0;0;0;0;0;0
;;18;Gradussen-Slangen, C.A.J.;19;0;5;0;0;2;4;3;0;0;1;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;van Neer, J.J.P.;60;0;1;0;2;1;0;6;40;1;0;1;0;1;1;0;0;0;1;0;1;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;20;Korthals, R.L.M.;49;0;0;1;0;2;0;0;0;2;27;4;0;0;0;0;0;0;0;0;0;0;0;5;1;0;0;0;0;2;0;0;4;1;0;0;0;0
;;21;van Susteren, G.;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0
;;22;Shaweesh, K.;38;2;1;1;11;1;0;1;0;0;0;0;2;1;1;0;0;0;0;0;4;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0
;;23;Koenen, G.H.;26;0;0;0;0;1;2;1;3;0;0;1;0;1;2;0;0;0;0;1;3;1;0;0;0;0;0;0;0;3;3;0;4;0;0;0;0;0
;;24;Scheres, B.P.E.;37;1;0;1;0;0;0;2;0;5;0;2;0;0;3;0;0;0;0;0;3;2;6;0;2;0;0;0;0;0;2;8;0;0;0;0;0;0
;;25;Herfs, V.;7;1;0;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
;;26;Thuijls, T.W.J.;16;0;0;0;8;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0
;;27;van Eijs, D.W.M.A.;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;Smeets, M.P.H.;10;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;29;Philipsen, H.J.P.;18;4;1;1;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0
;;30;Nelissen, W.J.E.;43;1;0;0;0;0;1;0;0;0;33;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;5;0;0;0;0;0
2;CDA;;;3345;134;112;59;91;62;109;108;58;139;241;87;105;119;138;112;153;221;126;135;81;36;36;31;8;68;70;67;55;108;44;69;44;16;88;62;91;62
;;1;Verkoulen-Smeets, M.C.L.;387;19;8;10;13;7;16;11;9;108;4;8;3;0;2;3;1;9;5;6;12;8;27;2;2;3;4;0;1;13;7;58;0;0;3;5;0;0
;;2;Pustjens, P.H.J.;715;15;15;13;6;3;9;9;4;0;0;6;23;28;15;17;38;167;42;49;7;4;0;4;0;18;9;60;17;13;1;2;0;2;13;7;75;24
;;3;Frische, G.H.C.;407;51;42;23;34;21;31;21;6;11;1;4;9;5;9;1;3;11;6;2;25;6;0;0;0;9;3;3;4;38;6;0;0;2;8;3;8;1
;;4;Dijcks, J.P.C.;349;2;4;3;5;1;2;3;1;1;219;8;1;0;1;4;0;2;0;0;3;0;0;25;0;3;0;0;0;11;3;3;44;0;0;0;0;0
;;5;van Helvert-Willeme, M.J.F.;234;0;1;2;1;0;0;0;1;0;1;0;3;9;7;2;2;4;65;60;4;1;0;0;2;1;0;0;21;2;0;0;0;0;6;2;1;36
;;6;Penders, J.H.M.S.;273;1;2;2;1;1;7;2;1;5;5;9;3;6;4;12;101;7;0;0;4;1;5;0;0;0;46;0;2;2;3;0;0;0;3;38;0;0
;;7;Peters, R.G.H.H.;135;3;4;1;7;3;11;24;14;2;3;8;2;3;2;28;0;2;1;1;0;2;0;0;0;0;1;0;3;4;3;0;0;0;3;0;0;0
;;8;Jongen, R.J.N.M.;213;2;0;0;1;0;1;1;0;0;0;0;40;47;48;10;2;1;1;0;1;0;0;0;0;18;1;0;0;0;0;0;0;1;35;3;0;0
;;9;Weber, G.C.H.;116;14;7;4;3;5;8;10;6;3;2;14;0;3;0;4;1;0;0;0;3;3;0;0;1;0;0;0;0;6;10;1;0;2;0;1;5;0
;;10;Lumens-Claessen, A.J.C.;126;2;0;0;2;0;0;3;0;0;2;0;7;9;45;24;1;1;0;3;0;0;0;0;0;8;0;1;3;3;0;1;0;0;11;0;0;0
;;11;Utens, F.;103;17;21;1;10;4;5;2;8;0;1;1;0;2;0;0;0;0;0;0;11;4;0;0;0;2;0;0;0;9;3;0;0;0;1;0;0;1
;;12;Jansen, J.C.M.;52;1;0;0;0;0;1;2;0;4;2;20;1;1;0;1;0;0;0;1;0;0;2;0;3;0;0;0;0;2;1;2;0;8;0;0;0;0
;;13;Meisen, D.P.N.;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5;10;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0
;;14;Theunissen, F.H.G.A.;37;0;1;0;3;6;8;5;0;0;0;0;0;0;0;0;1;2;1;0;6;1;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0
;;15;Crutzen, J.L.A.;33;2;2;0;3;1;2;4;0;0;0;0;3;0;2;1;1;0;0;1;0;0;1;0;0;3;4;0;0;0;0;0;0;0;0;3;0;0
;;16;Linssen, H.J.P.;45;2;3;0;0;8;1;3;6;5;1;0;1;0;0;0;1;0;0;0;4;3;1;0;0;0;1;0;0;3;0;2;0;0;0;0;0;0
;;17;Tabor - van Calker, J.G.A.I.;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;2;0
;;18;Meuwissen, H.C.J.M.;13;1;0;0;0;0;4;2;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
;;19;Beunen, R.J.;7;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0
;;20;Janssen, E.M.;19;0;0;0;1;0;0;0;0;0;0;0;3;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;5;0;0;0
;;21;Grummer, J.C.M.;5;0;0;0;0;0;2;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Indemans-Rutten, Y.E.H.;8;0;1;0;0;0;0;0;0;0;0;0;2;1;0;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;Horsmans, R.J.G.M.;9;1;0;0;0;0;0;3;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;Feijen, J.P.A.;7;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0
;;25;Klinkers, Q;7;0;0;0;1;1;1;1;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;26;Maessen, M.H.S.;5;1;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
3;Partij Nieuw Echt-Susteren (PNES);;;4048;403;239;236;291;188;258;204;124;174;39;50;103;108;137;78;21;39;89;59;306;93;29;6;5;63;5;5;23;316;113;63;4;16;106;6;8;41
;;1;Meulenberg, J.D.M.;565;76;20;38;56;20;44;34;17;7;7;7;5;6;13;3;6;7;12;4;60;18;3;1;4;2;0;3;1;54;22;10;0;0;3;0;0;2
;;2;Ruijten, P.H.M.;521;90;40;36;52;17;32;32;21;10;1;1;2;3;5;3;2;0;2;0;74;9;0;0;0;5;0;0;0;58;10;6;0;2;6;0;2;0
;;3;Meuwissen, H.E.J.M.;308;6;2;3;7;1;8;17;1;0;0;4;21;14;12;6;4;5;56;43;6;7;0;0;0;4;2;0;16;7;5;2;0;1;14;0;1;33
;;4;Hees-Damen, C.H.M.;281;15;11;21;10;6;5;8;11;4;0;6;24;37;22;15;5;7;5;2;5;4;2;0;0;18;0;0;0;5;0;0;0;0;32;0;1;0
;;5;Bisschops, L.J.I.;167;23;13;17;10;30;6;9;11;3;0;2;0;0;2;1;0;0;0;2;3;3;0;0;0;0;0;0;0;24;6;0;0;0;1;0;0;1
;;6;van Gellecom, J.M.J.;213;32;13;13;15;9;5;6;11;2;4;0;1;1;1;2;0;5;0;0;47;0;0;0;0;6;0;0;0;34;3;0;0;3;0;0;0;0
;;7;Bisschops, J.C.M.;211;3;10;19;15;1;4;7;0;6;0;0;22;8;25;13;0;3;2;1;25;1;0;0;0;14;1;0;0;13;0;1;0;0;17;0;0;0
;;8;Denis-Kretzer, M.E.P.;186;23;40;7;14;11;16;10;6;3;0;0;0;1;7;1;0;0;5;2;17;1;1;1;0;0;0;0;2;12;5;0;0;0;1;0;0;0
;;9;Vranken, L.N.C.;113;3;1;5;4;6;0;0;0;35;0;0;2;2;10;18;0;2;0;0;0;0;9;0;0;0;1;0;0;1;0;14;0;0;0;0;0;0
;;10;Leurs, K.A.P.;160;19;5;15;3;4;5;7;8;5;0;0;0;15;5;6;0;0;6;0;14;2;0;0;0;5;0;1;1;17;5;0;0;0;12;0;0;0
;;11;Vergoossen, P.P.M.;94;3;2;4;0;28;16;3;0;8;0;3;0;0;0;0;0;0;0;0;3;10;2;0;0;0;0;0;1;1;7;3;0;0;0;0;0;0
;;12;Leurs, J.C.G.;79;2;4;1;1;1;1;2;0;0;2;1;20;10;17;0;0;1;0;1;3;0;0;0;0;0;1;1;0;0;0;0;0;0;10;0;0;0
;;13;Sevriens, D.T.C.;123;13;6;5;8;22;18;13;4;2;0;0;0;0;0;1;0;2;0;0;7;2;0;0;0;0;0;0;0;13;5;0;0;0;1;0;1;0
;;14;Beunen, K.P.G.L.;120;4;3;0;4;0;7;1;3;67;1;2;0;0;0;0;0;1;0;0;2;0;5;0;0;2;0;0;0;5;3;10;0;0;0;0;0;0
;;15;Kox-Stoffels, C.J.M.E.;303;24;30;12;28;23;49;14;3;4;2;1;1;3;4;5;0;0;0;1;17;22;1;0;0;1;0;0;0;30;22;1;0;0;2;0;0;3
;;16;Dircks, L.R.;73;4;0;2;4;1;5;16;1;1;2;1;2;0;2;3;0;0;0;0;11;6;0;0;0;0;0;0;0;3;3;0;0;0;0;6;0;0
;;17;Rohs, A.J.W.;37;1;0;0;0;0;0;0;0;14;0;0;0;0;1;0;0;1;0;0;0;0;4;0;0;1;0;0;0;3;0;12;0;0;0;0;0;0
;;18;Vergoossen, J.L.A.;35;8;7;3;7;1;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;2
;;19;Jeurissen, J.M.;47;3;3;3;2;0;3;0;0;0;16;1;0;3;3;0;0;1;0;0;0;1;0;2;0;0;0;0;0;2;0;0;4;0;0;0;0;0
;;20;Sarkol, J.S.F.;45;7;4;5;14;1;3;2;0;0;0;0;0;0;0;0;0;1;0;2;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;3;0
;;21;Geelen, J.J.G.M.;19;0;0;3;0;0;0;0;0;0;0;11;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;0;0;0
;;22;Aben, M.T.H.;25;2;0;1;0;1;4;3;6;0;0;0;0;0;0;0;0;1;0;0;0;3;0;0;0;0;0;0;2;0;0;1;0;0;1;0;0;0
;;23;Roemen, B.M.L.;38;6;8;2;7;0;2;4;1;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;2;0;0;0;0;2;0;0;0
;;24;Thoolen, H.M.A.;41;3;2;11;3;1;1;2;0;1;1;0;1;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;6;4;1;0;0;0;0;0;0
;;25;Hansen, L.H.J.;23;5;0;3;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;6;3;0;0;2;0;0;0;0
;;26;Smeets, T.M.;10;1;1;0;1;0;1;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;Monnens, R.J.A.;28;4;6;4;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;2;0;0;0;6;1;0;0;0;0;0;0;0
;;28;van Buggenum, J.G.R.;29;7;3;1;3;3;3;3;0;1;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
;;29;Krause, F.W.O.;32;3;0;1;0;0;3;5;10;0;0;0;0;1;2;0;2;0;0;0;0;0;0;0;0;1;0;0;0;2;2;0;0;0;0;0;0;0
;;30;Huijnen, J.B.M.;11;0;0;0;7;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;31;Mesman, R.;12;0;0;1;0;0;0;0;0;1;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0
;;32;Coolen, P.H.E.;15;6;1;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0
;;33;Huizinga, C.B.M.;38;3;3;0;1;0;6;3;2;0;1;3;0;3;2;0;0;1;0;0;6;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0
;;34;Lambermon, T.J.W.H.;46;4;1;0;11;0;4;1;0;0;0;1;1;0;3;0;2;0;1;1;0;0;1;2;0;1;0;0;0;3;4;2;0;0;3;0;0;0
4;Democraten Echt-Susteren;;;1720;58;26;35;50;22;47;39;82;25;6;13;76;86;138;92;23;37;265;155;36;15;1;1;0;57;6;8;43;46;17;6;3;1;91;9;4;101
;;1;Cremers, J.T.M.;658;9;3;3;2;6;12;1;3;5;2;3;11;13;20;29;11;24;212;120;3;1;0;1;0;6;4;2;32;12;3;2;0;0;13;0;2;88
;;2;Bruijsten-van de Berg, A.M.C.;174;5;7;7;0;3;9;15;66;5;0;4;9;1;0;0;0;0;3;8;8;4;0;0;0;0;0;0;0;5;5;0;0;1;6;0;2;1
;;3;Hurxkens, J.M.J.;111;0;0;1;0;0;0;2;3;0;0;0;9;9;19;32;1;3;2;0;1;1;0;0;0;5;0;3;1;3;0;0;0;0;15;0;0;1
;;4;Wagemans, P.M.H.;127;2;0;1;2;2;0;1;3;0;0;0;12;8;42;7;4;1;2;0;3;0;0;0;0;17;1;0;1;4;1;0;0;0;10;3;0;0
;;5;Verberkt, J.J.P.;102;1;2;1;2;1;0;0;0;0;0;0;9;15;22;11;2;0;3;2;0;0;0;0;0;11;0;0;0;1;0;0;0;0;18;1;0;0
;;6;Minkenberg, I.G.M.H.;152;12;4;7;9;3;10;16;3;4;2;2;9;4;10;6;0;3;4;6;5;5;1;0;0;0;0;2;2;8;4;1;0;0;2;2;0;6
;;7;Thien, K.J.;65;2;3;3;10;2;6;1;0;4;1;0;5;3;3;1;0;0;5;3;2;4;0;0;0;0;0;1;0;4;0;0;0;0;2;0;0;0
;;8;Cuypers, F.W.;44;17;0;3;4;0;6;0;3;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;4;3;0;0;0;0;0;0;0
;;9;Mostard, J.R.G.;21;2;0;0;0;0;0;0;0;0;0;0;4;5;5;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;10;Cuijpers, F.G.H.;46;2;5;2;15;3;0;1;0;4;0;3;0;0;0;0;0;0;0;1;7;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0
;;11;Smeijsters, P.J.A.;21;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;7;3;0;0;0;0;0;0;0;0;3;1;1;1;0;0;0;0;0;2
;;12;Steffann, J.E.M.C.;12;3;0;5;2;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;de Bruijn, V.D.A.M.;35;0;0;0;0;0;0;0;0;0;0;1;2;0;1;0;0;0;19;7;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;3
;;14;Jacobs-Tholen, W.H.M.;28;0;1;0;2;0;0;0;0;0;0;0;0;5;2;1;4;0;0;0;2;0;0;0;0;5;1;0;0;0;0;0;0;0;2;3;0;0
;;15;Schulpen, B.;27;0;0;2;0;1;0;0;0;0;0;0;3;1;5;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;8;0;0;0
;;16;Scheeren-Olmeyer, M.E.A.;14;2;0;0;2;1;3;0;1;2;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;17;van Dongen, E.S.J.;56;0;0;0;0;0;0;0;0;0;0;0;2;20;8;1;1;1;0;1;0;0;0;0;0;6;0;0;1;0;0;1;0;0;14;0;0;0
;;18;Jeurissen, J.M.J.;12;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;5;2;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
;;19;Symens, J.C.;5;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0
