Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Stadhuis;Stembureau Sporthal Aan de Bron;Stembureau Brede school Markeent;Stembureau Wijkgebouw Keenter Hart;Stembureau Sportpark Graswinkel;Stembureau MFA Kimpe veld;Stembureau Sportpark Op den Das;Stembureau Trefcentrum Willem Litjenshof;Stembureau Kantine SV Laar;Stembureau Wijkgebouw Groenewoud;Stembureau Scouting St. Job Leuken-Weert;Stembureau Mobiel Stembureau;Stembureau Gemeenschapscentrum De Zaal;Stembureau Buurthuis Fatima;Stembureau Café Zaal Bee-j Bertje;Stembureau MFA Swartbroek;Stembureau Kantine VV DESM;Stembureau Buurtcentrum Moesel;Stembureau Scouting Keent-Moesel;Stembureau Sporthal Boshoven;Stembureau Sporthal De Grenslibel;Stembureau Franciscus huis Weert;Stembureau Drive-In Gemeentewerf;Stembureau Drive-In Sportstraat;Stembureau Stadhuis;Stembureau Sporthal Aan de Bron;Stembureau Wijkgebouw Keenter Hart;Stembureau Gemeenschapscentrum De Zaal;Stembureau Sporthal Boshoven;Stembureau Mobiel stembureau (bus);Stembureau Stadhuis;Stembureau Sporthal Aan de Bron;Stembureau Wijkgebouw Keenter Hart;Stembureau Gemeenschapscentrum De Zaal;Stembureau Sporthal Boshoven;Stembureau Drive-In Gemeentewerf;Stembureau Mobiel stembureau (bus)
Gebiednummer;;;;;1;6;8;9;10;11;12;13;14;26;27;31;34;37;38;39;41;42;43;45;46;47;50;51;401;402;403;404;405;406;501;502;503;504;505;506;508
Postcode;;;;;6000 AZ;6004 GC;6006 JN;6006 ZH;6005 JZ;6005 SR;6006 TL;6002 CW;6003 BD;6004 TX;6004 DG;;6039 AW;6001 TV;6003 PM;6005 NP;6004 RT;6006 CJ;6006 FB;6002 AZ;6039 HB;6001 AP;6004 HN;6004 EX;6000 AZ;6004 GC;6006 ZH;6039 AW;6002 AZ;6004 CA;6000 AZ;6004 GC;6006 ZH;6039 AW;6002 AZ;6001 AC;6003 NW
;;8;Stribos, H.L.;44;3;0;0;1;1;0;0;6;3;0;0;0;0;0;0;1;0;0;1;6;0;0;0;0;3;0;3;1;2;0;4;1;2;0;6;0;0
;;9;te Riele - Gordijn, A.W.E.H.A.M.;30;2;1;0;2;0;0;2;1;1;0;0;0;1;0;0;0;1;1;0;0;0;2;0;0;4;0;2;1;3;0;2;0;4;0;0;0;0
;;10;Gerlings, R.A.;16;2;2;0;0;0;0;0;0;0;1;1;0;1;2;0;0;0;2;0;0;0;0;0;0;1;0;0;0;1;0;1;0;2;0;0;0;0
;;11;Reijnders, J.M.;15;4;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;2;0;0;0;0;2;1;1;0;0;1;0;0
;;12;Smolenaers, G.S.J.;114;4;3;1;0;3;0;0;1;0;1;1;0;4;0;0;75;0;0;0;0;1;0;0;3;0;0;0;2;1;4;0;0;2;1;0;0;7
;;13;Brouns, P.J.;146;2;0;0;1;6;86;0;0;5;0;3;0;10;0;0;1;0;2;0;0;0;0;0;0;1;1;0;1;0;14;0;0;0;8;0;0;5
;;14;Raemaekers, S.J.P.;32;2;7;0;0;3;1;0;1;0;0;0;0;2;0;0;0;0;1;0;1;0;4;0;0;0;0;0;1;0;3;2;2;1;0;1;0;0
;;15;Mans, J.M.;125;3;0;2;1;3;37;8;5;1;0;7;1;13;0;6;3;2;1;0;1;7;0;0;0;0;0;1;3;0;0;0;0;5;9;1;0;5
;;16;Kuipers, H.M.M.;31;2;0;0;1;0;2;0;0;8;0;1;0;3;0;0;0;0;0;0;2;0;5;0;0;2;0;0;1;1;0;2;0;0;1;0;0;0
;;17;Janssen - Masselink, A.;14;1;0;0;0;0;1;1;0;2;1;0;0;0;0;0;2;0;3;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
;;18;Jacobs, A.G.;53;2;3;0;4;14;0;0;2;0;0;1;0;0;0;2;0;0;10;1;0;0;2;0;0;1;1;3;0;1;0;3;0;3;0;0;0;0
;;19;van Deuren, M.;11;0;1;0;2;0;2;0;0;0;1;3;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
