Verkiezing;;Gemeenteraad Roerdalen 2022;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Roerdalen;;;;;;;;;;;;;;;;;;
Nummer;;1669;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;C.C. De Beuk;Vurenhof Boerengolf;Harmonie Zaal;De Roerparel;Dorpshuis Montfort;Zaal onder de Kerk;'t Aad Raodhoes;Feel Fit Center Roerdalen;Brede School De Berensprong;De Harch;Zaal Roerzicht;De Blokhut;De Roerparel;De Roerparel;Feel Fit Center Roerdalen;Feel Fit Center Roerdalen
;;2;van der Linden, H.M.V.;141;4;4;15;35;6;7;0;2;4;2;5;4;20;30;0;3
;;3;Peggen, J.F.T.;46;1;0;0;1;0;0;1;1;23;18;1;0;0;0;0;0
;;4;van Pol, W.J.C.;59;1;0;2;2;24;19;2;0;0;3;2;0;2;1;1;0
;;5;Mestrum, D.J.C.;23;1;0;0;2;0;0;0;0;6;6;1;1;0;4;1;1
;;6;Vaasen, B.G.J.;30;3;0;0;2;0;0;9;10;1;1;0;0;0;0;3;1
;;7;van Birgelen, C.D.H.;23;6;3;0;0;0;2;0;1;0;1;1;3;2;2;0;2
;;8;Tinnemans, T.F.H.;21;0;1;0;2;5;8;0;1;0;0;0;0;0;4;0;0
;;9;Thevissen, I.H.A.;12;1;2;0;1;0;0;0;0;1;6;0;0;0;1;0;0
;;10;Helwegen, D.W.W.;17;0;0;0;2;7;0;0;0;0;0;1;4;0;0;3;0
;;11;van Kruchten, W.J.G.;60;2;0;1;0;0;0;0;4;14;33;3;1;0;0;2;0
;;12;Schmitz, H.M.G.;29;0;0;0;0;12;0;5;2;1;7;0;1;0;0;0;1
;;13;Bos-Willard, R.H.;13;0;0;0;1;0;0;0;0;1;9;0;0;1;0;0;1
;;14;Mommers, G.M.L.;22;2;1;0;1;0;0;0;0;9;7;0;1;0;1;0;0
;;15;Schmitz, M.G.A.;6;0;0;1;0;0;0;0;0;1;2;0;0;0;1;1;0
;;16;Ottenheim, J.P.H.;10;1;0;0;0;0;0;0;0;1;6;2;0;0;0;0;0
;;17;Nijssen, L.P.G.;15;1;0;0;0;0;0;1;0;6;5;0;1;0;0;1;0
;;18;Schmitz, W.T.C.;7;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;2
;;19;Suijlen, H.H.;47;4;3;2;4;0;25;0;1;2;0;2;0;1;2;0;1
5;Partij van de Arbeid (P.v.d.A.) / GROENLINKS;;;1123;213;59;43;86;75;35;59;82;113;93;45;44;40;56;38;42
;;1;Schotemeijer, A.M.W.;311;47;11;4;21;12;8;14;29;33;35;14;29;12;19;12;11
;;2;Joris, P.G.A.;190;99;25;4;9;1;0;8;3;6;7;4;3;6;8;4;3
;;3;Moorman, C.H.A.;55;0;0;13;21;0;0;1;0;7;1;0;0;2;8;1;1
;;4;Buijze, R.;100;6;3;5;5;4;1;4;9;8;11;19;7;4;4;6;4
;;5;van Baden, M.;85;4;1;0;2;49;22;0;3;1;1;0;1;0;1;0;0
;;6;Heldens-Hendriks, J.G.P.;55;0;0;0;1;0;0;15;16;3;1;0;1;0;3;7;8
;;7;Companjen, Y.P.;53;25;7;4;1;0;0;5;3;0;1;1;0;3;1;1;1
;;8;Woudstra, A.H.;17;0;0;0;0;0;0;0;0;10;6;0;0;0;0;0;1
;;9;van Soest, L.J.M.;29;0;0;0;2;2;1;4;9;0;2;0;2;0;2;2;3
;;10;Bosch, A.F.;17;0;0;0;1;0;0;0;0;6;8;0;0;0;0;1;1
;;11;de Visser, C.R.;27;0;0;2;8;4;1;0;0;3;0;1;0;3;5;0;0
;;12;Janssens, C.M.J.;32;7;5;2;2;1;1;2;2;2;1;1;0;2;1;2;1
;;13;Bodifee, M.J.;6;0;0;0;1;0;0;0;0;1;0;1;1;1;0;0;1
;;14;Hokke, I.;8;3;0;0;0;0;0;0;0;4;0;0;0;1;0;0;0
;;15;Paffen, J.H.A.;39;0;0;0;0;0;0;0;4;22;13;0;0;0;0;0;0
;;16;Aelen, J.C.L.;99;22;7;9;12;2;1;6;4;7;6;4;0;6;4;2;7
