Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Voormalige locatie Bibliotheek (Horst);Voormalige locatie Action;'t Gasthoes (Horst);De Lèste Geulde (Horst);Kantine Sporthal Dendron (Horst);Gemeenschapshuis Aan de Brug (America);Gemeenschapshuis de Zaal (Griendtsveen);Zaal Debije (Hegelsom);MFC de Zwingel (Melderslo);"MFC ""De Meulewiek"" (Meterik)";"BMV ""De Schakel"" (Broekhuizenvorst)";Het Brouwershuis (Broekhuizen);De Smetenhof (Lottum);MFC 't Haeren (Grubbenvorst);Beej Toën (Grubbenvorst);Sporthal De Kruisweide (Sevenum);Zalencentrum De Wingerd (Sevenum);De Torrekoel (Kronenberg);'t Brugeind (Meerlo);Café-Zaal Wilhelmina (Swolgen);Dienstencentrum Zonnehof (Tienray);"Kapel ""de Schuilplaats"" (Horst)";De Gaper (Sevenum);Voormalige locatie Bibliotheek (Horst);Voormalige locatie Bibliotheek (Horst);Kantine Sporthal Dendron (Horst);Kantine Sporthal Dendron (Horst);MFC 't Haeren (Grubbenvorst);MFC 't Haeren (Grubbenvorst);Zalencentrum De Wingerd (Sevenum);Zalencentrum De Wingerd (Sevenum)
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31
Postcode;;;;;5961 VG;5961 EZ;5961 GA;5961 XW;5961 BE;5966 NM;5766 PP;5963 AG;5962 AT;5964 AC;5871 AW;5872 AE;5973 PL;5971 BS;5971 CG;5975 AN;5975 BN;5976 NS;5864 BZ;5866 BH;5865 BL;5961 JX;5975 AM;5961 VG;5961 VG;5961 BE;5961 BE;5971 BS;5971 BS;5975 BN;5975 BN
;;25;Kuipers, M.M.C.;60;6;1;7;7;4;5;0;3;0;0;1;0;4;0;0;0;4;8;2;0;0;1;1;2;2;2;0;0;0;0;0
4;Partij van de Arbeid (P.v.d.A.);;;2678;174;56;221;151;48;62;22;95;122;110;43;35;150;153;84;107;102;106;109;39;43;87;63;92;130;21;32;54;82;26;59
;;1;Bouten, R.G.J.;1234;95;31;133;73;29;35;9;67;44;54;19;20;129;36;17;29;25;29;30;18;16;42;21;60;78;14;21;11;19;8;22
;;2;Sohbat, S.;153;13;2;20;23;3;2;2;7;6;3;2;4;4;3;3;5;4;1;7;1;1;12;0;5;11;1;3;0;0;0;5
;;3;Wijnen, J.P.;162;13;5;14;3;0;0;0;0;0;0;5;1;0;1;0;34;28;5;0;0;0;3;12;5;8;0;2;0;1;8;14
;;4;Wagenaar, A.M.A.;82;10;3;13;8;4;2;0;3;3;4;4;1;4;0;1;0;0;1;2;1;0;4;0;7;4;0;0;0;0;1;2
;;5;Relouw, J.J.P.;91;0;3;0;0;1;0;0;0;0;0;1;0;1;0;2;12;9;34;1;0;2;0;13;0;1;1;0;0;0;5;5
;;6;Selen, M.A.C.;109;10;2;5;7;0;8;0;2;1;4;0;0;3;2;1;8;6;20;2;1;2;7;6;2;6;0;1;0;0;2;1
;;7;van Oijen, N.J.P.;89;0;0;1;2;0;0;0;0;0;0;0;0;0;36;16;0;1;0;0;0;0;0;0;0;0;0;0;15;18;0;0
;;8;Coenen, F.R.J.;49;6;1;0;1;2;12;0;1;0;1;0;1;0;1;0;1;0;0;0;9;6;1;0;1;1;0;3;0;0;1;0
;;9;Kamiński, D.P.;75;3;0;0;0;2;0;0;6;0;7;0;0;2;4;4;0;0;0;43;1;2;1;0;0;0;0;0;0;0;0;0
;;10;Schreurs, S.E.M.;189;2;1;2;0;0;0;0;0;0;0;0;1;2;68;39;0;0;1;1;0;1;0;0;0;1;0;0;27;43;0;0
;;11;van den Bekerom, R.P.J.;79;7;2;9;12;1;2;0;0;2;17;1;1;1;0;0;1;0;0;0;0;0;6;1;2;9;2;1;0;0;1;1
;;12;Peeters, A.;36;3;0;4;6;2;0;0;8;2;0;1;0;0;0;0;0;2;0;0;0;0;2;0;1;4;0;0;0;0;0;1
;;13;van Dijk, J.A.;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;2;1;0;0;0;1;0;0;0;0;0;0
;;14;Spreeuwenberg, L.P.J.;91;3;1;2;1;1;0;0;0;63;0;4;4;3;2;1;0;0;0;0;0;1;1;0;0;2;1;0;1;0;0;0
;;15;Janssen, M.H.M.;14;2;2;0;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0;0;0;0
;;16;Hendriks, I.M.M.;37;2;1;8;3;1;0;0;0;1;16;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;2
;;17;Willemssen, D.A.H.T.;59;0;0;5;3;0;0;0;0;0;0;0;0;0;0;0;15;20;1;0;0;0;2;8;0;0;2;0;0;0;0;3
;;18;Coppus, A.M.P.;21;2;2;0;0;0;0;11;0;0;2;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0
;;19;Overvliet, E.J.;8;0;0;0;0;0;0;0;0;0;0;5;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;20;Knoops-Kersten, G.J.M.;26;0;0;2;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;3;1;11;2;2;2;0;0;0;0;0;0;0
;;21;Willems, M.H.P.;11;3;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0
