Verkiezing;;Gemeenteraad Roermond 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Roermond;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0957;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stadhuis;'t Paradies;Theaterhotel De Oranjerie;ECI;Basisschool Hubertus;De Voedselbank;Wijkhuis De Terp;Zalencentrum De Velderie;Jongerencentrum Gotcha;Gymzaal Hoogvonderen;Sporthal Donderberg;Waterschap Limburg;Gemeenschapshuis 't Sjoolpaad;Roer College Schöndeln;Wijkaccommodatie Het Trefpunt;SV EMS;Café-zaal De Ster;Tennisclub Maasniel;Wijkgebouw Tegelarijveld;'t Brikkenhoes;Café Zaal Aad Leeuwe;Gemeenschapshuis De Duup;Wijkaccommodatie De Vlonder;Wijkaccommodatie Herteheym;Café Zaal 'de Schuur';Basisschool de Kasteeltuin;Lambertuskerk;Basisschool Lambertus;Gemeenschapshuis De Robijn;Restaurant Maaszicht;Gemeenschapshuis de Kamp;Zorgcentrum St. Jan Baptist;Eetcafé  Aod Maerum;Zalencentrum De Donderie;Het Witte Kerkje;JSP+;Sportcentrum Swalmen;Stadskantoor;Oolderhof;Mobiel Stembureau;Stadhuis vervroegd stemmen;Stadhuis vervroegd stemmen;Wijkgebouw Tegelarijveld vervroegd stemmen;Wijkgebouw Tegelarijveld vervroegd stemmen;Gemeenschapshuis 'De Robijn' vervroegd stemmen;Gemeenschapshuis 'De Robijn' vervroegd stemmen;Eetcafé  'Aod Maerum' vervroegd stemmen;Eetcafé  'Aod Maerum' vervroegd stemmen
;;15;Kaiser-Koonen, M.H.J.;64;1;3;5;8;7;1;0;1;0;0;0;0;4;0;0;0;2;1;0;0;0;2;0;2;2;1;0;0;0;0;0;0;2;2;1;0;0;2;1;0;2;2;0;2;0;0;7;3
;;16;de Waal, A.P.F.;13;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;3;0
;;17;van Melick, P.J.W.;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0;0;1;0;5;1;1;1;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;18;Slijpen, A.J.L.;20;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;7;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;1;0;0;1;2;0;0;0;1;0;1
;;19;Rijks, W.M.;35;0;0;1;0;1;0;0;0;0;3;0;0;0;0;0;0;10;3;0;0;0;0;6;2;2;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;5;0;0;0;0
;;20;Beurskens, W.H.;12;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;2;0;0;1;0;0;0;0;2;0;0;0;0;1;1;0;0;1;0;0
;;21;Loor, E.R.;15;0;0;1;0;0;0;0;0;2;0;1;1;0;0;0;2;2;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;22;Pijls, J.R.;4;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;Wouters, A.F.M.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;van Delden, M.;4;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;van Buel, J.H.P.M.;19;0;0;0;0;0;3;0;0;0;0;0;0;5;0;0;2;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;2;0;0;0;0;0;2
;;26;Smits, J.J.H.;11;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;2;0;2;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
;;27;Guffens, L.G.A.;13;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;0;0;0;0;0;0;0;1;0;0;0;1;0;4;0;0;0;0;0;0;0;0;1
;;28;Kemp, W.A.J.;85;1;0;3;3;2;1;3;1;3;1;0;2;4;5;2;0;11;0;2;7;2;1;3;4;5;0;1;0;0;1;0;0;1;5;2;0;0;0;0;0;2;1;1;2;0;0;1;2
4;Demokraten Swalmen (DS);;;2263;9;3;9;16;8;1;3;6;1;3;3;5;5;6;3;1;8;3;10;11;10;6;8;6;8;6;290;347;307;78;231;219;9;4;3;5;193;9;6;1;5;10;4;2;141;231;5;5
;;1;Tobben, J.C.M.;567;1;0;4;4;1;0;2;2;0;0;0;2;0;1;2;0;4;0;3;1;2;1;2;2;4;1;84;92;84;10;24;59;1;2;1;0;57;7;2;0;3;4;2;0;35;57;2;2
;;2;Geraedts, N.P.J.M.;214;1;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;2;0;5;1;3;1;3;0;0;1;19;39;46;4;6;20;1;0;0;2;19;1;0;1;0;0;0;0;18;16;2;0
;;3;Sanders-Meuter, A.H.J.J.;200;0;1;0;1;1;0;0;1;1;1;0;0;3;0;0;0;0;2;0;0;2;1;1;0;0;2;14;31;24;1;64;15;2;0;0;0;5;0;2;0;0;2;1;0;8;14;0;0
;;4;Balster, E.A.;184;0;0;1;0;2;0;1;0;0;0;0;0;1;1;0;1;0;0;0;1;0;2;1;0;0;0;26;39;8;18;3;22;0;1;0;0;17;0;0;0;0;1;0;0;11;26;0;1
;;5;Hendriks, L.A.;174;0;1;0;2;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;20;37;14;3;59;10;0;0;0;1;4;0;0;0;0;0;0;1;8;10;0;1
;;6;Smeets-Suilen, B.M.W.;108;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;0;1;1;25;11;22;1;1;14;1;0;0;0;6;0;0;0;0;0;1;0;5;13;0;0
;;7;Meerbeek-Teuwen, C.J.P.M;63;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;3;0;6;11;8;1;2;5;2;0;0;0;4;0;0;0;0;0;0;0;0;18;1;0
;;8;van Avesaath, P.L.;85;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;9;5;19;1;8;11;0;0;0;0;12;0;0;0;0;1;0;0;9;4;0;0
;;9;Tobben, S.;13;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;2;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0
;;10;Zanders-Smeets, S.G.B.;119;0;0;2;1;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;13;14;14;4;4;11;0;0;1;0;21;0;0;0;1;0;0;0;8;21;0;0
;;11;Jaspar, J.R.A.;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;7;8;0;0;4;0;0;0;0;2;0;0;0;0;0;0;0;2;4;0;0
;;12;Beckers, S.W.;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;4;1;8;0;1;4;0;0;0;0;1;0;0;0;0;0;0;0;2;2;0;0
;;13;Aksel, Q.A.J.S.;148;4;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;1;2;0;0;0;0;0;0;21;18;21;9;2;22;0;0;0;0;17;1;0;0;0;0;0;0;9;18;0;0
;;14;Ickenroth-Sillekens, A.P.H.;26;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;5;0;1;3;0;0;0;0;2;0;1;0;0;0;0;0;2;6;0;0
;;15;Damen, L.M.H.;61;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;2;3;0;30;0;0;0;0;0;8;0;0;0;0;0;0;0;4;5;0;0
;;16;Theuniszen, L.M.M.;56;2;0;1;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;1;0;0;7;16;6;1;1;1;0;0;0;1;1;0;0;0;1;0;0;0;3;7;0;0
;;17;Lutgens-Timmermans, W.P.J.L.;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0
;;18;Lutgens, H.H.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0
;;19;Simons, P.H.M.;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;13;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;America, K.E.H.J.;14;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;0;0;0;1;0;1;0;0;0;0;0;2;1;0;1
;;21;Geraedts, H.C.;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;6;0;2;2;0;0;0;0;3;0;0;0;0;0;0;0;4;1;0;0
;;22;Wuts, W.H.M.;71;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;16;7;4;0;4;13;0;0;0;0;11;0;0;0;0;0;0;1;4;7;0;0
;;23;Mostart, V.P.M.J.;48;0;0;1;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;2;7;0;22;2;0;2;1;0;0;0;0;0;0;0;1;0;0;4;0;0;0
5;VVD;;;1473;65;42;70;125;92;15;8;10;3;27;13;22;52;25;16;10;55;25;11;30;19;15;34;81;60;21;11;9;20;6;13;15;40;32;47;20;9;28;44;8;48;46;25;16;10;11;29;40
;;1;Zwijnenberg, V.G.J.;493;19;20;15;34;28;1;2;7;1;13;5;8;21;11;8;5;14;13;6;10;10;8;9;29;21;9;3;3;1;1;2;2;11;7;21;7;2;11;11;1;22;11;11;7;4;3;11;14
;;2;Felix, J.W.G.;134;13;6;6;10;7;3;1;0;0;1;0;3;5;1;2;0;5;2;2;3;4;0;1;11;4;0;1;0;0;0;0;3;1;2;3;1;0;2;3;0;7;10;3;3;0;0;2;3
;;3;Oele, E.M.A.;54;0;1;0;1;7;1;0;0;0;1;0;1;0;2;2;0;0;0;0;0;0;0;1;4;12;0;0;0;0;0;0;0;8;0;0;0;0;0;4;0;0;1;0;1;0;1;4;2
;;4;Cillekens, I.E.A.;263;7;4;11;26;16;3;4;0;0;6;1;6;8;4;0;3;16;5;1;7;2;2;6;9;8;2;2;5;12;3;8;6;4;4;6;5;4;4;9;3;6;4;3;1;6;7;2;2
;;5;Heyman, G.J.P.;44;2;0;0;6;0;0;0;0;0;0;0;0;1;0;0;0;2;1;2;2;2;2;3;2;0;0;0;1;4;1;0;0;1;0;2;3;2;0;0;0;0;2;0;1;0;0;0;2
;;6;Meijers, D.W.T.;90;2;2;4;8;11;1;0;0;0;2;1;4;1;2;0;1;1;1;0;1;0;1;2;7;4;0;0;0;0;0;2;1;5;1;2;0;0;3;7;0;0;1;0;0;0;0;3;9
;;7;Hermans, P.J.C.;37;1;0;0;4;0;1;0;1;0;2;0;0;6;1;2;0;0;1;0;0;0;0;0;2;2;0;3;0;2;0;0;0;1;0;3;0;0;0;1;0;0;1;1;0;0;0;1;1
;;8;Rademakers, J.G.H.;118;7;4;13;22;12;0;0;0;0;1;0;0;3;1;1;0;1;0;0;3;0;2;7;7;5;0;0;0;0;0;0;0;2;1;5;2;0;0;4;2;4;5;1;0;0;0;2;1
;;9;Meuwissen, A.F.A.;23;0;0;0;0;0;0;1;0;2;0;6;0;2;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;2;0;0;0;0;2;0;0;0;0;0
;;10;Pommer, F.A.M.;2;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;Versteegen, E.H.M.T.;23;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;2;1;0;0;0;1;0;1;0;0;0;0;1;0;0;5;1;0;0;0;0;1;3
;;12;Janssen, P.C.E.;30;2;0;3;1;2;0;0;2;0;0;0;0;2;0;0;0;2;0;0;1;0;0;0;2;3;0;0;0;0;1;0;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0;1;0
;;13;Nikkels, O.G.;6;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;1;0;0;0;0
;;14;Gezempa, O.P.L.K.S.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0
;;15;Hendrikx, J.J.P.;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;2;0;0;1;0
;;16;Schreurs, H.M.;5;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0
;;17;Caris, T.T.M.R.;3;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;Verstappen, R.;55;9;2;7;4;3;0;0;0;0;0;0;0;2;3;1;1;1;0;0;2;1;0;1;3;1;1;1;0;0;0;0;1;1;1;1;0;0;3;1;0;2;1;1;0;0;0;0;0
;;19;Hendriks, J.H.;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Bielders, H.A.J.;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;Verheijden, F.R.;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
;;22;Le Haen, R.J.R.G.;7;0;0;1;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
;;23;Hendrix, A.W.A.;8;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;24;van Breemen, J.J.P.;11;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1
;;25;Kivit van Haaften, B.A.;9;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;26;Cillekens, V.A.B.M.;33;1;0;2;2;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;6;0;0;0;0;0;0;0;13;0;1;0;1;0;0;0;4;0;0;0;0;0;0
6;D66;;;1465;49;45;62;98;79;22;13;13;4;21;16;32;61;31;15;7;77;31;9;40;63;16;40;86;81;17;9;9;10;2;9;7;34;25;30;16;10;14;45;18;34;40;20;34;4;9;24;34
;;1;Kalthoff, M.M.A.H.;547;21;16;28;46;16;9;7;5;4;10;10;9;26;15;4;3;28;15;1;22;9;4;17;28;27;5;3;5;3;1;4;2;7;11;16;9;4;4;14;11;18;14;3;11;0;3;8;11
;;2;Pleyte, F.J.;92;0;7;7;7;1;1;0;0;0;2;1;6;3;3;1;0;2;1;3;3;2;0;3;3;1;0;0;0;2;0;0;1;5;4;3;0;0;0;3;1;3;2;1;4;0;1;3;2
;;3;Arts, M.J.W.E.;59;4;0;4;9;5;0;0;1;0;1;2;0;1;0;1;0;4;0;1;1;4;1;0;6;1;0;0;1;0;0;0;0;1;0;3;1;0;0;0;0;0;2;2;2;0;1;0;0
;;4;Tegels, L.A.E.M.;382;18;11;11;20;23;6;2;3;0;4;2;7;13;10;2;1;19;6;2;5;5;4;12;34;32;6;6;2;2;0;4;4;11;8;3;4;2;3;21;4;6;10;3;9;0;2;5;15
;;5;van Vugt, R.M.F.;34;3;1;0;1;2;0;0;2;0;0;0;0;2;0;3;0;0;2;0;0;0;1;2;1;3;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;1;5;0;0;1;0;0
;;6;van Dijk-Pieters, C.E.;134;1;5;7;3;14;0;0;1;0;2;1;6;1;3;2;2;1;1;1;4;35;1;1;3;2;3;0;0;1;0;0;0;2;1;2;1;1;7;1;0;1;2;3;5;2;1;0;4
;;7;van Lankvelt, B.M.;26;0;1;1;0;2;0;0;0;0;2;0;1;1;0;0;0;1;0;0;0;0;0;0;2;7;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;2;2
;;8;Maessen, V.P.J.M.;21;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;6;0;0;0;2;1;2;0;2;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
;;9;Hameleers, R.B.;37;0;2;1;2;0;2;0;0;0;0;0;0;7;0;1;0;3;0;1;0;3;2;1;0;0;0;0;0;0;0;0;0;4;0;0;0;1;0;0;0;1;4;0;0;0;0;2;0
;;10;Bruinsma, C.E.;15;0;0;0;0;1;2;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;2;0;0;1;0;1;0;0;0;0;0;0;0;1;1;0;2;0;0;1;0;0;0
;;11;Achten, C.W.A.;31;0;0;1;1;5;1;2;0;0;0;0;1;0;0;0;1;7;0;0;1;0;2;0;0;0;1;0;0;0;0;0;0;1;0;1;0;2;0;0;0;1;0;0;0;1;0;2;0
;;12;Berben, I.F.R.G.;25;1;0;1;3;5;0;0;0;0;0;0;0;1;0;0;0;0;2;0;1;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;2;0
;;13;Wielema, M.M.W.;15;0;0;0;1;1;0;0;0;0;0;0;1;3;0;1;0;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;1;0;0;0;0
;;14;Lickfeld, B.E.V.;17;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;1;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0
;;15;Stevens, G.C.J.J.;8;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0
;;16;Dekker, W.N.H.M.;22;0;1;0;0;3;1;1;0;0;0;0;0;3;0;0;0;1;0;0;0;2;0;0;1;3;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;2;1;0;0;0;0;0
7;SP (Socialistische Partij);;;798;13;16;38;18;31;21;10;25;8;24;19;19;28;21;35;9;32;5;22;10;17;11;24;26;14;11;15;17;9;3;15;12;20;34;27;12;12;13;12;7;15;15;3;20;2;16;7;5
;;1;Wolters Gregório, J.;397;5;10;18;10;18;9;5;12;5;14;10;10;18;11;11;6;15;3;2;6;6;9;10;14;7;2;7;9;6;1;12;6;14;17;13;6;7;5;9;3;7;7;2;5;1;9;2;3
;;2;Hölsgens, L.H.J.M.;66;3;1;1;0;1;4;0;1;0;0;0;0;3;6;5;0;2;2;2;0;0;2;0;1;1;7;2;1;0;0;0;2;0;2;3;2;1;3;0;1;0;2;0;2;0;2;0;1
;;3;Seyed, S.A.;40;0;0;4;1;0;1;3;2;0;1;2;0;0;2;2;1;0;0;1;0;2;0;0;3;0;0;1;1;0;0;1;1;1;3;1;1;0;0;0;0;0;1;0;4;0;0;0;0
;;4;Lauvenberg-Evers, B.E.P.;201;4;4;8;6;9;4;1;5;1;7;3;7;7;2;8;2;10;0;9;2;9;0;10;7;4;1;3;3;2;2;1;1;5;10;6;2;4;4;2;3;6;3;1;6;1;5;0;1
;;5;Derckx, J.H.J.;32;1;0;1;0;1;3;0;0;1;1;2;0;0;0;3;0;2;0;6;0;0;0;2;1;0;1;0;1;1;0;0;1;0;0;1;0;0;0;1;0;0;0;0;2;0;0;0;0
;;6;van Landeghem, H.P.V.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;7;Janssens, F.M.C.;12;0;1;1;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0
;;8;Brabander, L.T.G.;17;0;0;2;0;0;0;0;4;0;0;1;1;0;0;1;0;1;0;1;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0
;;9;Huberts, H.F.;6;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;10;Nizet, G.M.J.M.;25;0;0;3;1;2;0;1;0;1;0;0;1;0;0;1;0;2;0;1;0;0;0;2;0;1;0;2;0;0;0;1;0;0;0;3;0;0;1;0;0;1;1;0;0;0;0;0;0
8;Stadspartij Roermond;;;1545;54;36;61;85;91;34;10;37;8;33;12;28;70;20;38;18;50;4;17;32;36;18;51;97;71;17;5;7;14;5;12;13;72;24;32;11;12;14;51;13;39;55;15;27;8;16;31;41
;;1;Coenen, L.W.M.;607;16;11;17;30;45;7;2;7;5;11;5;7;27;8;11;6;10;3;6;15;9;6;20;59;39;4;1;0;3;2;2;7;37;6;8;4;0;7;43;4;15;14;2;8;0;2;22;34
;;2;Coumans, M.P.H.H.;445;23;16;24;19;20;16;4;13;1;13;3;9;19;5;17;9;25;0;4;9;16;7;14;19;12;5;0;0;0;1;6;2;11;14;11;4;1;2;3;4;14;23;6;7;0;5;6;3
;;3;Julicher, G.M.;79;1;0;2;0;1;0;0;2;0;2;0;1;2;0;0;0;1;0;2;1;3;0;2;3;2;0;3;4;11;1;1;3;2;1;2;0;7;0;1;0;1;0;1;0;8;8;0;0
;;4;Beeren-Adriaans, P.T.G.J.;35;0;0;2;0;6;0;0;0;0;2;0;0;0;1;1;0;2;0;1;1;0;2;6;0;0;2;0;0;0;0;1;0;1;0;0;0;1;0;1;0;0;1;2;1;0;0;0;1
;;5;Ververs, N.J.F;228;7;7;13;18;12;6;1;11;2;5;3;6;11;5;3;2;8;1;3;3;7;2;5;7;11;3;0;2;0;0;0;0;14;2;9;0;2;3;1;4;5;11;2;8;0;0;3;0
;;6;Geurts, R.A.M.;16;0;0;0;4;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3;0;0;0;1;0;0
;;7;Zaeijen, M.J.H.;21;1;0;1;4;1;0;0;1;0;0;0;0;1;0;1;0;1;0;0;2;0;0;0;2;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;1;0;0;0;1
;;8;Silkens, A.L.H.H.;29;0;0;0;5;0;4;0;0;0;0;0;1;7;1;2;0;0;0;0;0;0;0;1;2;1;0;0;0;0;0;0;0;1;1;0;0;0;0;2;0;0;0;0;1;0;0;0;0
;;9;Beeren, H.C.C.G.;4;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;10;Massy, A.H;12;1;0;1;2;1;0;0;0;0;0;1;0;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0
;;11;Coenen, L.;8;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
;;12;Nelissen, S.;10;5;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
;;13;van Appeven, D.A.H.P.;13;0;1;0;0;0;1;2;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;1;0;0;0;0;1
;;14;van den Biggelaar, J.W.;11;0;1;0;0;0;0;0;2;0;0;0;3;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;15;Peters, L.M.A.;17;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;3;1;0;0;0;0;0;0;4;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1
;;16;Pilz-van Elven, M.H.;10;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;1;2;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
9;Blanco (Arslan, M.);;;511;11;5;1;1;6;21;68;75;55;7;45;8;8;4;26;12;9;0;14;3;1;0;7;0;4;39;3;1;0;1;0;1;1;25;0;2;0;1;1;1;1;4;22;14;0;0;1;2
;;1;Arslan, M.;511;11;5;1;1;6;21;68;75;55;7;45;8;8;4;26;12;9;0;14;3;1;0;7;0;4;39;3;1;0;1;0;1;1;25;0;2;0;1;1;1;1;4;22;14;0;0;1;2
