Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stadhuis Venlo;Kunstencentrum;Gemeentearchief Venlo;Lokaal Veestraat;Basisschool de Meule;Stichting de Witte Kerk;Gilde Opleidingen;De Bantuin;wijkgebouw d'n Dörpel;Sporthal Rijnbeek;School aan de Vijver;Gemeenschapshuis Maagdenberg;Huis van de Wijk op den Berg;Scheidsrechtersvereniging Venlo eo;Café Feestzaal Ut Tref;Huis van de Wijk Venlo-Zuid;Basisschool de Zuidstroom;Sporthal Gilde Opleidingen;'t Raodhoes;Wijkgebouw de Vijfsprong;Zorggroep Ruysdonck;Basisschool Mikado;Kentalis;Stichting Het Muspelheim;Wijkgebouw Het Zonneveld;Zaal de Egelantier;MFC Op Expeditie;Stichting de Ark;Zalzershaof;Cafe Feestzaal de Boostenhof;Wijkgebouw Tevhit Moskee;Stadskantoor;Woonzorgcomplex De Bongerd;Sportzaal Hoogstraat;Basisschool PassePartout;Café Schillings;Bijbelgemeente;Stichting Marokkaanse Moskee Elfath;Cultureel Centrum De Haandert;Ontmoetingscentrum De Glazenap;de Toermalijn p.a. de Glazenap;'t Zaelke;'t Prônk-Eppelke Belfeld;Basisschool  KOM Mijn;Gemeenschapscentrum De Hamar;MFA De Schans Arcen;Pastoorshof Lomm;Woonzorgcomplex Rozenhof;BMV de Vilgaard;Bijzonder Stembureau Station;Mobiel Bijzonder stembureau 1;Mobiel Bijzonder stembureau 2;Stadskantoor (maandag);Zaal de Egelantier;Zalzershaof;Cultureel Centrum De Haandert;Gemeenschapscentrum De Hamar;Pastoorshof Lomm;BMV de Vilgaard;MFA De Schans Arcen;'t Raodhoes;wijkgebouw d'n Dörpel;Stadskantoor;Zaal de Egelantier;Zalzershaof;Cultureel Centrum De Haandert;Gemeenschapscentrum De Hamar;Pastoorshof Lomm;BMV de Vilgaard;MFA De Schans Arcen;'t Raodhoes;wijkgebouw d'n Dörpel
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;16;17;18;19;20;21;22;23;24;25;26;27;29;31;32;33;34;35;101;102;103;104;105;106;107;108;109;110;201;202;203;301;302;303;304;305;310;311;400;401;402;403;404;405;406;407;408;409;500;501;502;503;504;505;506;507;508;509
Postcode;;;;;5911 HD;5911 AS;5914 PV;5914 RN;5914 XS;5914 PE;5913 ES;5916 SW;5913 CZ;5913 GB;5913 TV;5915 CP;5915 ES;5915 CM;5912 BW;5912 XN;5912 BT;5913 SB;5921 GV;5922 VV;5921 VJ;5922 BL;5921 AZ;5922 AT;5923 CZ;5925 AV;5924 AC;5923 AJ;5926 PL;5927 NP;5912 PN;5912 AT;5931 NB;5931 GC;5931 KS;5931 BW;5935 AX;5931 PC;5932 CN;5932 VK;5932 VK;5931 HM;5951 CW;5951 BR;5951 DV;5944 BN;5943 AE;5941 EX;5941 CP;5913 AA;;;5912 AT;5925 AV;5926 PL;5932 CN;5951 DV;5943 AE;5941 CP;5944 BN;5921 GV;5913 CZ;5912 AT;5925 AV;5926 PL;5932 CN;5951 DV;5943 AE;5941 CP;5944 BN;5921 GV;5913 CZ
;;11;Stroeken, G.J.M.;86;0;4;1;2;0;0;0;8;7;6;16;1;1;6;0;3;1;2;1;0;2;0;0;0;0;1;1;0;2;0;3;0;0;0;0;1;1;0;0;0;0;0;0;0;0;3;0;1;3;0;0;0;0;0;1;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;4
;;12;Munten, C.W.;30;1;0;1;1;0;0;1;2;0;2;2;0;2;0;3;1;3;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0
;;13;van Heukelom, M.M.E.J.;54;0;0;6;0;0;3;1;7;1;3;0;5;1;2;2;0;0;2;0;0;0;0;0;0;0;1;2;0;6;0;4;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2
;;14;Leenen, T.J.P.;96;1;2;1;2;0;0;6;1;1;2;1;2;0;1;1;0;1;0;0;2;0;1;0;0;4;0;0;0;0;2;0;0;7;6;6;4;8;10;3;3;2;1;0;0;0;1;0;0;0;1;0;0;0;0;0;9;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0
;;15;Wijnands, R.M.J.;11;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;Ewalds, A.J.G.;36;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;0;0;0;2;0;0;0;0;1;0;11;6;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0
;;17;Clabbers, S.F.J.;67;0;1;0;0;0;0;0;1;0;0;4;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;3;10;7;10;6;4;4;2;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0
;;18;Caris, N.P.W.;79;2;0;4;0;0;0;3;4;0;4;0;0;2;4;2;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;2;0;1;0;0;0;1;3;0;0;2;0;1;1;16;15;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;5;0;2;0
;;19;Joosten, P.F.A;46;4;1;2;0;0;2;1;2;4;1;2;2;0;2;0;0;1;1;0;1;1;1;0;0;3;2;1;1;0;1;1;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;1
;;20;Fokkens, G.P.L.;21;0;0;0;0;2;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;6;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
;;21;Decker, G.A.H.M.;51;3;1;3;0;0;0;0;7;1;5;0;0;0;2;0;0;0;0;5;2;1;0;0;0;0;0;1;3;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;1;0;1;0;0;0;7;0
;;22;Houben, J.H.T.;19;0;0;0;0;0;1;0;2;3;3;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;23;Aerts, J.W.J.;50;0;3;0;0;1;0;0;18;5;2;0;0;0;3;2;0;2;1;0;1;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;1;0;0;0;0;0;0;1
;;24;van Vught, H.;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;1;2;2;0;0;0;1;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;de Kievit, H.W.J.M;22;1;2;0;0;0;0;1;1;5;0;1;0;2;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
;;26;Versleijen, R.J.M.;97;4;3;15;0;4;1;2;5;5;2;1;1;0;6;2;1;1;2;2;2;1;0;0;1;0;1;0;2;5;0;0;1;0;1;1;1;3;0;3;0;3;0;0;0;0;2;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;0;5
4;Partij van de Arbeid (P.v.d.A.);;;4770;199;113;111;70;112;69;96;119;152;80;171;133;81;63;113;122;87;76;135;83;60;62;39;75;64;101;129;48;87;45;106;94;23;68;56;79;108;51;63;55;56;44;13;26;33;91;8;37;63;18;2;3;67;12;23;28;5;4;13;41;38;87;98;36;28;55;13;4;20;62;58;86
;;1;Boom, E.;2211;117;56;52;32;49;26;59;67;78;50;96;72;28;30;58;49;40;32;82;30;26;17;10;29;31;45;46;30;47;18;58;42;8;34;31;37;34;22;19;20;18;16;2;9;17;16;4;14;31;10;1;1;36;6;8;12;2;3;7;6;19;50;49;8;13;26;6;2;9;10;35;58
;;2;Özalp, A.;656;28;22;21;14;23;11;13;13;20;15;22;17;15;10;16;25;5;16;8;7;8;8;3;4;7;7;28;3;11;2;12;15;3;11;7;21;14;6;14;9;9;11;4;4;8;5;1;5;11;3;0;0;11;0;5;5;1;0;1;4;0;12;10;3;5;12;1;1;2;4;1;3
;;3;Janssen, H.A.M.H.;376;7;2;4;3;1;3;3;2;3;1;12;2;2;0;1;2;4;2;27;24;14;17;5;15;10;29;13;5;14;19;0;7;1;2;1;5;27;4;2;3;4;1;0;0;1;0;0;2;1;0;0;1;2;3;6;1;0;0;0;0;7;1;8;12;6;3;1;0;1;1;9;7
;;4;Vercoulen, H.M.H.;88;2;2;0;2;11;1;0;3;10;2;5;0;0;1;1;0;2;2;3;1;2;1;3;2;2;0;1;0;3;1;2;0;1;0;1;0;0;0;0;0;3;2;0;2;0;0;0;1;2;0;0;0;2;0;0;0;0;0;0;0;2;2;4;0;0;0;0;0;0;0;0;1
;;5;Spijksma, J.C.G.;103;6;6;6;1;2;2;6;3;3;2;7;4;3;2;2;0;6;1;0;1;0;0;0;0;2;2;5;0;0;0;1;12;0;0;2;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;7;2;0;0;0;0;0;0;0;0;2
;;6;Addarrazi, M.;339;8;6;1;6;2;16;0;1;1;0;7;9;10;7;9;34;7;3;5;4;1;10;11;18;5;0;16;0;0;1;15;5;5;1;4;4;11;13;10;6;11;3;5;3;0;0;0;0;4;3;0;0;9;0;0;1;0;0;1;0;5;3;7;7;0;2;0;0;0;0;3;0
;;7;Pingen, D.P.;172;6;4;2;3;2;3;2;5;8;2;3;10;0;0;19;6;13;5;2;4;1;1;1;1;0;3;3;1;2;0;5;4;0;3;2;1;8;2;0;5;2;1;0;1;0;0;1;3;1;1;0;0;6;0;0;0;0;0;0;0;1;1;3;0;1;4;1;1;1;0;0;1
;;8;Clabbers, R.J.A.;105;4;3;5;3;3;1;0;1;3;3;6;2;0;3;2;0;1;0;4;1;0;3;2;1;0;3;1;0;1;1;4;3;0;4;0;1;4;1;3;3;0;3;0;2;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;1;2;5;1;2;1;1;0;2;1;1;0
;;9;Haanen, I.H.M.;65;4;1;3;0;1;0;1;0;2;0;2;1;0;1;1;0;0;0;1;3;1;0;0;0;1;0;4;3;0;0;2;0;2;5;3;0;1;0;6;6;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3
;;10;Ammari, L.;95;9;2;5;0;1;0;0;8;6;0;5;4;0;1;1;0;5;4;0;0;2;2;1;1;1;2;0;0;3;0;1;1;1;0;1;0;1;2;1;0;2;2;0;0;1;1;0;2;4;1;1;0;0;0;0;0;0;0;0;0;0;1;2;0;0;2;0;0;1;1;1;2
;;11;van Marcke, F.A.F.M.;184;0;3;3;2;7;0;1;1;0;0;0;0;0;1;0;1;0;1;2;0;1;0;0;0;0;1;2;0;0;0;0;0;0;0;0;2;0;0;0;1;0;1;0;0;0;69;1;3;2;0;0;0;0;0;0;0;0;0;1;30;0;1;2;0;0;0;0;0;1;43;0;1
;;12;Geeraets, K.;17;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;3;0;3;0;0;2;4;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;13;Leunissen, J.R.;76;0;0;4;0;2;1;5;0;5;0;1;5;21;2;0;1;0;5;0;0;0;0;0;0;1;4;0;1;2;2;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;2;0;0;0;0;0;0;0;4
;;14;Testroote, A.P.J.;16;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;5;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;0;0;0;0;0
;;15;Kempen, J.P.A.;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;Kavermann, B.;22;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;5;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
;;17;Testroote, M.C.T.;4;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;Hovens, A.J.L.;18;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;1;0;2;0;1;0;0;1;0;0;1;0;0;0;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;19;Teeuwen, A.J.L.T.;15;0;0;1;1;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;1;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;20;Theeuwen - Verkoeijen, R.A.N.H.;38;2;3;0;0;1;0;0;0;4;3;2;1;1;2;0;0;1;1;1;4;1;1;0;0;0;1;1;1;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
;;21;de Haan, C.W.;9;0;0;0;1;0;0;0;3;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Liebregts, J.H.J.M.;11;1;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
;;23;Strelitski, D.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;24;Tax, V.E.R.;143;3;3;3;1;5;5;5;11;7;0;3;4;1;3;2;1;0;1;0;4;0;2;0;2;1;2;5;2;3;0;2;3;1;3;1;2;4;0;0;0;3;2;0;0;3;0;1;7;2;0;0;0;0;0;0;2;0;0;3;1;3;1;4;1;1;2;0;0;2;1;7;2
5;PVV (Partij voor de Vrijheid);;;2401;55;30;53;47;45;68;24;70;43;26;28;62;18;42;46;66;46;37;61;44;42;38;38;37;48;62;94;38;43;24;18;22;44;47;40;70;55;34;38;56;38;59;26;19;30;37;9;27;41;5;0;3;12;16;13;10;9;1;10;11;24;28;27;18;16;19;12;4;12;20;23;23
;;1;Fijnje, D.A.;1225;18;12;31;21;26;26;14;26;21;15;17;28;7;20;20;31;22;17;34;21;18;12;23;16;31;22;32;16;21;20;7;8;24;28;28;44;34;20;26;30;21;40;24;17;14;13;3;10;22;2;0;2;7;9;8;7;6;1;5;6;11;16;15;7;11;9;9;4;6;8;10;15
;;2;Donders, D.W.;354;10;2;10;8;4;13;2;18;4;5;6;9;7;8;6;12;7;7;9;9;8;14;3;17;8;13;20;10;6;4;4;2;0;4;1;7;4;2;1;3;1;1;0;0;2;2;1;5;5;1;0;0;4;2;1;0;2;0;2;1;3;6;2;7;3;4;2;0;2;2;5;1
;;3;Valize, J.J.T.M.;188;4;3;3;12;3;10;1;3;7;1;0;14;0;2;8;8;7;0;6;4;7;2;0;1;2;6;17;2;2;0;4;7;2;1;0;1;0;0;3;2;1;3;0;0;0;1;0;6;1;0;0;1;0;1;0;0;1;0;1;0;4;1;7;1;0;0;1;0;1;0;1;1
;;4;Hoks, F.J.R.;30;1;0;1;0;0;0;0;4;0;1;1;0;0;0;1;1;0;1;1;2;1;2;2;0;0;0;0;0;0;0;0;1;1;0;0;2;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0
;;5;Westheim, H.J.C.;156;3;0;2;0;2;5;0;0;0;0;0;0;1;2;0;0;1;2;0;0;1;0;1;1;1;0;3;1;0;0;0;1;13;8;11;13;11;12;7;13;10;13;1;2;4;0;3;0;0;0;0;0;0;0;0;2;0;0;1;0;1;0;0;0;0;2;0;0;0;0;2;0
;;6;van Strien, G.A.;55;3;0;1;2;0;0;1;0;1;0;0;1;1;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;18;0;0;5;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;2;0;0;1;8;0;0
;;7;Helder, L.M.J.S.;393;16;13;5;4;10;14;6;19;10;4;4;10;2;10;11;13;9;9;11;8;7;8;9;2;6;20;22;9;13;0;3;3;4;6;0;2;5;0;1;4;5;2;1;0;10;3;2;6;8;2;0;0;1;3;4;1;0;0;1;0;5;5;3;3;2;2;0;0;2;2;2;6
6;GROENLINKS;;;3872;165;130;148;67;81;64;72;101;116;95;129;119;37;111;67;65;75;65;71;55;38;36;42;43;46;51;78;41;60;34;78;63;22;49;63;35;99;34;45;34;27;55;17;12;19;158;14;36;90;23;2;2;44;22;10;22;3;0;10;37;40;47;57;20;20;42;3;4;24;52;62;74
;;1;Janssen, W.R.L.;864;29;16;27;18;12;13;16;20;16;10;15;25;10;18;8;10;8;10;11;10;10;3;3;6;11;8;17;12;16;11;18;9;9;9;6;9;20;10;15;10;9;6;2;3;6;120;6;12;30;2;0;0;8;2;0;2;1;0;6;25;7;8;9;2;8;9;0;0;8;37;12;10
;;2;Pollux-Linssen, M.P.A.G.;1352;71;53;58;25;35;15;41;35;57;43;84;47;11;48;18;16;37;37;33;23;13;7;8;10;12;11;20;16;23;9;24;21;4;18;22;12;32;6;7;10;4;11;8;5;4;13;6;9;26;10;1;1;13;8;7;6;2;0;3;5;4;17;25;7;9;10;1;1;6;4;22;32
;;3;Buskes, W.P.M.;256;13;10;9;7;4;5;4;19;8;21;4;6;1;13;1;7;4;4;5;5;1;2;3;0;4;2;1;0;2;0;2;6;0;1;4;1;7;2;4;0;1;2;1;0;0;3;0;2;10;1;0;0;2;0;1;1;0;0;1;0;1;6;3;1;0;4;1;0;2;0;8;13
;;4;Çakmak, A.H.;281;1;5;4;1;6;15;0;0;3;1;2;7;6;2;1;7;5;0;7;3;5;20;16;15;3;9;16;3;3;7;5;3;2;3;4;1;1;0;3;1;1;18;3;0;1;0;1;0;2;2;0;0;1;6;0;6;0;0;0;2;19;5;2;8;0;3;0;0;1;1;2;1
;;5;Frings, L.C.M.;48;0;2;1;1;1;0;0;4;0;0;0;2;0;1;0;0;0;0;0;1;0;0;0;0;2;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;16;0;2;2;0;1;0;0;0;0;0;0;0;0;3;0;0;1;0;0;0;0;0;0;5;0;0
;;6;Joosten, J.L.C;413;23;25;18;7;4;5;4;9;7;6;7;14;3;10;20;16;7;7;6;2;3;1;2;7;5;7;11;3;5;2;22;12;0;9;6;3;16;3;4;4;3;5;2;1;3;2;1;7;6;5;0;0;11;2;0;2;0;0;0;0;4;2;5;0;2;5;0;0;2;5;7;6
;;7;Neumann, M.J.;19;1;0;1;0;0;0;0;1;0;0;0;1;0;2;0;0;0;0;0;1;0;0;0;1;0;1;0;0;2;0;0;0;1;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;8;van der Leeuw, W.A.M.;116;7;0;1;2;2;3;0;0;5;2;3;1;1;5;4;3;2;0;5;1;2;0;1;3;1;5;5;3;2;0;1;2;0;0;0;3;0;0;1;2;0;1;0;1;1;2;0;0;3;0;0;0;0;2;1;0;0;0;0;1;3;3;4;1;0;2;0;0;1;0;7;5
;;9;van Eijck, H.J.M.;36;3;1;1;2;0;1;1;3;1;3;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;1;3;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;2;1
;;10;Ewals, G.M.H.T.;112;5;4;2;1;1;0;2;1;2;1;0;2;1;1;3;0;2;1;2;0;0;0;0;0;1;0;2;0;0;0;0;2;4;4;9;1;16;7;4;4;4;4;0;1;2;0;0;0;1;1;0;1;0;0;0;2;0;0;0;1;0;3;1;0;0;5;1;0;0;0;0;0
;;11;Janssen, A.A.J.M.;125;4;6;6;0;5;3;0;9;9;4;5;5;2;5;5;0;4;5;0;2;0;0;1;0;0;5;2;2;2;2;1;2;0;1;4;1;3;3;2;1;0;0;0;0;0;0;0;2;3;1;0;0;4;0;0;0;0;0;0;0;1;1;1;0;0;0;0;1;0;0;0;0
;;12;Geelen, H.W.M.;17;0;0;4;0;0;0;1;0;1;0;1;3;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
;;13;Schepens, D.M.A.;6;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Elt-Holla, H.F.P.;50;2;2;3;1;1;0;0;0;0;0;4;1;0;5;0;0;0;0;1;1;2;1;0;0;3;0;0;1;1;0;0;0;1;0;4;4;1;3;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0
;;15;van Remortel, A.B.P.M.;20;1;4;3;1;0;2;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
;;16;van Tulder, M.A.T.M.;16;1;0;0;0;4;0;0;0;1;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;1
;;17;Spitz, R.A.F.;7;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;Böhlke, A.M.;26;2;0;3;0;1;1;1;0;0;0;1;0;0;0;1;1;2;0;0;0;1;0;5;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0
;;19;Lafleur, H.L.M.T.;5;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;20;Bettinger, B.J.M.;14;0;1;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;5;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0
;;21;Peters, N.;15;0;1;0;0;0;0;0;0;3;1;1;0;2;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;22;Janzing, H.M.J.;14;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;1;0;0;1;0;2;0;0;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;Faassen, R.M.W.;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0
;;24;Freij, P.C.M.;18;0;0;2;1;2;0;0;0;2;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;25;Hendrickx, C.W.M.;34;2;0;3;0;1;0;1;0;0;2;1;3;0;0;0;0;0;0;0;1;0;0;1;1;2;0;4;0;0;0;0;1;0;1;0;0;0;0;0;1;0;1;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2
7;50PLUS;;;679;7;8;9;14;13;13;14;6;10;5;15;15;2;11;8;15;15;8;14;13;5;12;11;10;17;10;31;19;10;5;9;11;20;15;15;28;18;11;7;12;16;6;3;2;3;9;3;10;16;1;1;3;3;5;2;8;3;1;2;3;7;6;17;7;0;15;0;1;8;8;5;14
