Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stadhuis Venlo;Kunstencentrum;Gemeentearchief Venlo;Lokaal Veestraat;Basisschool de Meule;Stichting de Witte Kerk;Gilde Opleidingen;De Bantuin;wijkgebouw d'n Dörpel;Sporthal Rijnbeek;School aan de Vijver;Gemeenschapshuis Maagdenberg;Huis van de Wijk op den Berg;Scheidsrechtersvereniging Venlo eo;Café Feestzaal Ut Tref;Huis van de Wijk Venlo-Zuid;Basisschool de Zuidstroom;Sporthal Gilde Opleidingen;'t Raodhoes;Wijkgebouw de Vijfsprong;Zorggroep Ruysdonck;Basisschool Mikado;Kentalis;Stichting Het Muspelheim;Wijkgebouw Het Zonneveld;Zaal de Egelantier;MFC Op Expeditie;Stichting de Ark;Zalzershaof;Cafe Feestzaal de Boostenhof;Wijkgebouw Tevhit Moskee;Stadskantoor;Woonzorgcomplex De Bongerd;Sportzaal Hoogstraat;Basisschool PassePartout;Café Schillings;Bijbelgemeente;Stichting Marokkaanse Moskee Elfath;Cultureel Centrum De Haandert;Ontmoetingscentrum De Glazenap;de Toermalijn p.a. de Glazenap;'t Zaelke;'t Prônk-Eppelke Belfeld;Basisschool  KOM Mijn;Gemeenschapscentrum De Hamar;MFA De Schans Arcen;Pastoorshof Lomm;Woonzorgcomplex Rozenhof;BMV de Vilgaard;Bijzonder Stembureau Station;Mobiel Bijzonder stembureau 1;Mobiel Bijzonder stembureau 2;Stadskantoor (maandag);Zaal de Egelantier;Zalzershaof;Cultureel Centrum De Haandert;Gemeenschapscentrum De Hamar;Pastoorshof Lomm;BMV de Vilgaard;MFA De Schans Arcen;'t Raodhoes;wijkgebouw d'n Dörpel;Stadskantoor;Zaal de Egelantier;Zalzershaof;Cultureel Centrum De Haandert;Gemeenschapscentrum De Hamar;Pastoorshof Lomm;BMV de Vilgaard;MFA De Schans Arcen;'t Raodhoes;wijkgebouw d'n Dörpel
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;16;17;18;19;20;21;22;23;24;25;26;27;29;31;32;33;34;35;101;102;103;104;105;106;107;108;109;110;201;202;203;301;302;303;304;305;310;311;400;401;402;403;404;405;406;407;408;409;500;501;502;503;504;505;506;507;508;509
Postcode;;;;;5911 HD;5911 AS;5914 PV;5914 RN;5914 XS;5914 PE;5913 ES;5916 SW;5913 CZ;5913 GB;5913 TV;5915 CP;5915 ES;5915 CM;5912 BW;5912 XN;5912 BT;5913 SB;5921 GV;5922 VV;5921 VJ;5922 BL;5921 AZ;5922 AT;5923 CZ;5925 AV;5924 AC;5923 AJ;5926 PL;5927 NP;5912 PN;5912 AT;5931 NB;5931 GC;5931 KS;5931 BW;5935 AX;5931 PC;5932 CN;5932 VK;5932 VK;5931 HM;5951 CW;5951 BR;5951 DV;5944 BN;5943 AE;5941 EX;5941 CP;5913 AA;;;5912 AT;5925 AV;5926 PL;5932 CN;5951 DV;5943 AE;5941 CP;5944 BN;5921 GV;5913 CZ;5912 AT;5925 AV;5926 PL;5932 CN;5951 DV;5943 AE;5941 CP;5944 BN;5921 GV;5913 CZ
;;2;van den Beucken, L.M.C.;1272;5;2;5;4;5;2;3;3;5;3;1;3;3;8;4;5;2;8;4;2;4;0;0;4;5;4;7;4;3;15;3;4;8;12;14;16;22;6;25;15;16;7;139;264;270;0;1;4;5;2;2;1;4;0;1;7;103;0;0;2;4;1;7;6;2;15;152;0;1;2;3;3
;;3;Yildiz, D.;267;1;7;3;0;3;8;1;0;0;1;2;2;1;4;3;24;8;0;5;9;0;16;7;6;4;5;35;3;1;0;22;1;2;0;4;4;3;2;5;7;1;0;0;1;2;2;5;0;1;0;0;0;3;0;0;4;0;0;0;0;6;0;1;5;0;6;0;2;2;2;13;2
;;4;Pieko, A.F.E.;110;3;2;2;0;3;0;1;5;3;2;0;0;1;2;0;2;0;2;0;0;0;1;0;1;1;0;2;0;0;1;3;1;3;4;4;4;9;1;8;2;4;0;3;4;7;1;0;3;0;0;0;0;2;0;0;0;0;0;0;0;0;0;4;0;0;3;3;0;1;0;1;1
;;5;Özkaya, T.;346;8;9;4;10;4;14;5;4;5;2;7;11;3;3;7;20;9;4;5;2;6;8;5;7;1;10;24;4;1;6;29;8;3;2;2;2;6;4;0;3;0;2;0;5;5;1;0;0;1;0;0;0;9;1;1;4;0;0;0;0;9;2;10;5;1;3;0;0;1;0;17;2
;;6;Beurskens, B.J.P.W.N.;242;2;0;3;3;0;1;2;0;5;1;3;1;0;1;1;5;1;2;18;12;8;5;8;7;9;17;20;7;8;14;2;0;0;1;0;2;0;5;1;0;2;1;0;1;0;0;0;3;2;0;0;0;0;9;9;0;1;0;0;0;7;0;1;6;5;0;0;0;3;0;16;1
;;7;Janssen, L.M.J.;463;14;14;19;13;23;11;10;16;8;11;18;21;4;17;10;5;10;13;5;7;3;3;0;2;9;5;17;6;12;9;7;4;1;14;4;7;14;4;6;3;4;6;3;2;4;3;0;10;4;1;0;1;2;0;2;1;1;1;0;0;3;7;0;1;3;5;1;0;0;1;7;11
;;8;Smeets, J.J.R.E.;241;3;1;1;1;0;0;1;1;3;0;5;0;0;0;1;1;4;0;26;14;12;5;6;4;13;12;25;19;16;5;1;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3;1;14;0;0;0;0;0;6;0;0;5;11;0;0;0;0;0;15;2
;;9;Ramaekers-Ubben, A.J.J.;88;0;0;4;0;0;0;4;3;2;1;1;1;2;0;2;3;1;0;1;3;0;1;0;1;0;0;3;1;0;1;3;3;1;1;1;5;3;3;3;2;2;2;1;1;0;1;0;0;3;0;0;0;3;0;1;1;1;1;0;0;0;0;1;0;1;4;2;0;0;0;1;2
;;10;Cangir, E.;134;4;2;0;2;2;3;4;0;0;0;3;0;2;0;0;2;3;1;4;15;1;4;1;18;8;5;16;3;0;0;0;0;0;0;1;0;0;0;0;5;0;3;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;9;2;1;2;0;0;0;0;0;0;4;1
;;11;Schuman, M.W.J.;101;0;1;1;2;7;4;2;3;0;3;0;4;0;0;0;0;1;1;4;5;2;2;3;5;4;4;6;1;5;1;0;0;0;4;0;1;1;0;0;1;0;0;0;1;3;0;0;0;1;3;0;0;0;3;0;0;0;0;3;0;3;1;1;1;0;1;0;0;0;0;1;1
