Verkiezing;;Gemeenteraad Gulpen-Wittem 2022;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Gulpen-Wittem;;;;;;;;;;;;;;;;;
Nummer;;1729;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeenschapshuis 't Gulper Hoes;Gemeenschapshuis Reijmerstok;Gemeenschapshuis Wielderhoes;Gemeenschapshuis A gen Sjoeel;Gemeenschapshuis 't Patronaat;Voormalig Sophiarum;Gemeenschapshuis A ge Wienhoes;Gymzaal basisschool Klavertje Vier;Gemeenschapshuis Wilder Tref;Fanfarezaal Berg en Dl;Gemeentehuis Gulpen-Wittem;Gemeenschapshuis 't Gulper Hoes (maandag);Gemeenschapshuis 't Patronaat (maandag);Gemeenschapshuis 't Gulper Hoes (dinsdag);Gemeenschapshuis 't Patronaat (dinsdag)
;;11;Coenjaerds e/v Vanhautem, E.J.M.;36;1;0;0;31;0;0;3;0;0;0;0;0;0;1;0
;;12;Sluijsmans, H.P.M.;7;2;2;0;0;0;0;0;0;0;0;3;0;0;0;0
;;13;Savelberg, B.F.J.;44;1;7;0;31;1;1;1;0;0;0;0;2;0;0;0
;;14;Meijs, J.J.M.;18;2;0;4;0;0;1;0;10;0;0;1;0;0;0;0
;;15;Frijns, R.E.M.N.;4;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0
;;16;Cools, E.V.;21;3;0;1;3;0;1;1;0;0;3;0;7;0;2;0
5;Van der Laan/DOE'22;;;645;108;14;78;64;26;16;23;95;19;34;44;61;8;46;9
;;1;van der Laan, I .;301;27;7;34;47;10;10;16;59;13;22;18;15;0;15;8
;;2;van Zon, A.H.;26;9;1;0;0;1;0;2;1;0;0;1;8;0;3;0
;;3;Merk, P.M.G.G.;72;22;3;2;6;2;3;2;0;3;5;2;11;0;10;1
;;4;Obrusnik, N.H.J.;46;11;0;13;4;2;0;0;0;0;0;5;5;0;6;0
;;5;Faro, L.M.C.;7;1;0;0;4;0;2;0;0;0;0;0;0;0;0;0
;;6;Arninkhof, R.J.G.;20;10;0;2;2;0;1;0;0;0;0;0;3;0;2;0
;;7;Seeverens-Steen, A.E.M.;38;12;0;1;0;0;0;0;0;3;3;11;8;0;0;0
;;8;Bessems, E.M.J.;65;7;3;3;0;11;0;0;28;0;2;2;1;6;2;0
;;9;Rothuizen, J.S.;2;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
;;10;Voncken, T.C.M.A.;46;1;0;21;1;0;0;3;6;0;0;4;3;2;5;0
;;11;Seeverens, M.J.M.;22;8;0;1;0;0;0;0;1;0;2;1;6;0;3;0
