Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Stadskantoor Sittard;Stembureau Toon Hermans Theater;Stembureau Multifuntioneel Centrum Sanderbout;Stembureau Gemeenschapshuis de Landjwaer;Stembureau Fanfarezaal St. Jan;Stembureau Voormalig DaCapo College;Stembureau Tafeltennis Vereniging Sittard;Stembureau Gemeenschapshuis Broeksittard;Stembureau Zuyd Hogeschool;Stembureau Xonar;Stembureau Sportzaal De Kemper;Stembureau Zalencentrum De Oase;Stembureau Oos Zittesj Hoes;Stembureau DVO Sportpark Overhoven;Stembureau Gemeenschapshuis Oos Kaar;Stembureau Kleesjhal sportzaal;Stembureau Buurtcentrum Limbrichterveld;Stembureau Theehuis Hof van Onthaasting;Stembureau Gymzaal Limbricht;Stembureau Gemeenschapshuis Limbricht;Stembureau Gemeenschapshuis 't Tuurhoes;Stembureau Gymzaal B.S. de Leeuwerik;Stembureau Jeugdhuis Scouting Munstergeleen;Stembureau Gemeenschapshuis 't Trefpunt;Stembureau Stadswinkel Sittard-Geleen;Stembureau Multifunctioneel Centrum De Reunie;Stembureau Nieuw-Apostolische kerk;Stembureau Zalencentrum Hanenhof;Stembureau Speelgoedbank De Grabbelton;Stembureau Gemeenschapshuis 't Volkshoes;Stembureau RKFC Lindenheuvel-Heidebloem Comb.;Stembureau Pastoor van Arskerk;Stembureau 't Honk Glana;Stembureau Zalencentrum 't Plenkhoes;Stembureau Ollie's Here we Meet;Stembureau Drive-Through Tom Dumoulin Bike Parking;Stembureau Hubertushuis;Stembureau Sportzaal Brouwersstraat;Stembureau Zuyderland Medisch Centrum;Stembureau Gemeenschapshuis Buchten;Stembureau Gemeenschapshuis Holtum;Stembureau Voormalig Gemeentehuis Born;Stembureau Gemeenschapshuis Born;Stembureau Jong Nederland Buchten;Stembureau Harmoniezaal Obbicht;Stembureau Zalencentrum Oos Hoes;Stembureau Zaal Aurora Grevenbicht;Stembureau Fanfarezaal St. Jan;Stembureau Zuyd Hogeschool;Stembureau Zalencentrum De Oase;Stembureau Gemeenschapshuis 't Trefpunt;Stembureau Zalencentrum Hanenhof;Stembureau Zalencentrum 't Plenkhoes;Stembureau Hubertushuis;Stembureau Voormalig Gemeentehuis Born;Stembureau Drive-Through Tom Dumoulin Bike Parking;Stembureau Fanfarezaal St. Jan;Stembureau Zuyd Hogeschool;Stembureau Zalencentrum De Oase;Stembureau Gemeenschapshuis 't Trefpunt;Stembureau Zalencentrum Hanenhof;Stembureau Zalencentrum 't Plenkhoes;Stembureau Hubertushuis;Stembureau Voormalig Gemeentehuis Born;Stembureau Drive-Through Tom Dumoulin Bike Parking
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;141;142;143;144;145;146;147;148;149;151;152;153;154;155;156;157;158;159
Postcode;;;;;6131 LB;6131 AJ;6134 TZ;6133 AJ;6132 CD;6137 AC;6137 PE;6137 SR;6131 MT;6132 EL;6132 GN;6137 RX;6131 GS;6136 XX;6136 AS;6135 CV;6135 BN;6135 ;6141 BL;6141 AG;6143 BC;6142 AD;6151 BX;6151 CD;6161 GE;6161 SX;6162 GA;6162 EB;6163 XW;6163 BW;6163 CP;6164 GL;6164 GH;6164 BZ;6165 EN;6135 LD;6166 AX;6166 CM;6162 BG;6122 CK;6123 AL;6121 XK;6121 JE;6122 AL;6125 BE;6127 BG;6127 BL;6132 CD;6131 MT;6137 RX;6151 CD;6162 EB;6164 BZ;6166 AX;6121 XK;6135 LD;6132 CD;6131 MT;6137 RX;6151 CD;6162 EB;6164 BZ;6166 AX;6121 XK;6135 LD
;;12;Quinten, S.M.S.;43;2;1;0;1;0;1;0;1;0;0;0;0;0;0;0;1;2;2;1;0;0;1;0;0;1;0;0;0;0;2;0;0;0;0;0;1;0;0;0;1;0;0;1;0;12;1;1;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;7;0
;;13;Stijntjes, J.J.M.;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;0;0;0;4;0;0;0;1;2;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;2;0;0
;;14;Bezemer, L.;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;15;Probst, N.P.J.;72;0;0;0;3;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4;0;0;3;2;1;2;1;3;0;1;0;5;6;0;9;6;4;0;0;0;0;0;0;0;0;0;0;0;0;0;2;7;0;0;0;0;0;0;2;6;1;0;2
;;16;Dreuning, P.J.G.;8;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0
;;17;Suijkerbuijk, R.;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;4;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0
;;18;Ernes, W.A.;9;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;19;Lemmens, M.T.J.E.;20;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;0;1;2;0;0;1;0;0;0;2;0;0;0;1;0;0;1;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0
;;20;Ehlen, C.G.J.M.;48;5;1;0;3;0;0;2;2;0;0;1;3;4;0;2;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;4;0;3;0;0;0;0;0;0;4;0;0;0;0;0;1;2;0;5;3;0;0;0;0;0;0
;;21;van den Berg, M.;20;0;0;0;3;0;0;1;5;1;1;0;1;0;1;0;0;0;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0
;;22;Maanders, C.J.A.;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;Markusse, A.P.;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;24;van der Lee, E.A.T.;19;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;5;7;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0
;;25;Wertz-Starmans, G.;16;1;0;0;3;0;0;1;2;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
;;26;Paques, S.F.M.;24;1;1;1;1;0;0;0;0;1;1;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;2;0;1;0;0;0;0;2;0;0;0;0;0;0;0;1;4;0;0;0;0;0;0
;;27;de Ruiter, E.J.J.;13;0;0;1;1;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;1;0;1;0;0;0;0
;;28;Alstein, D.E.J.;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;29;Bocken, M.C.A.;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;1;0;0;0;1;2;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
;;30;Renet, G.J.M.;12;2;0;0;0;1;0;0;0;1;0;0;1;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
;;31;Janssen, L.M.A.;13;0;0;1;4;2;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;32;Deleu, M.K.;17;0;0;0;1;0;0;0;0;3;0;1;0;0;0;0;0;2;2;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;33;Thijssen, M.G.H.;32;3;1;0;1;1;0;0;3;3;0;0;0;1;0;0;2;1;0;0;0;0;0;1;2;0;1;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;2;0;0;0;4;0;0;0;0;0;0;0
;;34;Krings, W.L.G.;61;1;0;1;9;0;4;0;1;3;2;1;5;1;1;2;0;2;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;2;3;0;1;1;0;0;0;0;0;0;1;0;1;1;3;2;0;0;0;1;0;1;1;0;1;0;0;2;2;0
;;35;Muijtjens, J.L.M.;39;1;0;0;0;1;0;0;0;0;0;1;0;0;0;3;0;1;0;0;0;0;1;0;1;3;1;2;1;1;0;0;2;0;1;5;0;2;2;1;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;2;0;1;0;1;0;1;0;1;0
4;PVV (Partij voor de Vrijheid);;;2117;19;25;61;43;15;18;31;36;9;18;35;50;36;26;44;15;50;30;13;19;25;28;25;51;53;47;31;34;75;181;20;23;7;77;39;11;42;50;22;57;34;25;62;11;30;35;22;7;11;29;18;33;33;15;14;4;8;16;42;17;58;34;28;27;13
;;1;Klaassen, M.H.J.;1151;7;6;25;18;9;9;16;17;5;9;18;31;14;14;23;10;23;17;9;9;9;17;13;29;36;24;18;21;37;66;15;16;6;55;27;7;26;29;12;23;17;13;39;6;21;14;15;2;5;16;9;25;22;9;7;0;1;10;24;11;42;24;21;16;7
;;2;Pfoster, D.D.W.;252;5;12;12;14;1;4;5;10;3;4;5;10;14;3;11;5;12;4;1;2;3;3;2;5;0;0;0;2;1;2;0;0;0;5;0;0;1;7;3;21;8;2;3;3;2;7;0;2;3;2;0;0;2;1;3;0;3;3;6;2;1;1;0;2;4
;;3;Jongen, L.M.H.;126;0;0;7;5;0;0;1;0;0;0;1;1;1;0;0;0;3;0;2;6;12;2;0;1;3;1;0;2;0;1;0;2;0;1;0;1;3;0;1;11;4;5;11;2;6;8;6;0;1;3;0;0;2;0;2;1;0;0;0;0;0;0;0;6;1
;;4;Coumans, J.W.;270;1;2;5;0;0;1;1;1;1;1;1;3;0;2;2;0;6;0;0;0;0;4;3;4;5;13;4;3;30;99;5;3;1;8;9;0;5;4;1;0;0;1;3;0;1;0;1;0;1;3;1;5;6;1;1;3;1;0;0;1;4;6;2;1;0
;;5;Laumen, P.F.M.V.;134;3;3;10;5;3;3;5;7;0;3;9;3;6;5;7;0;4;1;0;0;0;2;3;3;1;1;2;0;0;5;0;0;0;1;0;1;0;2;3;0;2;0;0;0;0;2;0;2;0;4;2;1;0;1;1;0;3;1;9;3;0;0;1;0;1
;;6;Taalman, J.P.W.;184;3;2;2;1;2;1;3;1;0;1;1;2;1;2;1;0;2;8;1;2;1;0;4;9;8;8;7;6;7;8;0;2;0;7;3;2;7;8;2;2;3;4;6;0;0;4;0;1;1;1;6;2;1;3;0;0;0;2;3;0;11;3;4;2;0
5;Stadspartij;;;2720;39;57;59;50;41;37;39;31;42;17;62;52;56;24;57;28;102;65;66;96;18;18;12;41;84;77;47;56;37;55;12;32;7;68;52;12;69;102;43;23;10;26;57;16;24;15;6;23;39;35;16;61;48;43;19;9;23;37;63;14;85;67;68;23;8
;;1;Kaufmann, N.I.M.;493;8;16;3;11;6;2;5;4;6;2;10;11;3;8;4;1;7;9;1;9;4;7;6;5;16;10;22;22;18;20;3;8;2;23;9;2;9;9;13;2;2;3;6;2;6;4;2;4;6;6;1;9;7;7;3;4;4;10;5;2;32;15;10;5;2
;;2;Hoedemakers, B.A.J.;287;5;8;0;10;4;1;2;2;8;2;7;6;6;5;5;0;6;5;41;53;3;4;0;0;0;0;0;1;1;1;0;2;0;1;2;0;2;4;4;0;5;12;16;0;1;1;1;2;1;7;0;0;3;1;7;1;0;10;3;1;1;0;4;8;1
;;3;Raven, A.C.M.;686;2;15;1;6;8;6;9;2;1;0;3;2;2;0;3;0;5;7;1;2;4;1;1;17;49;25;18;19;5;12;2;13;4;28;28;2;43;64;14;0;0;1;12;0;2;2;1;5;2;3;11;37;25;26;0;0;0;1;6;7;36;34;47;4;0
;;4;Samaritakis, K.A.;171;10;5;2;0;3;17;1;3;8;0;5;11;9;2;3;0;0;5;0;3;0;0;0;3;1;0;0;0;0;2;0;1;0;1;0;0;1;2;2;0;0;2;2;0;0;0;2;5;17;8;1;1;0;1;0;0;9;5;14;0;2;2;0;0;0
;;5;van Mourik, J.F.;215;2;0;8;3;1;3;5;2;1;1;1;5;9;1;17;3;53;7;19;13;4;1;0;0;0;0;0;0;0;3;0;0;0;0;1;3;0;0;1;5;1;2;5;8;5;2;0;0;4;4;0;0;0;0;2;0;2;1;2;0;0;0;0;2;3
;;6;Paauwe, W.P.H.;395;6;6;34;11;6;1;11;12;7;6;11;7;15;3;14;21;26;18;2;8;1;2;5;10;5;1;2;8;4;4;3;5;0;2;2;5;4;12;4;14;1;1;7;3;6;0;0;0;1;1;2;2;1;3;6;1;4;6;18;2;8;0;3;0;1
;;7;Pellegrom, J.H.;27;1;0;1;1;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;2;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;1;2;2;0;0;0;0;0
;;8;Weermann-Schepers, L.J.A.;41;0;0;0;2;0;0;1;2;1;1;0;0;0;0;2;0;3;0;0;0;0;3;0;0;0;0;0;0;3;3;4;0;0;3;0;0;0;0;0;0;0;0;4;0;0;0;0;0;1;0;0;2;2;1;0;0;0;0;0;0;0;2;1;0;0
;;9;Geurts, A.E.P.;81;2;0;4;0;9;0;1;1;3;2;7;1;5;0;4;1;1;3;0;4;0;0;0;0;1;0;2;1;0;1;0;1;0;0;0;0;1;0;1;0;1;1;1;0;3;2;0;1;3;2;0;0;1;0;0;0;2;2;6;0;0;0;0;0;0
;;10;Klingestijn, C.H.H.;58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;1;0;0;1;3;21;0;2;3;4;0;0;0;2;1;0;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;0;0;0;0;0;1;3;2;0;0
;;11;Kamman, S.;28;0;0;0;2;0;0;2;1;0;0;3;0;2;0;4;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;1;3;1;0;1;0;0;0;0;0;0;2;0;0;0;0;0;1
;;12;de Gelder, F.A.R.;51;0;3;0;0;1;3;1;0;1;1;10;4;3;1;0;0;0;5;1;1;0;0;0;1;2;0;0;0;2;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;4;0;0;0;0;2;0
;;13;Hudales, Y.J.M.;23;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;1;0;0;0;3;5;0;0;0;3;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0
;;14;Scholz, B.L.C.A.;19;2;0;0;1;1;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;1;0;0;0;0;1;2;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;15;Hagmanns, G.J.G.;23;0;0;6;0;0;2;0;1;1;0;0;2;0;0;1;0;1;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;2;0;0;0
;;16;Goessens, J.F.M.;7;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Jellema, T.H.M.;16;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;2;0;1;1;3;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
;;18;de Kluys, B.J.G.;8;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0
;;19;Bosman, A.B.M.;11;0;1;0;1;0;0;1;0;4;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Nicolaes, P.G.M.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;21;Hudales, K.J.J.;10;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;2;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Bongers, W.T.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;23;Raven, M.;12;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0
;;24;Steuns, M.N.C.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;van Geelen, M.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;26;Lennertz, W.G.J.;35;0;1;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;1;0;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;8;1;0;0;0;0;0;0;0;8;1;0;0
;;27;Veenendaal, A.;15;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;6;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;1;1;0;0;0
6;D66;;;1617;66;34;11;59;73;15;16;11;48;8;60;48;17;12;38;7;33;75;16;24;10;10;28;32;50;13;20;24;14;18;6;21;6;34;77;13;25;34;30;20;8;23;19;7;8;21;8;28;18;18;19;21;19;17;4;9;38;40;28;25;32;16;18;10;7
;;1;Pi Van de Venne, P.R.;691;24;20;4;17;35;7;5;9;22;3;26;23;5;7;13;3;12;21;5;10;7;3;20;14;14;9;11;14;5;8;4;5;2;16;30;7;15;17;11;5;4;11;11;2;3;10;6;7;5;4;13;7;8;12;2;8;15;24;10;13;11;6;4;4;3
;;2;Bonten, B.;77;7;3;2;8;3;1;3;0;2;0;3;5;1;0;2;0;0;2;2;2;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;6;2;0;0;3;1;0;0;1;0;0;1;4;0;0;1;1;0;1;0;0;3;1;0;1;1;0;1
;;3;Vaessen-ten Haaf, E.H.P.;423;19;9;4;21;20;3;6;0;13;5;18;9;6;3;11;2;11;24;6;6;0;2;2;10;15;1;1;2;1;6;0;6;2;4;21;1;7;0;11;3;2;7;5;1;3;7;0;12;8;7;3;6;3;3;2;0;9;13;9;7;12;2;6;4;1
;;4;van Noord, S.;100;0;0;0;0;0;0;0;0;1;0;2;0;1;0;1;1;0;0;0;0;0;0;0;1;10;0;0;2;4;2;0;7;2;11;15;2;1;4;0;6;0;0;0;0;0;1;0;1;0;0;0;5;6;0;0;0;0;1;1;1;3;4;4;0;0
;;5;van Hegelsom, R.P.G.;25;3;0;0;5;1;0;0;0;1;0;0;1;0;0;0;0;1;1;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;1;1;1;0;1;1;0
;;6;Hawinkels, A.J.H.C.;14;1;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0
;;7;ten Haaf, P.H.M.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;8;Berghuijs, S.;6;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;9;Westra, J.W.;7;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;1;0;0
;;10;Kamphuis-van Stratum, M.F.P.;51;2;0;0;1;1;1;1;1;2;0;2;5;0;2;1;0;0;4;3;1;0;0;1;2;0;0;0;1;0;0;1;0;0;0;0;0;1;1;0;3;0;0;1;3;0;1;0;2;1;2;0;0;0;0;0;0;3;0;1;0;0;0;0;0;0
;;11;Rosbak, I.J.F.;8;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Haenen, R.H.;7;4;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Kusters, J.R.P.;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;0;1;0;0;0;0;2;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Drummen, F.J.J.;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;3;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;15;Engelhart, L.J.;3;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;16;Niessen, N.T.;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Beckers, J.W.;12;0;0;0;0;0;0;0;0;4;0;0;0;0;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;18;Zelissen, E.J.A.;13;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;3;0;0;0;0
;;19;de Pijper, A.E.;7;1;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;van Noord, N.;30;2;0;1;0;5;1;0;1;1;0;3;2;0;0;2;0;0;3;0;1;0;0;0;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
;;21;Boumans, D.M.C.;4;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
