Verkiezing;;Gemeenteraad Heerlen 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Heerlen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0917;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Stadhuis ingang Geleenstraat;Stembureau Brightlands;Stembureau Trefcentrum 't Loon;Stembureau Poppodium Nieuw Nor;Stembureau De Twee Gezusters;Stembureau Grotius College;Stembureau MEE Zuid-Limburg;Stembureau Gemeenschapshuis Welten;Stembureau Wijkpunt Peter Schunck;Stembureau Café Admiraal;Stembureau Gemeenschapshuis Caumerbron;Stembureau Vitalis Parc Imstenrade;Stembureau A gene Bek;Stembureau BMV Molenberg;Stembureau Zalencentrum 't Leiehoes;Stembureau Scouting St. Jan Baptist;Stembureau Sporthal Palemig;Stembureau Gemeenschapshuis het Juphuis;Stembureau Dienstencentrum Schandelen;Stembureau Cultuurhuis Heerlen;Stembureau Buurthuis Beersdal;Stembureau Ouderencentrum Hooghendael;Stembureau Corneliushuis;Stembureau Basisschool Windekind;Stembureau Sporthal Varenbeuk;Stembureau Buurtcentrum 't Heitje;Stembureau Gemeenschapshuis Heksenberg;Stembureau Ouderencentrum Vogelsanck;Stembureau Sportcafé 't Volkshuis;Stembureau Basisschool Mijn Spoor;Stembureau Sporthal Vullingsweg;Stembureau SamSam;Stembureau Sporthal In de Biessen;Stembureau Drive-in stemstraat;Stembureau Amicitia;Stembureau Buurtcentrum de Koffiepot;Stembureau Ons Trefcentrum;Stembureau BMV Maria-Gewanden;Stembureau Ouderencentrum Weijenberg;Stembureau Gemeenschapshuis Mariarade;Stembureau BMV Aldenhof;Stembureau Ouderencentrum Butting Inn;Stembureau Mobiel stembureau 1;Stembureau Mobiel stembureau 2;Stembureau Touringcar;Stembureau Stadhuis ingang Geleenstraat (14/3);Stembureau A gene Bek;Stembureau Gemeenschapshuis Caumerbron;Stembureau Sporthal Palemig;Stembureau Corneliushuis;Stembureau Sporthal Varenbeuk;Stembureau SamSam;Stembureau Sporthal In de Biessen;Stembureau Stadhuis ingang Geleenstraat (15/3);Stembureau A gene Bek;Stembureau Gemeenschapshuis Caumerbron;Stembureau Sporthal Palemig;Stembureau Corneliushuis;Stembureau Sporthal Varenbeuk;Stembureau SamSam;Stembureau Sporthal In de Biessen
;;16;Pommé, F.F.;19;0;0;3;0;0;2;1;1;0;0;0;0;1;3;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0;1
;;17;Aarts, F.H.C.;24;0;0;1;0;3;0;0;0;4;0;2;4;2;0;0;1;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0
;;18;Rothuizen, J.L.;50;3;0;1;0;1;2;0;4;3;3;0;2;8;1;0;0;0;0;0;1;0;0;1;4;0;0;2;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;3;1;5;0;0;0;0;0
;;19;Denie, E.J.P.M.;53;1;0;0;0;0;3;4;0;0;1;3;1;16;0;1;0;0;1;2;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;9;1;0;0;0;0;0;2;3;0;0;0;0;0;0
;;20;Offerbeek, J.A.S.;29;0;0;0;1;0;0;0;0;0;1;0;1;2;0;1;0;0;0;1;0;0;1;0;0;0;2;3;0;0;2;0;0;0;0;1;0;1;3;1;0;3;2;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
;;21;Bourne, W.A.J.;28;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;5;0;0;5;0;0;0;0;0;0;0;4;0;0;0;0;0;0;1;0;0;0;0;6;0;0;0;0;0;0;0;2;0
;;22;von Berg, M.L.A.;18;0;1;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;2;1;0;0;0;0;1;0;0;0;0;0;1;0;1;0;1;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
;;23;Piefer, M.J.;39;2;0;3;0;1;0;3;4;1;1;2;0;1;0;2;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;5;2;0;0;0;0;0;0
;;24;Collong, J.J.H.;9;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;1;1;0;0;0;0;0;0
;;25;Wetzels, R.J.J.;7;1;0;0;2;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;26;Rörik, R.G.L.J;39;0;0;0;0;0;0;0;0;0;0;1;2;0;0;3;0;0;0;2;0;0;1;2;0;0;2;0;4;0;0;0;1;0;0;1;1;0;0;6;2;0;7;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;2;0;0
;;27;Hooiveld, K.;35;1;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;1;0;1;1;1;1;0;2;6;3;3;1;3;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;2;1;0;0
;;28;Mols, G.E.J.A;15;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;1;0;0;0
;;29;Pommé, J.M.E.;14;0;0;0;0;1;5;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;30;Degener, A.D;17;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;1;0;0;0;0;7;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
;;31;Kitzen, E.H.;12;0;0;0;0;0;0;2;0;0;0;1;7;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;32;van Neer, PH;13;0;0;0;0;0;2;1;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;4;0;0;0;0;0;0
;;33;van der Heijde, M.R;10;1;1;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
;;34;Fiddelaars, L.A.G.;16;0;0;0;0;1;0;0;0;2;0;7;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
;;35;Reisig, A.H.;77;8;0;3;3;4;2;0;5;3;2;4;1;7;2;1;1;0;0;1;0;0;0;2;0;0;0;6;0;0;1;0;2;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;2;0;1;0;1;0;10;1;0;0;0;0;1;0
;;36;Boumans, Th;131;2;0;1;2;1;3;8;26;3;1;3;7;8;3;1;1;2;1;0;0;0;1;1;2;2;3;4;4;1;3;0;2;0;1;0;2;2;0;0;0;0;2;0;3;4;5;0;1;0;0;0;1;0;0;5;1;3;1;2;0;2
3;CDA;;;3369;92;9;70;47;53;65;54;75;26;62;93;76;67;74;84;39;42;36;29;59;90;90;198;66;43;89;197;67;60;53;33;56;17;11;54;40;37;30;40;69;69;33;5;14;27;57;47;34;24;101;32;13;13;70;43;66;21;130;38;20;20
;;1;Peters, M.P.G.M.;1105;18;3;19;5;19;17;21;23;5;16;23;35;15;25;21;2;3;5;6;14;30;62;127;26;26;34;42;28;12;33;12;20;6;5;8;10;9;5;5;7;3;7;2;5;5;19;10;6;4;63;32;4;1;9;11;10;2;82;21;5;2
;;2;Heine-van Dartel, J.A.;325;22;0;7;16;10;9;8;13;4;7;16;7;7;6;19;6;1;5;13;6;0;2;5;5;0;4;7;0;0;3;2;3;1;0;6;3;2;2;1;8;2;0;1;0;0;14;11;7;3;2;0;2;0;19;3;13;3;3;3;3;0
;;3;Claessens, C.M.J.P.;330;4;1;3;1;2;2;5;5;0;1;5;4;4;5;1;0;1;3;0;0;8;0;4;6;0;0;3;7;15;2;4;4;6;2;16;13;13;18;11;25;48;14;0;2;3;2;5;3;0;0;0;2;6;12;3;7;1;4;0;0;14
;;4;Vaessen-Stollman, P.S.G.M.;83;7;0;6;0;3;7;1;2;6;1;2;4;11;3;1;0;0;0;0;1;1;0;0;5;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;3;5;0;0;0;0;0;0;1;7;3;0;0;0;0;0
;;5;Adema, K.;335;3;1;1;0;3;7;2;10;0;5;4;0;2;2;1;0;2;0;2;10;9;14;33;7;0;10;114;18;0;0;0;7;0;1;0;0;0;0;4;2;6;1;1;2;0;2;4;0;1;13;0;0;4;2;2;0;3;12;4;3;1
;;6;Karabacak, B.;165;14;2;8;10;4;6;0;1;0;2;0;2;4;7;14;2;5;5;3;7;0;1;5;2;0;2;4;0;0;4;0;9;0;0;0;1;1;0;0;1;0;0;0;0;1;6;1;1;0;3;0;2;0;14;0;0;2;4;1;4;0
;;7;Pauwels, P.A.;108;3;0;1;0;1;0;0;0;3;0;0;1;0;4;4;21;20;5;2;4;0;0;1;3;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;4;0;1;15;0;0;0;0;1;2;2;7;0;0;0;0
;;8;Housen, M.F.A.C.;82;4;0;1;4;2;3;5;4;1;0;1;0;8;1;3;0;1;0;0;0;1;0;0;7;0;0;1;0;0;1;3;0;0;0;2;2;0;0;0;0;0;0;0;2;0;1;5;3;0;0;0;0;0;0;11;4;1;0;0;0;0
;;9;Langen, M.;50;0;0;0;0;0;1;0;1;0;0;1;0;1;1;1;0;0;0;0;0;0;0;5;0;1;17;2;2;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;9;1;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0
;;10;Holka, J.G.E.;90;0;0;9;1;1;0;0;0;1;1;0;0;1;0;0;0;1;2;2;8;31;2;2;0;0;3;5;0;0;3;0;2;0;0;3;0;0;0;2;0;0;0;1;0;0;1;0;0;0;0;0;0;0;2;0;0;0;1;3;2;0
;;11;Ticli, C.M.L.;40;2;0;0;6;1;2;0;2;0;0;3;0;4;0;1;1;0;0;0;1;0;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;1;0;0;1;2;0;0;0;2;0;0;0;4;0;0;0
;;12;Alér, E.M.;12;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0
;;13;Jochems-van Hattum, A.M.C.J.;48;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;2;0;7;3;4;5;6;4;3;3;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
;;14;Nievelstein, S.M.;15;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;2;3;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;15;Mertens, M.M.J.E.;40;0;0;0;0;0;0;1;0;0;1;1;2;0;1;1;0;0;0;0;0;2;0;5;0;2;11;1;0;0;1;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;4;0;0
;;16;de Jong, R.;62;0;0;0;0;0;0;0;0;2;4;14;0;3;0;0;0;0;0;0;2;0;5;1;2;0;0;0;0;0;2;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;15;0;2;0;0;0
;;17;Cobbenhagen-Smeets, M.J.P.;13;1;0;0;0;0;0;0;0;0;1;0;3;0;1;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
;;18;Quaedvlieg, H.G.H.M.;14;0;0;0;0;0;0;2;6;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Bibouda, T.;60;1;0;6;2;0;0;0;0;0;0;0;0;0;0;2;1;1;1;0;0;0;3;1;0;1;1;1;2;4;0;1;0;0;0;5;1;4;0;5;1;3;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;6;0;1;2
;;20;Göttgens, P.J.H.;23;0;0;0;1;0;0;0;0;0;11;3;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
;;21;Pol, F.H.J.;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;26;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Werry, B.M.M.;4;0;0;2;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;Benders-Slijpen, J.V.M.;12;1;0;0;0;0;0;0;0;0;1;0;0;0;5;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;Papas, V.;7;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;25;Claessens, J.J.E.;31;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;1;1;0;2;13;2;0;0;1;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
;;26;van der Steen, C.;6;0;0;0;1;2;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;Bernardi, C.G.;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;Rijvers, J.M.H.;29;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;2;1;0;6;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;8;0;1;0
;;29;Prevoo-van den Heuvel, J.M.;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;30;Wouters, M.H.J.M.;10;1;0;0;0;0;1;1;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
;;31;Smeets, N.S.T.;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;32;Zawislak, A.J.;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;33;van Leeuwen-Janssen, M.E.H.;19;0;0;0;0;0;0;1;1;2;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;5;0;0;0;0;0
;;34;van Druten, C.L.A.;13;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;4;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;35;Verhaegh, M.F.M.;5;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;36;Hermans, M.H.M.;4;0;1;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;37;Jacobs, G.J.H.;5;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0
;;38;Lipsch, I.;15;1;0;0;0;0;3;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;0;0;0;0;0;1;0;0;0;0;0
;;39;Bour, L.M.H.;5;0;0;0;0;0;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;40;Cremers, P.P.H.;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;41;Vaessen, S.A.M.;12;0;0;1;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;1;0;0;0;0;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;42;Steegemans, P.B.L.A.;27;0;0;0;0;0;0;0;0;1;5;6;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0
;;43;Claessens, E.J.M.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;44;Nilwik, A.M.W.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;45;Föllings, J.P.J.M.;10;2;0;0;0;1;2;1;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;46;Vankan, G.J.L.;21;0;0;2;0;1;0;0;0;0;0;1;0;0;3;9;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;47;Falize, R.P.J.L.;26;1;1;0;0;0;1;1;0;0;0;1;0;2;0;2;0;2;0;0;0;1;0;0;1;7;0;0;1;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;48;van Neer, J.A.C.;9;1;0;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;0;0;0;0;0;0;0
;;49;Massa, G.;7;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;50;Janssen, J.W.;30;1;0;0;0;0;1;0;1;1;0;0;0;0;2;0;1;0;4;0;2;2;0;1;0;0;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;2;0;0;0
4;Hart Leers;;;1116;52;11;37;32;34;27;38;18;25;20;50;9;37;95;72;5;10;20;4;30;6;0;21;21;11;20;34;7;7;9;13;26;1;4;15;10;10;9;27;12;16;11;4;4;1;29;20;11;7;9;3;3;3;31;21;21;16;5;6;6;0
;;1;Leers, R. H. F.;613;28;5;29;22;25;3;22;7;10;5;30;6;25;61;48;2;6;11;4;19;3;0;5;12;9;10;24;6;3;6;8;15;0;2;4;7;1;4;4;4;1;3;1;3;0;21;12;3;2;4;1;0;0;21;14;11;11;3;5;2;0
;;2;de Kleijn, H.A.;84;0;0;1;1;0;0;0;0;0;1;0;0;0;1;4;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;0;1;0;11;3;3;5;23;6;6;4;0;0;0;1;0;0;1;2;0;0;1;0;1;0;2;2;0;0;0
;;3;Tijdeman, E. J.;53;2;1;1;2;0;9;7;3;2;0;0;1;4;1;0;0;0;0;0;0;0;0;6;0;0;0;3;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;4;0;0;0;1;0;0;0;1;0;0;0;0;0;0
;;4;Peeters, L.M.;38;2;1;0;1;1;3;3;0;0;0;1;0;0;5;1;0;0;0;0;1;2;0;0;4;0;0;0;0;0;1;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;2;3;1;0;0;0;0
;;5;Dereij, P.;23;0;2;0;0;2;0;0;0;0;0;0;0;0;11;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;2;0;0;0;0;0;0;0;0
;;6;Berkers, D. J. A.;64;2;0;1;2;0;1;0;0;10;8;9;2;0;4;1;0;0;0;0;2;0;0;3;0;0;4;0;0;1;0;3;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;4;0;1;0;0;0;0;0;4;0;0;0;0;0
;;7;ten Brink, A.;11;0;0;0;0;0;1;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0
;;8;Hendriks, T.A.;19;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;1;0;4;0;0;0;0;0;0;1;0;0;0;1;3;0;0;0;0;3;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;9;de Graaf, J.T.J.;19;1;0;0;1;0;0;1;4;0;1;2;0;0;0;0;0;3;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0
;;10;Reesink, C. P. M.;11;1;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;11;Bogman, J. A. H.;15;2;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;2;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0
;;12;Gubbels, C.A.J.;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;6;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
;;13;Arends, J.A.;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;14;Finken, P.H.;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;Rosmuller, L.M.J.;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;Kerssemakers, E.M.;6;0;0;1;1;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
