Verkiezing;;Gemeenteraad Venray 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Venray;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0984;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;Vincent van Gogh / Kapel;De Springplank;Wijkcentrum Den Hoender;Op 't Nipperke;Schouwburg Venray;De Perdstal;WOC ’t Schöpke;MFC Brukske Wijkcentrum A;MFC Brukske Wijkcentrum B;Wijkcentrum ’t Stekske A;Wijkcentrum ’t Stekske B;Gemeenschapshuis Blitterswijck;De Hoge Beek;De Zandhoek Wanssum;D'n Oesterham Oostrum;'t Pelgrimshuis Smakt;De Smelehof Ysselsteyn;Partycentrum 't Anker Merselo;De Loef  Vredepeel;De Linde Oirlo;De Wis Castenray;De Hoefslag Veulen;MFC De Baank Leunen;MFC Heide;De Alde Schol Geijsteren;Mobiel stembureau;Maandag 14 maart Vroegstembureau Gemeente;Dinsdag 15 maart Vroegstembureau Gemeente;Maandag 14 maart Vroegstembureau Schöpke;Dinsdag 15 maart Vroegstembureau  Schöpke;Maandag 14 maart Vroegstembureau Stekske;Dinsdag 15 maart Vroegstembureau Stekske;Maandag 14 maart Vroegstembureau MFC Brukske;Dinsdag 15 maart Vroegstembureau MFC Brukske
;;11;Arts, T.H.H.;16;0;3;0;0;0;0;0;0;0;1;1;1;5;0;0;0;0;1;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0
;;12;Koopmans, J.P.M.;88;2;1;0;17;0;4;3;2;1;3;0;0;0;6;2;1;26;2;0;0;0;1;0;2;0;0;0;0;5;4;4;0;0;2;0
;;13;Ahmadi, S.A.;33;0;0;0;0;0;3;1;2;3;3;2;0;0;0;8;2;0;0;1;0;0;0;0;2;0;0;0;0;0;0;3;1;0;0;2
;;14;van der Aart, T.;4;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;15;Schuurmans, N.E.;48;3;1;0;6;1;3;2;0;1;0;9;7;0;0;1;1;0;1;0;0;1;0;0;0;1;0;0;0;0;1;2;0;4;0;3
;;16;Nijmeijer, B.;6;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0
;;17;Leenders, H.A.M.;18;3;0;0;0;0;3;0;1;1;1;0;0;0;0;2;1;0;0;1;0;0;0;0;2;0;0;0;0;0;0;1;0;0;2;0
;;18;van Meijel, L.W.L.M.;38;2;2;2;2;0;7;1;1;0;0;2;2;1;0;1;4;0;0;0;0;0;1;0;0;1;0;0;0;2;3;3;0;0;0;1
6;VVD;;;2804;215;129;50;111;29;181;182;82;32;31;98;69;77;75;103;227;4;108;91;3;152;45;14;123;26;14;4;93;143;57;68;51;69;19;29
;;1;De Schryver, W.E.R.M.;775;68;46;16;49;13;55;87;29;9;7;29;14;6;21;24;17;3;24;21;3;13;2;5;27;3;1;2;22;56;26;26;16;17;3;15
;;2;Künen, B.M.M.;333;11;12;4;11;4;16;6;4;3;1;5;6;0;5;5;176;0;0;4;0;6;0;0;10;5;2;1;7;3;0;8;6;5;5;2
;;3;Borst, L.D.M.;217;23;15;7;10;3;23;21;6;4;2;5;8;0;6;3;10;0;5;4;0;0;1;0;8;1;3;0;11;17;6;1;4;2;4;4
;;4;Kateman, L.A.G.M.;113;17;5;1;1;0;7;4;1;1;4;5;5;0;10;1;3;0;0;5;0;1;1;0;2;4;1;0;6;18;0;3;2;3;1;1
;;5;van Oosterhout, H.G.M.;32;0;0;0;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;3;0;0;0;1;14;0;1;0;1;0;2;1;1;1;1;0
;;6;Janssen, R.F.H.;70;7;4;0;5;0;3;7;0;0;1;1;1;0;2;0;0;0;1;2;0;0;0;0;31;0;1;0;0;4;0;0;0;0;0;0
;;7;Gaković, E.;158;4;7;5;4;0;5;0;9;7;11;30;14;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;4;1;4;3;16;25;1;5
;;8;van Dijck, D.G.C.;44;7;3;2;3;2;0;4;5;0;0;1;2;2;2;0;2;0;0;0;0;1;1;0;0;0;0;0;3;0;0;0;0;3;1;0
;;9;van Rijswijck, P.J.;109;1;0;0;1;0;1;2;0;2;0;0;2;0;0;0;0;0;0;1;0;96;0;0;2;0;1;0;0;0;0;0;0;0;0;0
;;10;Wellen, N.W.J.;89;0;0;0;0;1;1;0;0;0;0;2;0;0;1;1;1;0;71;5;0;0;0;1;0;0;0;0;3;1;0;0;0;1;0;0
;;11;Heldens, E.J.;78;0;0;0;1;0;1;0;1;0;0;1;0;3;0;60;0;0;1;0;0;0;3;0;3;0;2;0;2;0;0;0;0;0;0;0
;;12;Camps, M.W.A.;51;0;1;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;40;0;0;0;1;0;1;0;0;0;1;0;0;2;0;0;1
;;13;Voermans, R.H.L.T.;45;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;9;32;0;0;1;0;0;0;0;0;0;0;0;0;0
;;14;Veldink, R.;89;2;6;0;0;0;2;4;1;0;1;0;0;64;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;3;2;1;0;0;0;0
;;15;Gorissen, B.A.J.M.;19;4;0;0;5;0;3;1;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
;;16;Hermans-van den Bekerom, J.;15;1;1;0;1;0;0;0;0;1;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;1;0;0;3;0;1;0;0;0;0;0
;;17;Gerrits, M.;8;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;2;0;1;0;0;0;0
;;18;Baltussen, R.W.M.;11;2;1;0;1;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0
;;19;Palmi, C.;6;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0
;;20;Rutten, P.H.M.;54;7;4;4;3;1;8;3;6;0;0;1;1;0;3;0;3;0;0;0;0;0;0;0;4;0;0;0;2;1;0;2;0;1;0;0
;;21;Dijkstra, T.;8;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0;2;0;0
;;22;Gielens, E.W.M.;39;1;2;1;2;0;3;0;0;0;0;2;4;0;2;0;0;0;2;0;0;0;0;0;9;6;1;0;1;1;0;0;0;0;1;1
;;23;Cals, L.H.M.;18;5;0;1;0;0;0;4;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;1;1;1;0;1;0;0
;;24;Janssen, L.G.P.;16;3;2;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;0;0;0;0
;;25;Willems, J.T.;53;1;2;0;2;4;4;0;0;0;0;1;0;0;2;0;0;0;2;0;0;22;2;2;0;0;0;0;2;2;2;2;0;1;0;0
;;26;Bruins, R.A.;13;0;0;2;0;0;2;0;3;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;1;0;1;1;0;0;0;0
;;27;Riensema, O.;6;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0
;;28;Swinkels, T.J.M.;41;16;0;1;0;0;8;0;4;0;0;3;1;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0
;;29;Voskuilen-van Eijnsbergen, J.;12;0;0;1;0;0;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;1;0;0;0
;;30;Schueler, T.C.A.;30;5;0;1;0;0;5;8;1;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;3;4;0;0;0;0;0;0
;;31;Kurzak, R.;11;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;3;0;0;0;3;2;0;0;0;1;0;0
;;32;de Haas, R.;13;1;0;0;0;0;1;3;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;2;0;0;0;1;0;2;0;0;0;0
;;33;Verstappen, M.H.J.;17;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;5;0;0;0;0;0;0;0;0;0;0;0;0;4;0;3;0;3;0;0
;;34;Brok, H.J.C.M.;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;35;Jansen, J.A.G.;30;2;0;0;0;0;5;4;3;0;2;1;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;5;1;1;0;0;0
;;36;van Oosterhout-Isbouts, H.W.A.A.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;2;0;0
;;37;van Dooren, R.T.;25;4;4;0;1;0;2;7;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;2;0;0;0;0
;;38;Hendricx, G.J.C.M.K.;19;4;1;0;0;0;3;4;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0
;;39;Hout, E.P.C.;21;3;0;0;2;0;4;1;0;0;1;0;0;0;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0
;;40;Wijnands, A.W.P.;19;1;3;0;0;0;0;3;0;1;0;2;3;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;2;0;0;0;1;0;0
;;41;Hazeu, F.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;1;0;0;0;0
;;42;Beerkens, E.J.G.M.;11;0;2;1;0;0;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0
;;43;Mennink, B.W.J.;18;2;3;0;1;0;2;0;0;0;0;1;0;0;1;0;0;0;0;3;0;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;44;Niessen, J.M.G.C.;4;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;45;de Vries, F.;6;0;0;0;0;0;1;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
;;46;Emonts, R.S.K.;3;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;47;Arts, F.W.T.;43;9;1;1;4;1;7;2;0;0;0;2;2;0;0;0;0;0;1;3;0;0;0;0;2;1;0;0;3;1;1;2;0;0;0;0
7;Partij van de Arbeid (P.v.d.A.);;;1060;80;46;26;47;19;53;38;29;37;40;59;58;50;28;11;61;9;12;12;0;14;7;5;49;16;6;1;40;46;30;31;32;33;16;19
;;1;Bisschops, H.J.E.;371;24;20;14;17;10;21;20;8;15;17;13;22;4;7;5;23;1;5;3;0;7;2;1;5;3;2;0;16;19;15;13;15;10;8;6
;;2;van Dijck-Kersten, P.M.F.;195;8;8;5;11;4;12;7;11;8;4;8;7;2;6;0;9;8;3;2;0;5;0;2;10;3;1;0;10;9;5;6;6;8;3;4
;;3;Demarteau, L.;165;24;5;2;9;1;10;4;4;3;9;9;13;1;6;1;10;0;1;0;0;1;0;1;5;5;1;0;5;8;5;6;3;7;0;6
;;4;Bruno, E.A.L.;122;10;9;3;8;2;1;1;4;2;5;13;9;5;3;3;2;0;1;2;0;0;1;1;9;2;1;0;2;3;2;4;5;5;4;0
;;5;Hermsen, M.B.M.;15;1;1;0;0;0;1;0;0;1;0;3;0;0;0;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2
;;6;Minken, D.D.C.;7;0;1;0;0;0;1;2;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;7;Stevens, E.L.E.M.;41;3;0;1;0;0;3;0;0;1;0;2;1;2;3;0;1;0;0;0;0;0;0;0;18;1;0;1;1;0;0;0;1;1;0;1
;;8;MacMaster, J.A.;21;1;0;0;1;1;0;1;1;3;1;3;2;0;0;0;1;0;0;1;0;1;0;0;1;0;1;0;1;1;0;0;0;0;0;0
;;9;Jansen, P.A.;7;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;1;0;0;0;0
;;10;Schenk, W.;10;0;0;0;0;0;0;2;0;1;1;0;0;0;0;0;2;0;0;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;11;Jenner, H.A.;33;0;0;0;0;0;0;0;0;0;0;0;0;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;van Mil, M.C.H.J.;20;3;0;0;0;1;2;0;0;2;0;3;2;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;2;0;2;0;0;0
;;13;Yilmaz, F.;6;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Grootemaat, M.A.C.;10;1;1;0;0;0;1;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0
;;15;Linskens, H.C.P.M.;20;0;0;0;0;0;0;0;1;0;2;1;0;1;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0
;;16;Jansen, A.P.T.;4;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;17;Kroft, P.W.J.;13;3;0;1;1;0;0;1;0;0;0;1;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0
8;GROENLINKS;;;884;58;42;21;32;4;26;38;42;13;23;32;29;17;25;19;56;3;46;13;2;12;9;28;61;13;6;2;34;38;22;31;13;26;16;32
;;1;van Maarschalkerwaard, A.J.W.M.;367;19;20;8;14;1;7;16;16;4;7;19;11;7;13;9;17;0;5;3;1;6;6;10;40;10;5;2;13;21;12;15;5;10;7;8
;;2;O'Garro, L.G.A.;192;18;4;5;5;2;9;8;11;3;7;3;11;3;7;10;16;0;2;3;1;4;1;1;2;2;1;0;6;8;2;9;4;10;2;12
;;3;Kerkhoff, A.H.;26;1;1;1;1;0;2;0;0;0;3;4;0;2;0;0;0;0;4;3;0;1;0;0;0;0;0;0;0;0;0;1;0;2;0;0
;;4;Janssen, A.M.L.J.;111;5;9;5;2;0;4;6;2;1;1;2;3;2;3;0;5;2;34;2;0;1;0;1;3;1;0;0;9;1;2;2;1;0;2;0
;;5;Creemers, T.T.G.;56;8;4;2;3;1;0;4;2;0;0;1;3;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;4;7;5;2;1;2;0;3
;;6;de Vocht, C.L.F.M.;33;1;1;0;0;0;1;0;1;0;0;1;0;0;0;0;3;1;0;0;0;0;0;10;10;0;0;0;0;0;0;2;0;0;1;1
;;7;Horasan, A.;24;2;0;0;0;0;1;0;5;2;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;4;6
;;8;Frenken, M.M.G.;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;9;Kalse, J.M.T.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
;;10;Heideman, J.M.G.;12;2;0;0;1;0;0;0;1;0;0;0;0;1;1;0;1;0;1;0;0;0;1;0;2;0;0;0;1;0;0;0;0;0;0;0
;;11;Stoks, R.;37;2;2;0;3;0;2;3;4;3;1;2;1;2;1;0;1;0;0;0;0;0;0;4;0;0;0;0;1;0;1;0;2;0;0;2
;;12;Verpalen, L.L.C.;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
;;13;Janssen, H.C.;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Cramer, J.G.;16;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
