Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Gemeentehuis Drunen;Stembureau KC Wereldwijs, gymzaal;Stembureau De Remise;Stembureau Dillenburcht Sporthal 2;Stembureau D'n Elshof;Stembureau De Stulp (2);Stembureau Dillenburcht Sporthal 1;Stembureau De Stulp 1;Stembureau De Brug Gymzaal 1;Stembureau De Brug gymzaal 2;Stembureau De Schakel;Stembureau Seniorensociëteit;Stembureau Theater De Nieuwe schuur;Stembureau Wijkwinkel Oudheusden;Stembureau Gemeentehuis Vlijmen;Stembureau De Korf;Stembureau Sporthal Die Heygrave 1;Stembureau Sporthal Die Heygrave 2;Stembureau De Korf 2;Stembureau Het Patronaat;Stembureau De Steeg 1;Stembureau TTV Hooghei;Stembureau Sporthal Die Heygrave 3;Stembureau De Vennen gymzaal;Stembureau Het Water ontmoetingsruimte;Stembureau M.F.A. Caleidoscoop;Stembureau D'n Bork;Stembureau De Zandley;Stembureau Sint Janshof;Stembureau De Steeg 2;Stembureau Gemeentehuis Drunen (maandag);Stembureau Seniorensociëteit (maandag);Stembureau Gemeentehuis Vlijmen (maandag);Stembureau Het Patronaat (maandag);Stembureau D'n Elshof;Stembureau De Schakel;Stembureau De Steeg;Stembureau TTV Hooghei
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;28;29;30;32;101;112;115;120;205;211;221;222
Postcode;;;;;5151 JH;5151 ZK;5151 BM;5151 VW;5154 AK;5151 MR;5151 VW;5151 MR;5152 JB;5152 JB;5156 AH;5256 AD;5255 AB;5156 CJ;5251 ED;5251 AW;5251 CJ;5251 CJ;5251 AW;5253 AJ;5254 JD;5251 LB;5251 CJ;5151 CA;5152 GE;5251 NG;5253 AG;5151 HK;5251 BL;5254 JD;5151 JH;5256 AD;5251 ED;5253 AJ;5154 AK;5156 AH;5254 JD;5251 LB
;;2;Lommers, B.A.G.;191;30;5;19;10;21;18;3;9;11;6;0;1;0;1;0;0;0;0;1;11;0;0;1;5;7;2;3;0;0;2;15;0;4;1;4;1;0;0
;;3;Loch, C.;128;2;0;9;0;3;1;3;1;2;4;0;1;3;1;31;4;6;10;4;0;2;5;8;1;4;4;2;0;0;0;2;0;5;0;2;1;1;6
;;4;Kuijsten, J.M.H.;60;0;2;3;1;1;1;1;3;2;4;3;9;9;1;0;1;0;0;0;1;1;0;0;0;3;0;0;0;0;0;1;7;0;0;1;5;0;0
;;5;Couwenberg, A.C.A.;51;3;0;0;0;0;1;0;0;1;0;1;0;0;0;7;2;2;1;1;3;0;1;4;2;0;4;1;1;0;1;0;0;5;0;0;0;2;8
;;6;Smits, A.L.C.M.;39;4;1;1;3;3;1;0;1;4;1;1;3;0;1;1;0;2;1;0;0;1;1;0;4;1;0;0;0;0;0;0;1;3;0;0;0;0;0
;;7;Buys, I.J.M.;81;1;0;4;0;0;0;0;0;1;1;1;8;52;3;1;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;1;1;1;1;0;2;0;0
;;8;Aydin, G.;23;3;0;0;1;0;3;0;1;3;4;1;0;0;0;2;0;0;0;0;0;0;0;1;1;0;0;0;2;0;0;0;0;1;0;0;0;0;0
;;9;Angevaren, C..M.;15;2;0;1;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;3;0
;;10;Skliba, R.J.A.;12;3;0;0;0;0;1;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;1;0;0;0;0;0;0;0
;;11;Veluwenkamp, R.G.L.;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;0;0;0;0
;;12;Scheek, N.J.P.;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;1;0;1;0;0;5;0;0;0;4;0;0;0;0;1;0;0;0;1;0;0;0
