Verkiezing;;Gemeenteraad Drimmelen 2022;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Drimmelen;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1719;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Gemeentehuis Made;Stembureau Cultureel Centrum De Mayboom;Stembureau Zorgcentrum De Wijngaerd;Stembureau De Duinpan;Stembureau Sporthal De Amerhal;Stembureau Portakabin parkeerplaats Albert Heijn;Stembureau Ons Dorpshuys;Stembureau Ontmoetingscentrum De Zonzeel;Stembureau Brandweerkazerne;Stembureau Brasserie 't Appeltje;Stembureau Sporthal Driedorp;Stembureau Witte Kerkje Terheijden;Stembureau Portakabin nabij Basisschool De Zeggewijzer;Stembureau Portakabin nabij Basisschool De Windhoek;Stembureau Gemeentehuis Made (maandag);Stembureau Brasserie 't Appeltje (maandag);Stembureau Sporthal Driedorp (maandag);Stembureau Witte Kerkje Terheijden (maandag);Stembureau Gemeentehuis Made (dinsdag);Stembureau Brasserie t Appeltje (dinsdag);Stembureau Sporthal Driedorp (dinsdag);Stembureau Witte Kerkje Terheijden (dinsdag)
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;101;110;111;112;201;210;211;212
Postcode;;;;;4921 BV;4921 BB;4921 JC;4921 EJ;4921 EV;4921 CZ;4924 ER;4927 BD;4926 AH;4926 RA;4845 EC;4844 CA;4844 RD;4844 SL;4921 BV;4926 RA;4845 EC;4844 CA;4921 BV;4926 RA;4845 EC;4844 CA
;;1;Vissers, J.G.M.;1059;122;122;56;54;97;52;22;60;17;27;44;53;29;25;71;7;11;37;98;10;15;30
;;2;Pruijsers-Heijmans, R.M.E.L.;588;37;52;17;21;26;25;14;25;17;17;25;79;34;26;25;7;4;26;50;3;6;52
;;3;Mol, L.N.A.;124;6;1;0;1;0;0;2;0;0;0;4;32;21;11;1;1;0;15;0;2;1;26
;;4;van den Broek, A.;52;0;1;1;2;1;1;1;0;0;0;3;17;6;7;2;0;0;3;0;0;0;7
;;5;Tiekstra, H.D.;39;4;4;2;6;3;2;1;2;0;2;4;1;0;0;2;0;0;0;6;0;0;0
;;6;Eestermans, A.W.;84;1;2;0;0;1;1;3;5;26;20;1;1;0;2;0;9;0;0;1;11;0;0
;;7;van de Werken-Tiekstra, M.M.;59;9;3;1;8;4;2;0;4;0;0;3;6;2;2;1;0;0;1;9;1;1;2
;;8;van de Corput, J.A.G.;16;0;0;0;0;0;0;1;14;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;9;van Oosterhout, A.A.H.;54;1;3;2;0;0;0;0;0;0;0;26;0;1;0;2;0;9;3;0;0;6;1
;;10;Jansen-Smits, G.M.;50;1;0;0;0;1;0;0;0;0;0;3;15;10;3;0;0;0;4;0;1;4;8
;;11;Mureau, T.C.H.D.;13;2;1;0;0;0;1;0;1;0;0;0;4;0;0;2;0;0;0;2;0;0;0
;;12;Prinse, P.C.;16;0;0;0;0;0;1;0;0;0;0;11;0;0;0;1;0;0;0;1;0;2;0
;;13;Huijgens-Steenbergen, M.E.H.;16;2;0;0;0;0;0;0;9;0;0;0;1;0;0;0;1;2;0;1;0;0;0
