Verkiezing;;Gemeenteraad Etten-Leur 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Etten-Leur;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0777;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Van Gogh Kerk;Trouwkerkje;Het Turfschip;Van Gogh Kerk 2;Van Gogh Kerk;Trouwkerkje;Het Turfschip;Van Gogh Kerk 2;Van Gogh Kerk;Zwembad De Banakker;Avoord Zorg en Wonen;Smeltkroes De Keen;ARV Achilles;Wijkgebouw Ut Praotuis;Hockeyclub Etten-Leur;Rugbyclub Etten-Leur;Wijkgebouw De Linde;Tafeltennishal Tanaka;Gemeentewerf;Wijkgebouw De Gong;Brede School De Vleer;Trouwkerkje;Het Turfschip;Zwembad De Banakker 2;Van Gogh Kerk 2;Het Turfschip 2;Basisschool De Hasselbraam;Basisschool De Klankhof;Brede School De Vleer 2;Mobiel Stembureau
;;21;Boot, E.C.A.H;10;0;2;0;0;1;1;0;1;0;0;1;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Koonings, M.D.A.;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;23;Sollewijn Gelpke, W.A.L.;9;0;0;0;1;0;0;0;0;0;0;3;0;0;2;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;24;Vermunt, C.A.J.;32;0;0;0;0;1;2;0;0;3;1;0;2;1;1;1;1;1;0;1;3;3;4;1;0;4;2;0;0;0;0
;;25;Doorten, W.J.G.M.;11;0;0;0;0;0;0;0;1;0;0;1;1;1;0;2;0;0;0;0;0;0;2;2;0;0;0;0;0;1;0
;;26;Musters, C.W.M.;30;0;1;0;0;2;1;0;6;0;0;0;0;2;0;2;0;3;1;2;2;0;0;1;0;7;0;0;0;0;0
;;27;Vrolijk, F.J.;32;0;0;1;0;1;0;0;2;1;0;1;1;3;4;2;0;2;1;0;2;0;2;1;0;6;2;0;0;0;0
6;D66;;;1466;30;61;25;26;50;82;42;36;58;14;65;64;64;103;42;40;25;49;43;100;51;127;41;19;61;58;12;12;60;6
;;1;Groenen, C.J.M.;946;19;41;16;18;35;53;26;22;26;10;37;44;45;70;24;25;19;39;28;68;19;90;24;14;39;39;8;9;34;5
;;2;Prins, G.M.;68;1;3;2;0;2;5;2;1;6;1;4;0;1;3;2;3;2;0;2;6;5;7;3;1;1;4;0;0;1;0
;;3;Dujardin, R.L.;135;4;1;1;5;7;6;9;2;7;1;3;5;6;11;4;6;1;4;7;8;11;4;4;1;5;5;0;0;6;1
;;4;Vissers, E.A.F.;29;2;1;0;0;1;1;0;2;2;0;1;2;0;1;3;0;0;0;0;2;1;6;1;1;2;0;0;0;0;0
;;5;van Dieën, N.;152;0;6;5;2;4;10;2;3;11;1;7;11;4;11;3;4;2;3;1;6;8;11;7;0;7;7;2;2;12;0
;;6;Cerneus, J.;27;1;3;0;1;0;1;2;0;0;0;3;0;1;1;2;0;0;2;1;4;0;1;0;1;1;0;2;0;0;0
;;7;Freijee, P.C.A.;13;1;2;0;0;0;1;0;2;1;0;0;0;0;1;1;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0
;;8;Dujardin-Sloos, S.A.;20;1;1;0;0;0;1;0;2;1;0;1;0;1;3;0;1;0;0;1;0;1;4;0;0;0;0;0;0;2;0
;;9;Buijs, G.H.;5;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
;;10;Ruikes, T.J.M.;5;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
;;11;van der Zanden, H.A.;4;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
;;12;Bon-Jansen, C.H.M.;5;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;13;de Boer, L.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0
;;14;Laurijssens-van Engelenhoven, E.;9;0;1;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;2;0;0;0;1;0;0;1;1;0
;;15;van Haastere, M.;7;0;0;0;0;0;2;0;0;0;0;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;Roelvink, L.A.M.;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
;;17;Laurijssens-van Engelenhoven, E.F.C.N.;14;0;1;0;0;1;1;0;1;1;1;1;1;1;0;0;0;0;0;1;2;1;1;0;0;0;0;0;0;0;0
;;18;Mol, W.C.M.;20;1;1;0;0;0;0;0;1;1;0;1;0;1;0;1;1;1;0;1;2;1;3;0;1;2;0;0;0;1;0
7;Leefbaar Etten-Leur;;;1117;27;43;13;26;31;64;15;43;45;15;60;36;58;86;39;14;30;30;55;98;31;82;19;18;52;25;9;4;47;2
;;1;Roks, L.A.G.;568;20;15;9;15;18;30;2;21;24;9;34;20;30;53;21;9;14;19;24;43;13;37;8;6;29;10;7;2;25;1
;;2;de Regt, C.A.J.;205;4;14;1;5;6;16;7;10;5;1;4;8;5;7;8;3;8;4;18;15;9;18;7;2;4;8;0;1;6;1
;;3;Raats, J.O.;69;0;2;1;0;1;3;0;4;4;0;3;0;3;11;2;0;3;0;4;10;1;5;0;2;4;0;2;0;4;0
;;4;Reijne, B.;31;0;4;1;0;0;3;0;0;2;0;2;1;7;0;1;0;0;1;1;3;2;0;1;0;1;0;0;0;1;0
;;5;de Regt, C.P.;38;0;1;0;1;0;1;0;3;1;1;10;1;2;0;2;0;0;3;1;2;0;3;1;3;0;1;0;0;1;0
;;6;Dam, C.W.;14;1;0;0;0;1;2;0;0;0;0;1;0;0;0;0;0;0;1;0;4;1;1;0;2;0;0;0;0;0;0
;;7;Prins, A.C.;40;0;3;1;0;2;3;1;0;3;2;0;0;3;4;0;0;2;0;2;5;0;6;0;1;2;0;0;0;0;0
;;8;Roks, N.A.A.;25;1;0;0;1;0;1;0;2;1;0;1;1;2;3;3;0;0;0;0;1;2;1;0;0;3;0;0;1;1;0
;;9;Dolphijn, B.G.J.;33;0;0;0;0;0;1;1;0;3;1;0;2;2;1;0;0;3;2;2;1;1;3;2;0;2;3;0;0;3;0
;;10;van Eekelen-Lambregts, M.M.A.C.;29;0;1;0;0;0;2;0;0;0;0;2;2;1;3;1;0;0;0;2;6;0;3;0;1;2;0;0;0;3;0
;;11;van Balkom, W.W.J.;6;0;0;0;0;0;2;0;0;1;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Dam, I.A.C.;10;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;1;1;0;0;2;0;0;0;1;0
;;13;Oentrich, F.C.;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Clarijs, G.A.J.M.;21;0;1;0;0;1;0;3;2;0;0;0;0;1;3;0;2;0;0;0;3;0;2;0;0;0;2;0;0;1;0
;;15;Baremans, P.M.;14;0;2;0;3;0;0;1;1;0;0;2;0;0;0;0;0;0;0;0;1;1;1;0;1;1;0;0;0;0;0
;;16;Roks-Moret, A.M.;13;0;0;0;1;1;0;0;0;1;1;0;1;0;1;0;0;0;0;1;1;0;1;0;0;2;1;0;0;1;0
