Verkiezing;;Gemeenteraad Steenbergen 2022;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Steenbergen;;;;;;;;;;;;;;;;;;
Nummer;;0851;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;'t Cromwiel;R.K. Basisschool Gummarus;"Scoutinggeb.""Wallenburch""";Gemeenschapshuis De Vaert;Dorpshuis Siemburg;Dorpshuis De Stelle;De Buitelstee A;De Buitelstee B;Gemeenschapshuis De Vossenburcht;Kantine Sportpark;Dorpshuis;'t Cromwiel (maandag);Dorpshuis (maandag);'t Cromwiel (dinsdag);Dorpshuis (dinsdag)
;;11;Gorissen, P.J.M.;20;1;0;11;0;3;0;0;0;0;1;2;0;1;0;1;0
;;12;van Geel, C.J.M.;9;0;1;0;0;0;0;0;0;0;7;0;0;0;1;0;0
;;13;de Nood, J.J.J.;14;0;0;0;4;0;2;0;2;2;0;0;2;0;1;1;0
;;14;van Elzakker, H.G.;7;2;1;3;0;0;0;0;0;0;0;0;0;1;0;0;0
;;15;Onland-van Haaren, M.A.F.H.;29;8;2;6;0;1;1;0;1;0;0;3;1;3;0;2;1
5;D66;;;861;108;41;95;70;88;18;5;41;34;22;10;91;55;56;64;63
;;1;Huisman, T.C.J.;338;21;9;17;10;11;10;2;31;28;6;1;72;16;43;7;54
;;2;Theuns, A.F.C.;188;31;13;38;26;21;0;0;1;1;2;8;2;18;0;27;0
;;3;Tunders, G.M.J.;40;3;2;6;4;21;0;0;0;0;1;0;0;2;0;1;0
;;4;Hoek-Kroon, D.;168;32;12;19;20;23;6;1;3;2;6;1;3;14;5;17;4
;;5;Huisman, J.G.;14;1;0;1;0;0;0;0;0;2;0;0;7;0;3;0;0
;;6;de Wit, B.;5;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0
;;7;van den Bosch, V.J.;8;3;1;1;1;0;0;1;0;0;0;0;0;0;0;1;0
;;8;van Eijk, J.L.;11;4;1;0;1;0;0;0;1;0;1;0;2;1;0;0;0
;;9;Akkermans, J.C.M.;8;0;0;3;0;2;0;1;0;0;2;0;0;0;0;0;0
;;10;Verwer-Nelen, P.M.A.C.;20;3;0;0;0;0;2;0;3;1;0;0;5;0;5;0;1
;;11;Nuiten, A.A.M.;17;4;1;5;0;0;0;0;0;0;0;0;0;3;0;4;0
;;12;van der Zande, P.C.M.;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Moors, L.A.J.;7;3;1;0;1;0;0;0;0;0;0;0;0;0;0;1;1
;;14;Sablerolle, J.P.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;15;Baselier-Hamers, L.C.M.;35;3;1;5;2;9;0;0;2;0;4;0;0;1;0;5;3
6;Progressief Samen;;;1165;187;81;151;131;95;50;31;26;21;47;27;51;85;39;123;20
;;1;Baali, N.;598;102;46;88;77;53;15;14;12;4;21;15;17;44;17;63;10
;;2;Stoeldraijer, J.J.M.;155;25;17;17;21;20;0;5;2;0;4;5;5;8;2;23;1
;;3;Geers, R.J.M.;67;19;1;14;7;1;0;0;0;0;0;2;0;11;3;9;0
;;4;van Thillo, E.A.H.;4;1;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0
;;5;van Eersel, I.;87;10;6;10;9;12;5;6;3;4;1;3;3;2;0;10;3
;;6;Arrias, R.S.;61;4;2;3;3;2;0;1;4;5;1;1;15;1;12;3;4
;;7;van Zielst, A.J.;38;5;1;8;1;2;1;0;0;0;16;1;0;2;0;1;0
;;8;van den Brand, J.A.G.M.;28;0;0;3;0;0;23;0;0;0;0;0;0;1;0;1;0
;;9;Hanswijk, J.A.;9;0;1;0;1;0;0;0;0;0;1;0;0;6;0;0;0
;;10;van Aken, G.N.;38;3;0;0;3;1;0;1;5;6;2;0;11;0;4;0;2
;;11;Baali-Musters, H.A.M.;9;2;1;0;1;0;0;0;0;2;0;0;0;1;0;2;0
;;12;Huisman, S.H.;11;3;1;0;1;2;0;2;0;0;0;0;0;0;0;2;0
;;13;van den Brand-Bartelen, C.A.A.M.;7;0;0;0;0;0;6;1;0;0;0;0;0;0;0;0;0
;;14;Korting, P.A.O.G.;9;2;0;0;4;0;0;0;0;0;0;0;0;1;0;2;0
;;15;Stoeldraijer-Franken, H.L.M.;26;4;4;5;0;1;0;1;0;0;0;0;0;5;0;6;0
;;16;Brooijmans, J.M.A.M;11;5;1;1;2;0;0;0;0;0;1;0;0;1;0;0;0
;;17;Groenenboom, A.C.;3;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0
;;18;Groenendijk, H.M.;4;2;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0
7;Stem0167;;;553;77;51;62;42;39;23;16;18;20;26;10;60;27;12;40;30
;;1;Aben, L.C.;141;17;13;25;13;16;7;7;2;5;5;4;6;6;1;8;6
;;2;van der Wegen, A.P.A.;110;22;14;15;14;6;7;2;2;2;6;4;5;4;0;7;0
;;3;Rozeboom-Bekker, E.;96;15;8;12;5;11;4;2;4;3;3;2;8;8;0;11;0
;;4;ten Cate, S.;11;3;0;0;3;2;1;0;0;1;0;0;0;0;0;0;1
;;5;Dekker, S.;77;7;0;1;0;0;1;0;6;4;3;0;33;0;7;3;12
;;6;Caumo, R.D.A.;5;3;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
;;7;Rozeboom, J.M.;16;0;0;0;0;1;0;0;2;4;0;0;0;0;2;1;6
;;8;ten Cate, A.M.;9;0;0;2;1;0;0;0;1;0;1;0;0;0;0;1;3
;;9;Korporaal, G.G.;16;2;0;0;0;1;0;5;0;0;3;0;0;2;0;3;0
;;10;Rozeboom, K.;13;1;0;0;0;0;0;0;0;1;1;0;8;0;0;0;2
;;11;van Opdorp, S.J.G.M.;59;7;16;7;6;2;3;0;1;0;4;0;0;7;0;6;0
