Verkiezing;;Gemeenteraad Woensdrecht 2022;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;
Gebied;;Gemeente Woensdrecht;;;;;;;;;;;;;;;;
Nummer;;0873;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;Appartementencomplex Lucashof;Dorpshuis 't Blickvelt;Multifunctioneel Centrum De Drieschaar;Hotel Dekkers;Multifunctioneel Centrum De Biezen;Multifunctioneel Centrum De Kloek;Gemeentewerken Woensdrecht (buitendienst);Gemeentehuis;Gemeentehuis;Multifunctioneel Centrum De Drieschaar;Multifunctioneel Centrum De Drieschaar;Multifunctioneel Centrum De Biezen;Multifunctioneel Centrum De Biezen
;;7;de Keijzer, A.H.J.F.;15;4;4;0;0;0;0;0;1;3;3;0;0;0;0
;;8;Bosmans, S.L.M.;29;2;0;1;0;0;13;1;0;0;0;0;0;0;12
;;9;Pals, L.P.M.;52;6;6;22;2;2;0;0;11;2;1;0;0;0;0
;;10;Hoeks, P.J.M.;12;6;0;0;0;0;0;0;1;2;3;0;0;0;0
;;11;Wigmans, G.;8;0;2;1;3;0;0;0;0;1;1;0;0;0;0
;;12;de Moor, P.J.P.;19;0;4;3;0;2;0;0;1;5;2;1;0;0;1
;;13;Verresen, W.M.J.;6;4;0;1;0;0;0;1;0;0;0;0;0;0;0
;;14;van der Wal, E.J.;5;1;0;0;1;0;0;2;0;0;1;0;0;0;0
;;15;van Tilburg, A.C.M.;4;1;2;1;0;0;0;0;0;0;0;0;0;0;0
;;16;Pals, L.F.M.;7;5;0;0;0;0;0;0;0;0;2;0;0;0;0
;;17;van Opdorp, C.C.J.;4;0;3;0;0;0;0;0;0;0;1;0;0;0;0
;;18;de Graaf, M.;4;2;0;0;0;0;0;2;0;0;0;0;0;0;0
;;19;van de Brug, H.G.;5;1;0;0;0;0;3;0;0;0;1;0;0;0;0
;;20;Nuijten, W.J.L.;7;0;0;2;2;0;0;2;0;0;1;0;0;0;0
;;21;Poleij, R.G.N.;36;14;7;3;0;1;0;0;2;1;8;0;0;0;0
;;22;Voesenek, D.P.A.;58;12;4;0;4;14;3;5;1;2;5;6;2;0;0
5;Partij van de Arbeid (P.v.d.A.);;;603;76;28;26;74;55;32;35;31;52;50;45;70;14;15
;;1;de Koning-Bogers, W.W.J.F.;361;36;12;15;57;40;13;17;18;25;27;29;52;11;9
;;2;van Honschoten, T.;69;10;7;10;3;3;3;4;9;8;9;0;2;0;1
;;3;Joosen, E.M.P.;51;15;6;0;4;1;2;3;1;5;7;2;5;0;0
;;4;van Doorn, R.;14;2;1;0;2;0;1;0;1;4;2;0;1;0;0
;;5;Gaarkeuken, R.B.;6;1;0;0;2;0;0;1;0;1;0;1;0;0;0
;;6;Bouman, B.W.;16;6;1;1;0;0;0;0;1;4;3;0;0;0;0
;;7;Schoenmakers, E.B.M.;11;2;0;0;0;0;0;8;1;0;0;0;0;0;0
;;8;Berben, R.R.E.;9;0;0;0;0;0;8;0;0;0;0;0;0;1;0
;;9;Beunk, J.P.C.;5;1;0;0;0;0;3;0;0;0;1;0;0;0;0
;;10;Jaspers, C.;61;3;1;0;6;11;2;2;0;5;1;13;10;2;5
6;D66;;;1024;190;102;98;82;46;47;86;48;73;157;27;34;11;23
;;1;de Heer, T.J.W.;332;63;20;25;30;15;16;37;20;18;52;8;18;3;7
;;2;van der Ha, J.C.A.;223;50;46;24;10;0;3;7;10;25;38;7;2;0;1
;;3;van Loon, F.C.;21;8;2;4;1;0;0;3;0;1;1;1;0;0;0
;;4;Verkuijl, V.M.H.;181;38;21;16;8;4;8;22;6;14;33;4;4;0;3
;;5;Janssen, G.A.P.;35;9;1;5;0;1;1;8;2;0;7;0;0;0;1
;;6;Thomson, M.A.;25;1;0;3;1;0;8;1;0;0;0;0;0;3;8
;;7;Moerkens, I.J.P.;85;4;1;5;27;22;3;1;1;2;4;5;9;1;0
;;8;van Essen, N.;40;8;3;10;2;0;0;3;0;2;12;0;0;0;0
;;9;Corporaal, M.;14;1;2;1;0;0;0;0;4;2;3;0;0;1;0
;;10;Slootweg, E.;16;1;1;1;0;0;2;1;1;4;4;0;1;0;0
;;11;Huige, M.G.L.;10;3;0;1;1;0;1;1;2;0;0;0;0;1;0
;;12;Schyvens, J.S.L.;6;0;0;0;0;3;0;2;0;0;0;1;0;0;0
;;13;de Heer-Hoeks, C.M.A.;9;2;3;0;0;1;0;0;1;2;0;0;0;0;0
;;14;van Nijnatten, D.J.P.;11;0;0;0;0;0;4;0;0;0;2;0;0;2;3
;;15;Bus, S.P.A.;2;1;0;0;0;0;0;0;0;1;0;0;0;0;0
;;16;Horstink, G.B.E.M.;3;0;1;0;0;0;0;0;0;1;1;0;0;0;0
;;17;Meijer Drees, E.;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;18;Suijkerbuijk, K.;5;1;0;2;0;0;0;0;1;1;0;0;0;0;0
;;19;van Dop, D.;5;0;1;1;2;0;0;0;0;0;0;1;0;0;0
7;Conservatieve Partij (CON);;;211;29;16;6;10;6;41;15;8;8;33;1;4;19;15
;;1;van Kakerken, J.J.M.;175;23;13;4;7;6;39;7;5;5;30;0;4;18;14
;;2;de Bruin, W.R.T.;22;0;3;2;1;0;0;8;3;2;1;0;0;1;1
;;3;van Gastel, B.F.C.;14;6;0;0;2;0;2;0;0;1;2;1;0;0;0
