Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Parrotia;Cultuurhuis de Suite;Buurthuis Keijenburg;Recreatiezaal Mimosaflat;Fatimahuis;Wiekendael;Buurtcentrum Kalsdonk;Buurtcentrum Kalsdonk;Parkeerterrein Liebau;Huis van de Westrand;Kadeplein;Moeder Godskerk;Moeder Godskerk;De Wieken;RSC Alliance;De Levensschool;'t Dijksteeke;'t Dijksteeke;Jan Tinbergen College;Sterrebos;Nisipa;Vondelschool;Schuurkapel;Schuurkapel;De Bergspil;De Wingerd;De Wingerd;Sterrebos;Werkplein Hart van West-Brabant;Huis van de Westrand;De Wieken;De Levensschool;RMHC De Pelikaan;RKVV Roosendaal;NS Station;RKSV Cluzona;De Geerhoek;De Geerhoek;ParelMoer;De Schalm;De Spil;Parrotia;'t Dijksteeke;De Bergspil;RKSV Cluzona;Huis van de Westrand;Nisipa;Moeder Godskerk;Buurtcentrum Kalsdonk;Parrotia;'t Dijksteeke;De Bergspil;RKSV Cluzona;Huis van de Westrand;Nisipa;Moeder Godskerk;Buurtcentrum Kalsdonk
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;16;17;18;19;20;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;101;102;103;104;105;106;201;202;203;204;205;206;207;208;301;302;303;304;305;306;307;308
Postcode;;;;;4701 PH;4701 EK;4702 CG;4702 BR;4702 GZ;4708 ZB;4702 RH;4702 RH;4703 CC;4703 HX;4703 GG;4707 AW;4707 AW;4707 CC;4707 XD;4707 TZ;4706 LB;4706 LB;4706 EZ;4706 LL;4709 AN;4707 AG;4708 DE;4708 DE;4708 HK;4708 KC;4708 KC;4706 LL;4701 GZ;4703 HX;4707 CC;4707 TZ;4708 AV;4708 AP;4702 VX;4724 BL;4724 EE;4724 EE;4727 SJ;4726 AH;4725 AC;4701 PH;4706 LB;4708 HK;4724 BL;4703 HX;4709 AN;4707 AW;4702 RH;4701 PH;4706 LB;4708 HK;4724 BL;4703 HX;4709 AN;4707 AW;4702 RH
;;2;van Broekhoven, R.G.J.;182;4;3;3;2;4;5;4;4;3;1;1;3;6;4;2;3;2;5;3;1;1;4;5;2;7;17;26;4;1;4;1;1;4;4;1;0;2;1;1;0;0;2;1;3;0;1;1;3;0;2;4;9;0;2;0;4;1
;;3;Raijmaekers, P.L.F.;148;3;14;2;2;2;2;7;3;2;1;3;5;4;7;1;0;4;4;0;4;1;1;1;1;7;4;2;1;2;4;2;0;3;5;0;0;1;3;0;1;1;6;1;2;0;1;0;9;0;3;3;5;0;1;0;7;0
;;4;Schillemans, M.C.M.;222;1;0;2;0;0;2;1;2;3;0;1;4;1;1;0;3;2;1;0;2;89;0;5;3;6;3;5;2;1;1;1;4;0;2;0;0;0;2;3;6;0;1;0;3;0;0;16;3;0;2;2;3;1;2;27;3;0
;;5;Van Looveren, S.J.C.M.;61;0;1;0;0;0;4;1;2;0;1;2;0;0;1;0;2;0;4;0;0;2;0;1;0;1;4;1;0;0;0;0;1;3;0;0;1;2;4;1;5;0;0;0;1;2;0;0;0;0;1;3;2;2;0;2;1;3
;;6;van Dorst, J.C.J.M.;417;9;15;5;2;8;4;1;4;7;3;3;7;4;12;8;1;1;9;2;2;0;4;4;2;10;10;2;7;3;0;4;2;1;2;2;0;3;2;0;1;207;6;3;2;0;0;0;3;0;7;3;3;1;2;1;10;3
;;7;van Oosterbosch, G.J.H.M.;224;6;7;0;7;18;1;2;1;7;3;3;4;6;5;4;0;6;6;2;1;1;2;1;2;9;9;6;8;6;9;6;0;3;3;1;5;14;5;1;2;2;2;1;3;5;0;0;4;0;4;12;3;2;0;0;4;0
;;8;van der Touw, S.R.;112;2;5;7;1;3;1;2;1;1;0;0;6;3;1;1;5;10;11;0;8;0;3;3;2;1;1;2;3;0;0;6;0;1;7;0;0;2;0;0;0;0;0;2;1;0;0;0;0;0;3;5;0;0;0;0;2;0
;;9;Hoendervangers, C.H.D.;65;0;1;1;0;1;1;0;0;1;0;2;0;1;1;3;4;4;4;0;3;0;4;3;1;1;2;1;3;0;0;1;0;3;0;0;0;2;1;0;0;0;0;6;0;0;0;0;2;0;0;6;0;0;0;0;2;0
;;10;Tekindemir, M.;158;0;1;1;0;6;0;20;14;0;3;3;1;0;0;9;14;4;0;2;4;0;6;1;1;2;0;1;1;2;6;6;6;0;0;1;0;0;0;1;0;0;1;1;0;0;4;0;3;4;0;2;0;0;14;0;0;13
;;11;Verstijlen, A.H.J.;98;0;0;3;1;1;4;1;0;1;3;2;0;1;0;1;1;2;2;0;2;0;6;7;6;14;3;2;0;2;2;5;2;8;1;0;0;2;0;0;2;0;0;0;3;0;1;0;0;1;1;0;4;0;0;0;1;0
