Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Parrotia;Cultuurhuis de Suite;Buurthuis Keijenburg;Recreatiezaal Mimosaflat;Fatimahuis;Wiekendael;Buurtcentrum Kalsdonk;Buurtcentrum Kalsdonk;Parkeerterrein Liebau;Huis van de Westrand;Kadeplein;Moeder Godskerk;Moeder Godskerk;De Wieken;RSC Alliance;De Levensschool;'t Dijksteeke;'t Dijksteeke;Jan Tinbergen College;Sterrebos;Nisipa;Vondelschool;Schuurkapel;Schuurkapel;De Bergspil;De Wingerd;De Wingerd;Sterrebos;Werkplein Hart van West-Brabant;Huis van de Westrand;De Wieken;De Levensschool;RMHC De Pelikaan;RKVV Roosendaal;NS Station;RKSV Cluzona;De Geerhoek;De Geerhoek;ParelMoer;De Schalm;De Spil;Parrotia;'t Dijksteeke;De Bergspil;RKSV Cluzona;Huis van de Westrand;Nisipa;Moeder Godskerk;Buurtcentrum Kalsdonk;Parrotia;'t Dijksteeke;De Bergspil;RKSV Cluzona;Huis van de Westrand;Nisipa;Moeder Godskerk;Buurtcentrum Kalsdonk
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;16;17;18;19;20;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;101;102;103;104;105;106;201;202;203;204;205;206;207;208;301;302;303;304;305;306;307;308
Postcode;;;;;4701 PH;4701 EK;4702 CG;4702 BR;4702 GZ;4708 ZB;4702 RH;4702 RH;4703 CC;4703 HX;4703 GG;4707 AW;4707 AW;4707 CC;4707 XD;4707 TZ;4706 LB;4706 LB;4706 EZ;4706 LL;4709 AN;4707 AG;4708 DE;4708 DE;4708 HK;4708 KC;4708 KC;4706 LL;4701 GZ;4703 HX;4707 CC;4707 TZ;4708 AV;4708 AP;4702 VX;4724 BL;4724 EE;4724 EE;4727 SJ;4726 AH;4725 AC;4701 PH;4706 LB;4708 HK;4724 BL;4703 HX;4709 AN;4707 AW;4702 RH;4701 PH;4706 LB;4708 HK;4724 BL;4703 HX;4709 AN;4707 AW;4702 RH
;;3;Mediani, C.;105;3;0;3;1;2;1;6;4;0;4;3;0;7;2;0;1;3;8;0;1;1;0;1;1;2;4;4;1;2;1;0;1;3;0;6;0;3;1;1;0;2;0;2;1;0;0;0;0;0;2;3;1;0;0;0;13;0
;;4;Villée, L.C.;59;2;0;2;0;1;0;0;0;0;0;0;1;0;2;4;0;2;5;0;1;3;2;3;0;1;1;1;0;0;0;4;2;0;0;1;0;3;0;0;3;4;1;0;0;0;0;0;1;1;0;2;2;0;1;0;1;2
;;5;Gepkens, A.J.M.;130;1;4;4;3;4;7;4;3;5;1;4;1;5;0;2;1;3;5;2;1;2;2;2;1;4;1;2;2;4;0;5;5;2;0;1;2;0;0;0;2;2;4;5;1;0;1;0;1;1;5;8;1;0;2;0;2;0
;;6;Reijman, M.;19;0;1;1;1;0;2;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;1;2;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;3;0;0;0;1;0;0;0
;;7;Robijn, L.;27;0;0;0;1;0;1;0;1;1;0;1;1;0;0;3;1;1;0;0;0;0;2;0;1;1;2;1;0;0;0;2;0;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1
;;8;Jille, P.A.;28;2;0;0;2;2;0;1;0;0;0;0;1;0;0;2;0;1;0;0;0;0;0;0;0;0;1;1;0;4;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;2;2;3;1;0;0;0;1;0
;;9;Donkervoort, P.J.;12;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;3;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;10;Alberts, J.H.;13;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;1;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;11;Reijman-Verheul, M.;13;0;0;1;0;1;0;0;1;0;0;0;1;1;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0
;;12;van Osch, M.J.;15;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;1;0;0;0;0;0;1;0;0;0;0;0;3;0
;;13;Lotterman, L.;18;1;0;0;2;0;0;0;0;0;0;0;0;0;2;0;1;1;1;1;1;0;0;0;0;0;1;1;1;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
;;14;Gorter, A.C.;46;0;2;2;3;1;2;1;0;0;0;1;0;0;1;3;0;3;3;0;0;1;2;0;0;4;1;0;2;2;0;0;0;0;0;1;2;0;0;1;0;0;0;0;0;0;0;0;1;1;0;1;2;0;0;1;2;0
6;Partij van de Arbeid (P.v.d.A.);;;1679;46;41;44;43;56;34;41;25;39;27;20;43;33;27;31;38;61;75;10;27;20;42;16;12;48;42;39;21;33;28;39;19;28;29;26;8;32;17;12;23;15;27;35;25;5;12;1;29;11;47;47;25;7;25;2;45;26
;;1;Rommens, B.;690;16;16;22;12;25;19;17;6;13;12;4;16;15;13;17;20;29;27;4;13;12;12;5;8;17;11;12;10;16;9;17;9;10;12;8;1;10;11;5;13;7;11;16;12;1;6;1;18;5;13;23;16;3;9;2;19;4
;;2;Klaver, P.R.;238;10;5;6;10;5;1;4;2;5;3;3;7;4;4;5;3;4;10;1;2;3;6;1;1;5;8;13;2;3;4;3;4;5;4;9;1;4;2;2;2;3;8;2;4;4;1;0;2;0;11;6;2;4;4;0;9;2
;;3;Derks, E.;225;5;8;3;3;9;1;3;3;6;1;8;7;3;2;4;2;12;11;3;2;2;10;2;0;8;7;6;2;3;0;2;3;6;5;5;0;4;1;0;7;4;2;12;5;0;3;0;5;3;4;6;1;0;4;0;5;2
;;4;Bouquet, R.P.P.;37;0;1;2;0;0;1;0;0;0;1;0;1;4;0;0;0;5;2;0;0;0;0;0;1;3;4;0;1;0;0;3;0;2;1;0;0;1;0;2;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0
;;5;van Hal, H.J.;28;1;0;1;0;1;1;0;0;1;0;1;0;2;1;1;2;1;2;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;1;0;0;2;2;0;0;1;0;0;0;1;0;0;0;0;0;1;0
;;6;Pels, R.J.G.;53;1;1;1;3;5;0;1;4;0;3;0;3;2;0;2;0;0;1;0;0;1;4;2;0;0;0;1;0;2;5;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;2;0;0;2
;;7;Poppe, T.P.M.;14;0;0;1;2;0;0;0;0;2;0;0;0;0;0;0;0;1;2;0;0;2;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;8;Zijp, M.B.;47;1;0;1;0;2;4;6;1;1;0;0;0;0;0;0;1;1;3;0;0;0;1;0;0;2;3;1;0;2;1;0;0;1;1;0;0;0;0;0;0;0;2;0;1;0;0;0;1;2;0;1;1;0;2;0;3;1
;;9;van Iersel, A.A.J.;18;0;1;0;2;0;0;1;1;0;2;0;1;0;0;0;0;0;4;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
;;10;Jongmans, C.W.M.;49;4;4;0;0;3;0;1;1;2;1;0;3;0;0;0;2;2;0;0;0;0;1;1;0;3;1;0;2;0;0;0;0;1;0;0;1;3;1;0;0;0;0;0;0;0;1;0;1;1;4;2;1;0;0;0;2;0
;;11;Kunst, A.J.M.;32;0;0;3;0;1;0;0;0;3;1;0;0;0;1;0;1;0;3;0;1;0;2;2;0;0;0;0;1;1;0;4;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;2;2;0;0;0;0;0;1
;;12;van Meel, J.P.L.M.;10;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;13;van Nijnatten, C.J.P.H.;41;1;2;0;2;0;3;0;0;0;0;0;0;0;0;0;2;0;2;2;3;0;0;1;0;4;1;0;0;0;3;0;0;0;0;2;3;2;0;0;0;0;1;2;0;0;0;0;1;0;2;0;0;0;0;0;0;2
;;14;Reuvers, C.A.I.;18;1;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;1;1;0;0;0;1;0;0;1;0;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;Souren, I.J.M.I.;4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;Stroop, E.J.M.;29;2;0;0;4;0;0;0;0;3;1;0;0;2;0;0;3;1;1;0;0;0;0;0;0;0;1;0;0;1;0;0;2;1;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;1;0
;;17;Wagemans, A.J.T.;4;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;18;Zacht, A.G.H.M.;9;0;0;1;0;2;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;19;Ahlalouch, K.;59;1;0;2;0;0;4;5;5;0;1;0;0;0;4;0;2;1;3;0;0;0;0;0;0;1;0;0;1;2;2;5;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;2;0;3;10
;;20;Yap, M.S.;74;0;1;1;5;2;0;3;2;2;1;2;3;1;2;2;0;2;4;0;2;0;4;0;0;1;4;4;0;0;4;1;1;1;4;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;2;4;3;0;0;0;2;2
7;D66;;;1248;29;29;24;21;34;19;32;27;22;26;12;19;19;24;18;23;42;42;27;21;7;33;18;23;41;28;33;27;43;16;26;33;38;6;23;10;21;17;12;15;8;15;39;10;6;8;4;28;4;21;43;24;4;16;2;22;14
;;1;Taher, B.;512;11;13;16;12;8;8;6;7;6;14;6;8;9;5;9;10;20;19;15;11;0;15;9;11;19;10;11;16;13;5;10;9;10;2;11;6;9;9;5;7;3;8;22;3;2;2;3;8;1;13;20;9;1;5;2;6;4
;;2;van Zon, S.;59;3;2;0;0;2;2;2;2;1;1;2;1;0;3;1;0;1;4;0;1;1;1;0;2;4;1;2;0;1;0;2;3;1;0;2;0;1;1;0;0;0;2;0;1;0;0;0;0;0;0;2;2;0;0;0;1;1
;;3;Peters, F.;366;9;10;6;7;13;4;2;4;9;3;0;4;7;9;6;3;10;13;6;8;2;9;5;6;12;13;12;9;17;7;7;7;13;2;4;3;7;6;6;6;3;3;16;5;3;3;1;5;1;4;12;10;2;2;0;6;4
;;4;Rasul, M.;31;0;0;1;0;0;0;1;1;0;0;1;0;0;3;0;5;0;0;2;0;0;1;0;0;0;0;1;0;1;0;1;9;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;5;Tevkir, G.;151;2;1;1;1;9;0;18;12;2;7;0;1;1;0;1;0;3;1;3;0;0;4;1;3;5;3;7;0;7;2;0;1;9;0;4;1;3;0;1;0;0;1;0;1;1;3;0;10;1;3;3;3;1;4;0;1;5
;;6;Biezemans, J.P.H.;25;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;2;1;2;0;0;0;0;1;1;0;0;0;0;1;1;0;0;4;0;1;0;1;1;0;0;2;0;0;0;0;0;0;0;0;0;4;0;0;1;0;0;0
;;7;Aanraad, B.C.A.;29;2;3;0;0;0;2;0;1;1;1;1;0;0;4;1;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;2;0;2;0
;;8;Goedvriend, J.C.;6;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;9;van den Bogart, F.;11;1;0;0;1;0;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0
;;10;Grigoryan, A.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;Goedvriend, T.G.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Sarvari, M.W.;21;0;0;0;0;0;0;1;0;0;0;0;4;1;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;2;0;3;0
;;13;Dekkers, S.A.P.;12;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;5;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;14;Emmen, H.W.;22;0;0;0;0;1;1;1;0;0;0;0;1;0;0;0;0;1;0;1;0;3;0;0;0;0;0;0;2;1;1;3;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
8;ChristenUnie;;;583;11;9;12;9;24;14;12;5;10;9;4;14;14;20;13;30;19;23;9;14;4;15;6;4;18;8;7;11;8;6;13;22;15;6;7;4;1;5;4;11;6;5;16;7;0;4;1;12;2;5;31;16;1;9;2;13;3
;;1;Suijkerbuijk-Ader, K.;375;5;7;6;7;16;9;9;1;9;3;3;6;8;8;10;21;11;14;9;10;4;7;3;2;12;5;5;7;6;2;9;11;11;4;6;3;1;5;2;11;4;4;15;4;0;1;0;7;2;2;19;12;1;5;2;7;2
;;2;van Putten, M.P.;49;2;0;0;1;1;2;1;0;0;2;0;0;2;4;2;2;3;1;0;0;0;1;1;0;1;1;1;0;0;0;1;2;0;0;1;1;0;0;0;0;0;1;1;2;0;0;1;3;0;0;1;4;0;1;0;2;0
;;3;Edionwe, O.A.;34;0;0;5;0;1;0;1;3;0;2;0;3;1;0;0;2;1;0;0;0;0;3;0;1;0;0;0;1;1;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;1
;;4;Louwen, C.W.;31;2;0;0;0;1;0;0;0;0;0;1;1;2;5;0;2;1;3;0;0;0;2;0;0;0;2;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;2;0;0;0
;;5;Thielen-Kaijser, E.;8;0;0;0;1;0;0;0;0;0;2;0;0;1;0;1;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;6;Eekhof, C.P.;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;7;Suijkerbuijk, S.;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;1;0
;;8;Ader, K.;12;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;2;0
;;9;Boston-van der Star, W.;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;10;Boeschoten, J.W.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;11;Volbeda, H.W.;12;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;2;0;0;0;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
;;12;Volbeda-Bronsveld, D.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Wijling-Brandes, J.E.;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Pouwelse, P.;7;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
;;15;van Blanken, J.;13;0;1;0;0;2;1;0;1;0;0;0;1;0;0;0;0;0;2;0;1;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;16;Testers-van der Maas, G.A.M.;22;2;0;1;0;0;0;0;0;1;0;0;3;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;3;2;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;1;0;0;0;0;0;0
9;Forum voor Democratie;;;1031;26;25;32;8;23;19;33;32;14;14;20;22;12;19;21;24;44;32;8;20;21;23;27;10;56;22;10;15;27;22;18;29;18;12;18;10;19;20;8;27;40;9;12;7;0;2;3;12;5;12;11;21;2;12;5;13;5
;;1;van Leerzem, C.S.A.;725;14;18;26;7;21;17;21;20;7;11;12;14;7;10;16;18;35;19;6;14;14;11;23;3;42;13;8;9;19;13;8;20;13;10;11;9;15;16;5;22;33;5;8;4;0;1;3;8;4;10;10;15;1;10;4;9;3
;;2;van Hooff, J.A.J.;82;3;0;1;0;0;0;1;2;3;1;2;0;0;2;1;2;1;5;0;0;1;9;2;1;7;3;1;2;2;3;0;1;1;1;3;0;1;2;3;3;2;4;0;0;0;1;0;1;0;0;0;2;1;1;0;0;0
;;3;Kerseboom, D.C.C.W.;151;9;5;4;0;2;1;8;8;3;1;4;4;4;2;4;3;6;8;2;6;6;2;1;3;4;4;0;3;6;4;8;5;1;1;1;0;0;2;0;1;3;0;3;2;0;0;0;3;0;0;0;2;0;0;0;2;0
;;4;Koopmans, F.K.J.;31;0;0;1;1;0;0;2;1;0;1;1;3;1;1;0;1;0;0;0;0;0;1;0;0;1;1;0;1;0;1;1;0;2;0;2;0;1;0;0;1;0;0;0;0;0;0;0;0;0;2;1;2;0;0;0;1;0
;;5;Blummel, R.P.W.R.;21;0;2;0;0;0;1;0;0;0;0;1;0;0;2;0;0;1;0;0;0;0;0;1;3;0;1;0;0;0;0;1;1;1;0;0;1;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2
;;6;van Woudenberg, M.H.;7;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
;;7;Melis, K.E.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;8;Heslinga, L.E.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;9;van den Oetelaar, J.C.M.;11;0;0;0;0;0;0;1;1;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0
10;Vitaal Liberaal;;;752;33;32;11;12;27;10;7;5;21;7;9;24;16;16;8;9;22;21;19;13;7;31;14;7;25;13;7;15;21;5;24;17;11;8;6;2;8;10;3;13;5;18;8;14;6;4;0;24;4;22;22;18;3;7;3;21;4
;;1;Wezenbeek, J.J.M.M.;482;24;15;3;10;14;6;6;2;13;6;2;22;12;11;4;8;13;13;14;10;5;16;12;4;15;9;7;14;12;2;16;10;4;7;2;0;6;2;2;9;2;12;8;7;5;1;0;19;4;9;13;12;2;4;3;15;4
;;2;Kraak, K.;20;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;1;0;1;0;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;3;Sieben-Thomas, A.C.J.C.;101;5;6;4;2;2;2;0;1;2;0;1;1;1;1;1;0;3;4;4;0;2;3;1;0;4;4;0;1;4;1;0;3;5;1;0;0;2;5;1;3;2;1;0;3;1;3;0;1;0;4;5;1;0;0;0;0;0
;;4;Hendrikx, F.M.A.M.;9;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;1;0;0;0;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;5;Sieben, E.P.B.M.;39;1;1;1;0;0;1;0;0;0;0;2;0;1;0;0;1;1;2;1;1;0;3;1;0;1;0;0;0;0;0;4;1;0;0;4;0;0;1;0;0;1;2;0;0;0;0;0;0;0;3;1;1;0;1;0;2;0
;;6;van Reusel, W.J.M.C.;21;0;0;0;0;0;0;0;0;4;1;0;1;2;0;1;0;0;0;0;0;0;6;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0
;;7;Auping, T.A.A.M.;26;0;2;2;0;1;1;0;0;0;0;0;0;0;3;2;0;0;0;0;0;0;1;0;2;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;1;1;3;0;0;0;0;0
;;8;de Wit, T.G.J.M.;20;3;5;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;1;1;0;0;1;0
;;9;Matheuse-de Wit, A.A.M.;13;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0
;;10;Timmers, R.O.C.;21;0;2;1;0;0;0;0;1;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;2;0;2;0
11;Burgerbelangen Roosendaal;;;1078;16;13;18;16;26;23;58;46;16;47;20;26;15;25;17;27;46;42;9;9;4;35;8;6;49;21;17;17;23;40;17;28;16;7;6;7;14;9;2;12;10;7;8;20;4;7;1;7;16;8;11;14;5;30;1;24;52
;;1;Bozkurt, S.;594;9;3;12;6;13;11;27;27;6;33;10;19;5;9;13;15;26;21;7;4;1;17;1;3;23;16;8;5;10;23;13;11;8;6;4;4;6;4;2;7;5;2;3;10;2;5;0;5;15;3;3;6;0;26;1;14;46
;;2;van der Heijden, P.M.;118;1;0;0;2;1;4;2;1;4;5;2;3;2;3;1;3;10;6;1;0;1;4;1;1;11;3;3;4;1;3;0;2;4;0;0;1;2;2;0;2;1;1;2;5;0;0;0;2;0;0;1;2;2;4;0;0;2
;;3;Vloedgraven, W.;76;2;3;1;5;0;1;1;1;3;2;1;2;0;3;1;2;0;3;0;1;1;1;1;1;7;0;2;0;6;2;1;2;2;1;1;0;1;1;0;1;0;1;1;0;1;0;0;0;0;1;1;4;1;0;0;3;0
;;4;Dayi, F.;36;0;0;0;0;4;0;3;5;1;2;2;0;0;1;0;1;4;1;0;0;0;2;0;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;1;0;2;0;0;0;0;0;0
;;5;van Aart, D.E.M.;48;1;1;0;2;3;0;0;0;0;2;1;1;5;1;2;0;3;2;1;0;0;0;3;1;2;2;1;0;1;1;1;1;1;0;0;0;3;0;0;1;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;2
;;6;Jaddi, J.;13;0;0;0;0;1;0;0;2;0;1;0;0;0;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;7;Kara, R.;19;0;1;0;0;2;0;5;1;0;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0;1;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0
;;8;Yilmaz, E.;14;0;0;0;0;1;0;2;0;1;0;0;0;1;0;0;0;0;4;0;0;0;0;0;0;0;0;0;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;9;Dogan, S.;32;1;0;3;0;0;4;8;6;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
;;10;Claessens, J.G.W.;10;0;2;0;0;0;0;0;2;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
;;11;Assiedi, F.;32;0;0;0;0;0;0;2;0;0;0;1;0;1;2;0;1;1;0;0;1;0;10;2;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;5;0
