Verkiezing;;Gemeenteraad Oosterhout 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Oosterhout;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0826;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stadhuis;Theater de Bussel;Pannehoef;"Speelgoed-& Carnavalsmuseum ""op Stelten""";Loods bij MidZuid;Sporthal Markkant;Arendshof;"Activiteitencentrum ""De Bunthoef""";Oosterheidehal;ATV Scorpio;Gymzaal Kruidenlaan;Sporthal Arkendonk;Voetbalvereniging SCO;Twins Sporting Club;"Gemeenschapshuis ""Oostquartier""";De Klip;"Dorpshuis ""Den Brink""";VV Oosterhout;Oosterheem;"Activiteitencentrum ""Dommelbergen""";De Doelen;Stadhuis;Pannehoef;Oosterheidehal;Sporthal Arkendonk;Stadhuis;Pannehoef;Oosterheidehal;Sporthal Arkendonk
;;18;Krause-Emans, E.;37;0;0;0;1;0;0;0;1;4;0;0;0;0;0;0;30;0;0;1;0;0;0;0;0;0;0;0;0;0
;;19;Nunn, T.P.;4;0;0;1;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Bos-Beekhof, M.;25;0;1;2;0;0;11;0;1;1;3;1;0;0;0;1;0;0;0;0;0;0;0;2;0;1;0;0;0;1
;;21;de Wit, R.;4;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0
;;22;Cooijmans-Blokhuis, J.J.M.;7;0;0;0;0;0;0;0;2;2;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0
;;23;van Dael, R.M.H.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0
;;24;Jonker-Dirven, M.W.T.;7;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;1
;;25;van der Helm-van der Linden, E.H.M.;28;7;1;3;0;0;0;0;3;1;1;1;1;0;1;0;0;0;0;0;0;1;1;1;0;0;0;5;1;0
;;26;van der Helm, R.P.;79;10;4;7;4;0;11;0;0;2;1;3;0;3;2;1;0;5;0;2;0;2;3;3;2;0;3;9;0;2
3;GROENLINKS;;;2969;209;210;128;114;18;187;30;160;198;33;149;138;52;50;34;102;52;2;59;88;42;110;51;132;105;161;118;129;108
;;1;van der Zanden, W.J.W.A.;940;57;55;39;56;6;68;13;49;49;14;51;35;16;15;14;37;21;0;36;28;19;26;16;28;34;47;36;35;40
;;2;Kuhlmann, J.M.;836;39;81;36;26;7;70;9;27;44;9;59;37;23;22;13;47;19;2;10;22;5;40;26;13;31;37;45;16;21
;;3;van der Pluijm, A.H.K.M.;35;3;2;1;0;0;5;1;2;1;0;0;1;1;3;0;1;1;0;2;0;1;5;0;0;0;3;0;0;2
;;4;Louwerens, M.;51;8;4;8;1;0;2;0;3;4;1;3;0;1;0;0;1;6;0;0;0;0;2;0;1;1;2;2;1;0
;;5;Kuipers, W.W.P.C.;47;5;1;0;1;0;1;0;10;2;1;2;0;0;2;1;0;0;0;1;9;1;3;0;0;5;1;0;0;1
;;6;Güler, Ü.;581;60;33;9;2;0;14;0;46;70;1;9;31;3;2;1;1;1;0;0;13;6;22;1;79;19;53;17;68;20
;;7;van Vugt, I.R.C.;66;10;3;4;6;4;2;1;1;3;0;2;12;0;1;0;0;1;0;0;2;2;2;0;1;4;2;0;0;3
;;8;Nelissen, L.F.A.;9;3;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
;;9;Keller, C.N.;28;1;1;2;1;0;3;2;0;1;0;0;2;4;2;0;0;0;0;1;3;1;1;0;0;0;0;0;0;3
;;10;Mekenkamp, B.H.M.;81;5;2;4;6;0;6;2;4;7;1;6;2;1;1;2;6;0;0;1;2;1;1;1;2;1;8;5;1;3
;;11;Breems, H.J.;42;0;2;2;1;0;4;0;4;3;1;3;3;0;1;1;0;1;0;1;3;0;0;1;2;3;1;1;1;3
;;12;Hoyng, E.J.M.;25;0;2;4;0;0;0;0;1;1;1;3;2;0;0;0;0;0;0;0;2;1;0;0;0;3;2;3;0;0
;;13;Boers, J.W.A.;37;3;4;4;0;0;0;0;0;5;0;0;0;1;1;0;4;0;0;1;0;2;4;2;1;2;1;1;0;1
;;14;Steffens, F.;51;5;7;4;2;0;0;0;8;2;1;2;1;0;0;1;3;0;0;1;2;0;3;0;2;0;0;1;3;3
;;15;Bronckers, R.H.E.;10;1;0;2;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;0;0
;;16;van Poppel, J.C.J.L.;12;0;0;2;0;0;4;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1
;;17;Vermeulen, J.H.;4;0;0;1;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;Kuipers, M.J.;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;van den IJssel, M.A.;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
;;20;van Wanrooij, F.A.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;Vissenberg, W.P.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Burink-Vreeken, G.J.;9;0;0;0;0;0;2;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0
;;23;Schmitt, P.E.;5;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;24;van der Pluijm, P.J.;31;0;6;1;5;0;1;0;2;0;1;0;0;0;0;0;0;2;0;1;1;2;0;2;0;0;1;2;3;1
;;25;Driesse, C.J.;7;0;0;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0
;;26;van der Zanden, W.J.E.;9;6;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;van den Heijkant, C.C.M.;11;1;3;0;3;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;28;Poell, P.P.J.M.;7;0;0;0;0;0;0;0;0;2;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;29;Tuerlinckx, L.;9;0;0;1;0;0;2;0;0;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
;;30;Groeneveld, J.;3;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;31;Broekhoven, J.C.P.;9;0;1;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;2;0;0;1;0;2;0;0;0;0;0
;;32;van den Heuvel-van Erp, M.G.;10;1;2;1;1;0;0;0;0;3;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
4;Gezond Burger Verstand;;;2676;112;126;120;103;25;225;25;89;119;25;92;130;64;56;139;138;323;17;49;94;32;63;78;40;77;74;120;51;70
;;1;van Ginneken, H.C.;970;32;34;41;31;4;78;8;26;40;15;30;47;27;22;51;48;167;8;9;35;12;24;37;17;27;19;43;19;19
;;2;Broekhoven, J.M.I.;451;19;20;29;11;7;42;6;8;25;2;20;30;13;6;9;9;43;0;15;18;4;11;14;7;19;14;22;8;20
;;3;Bogerd, P.J.;318;22;31;21;35;2;27;1;19;12;0;6;16;11;7;7;5;2;0;9;10;4;11;8;3;5;18;14;4;8
;;4;Vonk-Asmus, E.;130;12;5;7;3;4;13;2;8;7;1;5;8;3;4;0;2;2;2;1;5;0;2;3;6;5;3;8;3;6
;;5;van der Schriek, W.A.F.;84;0;0;0;0;0;3;0;2;0;0;1;1;0;0;0;58;7;1;0;2;1;1;0;0;0;2;5;0;0
;;6;Schoenmakers, B.G.M.;116;4;2;2;7;3;3;2;3;2;0;4;1;2;2;54;2;1;0;0;1;0;4;4;1;3;1;2;2;4
;;7;van Baal - van den Oetelaar, M.M.D.;112;8;10;0;4;4;5;2;2;9;2;4;5;1;6;1;6;2;1;5;8;2;5;1;1;4;2;3;4;5
;;8;van Dommelen, J.J.;49;1;0;1;0;0;4;0;2;1;0;3;0;1;3;1;0;21;0;0;1;0;0;2;0;0;2;5;0;1
;;9;Caron-Moerenhout, R.G.A.M.;43;3;1;1;0;0;3;2;0;1;4;1;0;1;0;2;0;14;3;0;0;0;0;0;0;0;2;2;1;2
;;10;van Twist, P.J.H.M.;9;1;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;1
;;11;Flipsen-Verhagen, M.C.C.;65;0;0;0;1;0;5;0;1;1;0;5;4;0;1;2;3;35;0;0;0;0;1;2;1;1;1;1;0;0
;;12;Muskens, W.J.B.M.;10;0;3;1;1;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;1;0;0;1;0
;;13;van Kesteren, A.M.C.;11;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;2;0;0;0
;;14;Loonen, W.C.M.;15;1;0;1;0;0;0;0;1;1;0;2;0;1;0;6;0;0;0;0;0;0;0;0;0;0;0;2;0;0
;;15;van Gils, W.J.P.A.M.;13;1;1;1;1;0;0;0;0;1;1;0;1;0;0;0;0;5;0;0;0;0;0;0;0;1;0;0;0;0
;;16;van Ham, H.C.;66;1;10;4;2;0;8;1;3;0;0;2;1;0;2;0;0;3;1;5;5;7;1;3;0;2;0;3;0;2
;;17;van Ginneken, A.M.W.;22;0;1;4;2;0;1;0;0;5;0;0;3;2;1;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0
;;18;van Bijnen, H.C.;10;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;1;1;0;0;1;1;1;0
;;19;Langedijk, N.S.;20;0;0;1;0;0;3;0;2;3;0;2;2;0;0;0;0;2;1;0;0;0;0;0;1;2;0;1;0;0
;;20;Broere, L.J.;28;1;0;0;0;1;12;0;0;0;0;0;2;1;2;0;0;1;0;1;1;0;0;2;0;1;0;1;2;0
;;21;Leenders, T.C.;20;0;1;0;0;0;2;1;0;2;0;3;0;0;0;0;0;0;0;0;3;0;0;0;2;1;0;2;2;1
;;22;de Clerck, D.Q.A.;15;0;0;2;0;0;0;0;7;0;0;1;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;1;0
;;23;Roelen-Nous, C.M.;21;0;1;1;0;0;3;0;1;0;0;0;0;0;0;0;0;13;0;0;1;0;0;1;0;0;0;0;0;0
;;24;Frik, M.J.;60;4;4;0;4;0;8;0;0;5;0;3;9;1;0;4;2;0;0;1;0;0;2;0;1;2;4;3;2;1
;;25;Strack van Schijndel, A.P.M.;18;0;0;3;0;0;2;0;0;4;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;1;3;0;1;0
5;CDA;;;1400;61;83;57;57;3;66;20;61;50;8;61;31;22;14;242;80;54;2;41;27;54;45;35;31;31;60;38;35;31
;;1;Trommelen, P.H.M.;834;30;35;23;42;0;25;12;32;26;5;32;15;11;6;234;45;30;1;23;10;28;20;20;19;19;38;18;17;18
;;2;Bakx, A.A.P.;68;5;8;3;3;0;7;0;1;1;0;3;2;3;1;1;2;1;0;3;3;1;5;1;2;3;3;3;2;1
;;3;Rutten, R.L.F.;63;2;7;11;1;0;2;1;3;3;1;6;1;1;0;1;0;1;0;4;1;6;1;0;1;1;1;5;2;0
;;4;Bakx, F.D.C.J.;26;0;2;5;3;0;0;0;0;1;0;0;1;1;0;0;2;0;0;1;1;0;0;4;0;0;0;3;2;0
;;5;Bakx - Braamzeel, N.A.;123;8;7;3;2;1;15;0;10;14;0;6;7;0;2;2;3;3;1;4;6;6;4;3;5;2;4;0;2;3
;;6;Michielsen - Broeders, C.L.M.;114;8;14;6;4;0;6;5;1;0;1;9;2;4;2;4;0;2;0;3;5;7;9;1;1;3;6;2;3;6
;;7;van der Westen, P.C.P;12;0;1;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;1;0;2;2;2;0;0;0;1;0;0
;;8;de Kok, C.J.M.;54;1;2;1;1;1;1;0;3;2;0;0;0;0;1;0;28;0;0;1;1;2;1;1;0;0;3;0;2;2
;;9;Kusters, J.P.A.;20;0;2;1;0;0;0;0;0;0;0;0;2;0;0;0;0;13;0;0;0;0;0;0;0;0;0;2;0;0
;;10;Rasenberg, A.M.J.;35;2;0;3;1;0;7;1;2;1;0;2;0;2;0;0;0;4;0;0;0;1;1;1;3;2;2;0;0;0
;;11;van Arkel, J.;16;0;4;0;0;0;0;0;1;2;0;0;0;0;2;0;0;0;0;0;0;0;1;1;0;0;1;1;2;1
;;12;Verkooijen, J.F.M.;10;3;0;1;0;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0
;;13;Kuijpers, J.A.M.;7;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0
;;14;Broere, R.Z.P.;2;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;de Jong, P.M.H.;16;2;0;0;0;1;1;0;1;0;0;2;0;0;0;0;0;0;0;1;0;1;0;1;0;0;1;3;2;0
6;D66;;;1861;88;114;110;67;7;153;14;58;98;20;126;79;40;23;26;248;57;8;29;43;21;46;51;35;48;75;59;43;75
;;1;Beenhakker, G.;775;32;27;50;25;4;66;3;25;48;4;54;27;10;8;12;126;23;5;10;24;9;20;23;16;24;33;18;15;34
;;2;Basting, J.;143;5;14;11;3;1;11;0;5;14;3;11;9;4;2;2;0;6;0;4;3;2;3;6;3;5;6;5;3;2
;;3;van Bijnen, M.C.M.;216;18;29;19;19;1;9;3;4;7;0;20;10;6;4;2;1;6;1;2;2;4;9;6;5;5;12;3;3;6
;;4;van Kuijck, M.A.C.;82;1;1;1;1;0;1;0;0;0;1;0;1;0;0;0;62;0;0;1;0;0;0;0;0;9;0;1;2;0
;;5;Hemmer, M.E.;402;21;29;22;15;1;43;4;15;21;6;28;22;15;7;9;17;15;1;6;14;4;10;6;8;0;16;17;12;18
;;6;Schuurmans, R.D.M.;48;1;1;0;2;0;4;0;3;3;0;2;1;1;0;0;1;2;1;2;0;0;0;9;1;2;3;1;4;4
;;7;van der Wal, J.A.;36;1;5;2;1;0;5;0;1;1;3;3;0;0;0;0;2;0;0;1;0;0;3;0;0;0;2;3;1;2
;;8;Overbeek, M.S.;57;3;1;2;0;0;2;0;2;1;0;1;0;2;1;0;36;0;0;1;0;0;0;0;1;1;0;2;1;0
;;9;van Eekelen, J.C.;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
;;10;Keetbaas, K.;29;1;2;2;0;0;4;0;0;1;1;0;3;1;0;0;3;5;0;0;0;1;0;0;0;0;1;1;1;2
;;11;van Bree, B.M.;16;2;0;0;0;0;0;0;2;1;0;1;1;1;1;0;0;0;0;0;0;1;1;0;1;0;0;3;0;1
;;12;Datema, J.G.H.;12;0;3;0;1;0;0;1;0;0;0;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Korebrits, M.S.;27;1;1;1;0;0;7;0;1;1;2;2;0;0;0;0;0;0;0;1;0;0;0;1;0;2;1;3;1;2
;;14;Verkooijen, A.C.M.;6;0;1;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1
;;15;Dullens, G.;8;0;0;0;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3
7;Partij van de Arbeid (P.v.d.A.);;;1027;54;64;40;33;8;77;5;43;52;12;55;55;32;20;10;20;22;4;30;46;28;51;44;32;36;38;31;40;45
