Verkiezing;;Gemeenteraad Son en Breugel 2022;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;
Gebied;;Gemeente Son en Breugel;;;;;;;;;;;;;;;
Nummer;;0848;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis, Raadhuisplein 1;De Zwaan, Markt 9;La Sonnerie, Nieuwstraat 45;Braecklant Amerikalaan 2;De Bongerd, Asteroïdelaan 2a;De Boerderij, Leeuwstraat 2;Voetbalver SBC, Afrikalaan 2;HTC Tennis, Rooijseweg 7;Gemeentehuis, Raadhuisplein 1;Braecklant, Amerikalaan 2;Gemeentehuis, Raadhuisplein 1;Braecklant, Amerikalaan 2;Berkenstaete, De Bontstraat 71
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13
Postcode;;;;;5691 AL;5691 AR;5691 AB;5691 KD;5694 WJ;5694 VR;5691 ZH;5691 PA;5691 AL;5691 KD;5691 AL;5691 KD;5691 SV
;;3;Brocken, E.T.M.;74;17;4;6;17;7;7;0;1;2;2;7;4;0
;;4;Brouwers, J.F.X.M.;79;13;3;1;23;9;3;0;1;5;5;10;6;0
;;5;van Turnhout, C.E.M.J.;37;3;1;1;8;4;3;4;2;3;4;2;2;0
;;6;van der Donk, D.T.;15;5;0;0;3;0;2;1;0;0;3;0;1;0
;;7;Muller, A.;33;7;0;0;9;5;3;4;1;0;0;3;1;0
;;8;van der Looij, M.P.C;13;8;0;0;2;2;0;0;0;1;0;0;0;0
;;9;van der Hooft, W.F.J.;6;0;0;0;2;0;1;3;0;0;0;0;0;0
;;10;Rattink, J.A.J.;10;1;2;0;4;1;2;0;0;0;0;0;0;0
;;11;Muller, J.T.M.;8;2;0;1;1;1;0;0;1;2;0;0;0;0
;;12;Goossens, R.A.;4;1;0;0;0;0;1;0;0;0;1;1;0;0
;;13;Visser, R.;17;6;2;0;2;1;1;0;0;1;2;1;1;0
;;14;Bergmans-Venekamp, L.;18;1;0;1;3;1;3;1;0;0;1;3;4;0
5;Partij van de Arbeid (P.v.d.A.) / GROENLINKS;;;956;178;42;40;197;105;89;47;26;55;37;80;55;5
;;1;van Dam, J.J.J.;459;86;19;27;75;54;44;19;13;26;24;45;26;1
;;2;Grevink, S.;51;7;5;1;15;1;3;2;0;4;2;2;5;4
;;3;Peek, Y.;15;3;1;1;5;2;0;1;0;1;0;1;0;0
;;4;Corsten, S.;229;47;11;4;53;18;21;15;7;9;8;22;14;0
;;5;Buurke, W.J.;22;1;0;0;7;2;4;2;0;2;1;0;3;0
;;6;van Weperen, I.;77;17;2;4;17;9;6;7;4;5;1;3;2;0
;;7;van Dam, C.P.J.H.;7;1;0;0;2;0;0;0;0;4;0;0;0;0
;;8;Pomper, A.;12;3;0;2;2;4;1;0;0;0;0;0;0;0
;;9;Paulen, A.J.;4;0;0;0;2;1;1;0;0;0;0;0;0;0
;;10;Steenbakkers-Kums, J.J.J.;3;1;0;0;2;0;0;0;0;0;0;0;0;0
;;11;Coensen, C.A.W.;10;2;2;0;2;2;0;0;1;0;0;1;0;0
;;12;Wilcke, R.P.;4;0;0;0;4;0;0;0;0;0;0;0;0;0
;;13;Lourinho da Silva, B.;16;2;1;0;1;4;4;0;0;1;1;2;0;0
;;14;Overbeek, J.C.H.;5;0;0;0;0;1;2;1;0;0;0;1;0;0
;;15;van Dam-van Weert, M.H.G.;7;1;1;0;1;1;0;0;0;2;0;0;1;0
;;16;Buijs, E.C.J.;3;0;0;0;2;0;0;0;0;0;0;0;1;0
;;17;Oosting-Visser, H.C.;17;1;0;0;4;4;2;0;0;1;0;2;3;0
;;18;Bijlsma, J.C.;6;4;0;0;0;0;1;0;1;0;0;0;0;0
;;19;Mul, J.B.;6;2;0;0;1;2;0;0;0;0;0;1;0;0
;;20;Daenen, R.P.J.;3;0;0;1;2;0;0;0;0;0;0;0;0;0
6;D66;;;668;141;35;26;113;46;60;30;17;44;42;67;47;0
;;1;van Zwieten, M.H.;448;95;17;15;80;19;28;23;13;29;37;49;43;0
;;2;Verhagen, P.A.;43;9;8;4;4;4;2;3;1;1;1;6;0;0
;;3;Feuerriegel, J.E.;38;2;0;1;4;8;15;1;0;2;2;2;1;0
;;4;Sanders, R.;25;6;1;0;7;2;4;0;0;3;0;2;0;0
;;5;de Goede, N.;25;9;4;3;4;1;0;0;2;2;0;0;0;0
;;6;van Vlerken, A.P.M.;23;7;0;1;7;1;0;1;0;1;1;1;3;0
;;7;Mooij, C.;41;7;5;0;1;9;10;2;0;3;1;3;0;0
;;8;Schuling-Supheert, H.;17;6;0;1;2;2;0;0;1;3;0;2;0;0
;;9;Schuling, F.H.;8;0;0;1;4;0;1;0;0;0;0;2;0;0
7;Voor U;;;947;173;48;40;141;200;69;51;9;55;43;78;39;1
;;1;Helders-de Bruin, H.J.J.L.;496;95;25;18;65;111;41;19;6;36;21;43;16;0
;;2;van der Putte-Verhoeven, M.A.P.J.;118;16;1;11;19;26;14;1;0;10;4;14;1;1
;;3;Nagtzaam, A.G.M.;16;4;2;0;2;6;0;0;0;0;0;1;1;0
;;4;van Eerd, M.J.C.;60;12;4;6;4;16;3;6;0;1;5;3;0;0
;;5;Philippi, S;35;6;0;0;9;7;0;6;0;0;3;0;4;0
;;6;Rutijna, H.M.;49;1;5;0;15;3;0;9;3;1;2;1;9;0
;;7;Kleywegt, P.;4;2;0;0;1;1;0;0;0;0;0;0;0;0
;;8;Beekink, R;6;0;2;1;3;0;0;0;0;0;0;0;0;0
