Verkiezing;;Gemeenteraad Waalwijk 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Waalwijk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0867;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Stadhuis Waalwijk;Stembureau Basischool Besoyen;Stembureau De Mads, Dans- en muziekcentrum;Stembureau Gemeenschapshuis De Ouwe Toren;Stembureau Balade;Stembureau Kindcentrum Zanddonk;Stembureau Buurthuis Zanddonk;Stembureau 't Bourgondisch Hof;Stembureau Gymzaal Juliana v Stolberg;Stembureau Buurthuis Bloemenoord;Stembureau Steunpunt de Blijde Incomste;Stembureau Buurthuis Vrijhoeve;Stembureau Buurtcentrum Sprang-Driessen;Stembureau Buurthuis Capelle;Stembureau Soc Cult Centrum  Den Bolder;Stembureau Buurthuiskamer 't Schooltje;Stembureau Bibliotheek Waalwijk;Stembureau De Slagen 2 (voorheen MET);Stembureau Sporthal de Slagen;Stembureau Parkpaviljoen;Stembureau Basisschool de Krullevaar;Stembureau De Schakel;Stembureau Zidewinde;Stembureau Stadhuis Waalwijk Maandag;Stembureau 't Bourgondisch Hof Maandag;Stembureau Soc Cult Centrum  Den Bolder Maandag;Stembureau Zidewinde Maandag;Stembureau Stadhuis Waalwijk Dinsdag;Stembureau 't Bourgondisch Hof Dinsdag;Stembureau Soc Cult Centrum  Den Bolder Dinsdag;Stembureau Zidewinde Dinsdag
;;8;Vélasquez Urteaga, J.;5;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0
;;9;Kaya, J.E.R.;22;0;2;3;2;6;3;1;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;10;Maas, A.J.C.M.;18;0;0;1;7;2;2;1;1;0;0;2;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;11;Fortuijn-Quirijns, S.M.;10;0;0;1;0;2;0;3;2;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;ChristenUnie;;;583;5;30;9;9;10;6;20;4;18;20;16;34;89;8;15;12;16;12;24;19;27;6;65;9;6;3;29;14;7;11;30
;;1;van Groos, J.;387;5;18;7;5;10;4;14;4;11;13;14;15;69;8;9;8;11;5;10;14;22;4;37;5;5;0;20;10;6;4;20
;;2;van Veelen, W.;29;0;0;0;0;0;1;2;0;2;1;0;2;2;0;1;0;1;1;7;0;0;1;5;0;0;0;0;2;0;0;1
;;3;van der Hoeven, A.S.;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
;;4;Bogers-Boer, L.H.;48;0;4;1;0;0;0;0;0;2;1;1;7;9;0;0;0;0;2;2;0;1;0;10;1;1;0;3;0;0;1;2
;;5;de Bruijn- van Helden, A.W.;13;0;0;0;1;0;1;1;0;0;1;0;3;1;0;0;0;1;1;0;0;0;0;0;0;0;0;2;0;0;0;1
;;6;van Dijke, J.C.;10;0;0;0;1;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;2;1;0;0;0;0;0;0;0
;;7;van Groos-Leijten, M.P.A.M.F.;4;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0
;;8;Hendriks, R.;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;1;0;0;0;0;0;1;0;0;2;0;0;0;4;0
;;9;Hendriks, J.C.A.;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0
;;10;Lam, J.C.;12;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;3;2;1;0;0;2;0;0;0;0;0;0;0;0
;;11;Maaijen, J.;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
;;12;Nijzink, W.A.;8;0;1;0;2;0;0;2;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Pruijssers, P.A.J.;21;0;3;0;0;0;0;0;0;1;1;0;0;2;0;0;0;2;0;0;0;2;0;3;2;0;0;0;0;0;1;4
;;14;Spuijbroek, H.S.;14;0;4;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;4;0;0;0;1;1;0;1;0
;;15;de Zwart, J.G.;11;0;0;0;0;0;0;0;0;2;1;0;0;1;0;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;0;1
9;Blanco (Aussems, N.R.W.A.);;;544;13;36;23;36;25;16;44;16;16;27;12;24;26;16;16;7;19;17;21;9;22;9;11;7;6;7;13;15;9;13;13
;;1;Aussems, N.R.W.A.;467;9;29;20;30;21;13;37;15;15;21;11;22;25;15;15;6;16;13;21;7;19;9;10;4;4;6;12;11;8;11;12
;;2;Schilders, S.L.J.;77;4;7;3;6;4;3;7;1;1;6;1;2;1;1;1;1;3;4;0;2;3;0;1;3;2;1;1;4;1;2;1
10;Samen Waalwijk;;;1543;47;145;81;93;106;44;84;61;55;105;60;20;40;19;23;18;80;29;52;76;14;18;22;54;43;7;10;55;69;8;5
;;1;de Jongste - van Heijst, E.A;683;18;84;27;40;39;18;41;22;30;33;25;6;26;9;9;7;34;17;29;39;6;7;11;21;13;4;5;21;33;5;4
;;2;Ottens, L;67;1;3;6;3;4;5;1;0;2;5;6;1;0;0;0;2;2;3;1;2;0;6;0;1;10;1;0;1;1;0;0
;;3;de Vaan, J.M.C;90;3;3;3;5;4;5;3;0;5;6;1;1;0;1;0;0;16;0;1;11;0;0;0;8;3;0;0;9;2;0;0
;;4;Frodyma, R.H.M.;127;2;5;6;11;9;0;8;11;3;20;7;2;4;1;0;2;7;1;0;4;2;1;3;1;8;2;1;4;2;0;0
;;5;Visker, H.P.A.;39;1;18;0;0;0;1;1;1;0;3;0;0;2;0;0;0;2;0;2;2;0;0;1;4;0;0;0;1;0;0;0
;;6;Kocken, G.H.;52;2;4;0;3;0;1;4;1;5;0;7;0;0;1;1;0;2;0;2;4;0;0;0;7;1;0;0;4;0;2;1
;;7;Opperman, J.;22;1;4;0;0;1;0;0;1;0;1;0;0;0;1;0;1;1;1;1;3;0;1;0;3;1;0;0;1;0;0;0
;;8;Chirino, C.H.M.;125;2;9;13;7;16;6;10;9;4;9;3;3;0;0;0;0;4;1;3;3;4;1;1;0;1;0;1;5;10;0;0
;;9;Aarts, S;14;6;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;0;0
;;10;Dekkers, S.;31;0;0;0;0;2;3;3;1;0;4;0;4;1;0;0;0;0;0;0;0;2;0;3;4;0;0;0;2;2;0;0
;;11;van Leeuwen, W.M.;10;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;7;0;0
;;12;van Engelen, J.M.A.;16;0;0;0;3;7;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;3;0;0
;;13;Klunder, A.C.M..;19;2;0;0;1;2;1;0;2;2;0;2;0;0;0;1;0;2;0;2;0;0;0;0;1;0;0;0;0;1;0;0
;;14;Ligtvoet - Bertens, N.A.J.;51;2;3;5;4;1;0;1;3;3;2;0;1;4;0;0;0;3;4;4;1;0;0;1;1;2;0;3;2;1;0;0
;;15;Ruygt, C.C.J.;19;0;0;0;0;0;0;0;1;0;1;0;0;0;0;11;4;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0
;;16;de Jongste, B.H.G.;13;2;4;1;0;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0
;;17;van Scheppingen, D.W.A.;65;3;0;12;4;5;4;2;3;1;9;4;2;1;0;0;0;5;0;3;4;0;0;0;0;2;0;0;0;1;0;0
;;18;Monsieurs, P.W.E.;34;2;0;2;5;2;0;2;1;0;5;3;0;2;4;0;1;0;0;1;1;0;0;0;2;1;0;0;0;0;0;0
;;19;Marasabessy, H.;31;0;6;0;2;6;0;5;0;0;2;0;0;0;2;0;0;0;1;2;0;0;0;1;0;1;0;0;1;2;0;0
;;20;van Beijnen, J.B.P.;35;0;1;6;5;7;0;2;2;0;2;1;0;0;0;1;0;0;1;1;2;0;0;1;1;0;0;0;1;1;0;0
