Verkiezing;;Gemeenteraad Nuenen, Gerwen en Nederwetten 2022;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Nuenen, Gerwen en Nederwetten;;;;;;;;;;;;;;;;;;;;
Nummer;;0820;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Het Klooster Raadszaal;BS De Dassenburcht;BS De Nieuwe Linde;Gymzaal Jacobushoek;Kerkgebouw de Regenboog;Wijkgebouw Scarabee;Gasterij Jo van Dijkhof;Gemeenschapshuis De Koppelaar;Gemeenschapshuis D'n Heuvel;Gemeenschapshuis Enode;OBS de Rietpluim;Gemeentehuis;Het mooiste blauw basisschool;Het Klooster Raadszaal;Gemeentehuis;Het Klooster Raadszaal;Gemeentehuis;Zorgcentrum  De Akkers
;;5;Saarloos, A.;597;58;58;48;46;8;47;57;47;35;8;47;17;32;25;14;42;5;3
;;6;Pasma, H.G.;7;0;0;0;2;0;0;1;0;0;0;1;1;0;2;0;0;0;0
;;7;Rikze, M.B.;129;12;11;3;9;4;13;13;4;6;17;15;0;6;1;3;10;2;0
;;8;Pernot, J.G.M.W.;39;5;3;1;6;0;2;3;0;2;1;1;6;4;0;1;2;2;0
;;9;den Hartog, J.F.;15;1;0;0;7;0;3;0;0;0;0;2;1;0;0;0;1;0;0
;;10;Koeling-Lem, B.;35;1;0;0;1;0;1;8;0;0;9;0;0;12;1;0;2;0;0
;;11;Brouwer, J.;26;4;1;2;3;1;3;1;1;3;1;2;0;1;1;0;2;0;0
;;12;van de Klundert, N.J.M.;31;0;4;1;3;0;2;0;2;3;0;1;1;11;0;0;2;1;0
;;13;de Muynck, Y.A.M.;21;1;1;0;1;0;2;0;1;3;2;0;1;0;8;0;1;0;0
;;14;Knegt, A.;36;6;2;4;6;2;0;1;3;3;1;0;0;4;1;0;3;0;0
;;15;Elich, C.M.;19;3;0;0;0;4;2;0;2;2;0;1;0;2;0;2;1;0;0
;;16;Cooijmans, M.S;14;1;2;1;0;0;1;3;0;0;0;0;0;1;0;2;1;2;0
;;17;Vos, M.;22;2;2;3;1;0;0;4;0;3;0;2;1;0;1;0;1;2;0
;;18;Migchels, S.B.J.;26;4;1;1;4;0;2;0;7;4;0;0;0;1;1;1;0;0;0
;;19;Koppelman, M.;33;2;2;3;2;0;0;0;1;3;0;3;0;11;3;0;3;0;0
;;20;Lambert, A.J.D.;7;0;3;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0
;;21;Schrofer, W.L.P.;2;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0
;;22;Favié, J.A.M.;7;1;1;0;1;1;0;0;1;0;0;0;0;0;1;0;0;1;0
;;23;Laeven, M.J.H.;9;0;0;0;1;0;0;0;0;1;0;7;0;0;0;0;0;0;0
;;24;Kuperus, A.J.;7;0;0;1;2;0;0;1;0;0;1;0;1;0;0;0;1;0;0
;;25;van der Leij, E.G.;7;2;2;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0
;;26;Wieringa, T.N.;27;0;0;2;2;4;2;6;0;1;0;3;2;0;1;0;4;0;0
3;VVD;;;1503;141;135;148;121;18;85;79;55;88;55;157;83;52;80;44;99;60;3
;;1;Appel, A.N.J.;772;63;60;82;68;8;56;46;29;52;25;74;38;31;35;20;48;36;1
;;2;Tesser, J.J.D.;319;34;37;37;27;1;14;10;14;14;10;35;24;12;14;8;17;10;1
;;3;Bonnier, J.J.R.M;52;7;9;5;3;1;4;2;0;3;1;1;1;1;7;0;7;0;0
;;4;van Rooij, P.A.M.;31;1;0;6;1;2;0;0;0;2;0;13;2;0;2;0;0;2;0
;;5;van Egdom, C.L.M.;27;2;4;2;2;0;1;9;0;1;1;3;0;0;0;0;1;1;0
;;6;Beeren, H.H.F.M.;31;4;0;6;0;0;0;0;5;0;0;7;2;0;0;6;0;1;0
;;7;van Beek, H.;8;1;0;2;0;0;0;2;0;0;0;0;1;1;1;0;0;0;0
;;8;Hadders, R.;33;1;2;2;3;0;2;2;0;2;3;7;2;1;2;0;3;1;0
;;9;van Roosmalen, L.;14;0;2;2;2;0;0;0;0;0;0;2;0;4;0;2;0;0;0
;;10;Solleveld-Engelen, C.G.;99;15;10;0;5;1;3;3;2;4;3;10;6;2;10;7;14;4;0
;;11;Simmers, J.J.L.H.;6;0;0;0;1;0;0;0;0;0;5;0;0;0;0;0;0;0;0
;;12;Sitter, H.B.;5;0;0;0;0;0;0;1;0;0;0;2;1;0;0;1;0;0;0
;;13;Spijkerman, J.M.A.G.P.I.;27;5;0;0;5;0;1;3;2;1;3;1;1;0;4;0;0;1;0
;;14;Uipkes, P.;18;0;0;0;1;2;2;1;0;8;0;0;1;0;1;0;2;0;0
;;15;Rooijackers, A.M.;61;8;11;4;3;3;2;0;3;1;4;2;4;0;4;0;7;4;1
4;D66;;;1248;139;90;97;121;25;79;84;42;80;29;146;35;56;59;33;90;42;1
;;1;Coolen-Pero, A.P.;864;88;62;71;79;17;63;49;31;51;21;93;27;40;46;25;67;33;1
;;2;van Wessel, D.M.;94;15;10;8;9;0;4;4;3;13;1;6;1;8;5;1;5;1;0
;;3;Smilde, P.J.G.;122;15;6;9;10;2;9;2;1;4;3;34;4;4;3;2;10;4;0
;;4;van Werkum, C.W.;103;14;9;8;16;3;1;20;4;6;0;7;1;2;3;2;4;3;0
;;5;Tuithof, R.J.A.;10;1;1;0;2;0;0;1;1;0;1;0;0;1;0;0;2;0;0
;;6;Koiter, A.B.B.;3;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0
;;7;van Geel, E.T.;9;2;1;0;0;0;1;0;1;2;0;0;0;0;0;0;1;1;0
;;8;Hoeve, J.;5;1;0;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0;0
;;9;van Egmond, E.J.;5;0;0;0;0;2;0;0;1;0;0;0;0;1;1;0;0;0;0
;;10;Houtepen, C.J.A.;6;0;0;0;3;0;0;2;0;0;1;0;0;0;0;0;0;0;0
;;11;Houtepen-Kunnen, G.M.P.;16;2;0;0;1;1;1;5;0;2;1;0;0;0;0;3;0;0;0
;;12;van Stiphout-van Keulen, B.J.;11;1;1;1;0;0;0;1;0;1;1;2;2;0;1;0;0;0;0
5;CDA;;;994;80;76;53;65;30;37;87;71;138;28;80;40;30;58;13;74;25;9
;;1;van Lieshout, J.W.F.C.;534;45;44;28;41;12;21;55;11;76;14;45;20;21;32;8;38;17;6
;;2;Meijvis, C.P.J.;56;6;4;6;1;1;0;5;1;4;3;5;1;3;5;1;6;3;1
;;3;Hendrickx, P.G.M.;79;3;9;5;10;5;4;9;0;1;7;8;3;0;8;0;7;0;0
;;4;Leenders, M.W.;172;17;15;12;5;7;6;12;7;48;0;13;8;3;7;0;10;2;0
;;5;de Kok, H.A.J.;12;0;0;0;2;0;1;0;0;0;2;3;0;0;1;0;3;0;0
;;6;van Rooij-Smits, M.H.C.;28;1;1;1;2;2;0;4;2;3;0;1;3;1;0;2;5;0;0
;;7;Drenth, E.A.M.;3;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
;;8;Rebel, A.P.;11;0;0;0;2;1;0;0;0;1;0;2;2;2;0;0;1;0;0
;;9;Drenth, E.S.;5;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;0
;;10;van den Tillaart, T.A.J.;66;2;0;0;1;0;3;2;46;5;0;2;1;0;0;2;1;0;1
;;11;de Jong, G.W.M.;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
;;12;de Laat-Sipman, E.B.M.;7;3;0;0;0;0;1;0;0;0;1;0;0;0;2;0;0;0;0
;;13;van Rooij, J.G.M.;4;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;1;0;0
;;14;Kanters, H.C.;2;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;15;de Laat, F.L.M.A.H.;8;3;0;0;0;1;1;0;0;0;1;0;0;0;2;0;0;0;0
;;16;Peeters, J.S.J.G.;5;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1
6;Combinatie Nuenen c.a.;;;1072;76;52;33;159;16;50;70;47;231;73;68;18;24;43;22;69;18;3
;;1;Donkers-van Galen, M.F.W.;619;52;24;21;118;9;39;45;24;73;50;39;10;16;29;14;43;11;2
;;2;van der Linden, T.G.M.;67;4;5;3;9;2;3;7;1;5;11;2;1;0;4;3;6;1;0
;;3;Raaijmakers, A.H.J.;53;5;3;1;1;2;1;5;0;21;2;9;1;0;0;0;2;0;0
;;4;Verkuijlen, M.J.P.;139;4;5;2;2;0;1;0;1;108;1;3;2;1;1;4;3;1;0
;;5;Schoenmakers, R.J.;33;3;4;2;7;0;0;2;0;3;2;4;2;0;2;0;1;1;0
;;6;Pino, E.A.;20;1;1;0;1;0;0;0;6;1;0;5;0;0;0;0;2;3;0
;;7;Vanhees, S.A.J.;30;0;1;2;2;2;2;2;7;7;2;0;0;2;1;0;0;0;0
;;8;Raaijmakers, E.H.M.;15;0;2;0;1;0;0;2;2;5;0;3;0;0;0;0;0;0;0
;;9;Venhuizen, K.J.;7;1;1;0;1;0;0;1;0;3;0;0;0;0;0;0;0;0;0
;;10;Dokter, P.;9;0;0;0;0;0;0;0;0;0;1;0;0;1;3;1;2;0;1
;;11;Wilde-Drukker, M.;6;0;1;0;0;0;1;0;0;0;0;0;0;2;1;0;1;0;0
;;12;Schoenmakers, J.M.P.M.;6;0;1;0;1;0;0;0;0;4;0;0;0;0;0;0;0;0;0
;;13;Clermonts, W.A.;12;1;0;2;1;1;0;0;2;0;2;2;0;0;1;0;0;0;0
;;14;van Schijndel, H.T.M.;4;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;1;0
;;15;van Maasakkers, A.H.H.J.;18;5;2;0;4;0;1;1;0;0;1;0;1;1;0;0;2;0;0
;;16;van den Nieuwenhof, H.R.G.;34;0;2;0;11;0;2;5;1;1;1;1;1;1;1;0;7;0;0
7;Lijst Pijs;;;691;68;66;47;48;25;56;76;19;56;37;57;16;14;36;19;40;11;0
;;1;Pijs, J.M.B.;436;38;46;18;34;18;28;43;15;40;30;31;9;7;27;11;32;9;0
;;2;Heijnen, J.T.J.;165;21;15;19;7;7;16;27;2;9;5;19;3;2;5;6;2;0;0
;;3;Hageman, D.A.H.G.;36;4;1;4;2;0;8;4;0;4;2;4;0;0;0;0;3;0;0
;;4;Rooijackers, A.H.M.;54;5;4;6;5;0;4;2;2;3;0;3;4;5;4;2;3;2;0
