Verkiezing;;Gemeenteraad Goirle 2022;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Goirle;;;;;;;;;;;;;;;;;;;;
Nummer;;0785;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;Gemeentehuis;Gemeentehuis;Ontmoetingscentrum De Leybron;Ontmoetingscentrum De Leybron;Ontmoetingscentrum De Leybron;Sporthal De Haspel;Sporthal De Wissel;Sporthal Frankenhal;Bibliotheek Goirle;Mill-Hill College;Basisschool 't Schrijverke;Basisschool De Vonder;Wijkcentrum De Deel;Wijkcentrum De Wildacker;Basisschool de Kleine Akkers;Zorgcentrum Elizabeth/Guldenakker;Mainframe
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
Postcode;;;;;5051 LT;5051 LT;5051 LT;5133 AM;5133 AM;5133 AM;5051 KR;5051 NZ;5052 BL;5051 RD;5051 BP;5051 ML;5133 BC;5052 BL;5051 ST;5051 CR;5051 HC;5051 RG
;;4;van Hest, W.J.G.;26;0;3;0;0;0;0;2;2;2;5;4;3;1;1;1;2;0;0
;;5;van den Hout, A.A.H.M.;8;1;1;1;0;0;0;2;1;0;0;0;0;1;0;1;0;0;0
;;6;van Schie, E.P.J.;49;5;5;4;1;0;0;3;4;8;2;6;4;2;1;1;3;0;0
;;7;Hulshoff, A.J.F.;12;4;2;1;0;0;0;0;0;2;0;0;1;0;1;1;0;0;0
;;8;Tack, W.P.M.;8;2;1;0;0;0;0;0;0;2;0;0;0;2;0;1;0;0;0
;;9;van den Hout, J.A.A.;5;0;0;1;1;0;0;1;0;0;0;1;0;0;1;0;0;0;0
;;10;Verheijen, J.C.A.M.;23;2;2;2;0;0;1;0;0;2;2;2;4;2;2;0;2;0;0
;;11;Al Jabori, N.M.Y.;15;0;0;1;0;0;1;2;1;0;0;3;1;2;2;1;1;0;0
;;12;van der Kruijs-Beenders, C.P.M.G.;18;1;3;2;0;0;1;1;2;1;4;0;1;0;1;1;0;0;0
6;Partij van de Arbeid (P.v.d.A.);;;1286;92;158;140;11;11;35;106;65;182;74;25;150;26;62;69;52;8;20
;;1;Criens, P.W.P.;896;64;108;97;7;5;23;69;46;124;53;13;108;18;49;52;42;4;14
;;2;van Baal, A.A.P.M.;43;2;5;5;2;0;2;3;1;7;4;1;8;1;0;2;0;0;0
;;3;Delemarre, M.E.;84;6;9;12;0;0;0;6;5;15;4;3;9;1;4;5;4;0;1
;;4;de Jong, M.W.;62;5;5;5;0;0;0;8;3;13;3;1;7;3;6;2;1;0;0
;;5;Molin-van Overbeek, K.F.;53;0;9;3;2;1;8;0;3;9;3;3;6;0;2;2;0;0;2
;;6;van de Sanden, L.J.J.C.;6;0;2;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;1
;;7;Robben, W.J.L.M.;40;3;12;7;0;0;0;6;0;5;2;0;1;0;0;1;2;0;1
;;8;Groen, J.C.;8;1;3;0;0;0;0;0;1;1;0;2;0;0;0;0;0;0;0
;;9;Langenberg, J.C.F.M.;2;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;10;Licht, R.;6;1;0;0;0;0;0;0;0;3;0;0;1;0;1;0;0;0;0
;;11;Verhoeven, J.A.M.;40;4;2;4;0;2;1;2;5;4;3;2;3;1;0;3;0;3;1
;;12;Horn, P.H.A.;7;1;0;0;0;0;0;5;0;0;0;0;1;0;0;0;0;0;0
;;13;Loonen, J.W.H.J.;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;14;Vermeulen, H.A.;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;15;Vromans, H.L.C.M.;8;1;0;1;0;3;1;0;0;0;0;0;0;2;0;0;0;0;0
;;16;van den Akker, M.A.M.;9;0;0;2;0;0;0;6;0;0;0;0;0;0;0;0;0;1;0
;;17;van der Put, A.A.C.G.;19;4;2;3;0;0;0;1;0;1;2;0;3;0;0;0;3;0;0
7;Arbeiderspartij Goirle-Riel;;;476;37;52;77;6;4;13;23;26;50;27;6;31;8;22;42;21;10;21
;;1;de Laat, A.A.W.M.;311;23;34;54;6;2;8;14;13;33;22;3;26;6;10;19;16;9;13
;;2;Beekmans, X.A.F.S.;39;3;5;6;0;0;0;2;4;2;0;2;1;0;1;7;1;1;4
;;3;Van der Aa, J.;37;4;4;4;0;0;0;2;0;7;1;0;3;0;3;7;2;0;0
;;4;Klerken, A.J.M.;9;1;0;4;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0
;;5;van Berkel-Mutsaerts, A.C.M.;11;1;2;2;0;0;1;0;0;2;0;0;0;0;3;0;0;0;0
;;6;Smits, R.J.J.;14;3;4;1;0;0;0;0;0;2;0;1;0;0;1;2;0;0;0
;;7;Hendriks, A.F.F.;15;0;2;1;0;0;0;1;5;2;1;0;0;0;1;1;0;0;1
;;8;van Turnhout, L.;3;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0
;;9;van Erven, A.J.M.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;10;Fransen, C.J.A.C.;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;11;van Riel, W.A.M.;22;1;1;3;0;2;4;4;0;1;1;0;0;0;1;2;0;0;2
;;12;Schellekens, C.P.M.;12;1;0;1;0;0;0;0;3;0;0;0;1;2;0;3;1;0;0
8;Gezond Verstand Goirle Riel;;;1818;111;186;201;45;76;238;117;95;125;92;63;145;120;37;75;66;4;22
;;1;de Rooij, C.A.J.M.;580;34;71;62;20;23;89;21;29;31;24;16;46;40;11;29;26;1;7
;;2;Jansen-van Iersel, N. D.M.;215;17;21;19;4;5;5;13;16;29;15;9;29;4;12;3;11;2;1
;;3;van den Brand, T.H.M.;195;4;8;19;12;23;61;5;3;3;2;2;4;39;0;5;3;0;2
;;4;van Loon, J;75;9;6;7;0;1;5;6;7;12;0;9;3;2;1;4;3;0;0
;;5;Weustink-van Wouwe, S;131;12;11;27;1;6;5;20;3;10;12;7;5;2;2;3;4;0;1
;;6;Verlaan, P.;32;0;4;6;0;0;3;3;1;1;1;1;9;0;0;0;0;0;3
;;7;Duijsters, J.J.A.;40;4;5;8;0;0;2;7;0;1;3;6;0;0;0;1;1;0;2
;;8;Stroucken, H. G.;38;0;2;1;4;3;7;1;0;4;0;0;1;8;2;2;3;0;0
;;9;Oomen-Vromans, A.C.C.M.;43;3;1;1;0;3;11;1;3;4;0;0;3;10;0;2;0;1;0
;;10;Mallens, A.A.L.M.;163;11;19;17;1;3;5;18;13;18;13;4;15;0;6;10;8;0;2
;;11;Scholtze, M.A.M.;26;2;3;6;0;2;0;0;0;2;4;1;3;0;0;2;0;0;1
;;12;Schellekens, F.C.P.;7;0;0;0;0;0;0;3;2;1;0;0;1;0;0;0;0;0;0
;;13;Vermeer-van den Broek, T.C.M.;25;2;2;1;0;0;6;1;8;0;0;0;3;0;0;2;0;0;0
;;14;van de Pol, N.A.M.;45;3;11;5;0;0;3;4;1;2;2;1;4;0;1;4;4;0;0
;;15;Cuijpers, H.M.A.;19;2;3;5;0;0;0;1;1;1;3;0;1;1;0;0;1;0;0
;;16;van den Brand-Sprangers, W.M.H.;13;0;0;2;0;1;7;0;2;0;0;0;0;1;0;0;0;0;0
;;17;van Raak, M.T.A.;5;0;0;1;0;0;0;2;0;0;0;0;1;0;1;0;0;0;0
;;18;Nouwens, J.J.M.;14;2;4;0;0;0;0;1;0;0;3;0;1;0;0;0;0;0;3
;;19;Mourus, J;3;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0
;;20;Steurs-Maas, W.A.;27;2;5;1;0;1;0;2;0;0;4;3;2;0;0;7;0;0;0
;;21;Oerlemans, F.J.M.;13;0;1;3;0;0;0;2;1;2;0;0;4;0;0;0;0;0;0
;;22;Sweens, E.A.;18;1;1;0;0;0;9;0;0;3;0;1;0;2;0;1;0;0;0
;;23;Everling, J;21;0;1;0;3;1;6;0;3;0;1;0;1;5;0;0;0;0;0
;;24;Schellekens-de Kort, M.J.W.C.;7;1;0;0;0;0;0;1;1;0;0;0;4;0;0;0;0;0;0
;;25;van der Horst, I.M.;2;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;26;Bruijns-Oerlemans, S.A.J.A.;15;0;1;3;0;0;0;0;0;1;0;2;5;0;1;0;2;0;0
;;27;van der Heijden, Z.;23;1;3;1;0;0;13;2;0;0;0;0;0;3;0;0;0;0;0
;;28;de Jong, K.A.M.;6;0;0;2;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0
;;29;Schellekens, M.A.C.;9;0;1;0;0;4;1;1;1;0;0;0;0;1;0;0;0;0;0
;;30;Noorman van der Dussen, N.P.P.;8;1;1;4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
