Verkiezing;;Gemeenteraad Halderberge 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Halderberge;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1655;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Fidei et Arti;Gemeentehuis Woensdag;Gemeentewerf woensdag;Sporthal de Beuk;Basisschool de Klinkert;Sportkantine de Parrestee;Het Kompas;Zaal Hart van Gastel;Voetbalkantine Oud Gastel;Het Veerhuis woensdag;Voetbalkantine Stampersgat woensdag;Basisschool het Bossche Hart woensdag;Sint Jan de Doper kerk Woensdag;Gemeentehuis maandag;Gemeentewerf maandag;Het Veerhuis maandag;Sint Jan de Doper kerk maandag;Basisschool het Bossche Hart maandag;Voetbalkantine Stampersgat maandag;Gemeentehuis dinsdag;Gemeentewerf dinsdag;Het Veerhuis dinsdag;Sint Jan de Doper kerk dinsdag;Basisschool het Bossche Hart dinsdag;Voetbalkantine Stampersgat dinsdag
3;CDA;;;1209;133;86;51;115;82;68;54;31;24;36;13;75;83;55;13;7;39;11;2;100;36;21;52;19;3
;;1;Dirven-van Aalst, S.P.H.M.;448;68;51;24;49;34;26;10;8;13;13;9;9;18;33;5;3;5;1;0;33;9;14;10;2;1
;;2;Elgin, G.;71;0;1;2;3;1;1;0;1;0;2;0;33;0;0;0;0;0;9;0;4;4;0;0;10;0
;;3;van Tetering, A.J.C.;274;15;5;14;4;17;28;24;5;1;7;1;11;46;3;3;2;28;0;2;14;11;1;32;0;0
;;4;Schouw, P.C.H.A.;103;15;7;3;22;19;1;0;2;3;0;0;2;1;6;0;0;1;0;0;16;4;0;1;0;0
;;5;Verschuuren, J.B.M.;63;26;7;4;3;2;1;1;0;0;0;0;0;0;3;2;0;0;0;0;12;1;1;0;0;0
;;6;Wijtvliet, J.A.P.M.;43;2;0;1;0;0;0;0;11;4;11;3;1;0;0;0;1;0;0;0;0;2;5;0;0;2
;;7;Hellemons, C.A.A.G.;29;2;7;0;16;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0
;;8;Elgin, F.R.;19;0;0;0;0;0;1;0;0;0;0;0;12;0;0;0;0;0;1;0;0;0;0;0;5;0
;;9;Rommens, C.M.C.;40;0;3;0;2;3;4;8;2;1;0;0;2;2;2;0;0;4;0;0;1;2;0;3;1;0
;;10;van den Bosch, M.J.M.;20;0;0;2;2;0;2;5;0;0;0;0;0;1;4;0;0;0;0;0;4;0;0;0;0;0
;;11;Poppelaars, F.M.;8;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0
;;12;Paantjens, J.A.L.;16;1;1;0;2;0;0;2;1;0;0;0;1;2;0;0;1;0;0;0;2;1;0;1;1;0
;;13;Ketelaars, W.G.J.;4;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Wijnen, J.A.F.P.;16;0;0;0;0;0;2;0;0;2;2;0;0;5;0;0;0;1;0;0;2;0;0;2;0;0
;;15;Eenhuizen, P.J.J.;4;0;0;1;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
