Verkiezing;;Gemeenteraad 's-Hertogenbosch 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente 's-Hertogenbosch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0796;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Stadskantoor;Stembureau Groot Tuighuis;Stembureau Orangerie (A);Stembureau Orangerie (B);Stembureau Stadsklooster San Damiano;Stembureau Willem Twee Poppodium;Stembureau Tijdelijke Unit Centraal Station;Stembureau Tijdelijke Unit Centraal Station (maandag);Stembureau Tijdelijke Unit Centraal Station (dinsdag);Stembureau Mobiel stembureau (beperkt open);Stembureau Mobiel Stembureau (beperkt open);Stembureau Mobiel Stembureau (beperkt open);Stembureau Stadskantoor (maandag;Stembureau Stadskantoor (dinsdag);Stembureau Scouting Lucas;Stembureau Lucaskerk;Stembureau Sportzaal Weberstraat;Stembureau Provinciehuis;Stembureau Wijkcentrum de Stolp;Stembureau Sportzaal Rijnstraat (A);Stembureau Sportzaal Rijnstraat (B);Stembureau Verzamelgebouw Seringenstraat;Stembureau Buurthuis Graafsewijk Noord;Stembureau Kindcentrum Het IJzeren Kind;Stembureau SCC De Biechten (A);Stembureau SCC De Biechten (B);Stembureau Sportzaal Rijnstraat;Stembureau Sportzaal Rijnstraat;Stembureau Herstelacademie De Stijl;Stembureau Trefpunt De Slinger;Stembureau Kantoorpand achter Brandweerkazerne;Stembureau Koning Willem I College / Vlijmenseweg;Stembureau Koning Willem I College / Onderwijsboulevard;Stembureau Stichting De Westhoek;Stembureau 't Buurthuis;Stembureau RK Annakerk;Stembureau Sporthal de Schutskamp (A);Stembureau Sporthal de Schutskamp (B);Stembureau Sporthal de Schutskamp (A maandag);Stembureau Sporthal de Schutskamp (A dinsdag);Stembureau Sportzaal Churchilllaan;Stembureau Gereformeerde Kerk 's-Hertogenbosch;Stembureau Weener XL;Stembureau Nico Schuurmanshuis;Stembureau D'n Boerderij restaurant;Stembureau Clubhuis Voetbalvereniging TGG;Stembureau BBS Haren-Donk-Reit;Stembureau Gymzaal Eekbrouwersweg (A);Stembureau Gymzaal Eekbrouwersweg (B);Stembureau Gymzaal Eekbrouwersweg (A maandag);Stembureau Gymzaal Eekbrouwersweg (A dinsdag);Stembureau Brede Bossche School De Hambaken;Stembureau Buurtcentrum Noorderpoort Samen Doen;Stembureau Steunpunt Epigoon;Stembureau Sporthal Maaspoort (A);Stembureau Sporthal Maaspoort (B);Stembureau Sporthal Sociaal Cultureel Centrum De Schans A;Stembureau Sporthal Sociaal Cultureel Centrum De Schans B;Stembureau Gymzaal Meanderschool (A);Stembureau Gymzaal Meanderschool (B);Stembureau Kindcentrum Sterrenbosch;Stembureau Sporthal Sociaal Cultureel Centrum De Schans (MA);Stembureau Sporthal Sociaal Cultureel Centrum De Schans (DI);Stembureau Sportzaal Meerwijkweg (A);Stembureau Sportzaal Meerwijkweg (B);Stembureau Sportzaal Meerwijkweg (A maandag);Stembureau Sportzaal Meerwijkweg (A dinsdag);Stembureau Sportzaal Engelerhout (A);Stembureau Sportzaal Engelerhout (B);Stembureau Sportzaal Engelerhout (A maandag);Stembureau Sportzaal Engelerhout (A dinsdag);Stembureau Steunpunt Van Meeuwenhof;Stembureau Sociaal Cultureel Centrum Perron-3;Stembureau Basisschool De Krommenhoek;Stembureau Sportzaal Overlaet (A);Stembureau Sportzaal Overlaet (B);Stembureau Sportzaal Overlaet (A maandag);Stembureau Sportzaal Overlaet (A dinsdag);Stembureau HEVO Seniorenvereniging;Stembureau Oude Basisschool Kruisstraat;Stembureau Buro3o;Stembureau Sporthal de Hazelaar (A);Stembureau Sporthal de Hazelaar (B);Stembureau Sporthal de Hazelaar (A maandag);Stembureau Sporthal de Hazelaar (A dinsdag);Stembureau H. Laurentiuskerk;Stembureau De Vrolijke Schutters;Stembureau Wijkcentrum Windkracht 5 (A);Stembureau Wijkcentrum Windkracht 5 (B);Stembureau Wijkcentrum Windkracht 5 (A maandag);Stembureau Wijkcentrum Windkracht 5 (A dinsdag);Stembureau Hof Eyghentijds;Stembureau Postduivenvereniging de Zwaluw;Stembureau De Hazenkamp;Stembureau Gemeenschapshuis De Meent (A);Stembureau Gemeenschapshuis De Meent (B);Stembureau Gemeenschapshuis de Meent (maandag);Stembureau Gemeenschapshuis De Meent (dinsdag);Stembureau Gemeenschapshuis 't Zijl;Stembureau Gemeenschapshuis 't Zijl  (maandag);Stembureau Gemeenschapshuis 't Zijl (dinsdag)
;;18;Arts, C.J.M.;15;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;0;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Dona, C.L.S.;44;1;2;1;0;3;0;0;4;0;0;0;0;2;3;0;2;1;3;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;1;2;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;1;0;0;0;0;0;1;0;0;0
;;20;Rademaker, C.M.J.;144;17;4;5;3;2;1;1;4;1;1;0;0;7;3;0;9;5;1;4;0;0;0;5;1;1;0;1;0;3;1;0;2;0;2;2;0;1;4;1;2;1;3;1;3;2;0;1;2;0;2;0;1;0;0;1;0;2;2;2;5;1;2;1;1;1;1;1;0;3;0;2;0;1;0;0;0;0;0;0;1;2;1;0;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;van Miltenburg, J.A.M.;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;22;Geeraedts, M.B.P.;94;6;2;0;1;2;0;2;0;0;0;0;0;0;6;3;2;3;0;0;0;0;0;0;4;0;1;0;0;0;0;0;4;2;2;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;1;2;0;2;1;1;0;2;1;4;1;0;2;1;1;4;3;0;0;3;6;7;1;2;2;1;0;0;0;0;0;0;0;0;0;0;0
;;23;Hopman, S.W.J.;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
;;24;Spermon-Marijnen, H.E.M.;37;3;0;1;0;2;0;2;0;0;0;0;0;1;5;2;3;1;0;0;0;0;0;0;0;1;0;3;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;5;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;25;van Helvoort, R.H.;16;0;0;1;1;0;0;3;0;0;0;0;0;0;2;0;1;0;2;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;26;Schults, J.C.;31;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;2;0;2;0;1;5;2;0;0;0;1;0;2;0;0;0;0;0;0;0;0
;;27;Balvert, A.A.M.;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;4;0;0;3;1;2;0;0;1;0;1;0;0;0;0;0;0;0;0
;;28;van der Graaf, S.;29;3;0;0;0;0;0;3;1;1;0;0;0;0;3;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
;;29;Hendrikx, J.G.M.;4;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;30;van den Hanenberg, L.C.W.;4;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;31;Flapper, W.M.J.;25;0;0;1;0;1;0;3;1;1;0;0;0;0;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;32;van Kleef, J.H.M.;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;33;Rotman, A.M.;47;5;2;0;0;0;0;2;1;0;0;0;0;0;0;0;0;2;0;2;0;0;1;0;1;0;0;0;0;2;0;1;0;0;0;0;0;2;0;1;0;0;0;1;0;2;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;6;0;0;0;1;2;0;0;0;0;0;0;1;0;0;1;0;2;1;0;1;0;3;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
2;D66;;;8418;243;83;123;106;153;60;349;111;204;10;4;7;103;155;97;169;81;95;97;19;15;84;78;158;100;69;55;82;158;233;44;138;83;96;66;54;76;60;57;98;65;40;50;95;203;37;66;39;44;55;84;52;28;71;38;31;104;140;128;89;51;111;141;134;103;43;79;155;138;53;63;32;121;42;47;38;52;56;95;12;99;65;47;80;102;216;75;114;105;56;66;75;86;23;19;21;7;13;37;7;7
;;1;van der Geld, M.J.J.;3494;84;20;37;44;58;20;87;40;68;6;3;4;44;69;32;66;37;41;33;3;4;28;29;81;50;38;26;36;55;80;14;45;20;22;28;16;20;16;14;28;21;11;19;40;83;16;29;12;19;30;36;18;12;28;17;20;46;54;57;31;24;63;59;64;40;19;34;64;45;21;19;17;61;27;29;22;35;26;62;5;51;40;26;58;62;107;36;55;50;23;34;36;46;16;11;16;5;9;20;7;5
;;2;van den Kerkhof, R.M.J.;549;15;6;11;8;8;3;16;12;21;1;0;0;10;15;4;15;6;5;8;3;2;7;6;6;7;6;3;4;12;12;4;13;14;20;5;5;8;7;1;7;4;3;3;5;21;2;3;1;0;3;9;4;0;8;1;1;9;11;10;10;5;5;11;8;4;3;5;10;8;4;3;0;4;2;3;1;4;2;2;2;3;3;3;2;3;9;0;2;1;2;1;3;2;0;1;0;0;0;3;0;1
;;3;Craste, M.;1696;51;23;21;26;28;9;86;28;46;1;0;0;24;32;23;34;15;21;18;5;3;15;20;32;13;9;14;21;35;60;8;33;25;26;12;9;14;5;9;12;6;6;7;18;47;10;7;13;11;14;16;5;7;12;10;2;15;30;31;23;10;21;28;20;25;9;17;45;38;14;22;3;21;10;5;5;6;11;14;1;22;4;4;7;14;37;13;23;19;13;6;10;22;5;3;3;1;2;7;0;0
;;4;van Rens, M.G.H.;120;8;1;1;1;4;3;1;1;3;1;0;0;2;2;3;4;2;2;2;0;0;1;0;1;2;1;0;0;3;0;2;1;0;1;0;2;1;0;2;1;2;0;0;4;2;0;1;0;1;0;0;1;0;4;0;0;0;6;2;1;0;2;2;6;4;2;7;1;1;1;0;0;0;1;0;1;0;0;0;0;0;1;0;1;0;2;0;2;0;1;1;0;1;0;0;0;0;0;0;0;0
;;5;El Amraoui, B.;465;15;3;14;4;5;5;30;1;12;1;1;0;1;8;6;8;1;4;10;2;1;15;0;9;1;2;2;1;11;18;5;7;6;4;4;11;12;17;17;32;18;11;8;3;10;0;4;3;1;0;2;12;2;2;0;1;3;7;4;3;0;2;3;3;5;1;0;2;4;0;2;0;0;0;2;0;2;1;1;0;2;1;4;3;2;4;0;6;5;3;2;3;0;1;0;0;0;0;1;0;0
;;6;Verbruggen, G.M.M.;86;5;1;3;1;1;1;7;4;0;0;0;0;5;0;1;2;1;1;0;1;0;2;0;1;0;1;0;2;1;3;2;4;2;2;0;0;0;0;1;0;1;0;0;0;3;0;0;0;0;0;1;0;0;1;0;1;0;1;1;0;0;2;0;2;1;0;2;3;1;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;1;2;2;0;1;0;0;1;1;0;0;0;0;0;0;0;0
;;7;Elders, S.J.A.;85;3;5;3;1;3;2;15;2;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;3;1;1;1;0;0;1;2;1;0;1;0;1;2;0;0;1;0;1;0;0;2;1;0;1;3;2;1;0;0;1;1;0;0;1;3;2;1;2;0;0;0;0;0;1;1;0;0;0;0;2;1;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0
;;8;Muller-Laumans, V.P.T.;757;28;11;15;7;23;12;38;12;24;0;0;1;8;10;13;15;5;10;12;4;2;7;5;9;7;3;4;3;19;26;6;15;6;10;6;2;8;10;6;6;4;5;3;8;16;2;8;0;5;5;10;3;4;4;6;4;18;14;8;8;5;8;20;13;11;6;3;8;18;5;6;3;7;0;1;0;1;2;5;1;6;3;2;1;7;16;6;8;10;7;8;4;4;0;1;2;1;0;5;0;0
;;9;Peters, D.J.G.;148;11;3;5;4;9;2;16;1;3;0;0;0;1;6;1;7;3;1;2;0;2;1;1;3;1;2;1;3;5;4;0;0;1;1;0;0;0;1;1;1;1;0;2;5;1;0;1;0;2;0;1;0;0;4;0;1;2;0;1;1;1;0;1;0;0;0;3;2;3;1;1;0;2;0;1;0;0;0;0;1;1;0;0;1;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;1
;;10;Cremers, A.M.;26;1;0;1;0;1;0;1;2;2;0;0;0;1;2;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;Hommersom, S.;33;1;0;0;0;0;1;1;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;6;7;3;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;12;Poot, J.A.R.;23;2;0;0;0;0;0;3;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;2;0;1;0;0;0;1;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Panman, W.J.;32;2;0;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;1;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;2;0;0;1;0;0;1;0;1;0;2;3;0;0;1;1;2;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Schaapsmeerders, G.J.J.W.;134;4;2;3;2;5;1;11;1;1;0;0;0;0;0;1;4;3;0;3;0;0;0;3;5;2;1;0;1;7;10;2;3;1;3;3;0;3;0;1;2;0;0;0;4;3;0;1;1;2;0;2;0;0;2;1;0;1;1;1;2;0;0;0;0;4;0;2;0;1;0;1;0;1;0;0;0;0;3;0;0;0;1;0;1;0;4;0;2;0;0;0;4;0;0;0;0;0;1;0;0;0
;;15;Oberman, G.P.;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0
;;16;Pelgrim, W.G.;15;0;0;0;0;0;0;3;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;van Veen, J.C.;7;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;Visschedijk, I.E.C.;71;2;3;1;2;1;1;4;0;4;0;0;0;0;2;0;3;0;1;1;0;0;1;0;0;2;0;0;4;0;2;1;2;0;0;0;0;2;0;0;0;0;0;0;1;3;0;1;0;1;0;0;0;1;0;0;0;3;1;0;1;0;0;1;2;0;0;1;5;0;1;0;0;0;0;0;1;0;1;0;1;0;0;1;0;1;2;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0
;;19;Schoonen, L.A.;9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Schouten, M.Y.;23;1;1;2;1;2;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;2;1;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;van den Aker, N.A.A.;24;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;2;0;0;0;1;2;1;1;2;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;3;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Tiryaki, C.;47;1;0;0;1;0;0;2;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;1;3;1;0;0;0;1;0;0;1;0;0;0;0;1;1;3;0;0;0;0;0;1;3;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;3;1;0;0;0;0;1;2;1;0;2;3;1;3;0;1;1;1;0;0;0;0;0;0;0;0;0
;;23;Wit, R.R.;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;Gijsbers, F.;159;0;1;1;2;0;0;6;0;4;0;0;0;0;1;1;1;0;1;1;0;0;1;4;1;3;2;0;0;0;1;0;2;0;0;1;0;1;0;0;0;0;1;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;1;1;2;0;1;1;1;0;0;7;10;0;3;3;3;6;4;0;3;2;2;1;4;13;6;4;10;4;8;11;5;0;1;0;0;0;1;0;0
;;25;van Schaik, R.F.H.M.;17;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;2;2;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;26;Reinders, M.P.;30;2;1;0;0;0;0;1;0;0;0;0;0;0;1;1;2;6;1;1;0;0;0;0;1;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;Stevens, M.L.N.;16;0;0;0;0;0;0;1;0;0;0;0;0;1;0;5;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;Hoex, N.;24;1;0;1;0;1;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;1;1;0;1;0;2;1;1;1;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;29;Brok, L.J.M.;4;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;30;van der Horst, M.L.A.;26;1;0;1;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;2;3;1;1;0;0;1;2;0;0;1;1;0;2;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;31;Griens-Kruijs, C.W.M.;22;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;0;1;2;0;0;2;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;32;de Graaff, E.M.W.;16;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;0;2;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;33;Degen, N.;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;34;Derksen, R.H.A.;13;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;5;0;0;0;0;1;0;0;0;0;0;0;0;0;0
