Verkiezing;;Gemeenteraad Heeze-Leende 2022;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;
Gebied;;Gemeente Heeze-Leende;;;;;;;;;;;;;;;;
Nummer;;1658;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Dorpshuis 't Perron;Handboogsportvereniging Rozen van Oranje;Gemeentehuis;Gymzaal Engelse Tuin;Heemkundekring de Heerlijkheid HLZ;Basisschool De Trumakkers;Dorpshuis de Schammert;Basisschool Sint Jan;'t Brouwershuis;Dorpshuis Valentijn;Gemeentehuis Maandag;Gemeentehuis Dinsdag;Dorpshuis de Schammert Maandag;Dorpshuis de Schammert Dinsdag
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;314;315;714;715
Postcode;;;;;5591 HM;5591 GH;5591 HS;5591 BP;5591 NE;5591 NG;5595 CD;5595 GN;5595 XC;6029 RJ;5591 HS;5591 HS;5595 CD;5595 CD
;;2;van Breugel-Smolders, M.E.W.;258;13;10;22;12;19;20;17;11;8;93;13;15;3;2
;;3;van den Heuvel, J.W.H.M.;101;1;12;6;20;11;21;3;3;0;1;7;14;0;2
;;4;van Eerd, F.H.W.;89;19;13;9;15;2;9;1;1;1;3;9;7;0;0
;;5;van Gennip, Y.C.W.H.;56;12;3;5;5;3;8;3;0;1;3;5;5;2;1
;;6;van den Heuvel, M.H.W.;20;2;2;3;4;0;3;0;0;0;2;3;1;0;0
;;7;Coolen, M.F.B.M.;130;2;1;2;2;2;4;50;11;18;3;1;1;9;24
;;8;van Wetten, N.A.;16;0;2;0;1;4;1;0;0;0;1;0;7;0;0
;;9;Scheepers, J.M.P.;32;6;0;0;6;2;6;0;0;0;0;4;6;0;2
;;10;Moris, L.R.J.;13;1;0;2;2;3;0;1;0;0;0;0;3;1;0
;;11;van Wetten, R.F.P.;7;1;2;0;0;0;1;0;0;0;2;1;0;0;0
;;12;Bruinsma, S.P.;11;1;0;1;1;2;2;0;0;0;0;1;3;0;0
;;13;Cuijten, H.P.H.;22;3;0;7;0;6;3;0;0;0;0;0;3;0;0
;;14;van Vijfeijken-Scheepers, M.H.C.;4;2;0;0;1;0;0;0;0;0;0;0;1;0;0
;;15;Geraets-van Gansewinkel, M.A.T.;9;0;0;0;0;1;2;0;0;0;5;1;0;0;0
;;16;van der Aa-Fonteijn, H.M.;18;2;0;2;2;0;9;0;0;0;0;3;0;0;0
6;D66;;;557;45;39;51;40;54;30;70;24;20;48;29;37;28;42
;;1;van der Stek, P.;308;24;18;31;17;33;15;45;14;11;26;12;20;19;23
;;2;Klerks, M.P.;38;2;2;4;1;2;2;0;4;1;13;2;1;2;2
;;3;van der Veer, J.C.W.;142;17;16;15;20;12;11;7;3;2;7;9;14;2;7
;;4;Bos, C.;12;1;1;1;1;4;0;0;0;1;0;2;0;0;1
;;5;Keijzer, L.P.M.;33;1;2;0;1;0;2;10;1;4;2;3;1;2;4
;;6;Logtens, J.L.C.;11;0;0;0;0;2;0;3;1;1;0;1;0;0;3
;;7;de Wit, C.L.;2;0;0;0;0;0;0;0;0;0;0;0;1;1;0
;;8;Bierings, J.G.H.E.;3;0;0;0;0;0;0;3;0;0;0;0;0;0;0
;;9;Martens, P.W.J.;8;0;0;0;0;1;0;2;1;0;0;0;0;2;2
7;Partij van de Arbeid (P.v.d.A.);;;315;14;23;19;31;22;13;62;14;14;15;22;34;15;17
;;1;de Lange, M.;142;7;13;8;9;10;8;29;6;3;10;11;12;8;8
;;2;Koenen, W.M.C.;67;1;0;2;9;5;1;16;4;10;3;3;4;5;4
;;3;Rens, G.J.;18;1;2;3;3;0;0;0;0;0;1;2;6;0;0
;;4;Heuts-van Oers, S.A.E.;47;4;6;5;2;4;3;3;4;0;1;6;6;2;1
;;5;van Hofweegen, M.;8;0;2;1;1;1;0;1;0;0;0;0;1;0;1
;;6;van Geene-Nieuwenbroek, R.M.;3;1;0;0;0;0;0;1;0;0;0;0;1;0;0
;;7;Griep, P.A.M.;10;0;0;0;4;2;1;0;0;0;0;0;3;0;0
;;8;Nijpels, J.M.;17;0;0;0;0;0;0;12;0;1;0;0;1;0;3
;;9;Maatje, A.J.F.M.;3;0;0;0;3;0;0;0;0;0;0;0;0;0;0
