Verkiezing;;Gemeenteraad Valkenswaard 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Valkenswaard;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0858;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Zorgcentrum Kempenhof;Buurtgebouw De Horizon;Speeltuin Geenhoven;Ontmoetingscentrum De zoete inval;Gymnastiekzaal 't Gegraaf;Carolus gebouw;Scholengemeenschap Were Di;Gemeentehuis;Theater De Hofnar;Mariakerk;H. Martinuskerk;Dommelsche Bierbrouwerij;Sporthal de Belleman;Ons Dommels Plèkske;Clubgebouw  't Heike V.V. Dommelen;Het Dorpshuis;Ontmoetingskerk;Gymnastiekzaal 't Gegraaf;Gymnastiekzaal 't Gegraaf;Theater De Hofnar;Theater De Hofnar;H. Martinuskerk;H. Martinuskerk;Ons Dommels Plèkske;Ons Dommels Plèkske
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;514;515;914;915;1114;1115;1414;1415
Postcode;;;;;5554 JV;5554 PA;5552 SB;5552 EM;5552 BG;5554 AG;5553 CC;5554 DA;5554 DA;5555 AP;5551 AW;5551 AE;5551 EV;5551 EW;5551 TE;5556 VL;5554 JC;5552 BG;5552 BG;5554 DA;5554 DA;5551 AW;5551 AW;5551 EW;5551 EW
;;35;Staals, Y.M.H.M.;5;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;1;0;0;0;0;0
;;36;Bax, M.J.A.;8;0;0;1;0;0;0;0;0;1;2;0;0;0;0;0;0;2;0;0;0;1;0;1;0;0
;;37;Rottier, P.J.M.;2;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;38;van Rooij-Verlinden, J.L.;11;0;0;0;0;1;0;0;0;0;0;3;1;1;0;2;0;0;0;2;0;0;0;0;0;1
;;39;Smolders-de Jong, M;4;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
;;40;van den Boom, R.J.A.M.;39;0;3;0;1;1;4;1;2;0;0;3;0;2;4;9;0;0;0;0;4;1;0;2;0;2
;;41;van Engelen, J.C.B.;4;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
;;42;Hovens, G.P.T.;8;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;1;1;3;0;0
;;43;Kappé, T.C.M.;4;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0
;;44;Rottier-Hendriks, M.M.F.;2;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;45;Smets, A.G.;8;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;2;1;0;1;0;0;0
;;46;Hendrikx, T.M.J.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;2;0;0
;;47;van Eyken, F.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;48;Ahrens, J.M.;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;49;Zwerts, A.A.A.M.;8;0;0;0;1;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;2;0
;;50;de Louw, P.C.;9;0;0;0;2;2;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;1;0;0;0;0
3;CDA;;;1275;4;52;51;52;30;61;66;105;55;109;46;48;54;42;39;63;94;13;18;68;98;20;40;23;24
