Verkiezing;;Gemeenteraad Best 2022;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Best;;;;;;;;;;;;;;;;;
Nummer;;0753;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;Zalencentrum Prinsenhof;Bestwijzer;Brandweerkazerne;Buurthuis Kadans Bureau A;Buurthuis Kadans Bureau B;Gemeenschapshuis Vlinderhei;Gymzaal De Heivelden;Sporthal Naestenbest Bureau A;Sporthal Naestenbest Bureau B;Kindcentrum Platijn;Gemeentehuis;Gymzaal De Heivelden;Gemeentehuis;Gymzaal De Heivelden
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;2;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;VVD;;;2151;314;139;76;133;75;60;248;328;54;71;70;95;131;194;163
;;1;Verheijen, J.H.E.;1035;153;70;41;72;49;24;122;148;28;41;25;45;60;88;69
;;2;Vink-Bressers, I.H.J.;481;57;29;15;34;12;8;45;85;14;16;19;23;27;47;50
;;3;Govers, N.H.C.;96;15;3;0;3;1;5;15;19;1;1;4;6;6;10;7
;;4;van Gerwen-Scheepers, L.T.M.;178;23;12;8;8;3;3;25;32;4;4;12;5;11;15;13
;;5;Vriens, T.J.C.;107;18;4;4;6;4;11;11;13;3;1;0;4;9;11;8
;;6;Krol, A.A.C.;36;2;7;0;1;0;0;6;7;1;0;0;1;4;3;4
;;7;Farla, G.;17;6;0;0;2;0;0;2;1;0;0;0;0;2;2;2
;;8;Smits, H.A.J.;49;13;6;2;2;1;2;8;5;0;0;2;4;1;1;2
;;9;van Ham, R.A.M.;4;0;1;0;0;0;0;0;3;0;0;0;0;0;0;0
;;10;Weerheijm, F.;5;2;0;0;0;0;1;0;1;0;1;0;0;0;0;0
;;11;Hermans, H.W.M.;20;7;1;1;0;1;0;1;2;1;0;2;0;1;3;0
;;12;Dijkhoff, H.M.C.;123;18;6;5;5;4;6;13;12;2;7;6;7;10;14;8
2;CDA;;;1512;275;114;96;101;59;50;86;104;69;61;58;124;39;183;93
;;1;Gondrie, M.L.A.;674;98;53;51;47;26;27;35;49;32;34;23;59;22;83;35
;;2;de Vries, F.M.;203;24;13;8;15;6;7;21;12;17;10;13;17;4;21;15
;;3;van Kuik, H.A.;298;67;21;15;13;8;5;16;25;10;9;17;22;7;34;29
;;4;Slagers, H.G.E.M.;51;8;1;4;3;3;2;1;2;2;2;1;11;0;10;1
;;5;Salman, A.A.M.;22;7;0;1;8;0;0;0;2;0;0;0;2;0;1;1
;;6;van Genugten, C.M.P.;113;51;9;4;5;1;3;4;4;1;2;1;3;2;19;4
;;7;de Hollander, J.F.;2;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0
;;8;Suurmond, S.;4;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0
;;9;van Eijken, H.;19;2;0;0;0;4;3;2;1;2;1;0;0;0;3;1
;;10;Scheepens, C.M.O.;34;5;5;6;2;2;1;2;2;2;1;0;1;1;4;0
;;11;Verbeek, J.J.A.S.;15;0;1;2;4;0;0;0;3;0;0;2;1;0;0;2
;;12;van der Staak, L.L.B.M.;36;5;5;3;1;7;2;1;1;0;0;1;4;1;3;2
;;13;Held, P.C.;5;0;0;1;0;0;0;0;2;0;1;0;0;1;0;0
;;14;Barella, A.A.A.;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
;;15;van Eert, T.A.L.C.;10;3;1;0;0;0;0;0;0;0;0;0;2;1;2;1
;;16;Lips, J.G.W.;5;0;1;0;0;1;0;0;0;1;0;0;2;0;0;0
;;17;van de Laar, A.J.B.M.;19;5;1;1;1;1;0;2;0;2;1;0;0;0;3;2
3;Best Open;;;1531;196;88;74;115;106;91;101;188;67;63;42;89;69;147;95
;;1;Zeeman, V.J.H.M.;797;92;46;44;62;42;45;65;100;43;37;18;47;36;70;50
;;2;Kennis, L.B.A.;111;22;12;5;8;6;4;6;7;0;8;6;8;3;12;4
;;3;Crielaars, A.;78;6;0;4;3;20;13;4;7;2;2;2;2;4;5;4
;;4;Berkers, J.J.F.;118;19;6;4;14;9;6;3;16;8;2;2;6;4;15;4
;;5;van den Akker, A.H.P.;59;13;6;2;4;6;6;0;6;0;0;2;1;2;8;3
;;6;Cober, M.L.P.;94;7;3;9;8;8;9;4;5;6;4;1;9;2;12;7
;;7;Hermans, F.N.;28;2;4;2;2;2;2;0;2;1;4;0;1;1;3;2
;;8;van Giels, L.J.C.;9;0;0;0;0;1;0;1;4;0;0;0;1;1;0;1
;;9;van Mossel, P.J.M.;36;9;0;0;1;0;0;1;13;0;2;1;2;0;2;5
;;10;van Laarhoven, M.M.A.;15;6;1;0;2;1;0;0;1;0;0;0;1;0;3;0
;;11;van Kemenade, E.M.C.A.;37;6;3;2;0;2;2;0;6;0;1;3;3;0;7;2
;;12;Schocke, J.W.H.;18;3;0;0;0;1;0;0;1;1;1;2;1;4;0;4
;;13;van Baar, C.L.J.H.M.;20;2;2;2;0;5;1;1;2;1;1;0;0;0;1;2
;;14;Robers, F.J.G.;8;1;2;0;0;0;0;0;1;0;0;2;1;0;0;1
;;15;van Mossel, T.P.M.;13;1;0;0;0;1;0;2;2;3;0;0;1;1;0;2
;;16;Wijne, C.M.A.;16;0;0;0;1;0;0;3;8;0;0;0;1;3;0;0
;;17;van Schuppen, M.J.;27;3;3;0;2;0;1;3;3;0;1;2;2;5;0;2
;;18;van Hoof, J.J.M.;47;4;0;0;8;2;2;8;4;2;0;1;2;3;9;2
4;Jongerenpartij JO;;;1724;272;110;90;161;114;106;78;168;103;94;69;99;43;134;83
;;1;van den Boogaard, J.J.W.M.;757;121;42;34;74;56;52;29;65;50;48;24;48;22;57;35
;;2;Berkhout, I.M.S.T.;299;37;22;16;32;21;21;13;26;20;15;9;19;7;27;14
;;3;van der Heijden, A.B.;207;41;10;16;27;10;9;6;18;11;5;7;14;6;20;7
;;4;Snellen, R.F.C.;101;9;10;9;10;10;4;3;14;3;6;7;2;2;7;5
;;5;van der Kallen, L.F.C.;54;10;3;2;1;2;1;4;3;3;1;7;2;1;8;6
;;6;van den Broek, M.C.M.;49;7;3;1;5;4;1;2;8;3;3;1;1;0;3;7
;;7;Berkhout, P.;96;17;5;6;4;4;10;8;9;5;4;4;11;1;4;4
;;8;Stabel, F.T.J.B.;77;9;13;3;2;3;3;4;12;4;7;6;1;3;4;3
;;9;Saes, F.J.;84;21;2;3;6;4;5;9;13;4;5;4;1;1;4;2
5;D66;;;1848;254;118;67;154;68;44;124;278;102;78;81;94;81;151;154
;;1;Ekamp, M.L.N;899;115;59;34;72;33;27;68;137;49;33;40;44;43;78;67
;;2;Vrijburg, S.H.F.;191;18;12;9;15;9;3;16;40;8;3;6;8;8;15;21
;;3;Bongaerts, M.A.J.;371;47;21;12;23;12;7;26;69;23;17;15;20;14;25;40
;;4;Stoker, M.;24;7;0;0;2;0;0;1;1;1;3;2;0;1;3;3
;;5;Meeuwis, P.T.H.M.;133;24;10;4;20;2;2;4;8;11;5;8;9;4;12;10
;;6;Beenker, J.C.H.;43;7;3;0;4;2;0;2;6;3;4;1;4;2;5;0
;;7;Hoen, P.J.J.;36;9;1;0;0;3;0;0;3;4;6;0;2;2;2;4
;;8;Bruinsma, A.;8;2;0;0;1;0;0;1;1;0;0;0;3;0;0;0
;;9;Jansen, S.C.D.;40;8;5;2;2;4;0;2;4;0;2;0;1;2;3;5
;;10;van de Loo, P.J.E.;18;1;2;2;1;0;3;0;1;1;0;3;1;0;1;2
;;11;Malmberg, M.J.;12;2;2;0;4;1;1;1;1;0;0;0;0;0;0;0
;;12;Poos, M.R.;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
;;13;Slijper, F.J.W.;15;1;1;0;1;0;1;1;1;1;3;1;0;2;1;1
;;14;van de Sande, J.A.;27;5;0;3;5;0;0;0;3;1;2;2;2;0;4;0
;;15;Verver, H.M.;3;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;16;van der Waerden, J.J.C.M.;26;6;2;1;4;2;0;2;2;0;0;3;0;2;2;0
6;Gemeentebelangen Best;;;846;95;41;33;61;102;76;56;54;36;39;23;54;33;91;52
;;1;van Weert - van Geffen, D.J.A.;461;46;20;18;31;55;45;37;31;19;22;6;31;17;56;27
;;2;Vermeulen, A.;144;19;9;4;11;20;18;5;6;4;3;3;13;4;14;11
;;3;van Alphen, M.J.T.M.;12;0;2;0;2;0;0;0;0;0;3;2;0;0;3;0
;;4;Verhoeven, F.A.M.;40;2;2;2;2;4;3;2;2;4;1;2;2;4;4;4
;;5;van Luijk, N.M.F.;54;8;3;2;3;7;2;4;5;2;3;2;2;3;4;4
;;6;Verbakel, W.J.M.;24;6;0;2;3;4;2;2;0;2;1;1;0;0;0;1
;;7;Spijkerboer, H.;75;7;2;0;6;11;4;4;7;5;5;7;3;2;7;5
;;8;van Velzen, J.P.C.;36;7;3;5;3;1;2;2;3;0;1;0;3;3;3;0
7;Partij van de Arbeid (P.v.d.A.) / GROENLINKS;;;1573;247;73;68;154;92;67;105;162;102;79;41;81;86;139;77
;;1;Vader, R.;581;84;23;28;45;38;22;50;73;41;31;7;30;29;46;34
;;2;van der Heijden, S.J.;120;23;6;3;11;6;10;4;11;4;3;5;6;14;6;8
;;3;Thijssen, E.L.H.;419;71;22;7;50;26;15;23;47;28;21;8;21;25;34;21
;;4;Le Mat, A.F.L.;20;0;1;1;1;2;0;5;0;2;0;3;1;1;3;0
;;5;van de Meulengraaf, J.T.P.;59;14;4;2;4;1;2;3;5;3;1;2;2;2;9;5
;;6;de Bie, S.D.M.;149;23;10;11;16;3;4;14;11;10;10;11;7;5;10;4
;;7;Scheffer, V.J.P.;23;5;0;3;4;0;0;1;2;0;0;2;1;3;2;0
;;8;Haans-Teubner, E.M.;12;1;1;1;1;0;1;3;0;0;0;0;1;0;2;1
;;9;Hossein, S.;147;22;5;12;21;14;0;2;8;14;13;3;8;5;18;2
;;10;Brugman, M.C.;43;4;1;0;1;2;13;0;5;0;0;0;4;2;9;2
8;ChristenUnie;;;574;49;35;27;50;29;18;37;87;35;28;15;40;22;60;42
;;1;Bondt, W.;343;32;21;18;31;20;9;21;59;16;13;8;24;7;35;29
;;2;van Zandwijk-Volkerink, J.C.;67;5;3;4;5;2;4;7;8;4;1;2;4;7;9;2
;;3;Rukundo, V.;25;2;0;0;4;1;1;0;2;6;3;1;2;1;2;0
;;4;Akihary, E.J.H.;16;1;3;2;2;1;0;0;0;1;0;0;2;0;3;1
;;5;Verschelling, A.J.F.;11;1;0;0;2;0;0;0;0;0;2;3;0;0;1;2
;;6;Schipper, A.;14;2;0;0;2;0;0;0;4;0;0;0;1;2;3;0
;;7;de Wit, D.;12;1;3;0;1;0;0;0;4;1;0;0;0;1;0;1
;;8;Pourchez-Schuil, A.G.;40;4;0;1;0;4;3;4;5;1;1;1;6;4;1;5
;;9;Haagoort, M.K.;16;0;5;0;1;1;0;1;1;0;3;0;1;0;2;1
;;10;van Harten, D.;15;1;0;1;1;0;0;2;1;4;4;0;0;0;1;0
;;11;van der Vlies, A.;15;0;0;1;1;0;1;2;3;2;1;0;0;0;3;1
