Verkiezing;;Gemeenteraad Someren 2022;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Someren;;;;;;;;;;;;;;;;;
Nummer;;0847;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Zalencentrum Centraal;De Ruchte;De Ruchte (2);De Weijers;De Weijers (2);De Bunt;De Vurherd;De Einder;De Einder (2);Basisschool De Ranonkel;Sonnehove (bijz. stemb.);De Ruchte (14-03-2022);De Einder (14-03-2022);De Ruchte (15-03-2022);De Einder (15-03-2022)
;;17;Martens, J.M.G.;7;0;1;0;0;4;0;0;0;0;0;0;0;0;1;1
;;18;ten Bokum, B.X.;3;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0
;;19;Verhees, L.J.M.;16;3;1;0;3;0;0;4;0;0;2;0;2;0;1;0
;;20;van den Boomen, J.W.;3;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0
;;21;Malschaert - van Doorn, A.;13;2;5;0;1;0;1;0;0;0;3;0;0;0;1;0
;;22;van Rut, A.H.;9;0;0;1;0;2;0;0;0;0;4;0;1;0;1;0
;;23;Bukkems, H.F.A.;25;2;0;0;7;0;0;10;0;0;2;0;4;0;0;0
;;24;Hikspoors, M.L.J.;5;1;0;2;0;0;0;0;0;0;0;0;0;0;2;0
;;25;van Eijk, F.W.;4;0;1;0;0;0;0;0;0;0;2;0;0;0;1;0
;;26;Maas, W.H.M.;2;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0
;;27;van den Einden, A.W.M.C.;22;0;0;0;1;0;0;18;0;0;0;0;2;0;1;0
;;28;Klaus, T.A.C.;9;1;0;0;1;0;1;0;0;0;3;0;0;0;3;0
;;29;Lommen, J.P.;3;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0
;;30;van Otterdijk, R.F.A.G.;11;1;0;0;0;0;1;9;0;0;0;0;0;0;0;0
;;31;Loomans, F.J.M.;10;0;0;2;0;8;0;0;0;0;0;0;0;0;0;0
;;32;Vervoort, N.G.G.;11;0;1;0;0;0;2;0;3;1;1;0;0;0;3;0
;;33;Claessens, M.M.J.G.;9;1;0;3;1;1;0;0;1;0;0;0;0;0;2;0
;;34;van Esch, G.K.A.;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;35;Aldenzee, H.G.A.P.;9;2;0;0;1;0;0;2;1;0;0;0;0;1;2;0
;;36;van de Kerkhof, F.M.J.;11;2;0;0;4;0;0;5;0;0;0;0;0;0;0;0
;;37;Noten, R.A.H.;6;4;0;0;0;0;0;0;0;0;1;1;0;0;0;0
;;38;Leenen, A.J.S.;16;0;2;2;5;0;0;0;0;0;5;0;0;0;2;0
;;39;van der Vliet, R.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;40;van Lierop, T.A.G.;2;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
;;41;Kusters, I.A.H.M.;5;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0
;;42;Slegers, P.A.C.;11;0;0;0;0;0;0;10;0;0;1;0;0;0;0;0
;;43;van Ganzenwinkel - van Lierop, G.P.M.;22;5;1;3;2;3;0;0;0;0;2;0;2;0;4;0
;;44;van der Loos, H.D.;5;0;2;1;0;0;0;0;0;0;2;0;0;0;0;0
;;45;Wijlaars, M.M.A.;23;2;0;0;0;0;4;0;1;0;6;0;4;0;6;0
;;46;van Houts, N.M.M.;6;0;0;1;0;2;0;0;0;0;0;0;1;0;2;0
;;47;Saltos Naula - Stokvis, E.M.;5;0;2;1;0;0;0;0;0;1;0;0;0;0;1;0
;;48;Vinken - van der Klugt, M.B.A.;7;0;0;0;0;0;1;1;0;1;3;0;0;0;1;0
;;49;Verhees, H.W.;3;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0
;;50;Kusters, A.J.J.;15;3;2;0;3;0;0;0;0;0;3;0;0;0;4;0
4;Partij van de Arbeid (P.v.d.A.);;;766;82;74;86;92;60;28;76;23;14;53;2;60;7;93;16
;;1;van Maris, J.M.;235;26;23;29;39;21;6;28;6;3;10;2;11;3;19;9
;;2;van Doorn, W.M.;321;39;28;41;35;23;9;26;9;7;28;0;30;1;39;6
;;3;Eijsbouts, D.;48;4;5;4;7;4;10;6;0;1;2;0;3;0;2;0
;;4;van Loon, A.P.J.;18;5;0;1;0;1;0;0;2;1;2;0;1;0;4;1
;;5;van Rinsum, E.;10;1;3;1;0;3;0;1;0;0;0;0;1;0;0;0
;;6;Dortmans, L.L.;12;1;0;0;1;1;1;0;0;0;0;0;2;0;6;0
;;7;van Soest, H.;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
