Verkiezing;;Gemeenteraad Sint-Michielsgestel 2022;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Sint-Michielsgestel;;;;;;;;;;;;;;;;;;;;;
Nummer;;0845;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Brandweerkazerne Sint-Michielsgestel;Protestantse Kerk;Party's & Meetings Absoluut;De Meander (Gemeentehuis);Voetbalclub SCG'18;Sporthal Theereheide;Café Zaal de Schuif;Boer Goossens;Sportclub Den Dungen;Litserborg;Brandweerkazerne Berlicum;Basisschool Theresia;Den Durpsherd;De Moerkoal;Mobiel stembureau voor zorginstellingen;De Meander (Gemeentehuis);De Moerkoal;De Meander (Gemeentehuis);Litserborg
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
Postcode;;;;;5271 SB;5271 BK;5271 AL;5271 GC;5271 NB;5271 RR;5293 AN;5275 BM;5275 HV;5275 BV;5258 BK;5258 AG;5258 KB;5258 LE;5271 BH;5271 GC;5258 LE;5271 GC;5275 BV
;;17;Boselie, A.M.P.;9;0;0;0;1;0;0;0;0;2;3;0;0;0;0;0;1;0;0;2
;;18;Langens, B.C.P.;14;0;0;0;0;0;0;0;0;2;2;3;0;5;0;0;0;0;0;2
;;19;Schakenraad-Otten, H.T.W.;9;0;0;0;3;0;0;0;0;0;3;0;0;0;0;0;0;0;0;3
;;20;Meulenbroek, M.M.M.;19;0;1;0;1;0;0;0;1;0;10;0;0;0;0;0;0;0;0;6
;;21;Noori-Bakhshae, N.;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;van der Pennen, W.J.;5;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3
;;23;Verlande-van Grinsven, W.M.P.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;Berens, D.M.;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
;;25;Timmermans, P.J.G.M.;8;1;0;0;2;0;3;0;0;0;0;0;0;0;0;0;2;0;0;0
;;26;van der Pennen, A.B.;8;0;0;0;1;0;0;0;1;0;4;0;0;0;0;0;0;0;0;2
;;27;Cooijmans-van Meurs, F.M.A.;11;1;1;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;3
;;28;Smits, G.J.A.;10;0;0;0;0;0;0;0;1;0;7;0;0;0;0;0;0;0;0;2
;;29;van der Donk-Castelijns, A.P.F.;2;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0
;;30;Meis, M.L.;10;0;0;0;3;0;0;0;2;0;3;0;0;0;0;0;0;0;0;2
;;31;Schakenraad, C.A.J.;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;32;Kocken-Kroon, C.P.C.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;33;van Nistelrooij-Megens, I.W.H.T.;14;2;1;0;0;0;1;0;0;0;4;0;0;0;0;0;0;0;0;6
;;34;Pennings, J.T.A.;12;0;0;0;0;0;1;0;1;0;4;3;0;0;0;1;0;0;0;2
;;35;Sira, N.;4;0;0;0;0;0;1;0;0;0;1;0;0;2;0;0;0;0;0;0
4;GROENLINKS / Partij van de Arbeid (P.v.d.A.);;;1579;104;49;99;157;15;69;103;44;33;110;104;146;213;86;0;63;35;94;55
;;1;Goossens, S.;720;64;29;54;95;8;43;39;23;15;53;35;46;67;25;0;30;15;50;29
;;2;van der Maarel, A.M.;178;1;1;1;3;1;3;1;1;1;2;23;54;55;13;0;3;10;3;2
;;3;van Putten, K.T.;299;11;8;15;20;0;6;12;8;9;18;29;37;64;24;0;5;7;14;12
;;4;van Weert, M.C.M.;175;19;9;20;31;4;14;9;5;3;10;2;3;7;4;0;14;1;19;1
;;5;Overdam, G.A.H.;25;0;1;2;1;0;2;1;0;0;0;3;0;0;13;0;0;2;0;0
;;6;van Hoeckel, J.J.;34;2;1;2;0;1;0;21;0;0;2;1;0;0;1;0;2;0;1;0
;;7;Willems, A.H.M.;8;2;0;1;2;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0
;;8;van Riel, R.E.J.;29;1;0;0;0;0;0;16;2;0;2;1;0;3;0;0;3;0;0;1
;;9;Cooijmans, B.B.;38;2;0;0;0;0;0;1;3;4;18;0;0;1;0;0;2;0;1;6
;;10;Nelissen, L.M.T.M.;9;1;0;2;1;1;0;0;0;0;0;0;0;0;0;0;1;0;2;1
;;11;van Helvoirt, G.W.M.;11;0;0;0;0;0;0;0;0;0;0;4;0;5;2;0;0;0;0;0
;;12;Oosterbroek, E.;11;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;3;0;3;0
;;13;Boldewijn, J.M.A.M.;17;0;0;1;0;0;0;0;0;0;0;5;2;7;2;0;0;0;0;0
;;14;van den Berg, T.;3;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0
;;15;van der Heijden, A.H.;12;1;0;0;0;0;0;0;0;0;0;1;4;4;2;0;0;0;0;0
;;16;Veelenturf, P.W.M.;10;0;0;0;0;0;1;0;1;1;4;0;0;0;0;0;0;0;0;3
5;De Gestelse Coalitie;;;1082;183;69;177;222;37;62;30;10;6;16;9;9;7;0;1;90;0;131;23
;;1;Matthijsse - van den Heuvel, Y.A.M.L.;333;59;21;59;55;8;26;7;1;0;1;3;6;6;0;0;38;0;36;7
;;2;den Otter, F.A.J.;293;50;21;45;74;5;9;6;4;1;5;2;1;1;0;1;21;0;34;13
;;3;Hueber, J.H.M.;59;17;1;8;7;4;2;0;0;1;2;0;2;0;0;0;4;0;11;0
;;4;van Doorn, J.J.L;20;5;0;6;5;0;0;0;0;0;1;0;0;0;0;0;1;0;2;0
;;5;van Dijk, S.M.G.;85;8;2;14;24;5;5;2;4;1;2;0;0;0;0;0;8;0;9;1
;;6;Verhagen, P.B.M.;20;2;3;3;3;2;0;0;0;0;0;0;0;0;0;0;2;0;5;0
;;7;Simons - van Uden, J.T.W.J.;27;2;1;3;4;0;6;6;0;0;2;0;0;0;0;0;0;0;3;0
;;8;Steendijk, R.;21;5;0;3;4;0;3;0;0;0;0;0;0;0;0;0;3;0;3;0
;;9;Martens, J.G.J.;12;4;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0
;;10;Aarts, M.P.J.;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0
;;11;Appelboom, M.L.M.J.;5;2;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Kooiman, S.J.H.;15;5;1;3;2;1;0;0;0;0;0;0;0;0;0;0;0;0;3;0
;;13;Moseman, L.A.B.;26;7;1;5;2;0;3;4;0;0;1;0;0;0;0;0;2;0;1;0
;;14;Matthijsse, T.S.;27;2;7;2;4;5;1;2;0;0;0;0;0;0;0;0;2;0;2;0
;;15;Schets - Lodewijks, E.P.M.;6;1;0;1;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;Spierings, A.M.J.T.;23;4;4;4;4;0;0;0;0;0;0;2;0;0;0;0;2;0;3;0
;;17;Moed, H.W.;7;1;1;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;2
;;18;Rademaker, M.;6;0;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;2;0
;;19;van den Heuvel, L.J.C.;3;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Versteijnen, J.P.;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;21;Simons, S.R.;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;van Esch - Dankers, W.M.;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;23;van Buuren, R.A.M.A;7;0;3;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
