Verkiezing;;Gemeenteraad Breda 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Breda;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0758;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Stadhuis;Stembureau Zero-Point;Stembureau De Rooi Pannen;Stembureau Kerk van de Nazarener;Stembureau Basisschool De Singel;Stembureau Stadskantoor Gemeente Breda;Stembureau De Stilte;Stembureau Mezz;Stembureau Gymzaal Archimedesstraat;Stembureau Rudolf Steiner School;Stembureau Wijkcentrum Balieweide;Stembureau Leger des Heils;Stembureau Vrijwillig&Co;Stembureau Gymzaal BS Het Noorderlicht;Stembureau Curio Prinsentuin College;Stembureau Kindcentrum de Wisselaar;Stembureau Gemeenschapshuis De Biesdonk;Stembureau Curio Terheijdenseweg;Stembureau Belcrumhuis;Stembureau Podium Bloos;Stembureau NS Station Breda;Stembureau Gymzaal Elandstraat;Stembureau Michaëlkerk;Stembureau Poelewei;Stembureau Breda University of Applied Sciences;Stembureau Wijkcentrum 't Houwke;Stembureau Voormalig ABN AMRO gebouw;Stembureau OBS De Tweesprong;Stembureau Avans Hogeschool;Stembureau Sacramentskerk;Stembureau Buurthuis Toma;Stembureau Amphia Ziekenhuis Molengracht;Stembureau Gemeenschapshuis Mariëndal;Stembureau Dr. de Visserschool;Stembureau Clubhuis de Toss;Stembureau Careflex Zorgcampus;Stembureau Nieuwe Veste Bibliotheek Zuid;Stembureau Gymzaal Stoutenburgstraat;Stembureau Basisschool Laurentius;Stembureau Tennisvereniging De IJpelaar;Stembureau Scouting De Mokkenboom;Stembureau KBS Petrus en Paulus - gymzaal;Stembureau De Lichtboei;Stembureau Mencia de Mendoza Lyceum;Stembureau Hotel Mastbosch Breda;Stembureau Gymzaal Jan Nieuwenhuyzenstraat;Stembureau De Nieuwe Meidoorn;Stembureau Maczek Memorial Breda;Stembureau ANNAstede;Stembureau Incubator Breda;Stembureau Dansschool Salsa in Breda;Stembureau De Ruimte;Stembureau Huis van de Heuvel kerkgebouw;Stembureau Gemeenschapshuis Kievitslaar;Stembureau De Dobbelsteen;Stembureau SCC De Koe;Stembureau Café-Zalencentrum Het Witte Schaap;Stembureau Gemeenschapshuis Liesbosch;Stembureau Basisschool De Eerste Rith;Stembureau Drive-thru P5 NAC Stadion;Stembureau Buurthuis Gageldonk;Stembureau Tennis Vereniging Haagse Beemden;Stembureau Scouting Haagse Beemden;Stembureau Sportzaal Raaimoeren;Stembureau De Sleutel;Stembureau Sporthal Haagse Beemden;Stembureau Basisschool Burgst;Stembureau Wijkcentrum Heksenwiel;Stembureau SCC 't Kraaienest;Stembureau Gymzaal De Kroeten;Stembureau Gymzaal Twaalfbunder;Stembureau De Verbinding;Stembureau Willibrorduskerk;Stembureau Dorpshuis 't Web;Stembureau Park Zuiderhout;Stembureau Curio scala;Stembureau RKVV DIA;Stembureau Basisschool de Klokkebei;Stembureau SCC De Pekhoeve;Stembureau Dorpshuis 't Klooster;Stembureau Talentencentrum Bavel;Stembureau Sporthal De Huif;Stembureau Korenmolen De Hoop;Stembureau Stembureau parkeerterrein Kamvaren;Stembureau RK Kerk;Stembureau Het Kruispunt Prinsenbeek;Stembureau Café-Zaal 't Veehandelshuis;Stembureau Sportpark De Heikant;Stembureau De Drie Linden;Stembureau Scouting Thomas-More;Stembureau Mezz;Stembureau Gymzaal Archimedesstraat;Stembureau Gemeenschapshuis De Biesdonk;Stembureau Stadskantoor Gemeente Breda;Stembureau Breda University of Applied Sciences;Stembureau OBS De Tweesprong;Stembureau Sacramentskerk;Stembureau Gemeenschapshuis Mariëndal;Stembureau Gymzaal Stoutenburgstraat;Stembureau Scouting De Mokkenboom;Stembureau Hotel Mastbosch Breda;Stembureau De Nieuwe Meidoorn;Stembureau Huis van de Heuvel kerkgebouw;Stembureau SCC De Koe;Stembureau Sportzaal Raaimoeren;Stembureau Gymzaal Twaalfbunder;Stembureau RKVV DIA;Stembureau SCC De Pekhoeve;Stembureau Dorpshuis 't Klooster;Stembureau De Drie Linden;Stembureau Leger des Heils;Stembureau Mezz;Stembureau Gymzaal Archimedesstraat;Stembureau Gemeenschapshuis De Biesdonk;Stembureau Stadskantoor Gemeente Breda;Stembureau Breda University of Applied Sciences;Stembureau OBS De Tweesprong;Stembureau Sacramentskerk;Stembureau Gemeenschapshuis Mariëndal;Stembureau Gymzaal Stoutenburgstraat;Stembureau Scouting De Mokkenboom;Stembureau Hotel Mastbosch Breda;Stembureau De Nieuwe Meidoorn;Stembureau Huis van de Heuvel kerkgebouw;Stembureau SCC De Koe;Stembureau Sportzaal Raaimoeren;Stembureau Gymzaal Twaalfbunder;Stembureau RKVV DIA;Stembureau SCC De Pekhoeve;Stembureau Dorpshuis 't Klooster;Stembureau De Drie Linden;Stembureau Leger des Heils
;;38;van Mensvoort, J.T.M.;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0
;;39;Veldkamp, M.L.T.G.;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;40;de Bruijn, E.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;41;Kriens, J.D.S.;24;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;2;0;0;2;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0
;;42;Schooleman, M.A.;15;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;43;Kluijtmans, R.J.F.M.;8;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;44;Krzeszewski, W.M.K.;15;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0
;;45;Boelema, S.M.;20;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;46;van Hemel, M.C.;26;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;2;0;0;1;2;0;0;0;0;1;0;1;0;0;0;0;0;0;2;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;47;de Bie, M.A.E.;43;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;1;0;0;0;2;1;0;0;0;0;0;0;1;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;2;2;1;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;6;0;0;0;0;6;0;0
;;48;Moonen, C.P.M.;13;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;49;Boulakjar, F.;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;1;0;2;0;6;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
;;50;de Beer, P.J.L.M.;65;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;0;0;0;1;0;1;1;2;0;1;0;0;3;1;0;1;2;0;0;1;1;0;1;1;0;1;0;0;0;1;0;0;2;0;0;0;1;2;4;1;0;0;0;3;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;0;2;1;0;1;0;1;0;0;0;0;0;0;0;1;0;0;4;0;0;0;0;1;0;0;1;0;0;1;0;0;3;0;0;0;0;0;0;1;0;0;2;1;0;0;2;1;0;0;1;0;0;0;1;0;0
4;GROENLINKS;;;8711;227;106;33;48;116;157;89;156;53;46;61;53;22;61;6;76;75;13;142;106;274;34;101;90;188;64;40;87;38;256;40;37;49;89;43;94;140;114;100;114;88;110;30;23;51;76;78;55;136;87;28;47;125;23;74;94;111;24;65;44;121;47;110;52;47;49;59;70;100;52;35;27;125;93;22;29;26;41;98;46;45;13;27;45;62;15;60;42;51;20;94;42;25;48;49;36;71;51;40;47;20;25;36;43;38;32;23;35;24;27;23;127;48;36;78;108;52;127;60;67;54;25;54;69;55;44;50;41;50;40;30;31
;;1;de Nobel, M.;4560;88;56;16;19;44;82;43;51;22;24;24;25;8;28;3;25;35;8;86;55;116;15;53;43;81;35;11;41;19;159;29;25;24;49;24;56;90;56;56;62;50;66;18;11;29;32;38;31;53;41;9;26;57;16;44;52;69;15;38;18;64;24;62;24;31;23;38;41;62;32;15;13;62;40;14;9;14;28;63;32;30;9;15;28;25;10;36;23;29;12;52;17;9;25;29;23;35;29;25;36;14;8;17;23;24;21;10;27;15;18;9;66;22;17;35;56;27;67;45;26;42;12;25;41;38;28;31;27;32;27;11;12
;;2;Dijkstra, T.S.;292;17;3;0;4;3;11;0;4;1;0;4;1;1;2;0;2;3;1;1;2;13;0;2;3;1;1;5;2;1;2;2;2;4;1;2;4;3;3;1;8;3;4;1;0;3;2;4;1;4;0;1;3;4;0;5;6;3;1;1;3;3;1;3;5;0;1;1;4;3;3;1;2;1;2;1;3;1;2;2;0;3;1;0;0;0;0;2;0;3;0;4;2;0;1;2;1;4;1;1;1;0;2;3;1;1;0;0;1;3;0;1;4;2;2;5;2;1;1;0;6;3;2;1;0;2;3;5;2;0;1;2;2
;;3;van Son, L.J.M.;934;28;8;4;3;13;22;10;17;9;4;7;3;2;9;1;7;1;0;15;10;39;3;10;15;23;8;1;6;2;21;1;3;6;7;4;11;6;20;10;10;11;11;4;5;2;10;12;7;11;13;4;7;19;2;7;15;9;3;11;2;11;6;9;8;2;8;6;10;12;4;5;0;18;6;2;6;2;0;6;1;6;1;4;8;8;0;8;5;5;1;8;4;5;4;3;3;10;5;4;4;1;2;8;6;4;7;1;1;2;3;0;5;2;8;9;14;6;16;3;12;3;2;7;12;5;5;6;3;7;5;0;7
;;4;van Nispen, S.E.B.;534;20;9;1;3;13;9;7;11;5;5;2;2;1;1;1;4;4;0;14;6;20;1;11;3;13;6;3;5;6;9;4;4;3;10;2;4;3;8;9;10;8;7;0;3;4;9;3;3;14;3;4;2;7;1;4;6;5;0;3;3;10;5;6;1;1;6;2;2;6;3;4;1;3;3;1;4;1;3;2;2;1;1;1;0;2;1;2;2;1;0;4;4;3;4;4;0;5;3;3;0;0;2;3;4;1;0;2;3;0;1;0;5;7;1;5;10;1;6;3;6;1;2;4;6;2;1;2;1;4;2;1;0
;;5;Madad, H.;224;5;2;2;1;8;2;3;0;3;2;2;0;2;1;1;5;6;0;2;3;10;1;2;4;6;0;1;1;1;4;1;0;0;3;1;2;4;3;4;0;0;2;1;0;2;1;0;1;6;0;1;3;3;0;4;0;3;0;3;0;4;0;3;1;2;1;2;2;0;0;1;2;1;3;0;1;1;3;5;1;0;0;1;0;2;0;0;0;3;0;0;0;2;2;3;0;6;3;0;0;0;1;1;1;0;0;0;1;0;0;8;4;2;1;3;1;1;1;1;4;1;0;2;1;3;1;1;0;1;0;0;1
;;6;Bakker, P.;106;2;0;1;0;0;0;2;3;1;1;1;0;1;1;0;1;1;0;1;0;4;0;0;0;0;1;0;0;1;4;0;0;5;7;0;2;0;0;4;3;0;0;1;1;2;0;1;0;0;0;0;0;1;1;0;0;1;0;0;0;0;2;5;2;0;0;0;0;1;1;0;0;0;0;0;0;0;1;2;0;0;0;0;0;1;0;0;0;2;0;2;2;0;1;0;0;0;5;3;1;2;0;0;0;1;0;0;1;0;0;0;1;1;0;1;0;1;1;3;2;0;3;1;0;0;0;0;0;1;0;1;0
;;7;Pierre, E.;746;43;12;4;10;13;13;10;43;7;4;9;1;2;4;0;10;7;1;12;15;37;5;11;5;31;1;4;2;4;19;1;0;1;4;5;5;16;11;3;4;4;5;4;0;2;13;6;3;25;15;6;3;7;0;2;5;8;0;0;8;12;5;1;2;7;4;4;0;5;2;1;2;5;8;0;1;0;2;5;5;1;0;5;3;5;2;2;1;0;2;14;10;4;5;1;0;0;2;2;3;1;1;2;2;1;2;1;0;2;0;1;19;6;4;8;14;2;9;2;3;3;2;5;5;0;1;4;1;0;3;2;2
;;8;El Kaddouri, A.;222;1;0;2;1;4;1;0;1;1;0;3;10;0;10;0;14;7;3;2;1;3;7;3;9;2;3;9;21;0;2;2;1;1;0;2;0;1;4;1;2;0;0;0;0;1;2;1;0;4;2;1;1;2;0;0;2;1;0;0;1;1;2;0;2;2;3;2;1;1;1;1;0;3;1;3;0;1;0;1;1;2;1;0;0;0;0;0;2;0;0;0;0;0;2;1;7;0;0;0;1;0;3;0;0;0;0;0;0;0;0;0;0;1;0;3;4;8;2;0;0;0;0;2;0;0;1;0;0;0;0;0;4
;;9;Nauta, H.M.;155;3;2;0;0;4;3;0;0;0;0;0;2;1;2;0;0;0;0;0;1;1;0;1;1;1;1;2;1;1;1;0;0;1;1;2;0;3;1;1;1;0;1;0;1;1;1;0;3;3;1;0;0;4;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;1;2;3;1;27;24;0;2;4;0;2;1;0;0;0;4;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;8;0;0;0;1;0;1;2;1;1;0;2;0;1;0;0;1;0;0;0;0;5;0;0;0;0
;;10;Goethart, P.J.;32;0;0;0;0;2;0;0;2;0;0;0;1;0;0;0;0;0;0;0;1;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;4;0;0;0;0;0;0;0;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0
;;11;Cherrabi, L.;279;9;5;0;3;6;3;6;5;1;3;5;4;0;2;0;1;1;0;1;1;17;0;1;1;10;2;0;5;2;8;0;2;2;2;1;7;2;2;3;5;2;2;0;1;1;1;0;2;7;6;1;2;2;0;4;1;2;0;1;6;11;2;10;3;2;0;1;3;3;0;2;1;2;0;0;1;1;0;3;1;0;0;0;1;1;1;0;0;2;2;4;0;0;1;1;1;2;2;0;0;0;0;0;4;3;1;0;0;0;0;0;9;3;1;6;2;2;4;0;1;0;2;1;1;0;0;0;2;2;1;1;0
;;12;Beekman, D.;17;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Verhoeven, J.M.;35;2;2;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;1;0;0;0;0;0;2;0;3;2;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0
;;14;de Vente, M.J.H.;27;0;0;1;1;0;0;1;3;0;2;1;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;4;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
;;15;Deijkers, A.J.J.;25;0;0;0;0;0;0;0;3;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;3;0;3;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;Beijer, S.J.;35;2;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;0;0;0;4;0;0;0;3;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;1;0;2;1;0;0;1;0;1;0;1;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0
;;17;van Eijsden, F.;115;1;3;0;0;1;4;5;6;1;0;0;1;0;1;0;0;0;0;2;1;2;0;0;1;4;1;0;1;0;15;0;0;0;1;0;2;4;0;0;3;0;3;0;0;0;2;3;2;2;0;0;0;5;0;2;0;1;0;2;1;1;0;3;1;0;0;1;2;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;2;0;8;0;0;0;0;1;1;0;0;0;0;1;0;0;0
;;18;Kole, N.;7;0;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;19;Jansen, T.;20;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0
;;20;Bonthuis, W.;29;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;2;0;3;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;2;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3
;;21;van Winkel, M.M.M.;12;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Hueting, D.H.;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;7;0
;;23;Willems, W.J.;13;1;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;Scheifes, B.I.W.;41;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;1;6;2;0;0;1;0;0;2;0;0;3;0;0;0;0;0;0;1;1;1;0;1;5;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;4;0;1;1;0;0;0;0;0;0;0;0;0;0;0
