Verkiezing;;Gemeenteraad Geldrop-Mierlo 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Geldrop-Mierlo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1771;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;SCC Hofdael;Kasteelhoeve Geldrop;Dalton Kindcentrum Dommeldal;Gebouw Toernooiveld Tien;Gemeenschapshuis Zesgehuchten;Nutsbasisschool De Ganzebloem;Cocody;Wijkgebouw Den Akert;Ouderwijzer;Nutsbasisschool De Regenboog;Woonzorgcentrum Heuvel;Wijkgebouw Oranjeplein;Dienstencentrum St. Jozefplein;Dienstencentrum Kettingstraat;Sporthal de Kievit;Brandweerkazerne;d'n Intheek;Jongerencentrum Loesje;Sporthal de Weijer;Woonzorgcentrum Savant;Woonzorgcentrum Heuvel;Sporthal de Kievit;Brandweerkazerne;Sporthal de Weijer;Woonzorgcentrum Heuvel;Sporthal de Kievit;Brandweerkazerne;Sporthal de Weijer
;;14;Bourassin, E.C.E.;26;5;2;1;0;1;4;0;1;2;1;0;0;0;2;0;0;0;2;0;1;0;1;0;0;2;0;0;1
;;15;Berkers, J.P.H.;19;2;0;3;0;2;1;0;0;1;0;0;0;4;2;1;0;0;0;0;0;0;1;0;0;0;2;0;0
;;16;Monteiro, H.J.;14;2;3;1;0;0;0;0;0;2;3;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0
;;17;Klomp, J.M.P.;17;1;0;0;0;2;5;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;3;0;1;1
;;18;Breemerkamp, L.M.S.;32;2;0;1;1;1;2;0;0;0;1;1;1;1;1;0;0;5;8;1;3;0;0;0;1;0;0;1;1
6;D66;;;1533;88;95;115;42;228;184;34;58;30;46;19;42;25;52;49;46;31;33;42;26;23;50;15;17;28;55;24;36
;;1;van Happen, A.G.J.;644;49;42;36;13;104;77;15;17;14;21;11;23;8;21;15;21;10;16;18;10;15;21;1;7;9;20;8;22
;;2;Bemelmans, H.A.J.;286;10;22;25;7;56;24;5;19;7;9;5;8;4;4;9;5;3;5;2;0;4;11;7;2;14;10;3;6
;;3;Zeedijk-Raeven, F.A.;177;6;6;21;5;12;39;4;10;3;7;3;3;2;14;8;3;3;3;0;2;0;2;1;2;2;13;2;1
;;4;Moolenaar, M.C.H.M.;39;1;5;2;1;3;7;1;3;0;0;0;0;1;3;5;1;0;0;0;0;0;3;0;0;0;1;0;2
;;5;van Lieshout, W.P.;38;5;3;3;4;5;2;2;2;1;1;0;1;0;0;1;1;1;0;0;0;0;2;1;0;0;3;0;0
;;6;van Breemen, J.J.J.M.;15;1;0;0;0;2;3;0;0;1;1;0;0;1;3;0;2;0;0;0;0;1;0;0;0;0;0;0;0
;;7;Gruintjes- van Gerven, E.J.C.;158;9;11;17;10;34;12;3;6;3;2;0;4;3;4;5;3;2;1;8;4;1;6;0;1;0;6;2;1
;;8;Uittenbroek, A.L.;45;3;0;0;0;0;0;0;0;0;0;0;1;0;0;1;5;9;5;5;7;0;0;4;3;0;1;0;1
;;9;Sjouw, L.M.;25;0;2;1;0;3;12;3;1;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
;;10;Visser, P.;8;0;0;1;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;2;0;0;0;0;0;0
;;11;Shepher, N.;21;0;0;2;2;5;1;1;0;0;0;0;0;5;1;1;0;0;0;0;0;0;2;0;0;1;0;0;0
;;12;Verbakel, L.M.H.;9;0;0;2;0;2;2;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Vliek - van Woudenberg, M.N.;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;6;3;0;0;0;1;0;0;2;3
;;14;Vliek, R.M.E.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0
;;15;Blok, P.G.;5;2;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;Itz, C.J.;9;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;1;0;3;0
;;17;Çelik, A.R.;8;1;0;0;0;0;0;0;0;0;2;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;2;0
;;18;in 't Anker, W.P.;12;1;3;4;0;0;1;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Verdonck, A.M.C.G.;10;0;0;1;0;0;2;0;0;1;0;0;0;0;0;0;1;1;0;1;0;0;0;0;1;1;0;1;0
7;SAMEN;;;1410;116;43;60;16;105;65;7;56;86;106;28;73;67;71;74;24;40;69;49;27;17;38;16;26;37;43;12;39
;;1;Verdouw, M.;725;76;29;32;10;60;34;3;25;57;55;14;35;30;35;31;8;17;22;22;15;14;25;6;10;18;23;8;11
;;2;Jansen, D.J.;94;15;3;5;1;9;2;0;5;3;8;1;4;6;8;6;1;1;5;2;0;0;2;0;0;1;5;1;0
;;3;van de Vossenberg, P.A.M.;64;0;1;0;0;2;1;0;0;3;0;2;0;1;0;4;6;9;13;7;4;0;0;2;3;1;0;1;4
;;4;van de Stolpe, M.;32;0;5;2;0;2;5;0;1;0;5;0;1;0;0;2;1;0;1;0;0;1;0;0;0;1;5;0;0
;;5;Liebreks, R.J.H.;42;1;0;2;0;1;2;0;1;2;4;1;0;2;1;7;1;0;1;1;0;0;1;2;1;0;2;2;7
;;6;Liebreks, H.F.M.;16;2;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;2;3;2;0;1;0;1;0;0;0;3
;;7;Roos, V.M.D.;66;2;1;1;1;5;3;1;3;2;11;5;6;2;9;1;2;0;2;1;0;0;1;0;1;4;2;0;0
;;8;van den Reek, T.F.W.M.;16;0;0;0;0;0;0;0;0;1;0;0;2;1;0;0;0;0;3;3;0;0;0;0;3;0;0;0;3
;;9;Hendriks, M.M.H.J.;33;0;0;1;1;1;0;2;5;0;6;0;6;0;2;2;0;0;0;0;0;0;1;3;0;3;0;0;0
;;10;Bayoumy, T.A.;39;0;0;0;0;0;2;0;0;1;0;2;1;0;0;4;0;7;9;2;2;0;1;1;3;1;1;0;2
;;11;Schroemges, R.;9;1;0;0;0;2;0;0;0;5;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;12;Huntelaar - Erkelens, C.;34;2;0;0;0;0;1;0;0;4;0;0;3;10;2;0;0;1;1;2;0;0;2;0;0;5;1;0;0
;;13;Cuijten, W.A.G.;32;5;1;3;1;7;1;0;0;3;3;0;0;0;0;3;0;0;0;0;0;0;3;0;0;0;0;0;2
;;14;Martens, J.;15;0;0;0;0;0;5;0;1;0;0;0;2;0;0;0;0;3;0;2;0;0;0;0;1;0;0;0;1
;;15;den Heijer, M.P.;13;1;1;0;0;0;0;0;0;1;2;0;0;0;0;0;4;0;3;0;0;0;0;0;0;0;1;0;0
;;16;Mourik, M.J.M.;13;3;0;0;0;2;1;0;1;0;3;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Oosterbosch, B.M.L.J.;7;1;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0
;;18;van Lieshout, A.A.G.;11;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;1;1;1;2;0;0;0;1;0;0;0;2
;;19;van Wetten, J.M.P.;11;2;0;0;0;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;1;0;0;0;2;0;0;0
;;20;Verdouw - de Vet, M.M.A.A.;17;2;0;0;0;1;1;0;7;1;2;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0
;;21;van Lieshout, K.W.W.;8;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;1;0;2
;;22;Markgraaff, P.J.;30;0;0;1;1;2;0;0;2;0;6;0;4;4;2;6;0;0;0;0;0;0;0;1;0;0;1;0;0
;;23;van den Biggelaar, M.J.J.;9;0;0;1;0;0;1;0;0;0;1;0;0;0;3;0;1;0;2;0;0;0;0;0;0;0;0;0;0
;;24;Roos, K.P.J.;6;0;0;0;0;1;0;0;0;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
;;25;Renier, A.M.J.;16;0;0;6;0;1;0;0;1;0;0;0;0;6;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
;;26;van de Steur, R.A.;8;0;0;1;0;2;2;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;Bierens, A.W.R.;6;0;0;0;0;1;0;1;0;0;0;2;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
;;28;van Hoof, G.H.;4;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0
;;29;Verdouw, D.;5;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
;;30;van Hoof, R.;7;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;1;2;0;0;0;0;0;1;0;0;0;0
;;31;Carlisle, L.M.;11;1;0;1;0;1;2;0;0;0;0;0;1;2;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0
;;32;Habraken, M.C.;11;1;0;4;0;1;2;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0
8;Partij van de Arbeid (P.v.d.A.);;;1652;99;37;93;29;210;144;14;55;57;105;12;30;88;57;66;52;65;64;73;57;17;37;14;41;27;45;30;34
;;1;van de Burgt, R.H.M.;653;45;20;44;11;87;64;5;21;32;53;6;10;28;24;34;9;20;19;15;9;2;19;5;15;13;27;6;10
;;2;van Nunen, G.L.J.T.M.;275;7;8;19;5;63;37;4;14;12;13;3;2;6;16;10;10;4;4;3;2;2;9;3;2;6;9;1;1
;;3;Elsendoorn, P.C.G.;106;6;4;2;0;2;2;0;0;0;2;0;0;0;2;2;12;8;10;13;12;0;0;0;10;0;1;13;5
;;4;van de Ven-Schoofs, M.H.J.;98;20;0;4;3;9;5;0;3;4;5;0;5;12;3;4;0;0;1;2;7;4;1;0;1;3;2;0;0
;;5;Oortwijn, B.M.;33;0;0;1;0;2;12;0;1;2;2;0;1;3;2;1;0;1;0;0;0;3;0;0;0;0;1;1;0
;;6;Coolen, L.;135;1;0;4;3;7;5;0;2;0;2;1;3;4;0;7;12;19;16;16;10;1;0;2;5;1;2;5;7
;;7;van Hoek, S.P.A.;83;0;0;0;0;3;1;2;0;0;1;1;6;3;0;0;3;7;8;17;14;0;0;3;5;0;0;1;8
;;8;Smajlović, F.;40;2;1;5;0;2;1;0;2;1;3;0;1;10;1;1;2;0;1;1;0;3;1;0;0;0;2;0;0
;;9;Verberne, L.H.G.;56;2;1;0;1;3;0;2;4;6;18;0;1;7;4;0;0;0;0;0;0;1;1;0;0;3;0;0;2
;;10;Steenman, R.M.J.G.;22;0;0;0;2;18;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;Schattevoet-Oortwijn, F.M.J.;7;0;2;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Snelders, H.P.H.;6;2;0;0;0;0;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;van Ool, J.C.G.M.;9;2;0;0;0;0;0;0;1;0;0;0;0;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Kok, M.;6;1;0;0;1;0;1;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;15;de Wit, J.M.C.;11;1;0;0;0;6;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
;;16;Ramaekers, J.A.H.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0
;;17;Elsendoorn, D.F.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;0;0;0;0;0;0;0;0;1
;;18;van de Ven, N.;10;0;1;0;0;1;0;0;4;0;0;0;0;0;0;1;0;0;0;0;0;1;2;0;0;0;0;0;0
;;19;Alfakhouri, R.;10;2;0;1;2;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;2;0
;;20;van Vuuren, C.V.;3;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;Philip, S.;19;2;0;3;1;4;3;0;0;0;2;0;0;1;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0
;;22;van der Linden, C.A.;5;2;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;Bhagwandien, S.;7;0;0;0;0;0;0;0;1;0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;24;Elsendoorn, N.D.;12;2;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;0;1;1;3;0;0;1;0;0;0;0;0
;;25;Hofstede, J.J.;6;0;0;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
;;26;Schouten-Elsendoorn, M.J.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0
;;27;van Schijndel, S.M.;28;2;0;10;0;1;1;0;0;0;0;0;1;1;3;2;0;0;0;2;0;0;4;0;0;1;0;0;0
