Verkiezing;;Gemeenteraad Alphen-Chaam 2022;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;
Gebied;;Gemeente Alphen-Chaam;;;;;;;;;;
Nummer;;1723;;;;;;;;;;
;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Café Welkom;Cultureel Centrum den Heuvel;SKAC, bibliotheek;Het Chaamsche Wapen;De Leeuwerik;SKAC, bibliotheek 14-03-2022;SKAC, bibliotheek 15-03-2022;SKAC, bibliotheek
;;8;van Ginneken, R.C.W.M.;97;4;1;38;26;3;10;15;0
;;9;Hoefmans-Kennis, E.E.C.;34;10;17;1;0;3;1;2;0
;;10;Vergouwen, C.J.E.M.;7;1;0;0;0;6;0;0;0
;;11;van Dongen, J.P.D.;17;1;0;4;2;9;0;1;0
;;12;Heestermans, A.J.M.;7;0;0;1;5;1;0;0;0
;;13;de Roij, A.B.A.M.;14;10;4;0;0;0;0;0;0
;;14;Graumans, A.H.E.;5;0;0;2;1;0;2;0;0
;;15;Jansen, A.A.M.;7;0;0;0;1;6;0;0;0
;;16;van der Burg, F.G.M.;2;0;2;0;0;0;0;0;0
;;17;Gerritsen, M.P.;13;0;0;1;6;0;0;6;0
;;18;van den Wijngaart, A.C.;0;0;0;0;0;0;0;0;0
;;19;Aerts, F.A.M.;17;0;1;7;3;1;0;5;0
;;20;van Gorp, A.A.P.M.;7;2;5;0;0;0;0;0;0
;;21;de Beer, A.C.M.;5;0;0;1;2;0;1;1;0
;;22;Vergouwen, J.P.M.;1;0;0;0;0;1;0;0;0
;;23;van den Broek-van den Ouweland, M.A.J.B.;10;0;1;0;1;0;2;6;0
;;24;Kusters, J.J.J.;7;0;0;1;3;0;1;2;0
;;25;van der Westerlaken, F.A.J.;16;0;0;7;3;0;0;6;0
;;26;van Engelen, J.C.P.M.;2;0;0;0;0;0;0;2;0
;;27;Rops, J.A.;1;0;0;0;1;0;0;0;0
;;28;van der Steen, A.C.J.M.;1;1;0;0;0;0;0;0;0
;;29;Hendrickx, A.W.M.;12;4;8;0;0;0;0;0;0
;;30;Braspenning, A.L.J.;30;1;0;2;5;20;1;1;0
2;Gemeenschaps Belangen Alphen (GBA);;;1449;502;861;19;21;11;15;20;0
;;1;Bijlsma, J.;626;223;360;7;14;4;7;11;0
;;2;Wilmsen, E.F.A.;69;21;44;1;1;1;0;1;0
;;3;Huismans, N.J.A.;48;15;29;2;0;1;0;1;0
;;4;Lauwaars, H.R.C.;14;5;9;0;0;0;0;0;0
;;5;van Dongen, R.A.E.;18;2;14;0;0;0;0;2;0
;;6;Meeuwsen, M.C.A.;98;47;47;0;0;0;4;0;0
;;7;van den Donker, T.;20;4;16;0;0;0;0;0;0
;;8;Graafmans, R.P.A.M.;127;37;81;3;2;1;2;1;0
;;9;Mouws-Reijns, M.J.C.;43;7;34;1;1;0;0;0;0
;;10;Janssen, A.F.M.;18;10;5;0;0;3;0;0;0
;;11;Hendrickx, H.I.M.;16;10;6;0;0;0;0;0;0
;;12;van Dongen, B.;24;10;13;0;0;0;1;0;0
;;13;Foesenek, M.;43;5;37;0;0;0;0;1;0
;;14;Loonen, J.A.C.M.;20;8;11;0;0;1;0;0;0
;;15;Peters-Wildhagen, M.J.A.;54;7;45;1;0;0;0;1;0
;;16;Hessels-Brock, M.A.J.A.;12;6;5;1;0;0;0;0;0
;;17;Backx, E.C.J.M.;56;15;38;1;1;0;1;0;0
;;18;Geppaard, R.C.J.P.;8;3;4;0;1;0;0;0;0
;;19;Stuijk, T.C.M.;20;16;4;0;0;0;0;0;0
;;20;de Jong, A.J.M.;21;13;7;1;0;0;0;0;0
;;21;van Zon, A.W.C.M.;28;18;10;0;0;0;0;0;0
;;22;Huijben, C.P.M.;5;2;3;0;0;0;0;0;0
;;23;de Swart, P.J.M.;18;8;10;0;0;0;0;0;0
;;24;van Dongen, A.M.;4;1;2;0;1;0;0;0;0
;;25;Engelse, A.P.;5;2;3;0;0;0;0;0;0
;;26;Bijlsma-van Raaij, A.H.;16;4;12;0;0;0;0;0;0
;;27;van de Heijning, A.P.C.M.;9;0;9;0;0;0;0;0;0
;;28;Berben, T.A.J.;9;3;3;1;0;0;0;2;0
3;GBSV;;;1295;9;16;464;341;20;204;241;0
;;1;van Raak, F.G.A.;496;3;3;174;137;6;95;78;0
;;2;Willemstein, J.S.A.;185;1;3;73;51;6;20;31;0
;;3;Deckers, D.J.C.;72;1;0;28;15;1;11;16;0
;;4;in 't Veld, W.;48;1;1;10;17;0;8;11;0
;;5;Evers e/v Michielsen, R.P.A.;29;0;1;13;2;0;9;4;0
;;6;van Oosterbosch, N.P.W.;134;0;1;62;29;0;12;30;0
;;7;Reijnders, S.;17;0;1;6;2;4;2;2;0
;;8;de Raad, R.M.H.;11;0;0;3;0;0;1;7;0
;;9;van Beijsterveldt, A.C.Z.;34;0;0;17;11;0;3;3;0
;;10;Bullens, D.R.S.;4;0;0;1;0;0;2;1;0
;;11;van Dun p/v Keij, M.;23;0;0;4;7;0;7;5;0
;;12;Vosters, A.P.G.;14;0;0;6;4;0;2;2;0
;;13;Polderman e/v Wijngaard, A.H.C.;36;0;1;16;6;2;4;7;0
;;14;Picard, A.A.F.M.;32;0;0;14;11;0;5;2;0
;;15;Martens, J.C.;16;0;0;2;9;0;3;2;0
;;16;Donkers, L.N.;20;0;0;7;7;0;4;2;0
;;17;Stevens, W.G.A.;9;0;2;2;1;0;0;4;0
;;18;Oomen e/v Willemstein, A.A.L.;4;0;0;2;2;0;0;0;0
;;19;van de Korput, M.C.A.R.;9;0;0;1;1;0;3;4;0
;;20;van Dijk, A.;3;0;0;0;1;1;0;1;0
;;21;de Haas, J.F.G.;2;0;0;0;2;0;0;0;0
;;22;Laurijssen, L.J.M.;17;0;0;3;6;0;2;6;0
;;23;Oomen, C.C.J.M.;4;0;0;1;2;0;0;1;0
;;24;Verheijen e/v Vermeer, A.M.C.A.;17;0;0;3;7;0;4;3;0
;;25;Schaerlaeckens, J.A.M.;13;3;1;2;2;0;3;2;0
;;26;Leuris, S.A.L.M.;13;0;0;5;2;0;1;5;0
;;27;Welten, B.C.V.;1;0;0;1;0;0;0;0;0
;;28;Patist, A.;12;0;1;6;3;0;0;2;0
;;29;Wouters, L.J.C.M.;7;0;0;0;0;0;1;6;0
;;30;Cornelissen e/v van den Ouweland, A.M.H.;13;0;1;2;4;0;2;4;0
4;VVD;;;600;106;147;107;85;47;45;63;0
;;1;Huijben, A. P. W. M.;243;48;83;19;24;21;26;22;0
;;2;van den Berg, R.W.;38;11;17;1;4;1;0;4;0
;;3;van Loon, J.A.M.J.;140;8;6;58;27;15;5;21;0
;;4;Bernaards, M.T.;31;2;2;10;8;0;6;3;0
;;5;Kleiren, B.W.J.;11;6;3;0;0;0;1;1;0
;;6;Baijens, A.P.M.;33;0;3;5;17;4;1;3;0
;;7;Hendriks, M.J.;17;0;0;10;2;0;1;4;0
;;8;Disco-Verheijen, R.J.C.;12;6;2;2;0;2;0;0;0
;;9;Snijders, B.;41;12;27;0;0;1;0;1;0
;;10;Doorman, T.W.R.;5;0;0;1;0;1;2;1;0
;;11;de Jager, M.A.;4;0;0;1;1;0;2;0;0
;;12;van de Louw-van der Linden, P.M.;18;13;4;0;1;0;0;0;0
;;13;van Dijk, E.;7;0;0;0;1;2;1;3;0
5;Gemeentebelangen GSU;;;567;7;12;18;16;491;15;8;0
;;1;van Opstal, P.A.;286;5;7;10;5;249;7;3;0
;;2;Martens, F.A.G.E.M.;116;2;2;3;2;105;1;1;0
;;3;Vermeeren, A.J.F.M.;34;0;0;0;0;34;0;0;0
;;4;van Dun, S.J.C.M.;22;0;0;0;2;18;2;0;0
;;5;Maas, A.J.J.A.;6;0;2;0;0;2;0;2;0
;;6;van de Laar, E.H.M.;18;0;0;0;0;18;0;0;0
;;7;van Schijndel, J.;0;0;0;0;0;0;0;0;0
;;8;Voeten, T.J.P.;7;0;0;0;0;6;1;0;0
;;9;van Dun, J.H.;8;0;0;0;0;8;0;0;0
;;10;Heestermans, E.A.J.;17;0;0;4;4;5;2;2;0
;;11;van Opstal, J.A.M.;5;0;1;0;1;3;0;0;0
;;12;Oomen-Keij, J.M.C.;3;0;0;0;0;3;0;0;0
;;13;Koijen-van Opstal, P.E.M.;3;0;0;0;1;2;0;0;0
;;14;Moelands, J.A.M.;17;0;0;0;0;17;0;0;0
;;15;den Ronde, J.;4;0;0;0;0;4;0;0;0
;;16;Riemslag, R.;8;0;0;0;0;6;2;0;0
;;17;Cornelissen, A.J.A.H.;13;0;0;1;1;11;0;0;0
6;D66;;;430;52;106;86;49;50;48;39;0
;;1;Aarts, M.E.C.P.;297;32;52;69;39;43;34;28;0
;;2;Schoonderwoerd, L.M.A.P.;44;5;32;2;3;0;0;2;0
;;3;Knijff, T.H.L.;13;0;2;1;3;1;2;4;0
;;4;van Woerdekom, Q.B.;13;0;1;5;0;0;3;4;0
;;5;Schoonderwoerd-Leijten, J.E.F.;30;7;13;2;1;3;4;0;0
;;6;van Sas, L.C.H.;12;8;4;0;0;0;0;0;0
;;7;van der Waal, D.P.;4;0;1;0;0;1;2;0;0
;;8;de Graaf, S.;17;0;1;7;3;2;3;1;0
