Verkiezing;;Gemeenteraad Bergen op Zoom 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Bergen op Zoom;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0748;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Ontmoetingscentrum De Korenaere;De ontmoetingskerk;Blokstallen;Stadskantoor;Ontmoetingscentrum het Fort;LPS Anton van Duinkerken;Sint Gertrudiskerk;Emmauskerk;'t Hoefke;Residentie Meilust;Sporthal Tuinwijk;Auris Montaal;Foyer de Kannebuis;Halsterse Tennis Vereniging;Het Kompas;Algemene School Oost;Foyer Gageldonk;Intratuin Halsteren;Woonzorgcentrum Stuijvenburgh;Ontmoetingscentrum Het Zonneplein;Ontmoetingscentrum Het Hoofdkwartier;Zalencentrum de Raayberg;School de Kreek;De Toermalijn;SKW 't Weike;Ontmoetingscentrum De Wittenhorst;De Zeeland;Residentie Aquasite;Blokstallen;Het Kompas;Foyer Gageldonk;Ontmoetingscentrum De Wittenhorst;Blokstallen;Het Kompas;Foyer Gageldonk;Ontmoetingscentrum De Wittenhorst
;;31;Kannekens, B.G.;7;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;2;0;0;0;0
;;32;Suijkerbuijk, G.D.M.;10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;1;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;33;Verkaart-Zandbergen, J.C.;10;0;0;0;0;0;1;0;5;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;34;Koolen, A.C.J.;12;0;0;0;1;0;0;5;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
;;35;Schepers, P.W.;17;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;7;0;0;0;3;0;0;0;0;1;0;0;0;0;0;0;2;0;1
;;36;Scheepers, P.W.K.;16;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0
;;37;Hopmans, J.P.L.;9;0;0;0;1;0;0;1;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0
;;38;van Es, J.;10;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;3;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;39;van der Weegen, C.W.M.;13;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;0;0;0;1;0;2;2;0;0;0;0;0;3;0;0;0;0
2;VVD;;;3463;93;102;88;94;79;53;161;115;198;115;110;19;113;58;183;74;64;77;62;93;95;92;181;140;48;70;127;159;70;76;25;39;122;135;58;75
;;1;Hopmans, D.P.E.;1595;37;53;23;29;35;30;76;43;98;58;57;6;71;32;80;31;34;43;24;44;43;42;85;66;23;42;56;84;24;27;17;21;52;48;16;45
;;2;Bernaards, J.C.J.;465;29;18;16;16;7;9;41;10;22;12;11;4;13;1;30;7;6;10;9;12;8;14;20;7;1;7;11;16;11;13;1;4;20;22;17;10
;;3;Lijmbach, D.J.M.;101;0;0;2;1;1;0;1;0;3;1;3;0;1;8;7;5;2;2;0;8;4;1;5;17;1;4;6;3;1;2;0;4;1;3;2;2
;;4;Delhez-Niederer, J.C.M.E.;264;7;7;10;10;4;2;14;8;17;6;8;0;8;2;13;5;6;5;6;12;9;7;10;5;5;5;16;3;11;7;2;4;5;12;8;5
;;5;Kersten, J.P.M.;43;0;2;1;1;0;0;1;1;6;0;0;3;0;0;3;2;0;0;2;1;2;8;1;0;0;0;1;1;2;0;1;0;1;1;1;1
;;6;Huismans, J.G.;222;5;5;5;20;15;1;10;13;17;9;9;3;2;0;6;7;5;1;7;5;4;6;4;3;2;3;8;6;10;5;0;4;11;7;1;3
;;7;van der Veer, T.B.H.M.;227;1;5;8;5;6;3;2;16;7;8;10;0;10;6;11;5;5;5;5;5;10;3;8;17;2;3;5;12;3;6;2;2;18;9;4;0
;;8;Wiersma, O.R.;59;3;0;13;2;2;0;0;4;3;0;1;0;1;0;4;1;1;1;2;1;2;1;0;0;0;1;2;0;0;3;0;0;5;4;2;0
;;9;de Kock, M.C.G.;63;2;1;0;2;0;2;0;2;4;0;0;0;0;0;7;2;0;0;0;0;2;3;18;1;1;0;0;6;1;1;1;0;0;5;1;1
;;10;van Laarhoven, M.H.;48;1;3;3;1;1;0;3;2;3;6;1;0;0;1;1;5;2;0;0;2;1;1;2;0;0;1;1;4;0;1;0;0;0;2;0;0
;;11;Cats, A.P.M.;57;1;1;0;0;0;0;2;2;3;2;0;2;0;0;5;0;0;0;1;0;0;0;6;0;1;1;0;12;1;0;0;0;2;11;4;0
;;12;Prinsen, R.G.J.;13;0;0;0;0;0;4;0;0;1;0;0;0;0;2;0;0;0;2;0;0;0;0;2;0;0;0;0;0;1;0;1;0;0;0;0;0
;;13;de Waal, S.C.M.;10;0;0;0;2;0;0;2;0;1;0;3;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;van Broekhoven, R.A.C.M.;11;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;1;2;0;2;0;0;1;0;0;0;0;0;0;0;0;0
;;15;van Vlimmeren, J.C.A.;35;1;0;0;1;0;0;3;0;1;2;1;1;0;0;3;0;1;2;0;0;0;0;5;6;0;0;1;4;0;2;0;0;0;0;0;1
;;16;de Blauw, A.P.R.;34;1;0;1;0;0;0;1;0;5;2;0;0;0;2;1;0;0;2;1;0;0;0;0;5;0;0;4;1;0;4;0;0;0;1;1;2
;;17;van de Watering, A.Q.;29;2;2;0;1;0;0;0;2;0;0;1;0;1;1;3;0;0;0;0;0;0;1;0;5;3;0;1;0;0;0;0;0;2;4;0;0
;;18;Vugts, W.A.F.;5;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Elion, P.;14;0;1;0;0;0;0;0;2;0;2;0;0;0;2;0;0;0;0;0;0;0;0;4;0;0;1;0;1;1;0;0;0;0;0;0;0
;;20;Valkenburg, L.A.P.;8;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;2;0;0;0
;;21;Hameetman, D.;39;1;3;3;0;2;2;0;0;3;0;0;0;2;0;1;0;0;1;2;1;0;0;1;2;0;0;10;1;0;1;0;0;2;1;0;0
;;22;van den Kieboom, C.E.J.;8;0;0;0;0;0;0;0;0;2;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
;;23;Verhoeven, H.M.L.A.;7;0;0;2;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;24;Bezemer, D.;8;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;2;0;0;0;1;0;1;0;0;0;0;0;0;0
;;25;Bakx, M.J.C.M.;16;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;2;0;6;1;0;0;1;0;0;0;0;0;0;2
;;26;Voets, H.J.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;Koster, J.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
;;28;Velthoen, M.C.;23;0;1;0;0;3;0;0;6;0;0;0;0;0;0;1;1;1;0;1;0;0;1;2;1;0;0;1;1;0;0;0;0;0;2;0;1
;;29;van Gurp, M.A.M.;4;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;30;Michielsen, R.J.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;31;Glerum, E.J.;10;0;0;0;1;0;0;1;0;0;1;0;0;2;0;0;0;0;1;0;0;2;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0
;;32;van Loon, C.M.;8;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;2;0;0;0;0;0;0
;;33;Hopmans, J.J.M.;29;1;0;0;0;0;0;1;2;0;1;3;0;1;0;1;1;0;1;0;1;3;1;1;0;3;1;1;1;1;2;0;0;0;1;1;0
3;Lijst Linssen;;;2136;50;33;33;72;75;44;117;86;158;76;80;19;59;33;73;72;24;32;62;86;50;58;53;68;42;79;56;59;50;68;27;21;52;68;54;47
;;1;Linssen, A.J.F.M.;1182;25;18;18;38;48;30;50;42;99;51;43;7;29;13;40;34;10;23;47;43;23;33;29;38;26;29;34;37;29;47;17;11;33;37;33;18
;;2;Siebelink, A.F.M.;202;11;3;2;8;7;0;27;7;22;8;5;5;3;1;6;6;2;2;1;16;5;4;5;0;0;3;5;5;2;6;4;1;7;5;5;3
;;3;Dam, M.;234;2;1;3;3;6;0;5;7;6;2;12;1;16;13;10;10;1;4;5;0;1;5;4;16;8;30;7;6;7;4;1;7;3;7;0;21
;;4;Wijten, L.C.J.;37;0;5;0;0;0;1;2;1;0;4;2;0;2;0;0;0;0;0;2;7;0;0;0;0;0;0;0;4;1;1;0;1;0;2;2;0
;;5;van de Watering, G.C.W.;57;3;2;0;1;1;0;8;10;2;1;0;0;5;1;0;5;0;1;0;1;2;0;2;2;1;3;0;0;0;1;2;0;0;1;2;0
;;6;van Eekeren, J.F.M.;71;1;0;2;1;0;1;3;2;5;3;3;3;2;2;3;2;0;0;2;3;1;5;1;2;1;2;2;1;0;5;0;0;3;3;5;2
;;7;Heijnen, H.R.J.;66;1;1;0;4;2;1;4;0;6;1;4;0;0;0;2;2;3;0;0;1;15;2;3;0;0;5;1;0;0;0;1;1;2;2;2;0
;;8;van Steenpaal, A.J.M.;66;1;0;3;6;7;2;4;2;0;0;1;0;0;1;5;8;0;0;2;6;2;0;1;0;0;1;2;2;5;2;0;0;0;3;0;0
;;9;Klaassen - Franken, L.;59;4;2;0;4;1;3;6;3;2;1;3;0;0;0;1;3;1;0;1;0;1;3;4;2;0;0;2;2;1;1;0;0;2;3;2;1
;;10;Buijs, C.T.;47;0;1;0;5;1;4;2;1;2;0;5;0;0;0;3;1;2;0;0;5;0;0;1;3;0;6;0;1;3;0;0;0;1;0;0;0
;;11;van Seventer, J.A.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0
;;12;van Gurp, B.G.A.;21;0;0;3;0;1;0;1;5;1;0;0;0;1;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;1;1;0;2
;;13;Otto, J.C.H.;22;0;0;0;0;0;0;1;0;10;0;2;0;0;0;0;0;0;0;0;0;0;2;0;2;3;0;0;0;0;0;0;0;0;2;0;0
;;14;van Es - Mulders, C.P.A.;4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;15;van de Ven, L.G.L.L.;6;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;Tensen, J.T.A.;4;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Boogaart, E.L.H.;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;18;Kuijpers, R.;4;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;19;Sebregts, L.M.;6;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;2;0
;;20;Lambregts - Gabriels, S.J.;7;0;0;0;0;0;0;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;21;Bierau, A.M.;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0
;;22;Hagens, F.M.J.;9;0;0;1;1;0;0;0;0;0;1;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
;;23;Bruininkx, J.A.;9;1;0;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
;;24;Langenberg, A.G.M.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;Baradina, Z.A.;8;1;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;2;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
4;CDA;;;1829;15;49;26;49;41;33;52;60;108;96;42;19;73;32;63;38;44;39;50;76;46;35;51;71;105;96;37;89;23;42;23;24;28;66;36;52
;;1;Verroen, H.P.;621;5;23;8;13;10;12;19;18;42;48;15;8;21;10;16;13;16;14;16;29;14;6;14;24;25;33;11;23;5;14;11;11;9;21;12;32
;;2;Verheugt, S.;306;3;4;5;4;17;4;8;18;16;5;11;2;7;1;18;6;12;8;14;4;10;7;14;4;4;8;4;31;2;13;3;1;3;27;6;2
;;3;van Dam, J.;88;0;5;0;3;0;3;3;3;2;6;4;0;3;0;4;2;3;1;1;4;3;1;0;3;2;5;4;6;7;2;0;0;2;2;3;1
;;4;Martens-van Gils, M.C.F.M.;173;5;7;5;7;3;5;4;4;20;10;2;0;6;2;5;2;3;3;9;8;6;8;4;8;1;2;2;7;2;4;0;0;5;5;3;6
;;5;van Abeelen-Dekker, G.;48;0;0;1;3;0;1;0;2;0;0;3;2;4;0;4;1;0;1;2;2;2;3;3;2;0;2;1;2;1;0;0;2;2;2;0;0
;;6;Backx, J.M.;48;0;1;1;2;0;1;1;2;5;3;0;0;0;0;6;4;1;1;1;2;5;0;0;1;0;3;1;5;1;1;0;0;0;0;0;0
;;7;Korst-Dingemans, C.A.M.;92;0;0;1;0;2;3;2;1;1;0;1;0;3;3;1;0;0;0;0;2;0;0;0;7;49;3;0;0;1;2;0;2;2;0;1;5
;;8;Widdershoven-van der Heijden, B.M.R.;41;0;0;0;0;0;1;0;1;2;1;0;0;7;1;1;1;0;1;0;2;1;0;0;0;8;4;0;0;1;1;2;1;1;2;2;0
;;9;van Egeraat-Huismans, M.J.L.;34;1;2;0;4;2;0;2;0;5;3;1;0;0;0;1;4;0;0;2;2;0;0;1;0;0;0;1;1;0;0;0;0;0;1;1;0
;;10;van den Broek, J.A.;4;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;11;de Waal, J.C.;15;0;1;0;0;0;0;0;0;2;4;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;2;0;0;0;0;0;1;0;0
;;12;Stinenbosch-Kools, A.J.A.M.;102;1;2;2;5;3;0;1;5;1;6;3;0;1;3;6;3;2;0;1;9;5;1;9;5;3;1;2;4;1;1;6;1;3;3;3;0
;;13;Stofbergen, E.J.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0
;;14;Hooijschuur, N.G.M.;20;0;1;2;0;0;0;3;1;3;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;4;0
;;15;Martens, A.H.J.E.;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;16;Stoop, J.W.P.;34;0;0;0;3;0;0;0;1;2;0;0;4;1;0;1;0;4;2;1;4;0;2;3;0;0;0;1;1;0;3;0;1;0;0;0;0
;;17;Ganzeman, M.P.;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
