Verkiezing;;Gemeenteraad Gemert-Bakel 2022;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Gemert-Bakel;;;;;;;;;;;;;;;;;;;;;
Nummer;;1652;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Gemeentehuis Gemert woensdag;Stembureau Het Kunstlokaal;Stembureau Kindcentrum de Samenstroom;Stembureau Basisschool 't Einder;Stembureau Kindcentrum Berglaren;Stembureau Commanderij College Doregraaf;Stembureau Cultuurhuis De Eendracht;"Stembureau Dorpshuis ""De Bron""";"Stembureau MFA ""de Sprank""";"Stembureau Kindcentrum ""De Dompelaar""";Stembureau Het Parochiehuis Woensdag;"Stembureau Verenigingsgebouw ""Musis Sacrum""";Stembureau Stichting Jeugdcentrum Bakel;"Stembureau Gemeenschapshuis ""De Schans""";"Stembureau Partycentrum ""D'n Eik""";Stembureau Gemeentehuis Gemert Maandag;Stembureau Het Parochiehuis Maandag;Stembureau Gemeentehuis Gemert Dinsdag;Stembureau Het Parochiehuis Dinsdag
Gebiednummer;;;;;1;3;5;7;9;11;13;101;201;301;401;403;405;501;601;701;703;801;803
Postcode;;;;;5421 CV;5421 PN;5421 VA;5422 AN;5421 JH;5421 CR;5421 KC;5423 SL;5425 VR;5424 TS;5761 CB;5761 RN;5761 BJ;5763 BG;5764 PR;5421 CV;5761 CB;5421 CV;5761 CB
;;48;de Wit, W.C.;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0
;;49;Verkampen, H.G.;78;8;4;5;6;0;0;0;10;8;5;3;3;4;7;0;6;0;5;4
;;50;van Dijk, I.;58;4;5;1;0;2;0;3;1;3;1;6;12;6;1;3;4;2;2;2
2;Dorpspartij;;;1866;223;174;122;133;113;11;130;88;105;40;131;90;30;155;29;65;47;115;65
;;1;Steeghs, W.C.P.;841;127;103;72;69;69;4;74;69;33;22;28;11;4;23;22;28;9;64;10
;;2;Coopmans, A.M.;318;7;1;2;4;1;0;1;1;11;4;72;66;20;48;4;4;25;1;46
;;3;van Lieshout, Y.T.C.;115;0;23;17;23;6;0;11;3;1;4;3;0;1;1;0;6;2;14;0
;;4;van Kollenburg, A.W.J.;75;2;2;3;2;3;0;7;1;1;0;18;6;2;8;0;4;6;2;8
;;5;van de Wetering, A.A.T.W.;89;0;1;0;0;1;0;0;3;1;1;2;3;1;68;1;2;2;2;1
;;6;Verkuijlen, M.W.P.H.;72;3;1;2;2;2;0;4;2;44;3;0;3;0;1;0;2;3;0;0
;;7;Cruijsen, M.M.;9;0;0;0;0;1;0;0;0;1;2;1;0;0;0;0;4;0;0;0
;;8;de Haas, H.J.M.;24;3;3;0;11;0;0;4;0;0;0;2;0;0;1;0;0;0;0;0
;;9;van Eck, H.L.M.;47;3;2;7;5;3;1;2;2;7;0;0;0;0;0;1;9;0;5;0
;;10;van den Boom, M.G.J.;60;18;8;3;6;5;0;7;2;0;0;2;0;0;2;0;1;0;6;0
;;11;van Oort, L.A.;27;6;3;3;0;1;0;1;0;1;1;0;0;0;0;0;1;0;10;0
;;12;Huvenaars, T.W.G.;20;1;4;1;1;0;2;2;1;0;3;0;0;0;1;0;0;0;4;0
;;13;van der Meer, S.;7;0;1;2;1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0
;;14;van Lieshout, L.A.P.;27;20;2;1;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;15;Bevers-van Vijfeijken, T.C.M.;16;3;2;0;1;3;1;2;0;0;0;0;1;0;0;0;0;0;3;0
;;16;Habets, F.L.M.L.;12;4;2;1;0;1;0;2;0;0;0;0;0;0;0;0;2;0;0;0
;;17;Goedhart-Leenders, G.C.M.M.;7;2;1;0;1;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0
;;18;Goedhart, F.;5;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;van den Elsen, T.H.M.;19;3;1;0;4;5;0;2;0;1;0;2;0;0;0;1;0;0;0;0
;;20;van den Boom, A.A.I.;3;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;21;Tienen, W.J.J.;15;2;1;3;0;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0
;;22;van den Elsen, N.C.J.M.;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;23;de Bok, A.J.C.M.;4;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;24;Kuypers, F.;5;0;2;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0
;;25;Rovers-van de Laar, T.M.H.;4;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0
;;26;de Rooij, A.M.G.A.;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;Vos, W.J.;3;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;Weijmans, W.M.H.;15;7;2;0;0;2;0;1;3;0;0;0;0;0;0;0;0;0;0;0
;;29;Manders-van Uden, B.R.J.M.;2;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;30;Manders, A.G.G.M.;4;1;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0
;;31;Janssen-Munsters, T.A.P.;10;3;3;2;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
;;32;Sanders, F.W.;7;1;0;1;0;2;0;1;0;2;0;0;0;0;0;0;0;0;0;0
3;VVD;;;1430;172;96;140;151;79;13;73;79;92;35;87;58;22;60;31;66;28;102;46
