Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis Oss 1;Wijkcentrum Schadewijk;Basisschool De Korenaer;Café Zaal 't Haasje;St. Ontmoetingscentrum Meteoor;St. Gemeenschapshuis Acropolis;Gemeenschapshuis De Bongerd;Gemeenschapshuis Hart van Oijen;Gemeenschapshuis Avanti;Gymzaal Verdistraat 1;ROC De Leijgraaf;SV Ruwaard;Berghem Sport;'t Paviljoen;Wijkcentrum De Hille;Gemeenschapshuis Haren;Dorpshuis 't Slotje;Gemeenschapshuis Onder d'n Plag;Gemeenschapshuis De Berchplaets 1;Zalencentrum De Merx 1;Gemeenschaphuis De Nolder;Sportzaal De Zeuven Wilgen;MFC De Koppellinck;Gemeenschapshuis Vidi Reo;Titus Brandsma Parochie;Sporthal den Hoge Graaf;Sporthal de Rusheuvel 1;Drive-thru parkeerplaats Rusheuvel 1;Gymzaal Ruwaard II 1;Sporthal Mondriaan 1;Sporthal Mondriaan 2;Gemeenschapshuis De Berchplaets 2;Zalencentrum De Merx 2;Sporthal de Rusheuvel 2;Gymzaal Ruwaard II 2;Gymzaal Verdistraat 2;Drive-thru parkeerplaats Rusheuvel 2;Herinneringshuis Van Lith;Sociaal Cultureel Centrum  De Binnenstad;Gemeentehuis Oss 2;Gemeentehuis Oss;St. Gemeenschapshuis Acropolis;Wijkcentrum De Hille;Gemeenschapshuis Onder d'n Plag;Gemeenschapshuis De Berchplaets;Zalencentrum De Merx;Gemeenschaphuis De Nolder;MFC De Koppellinck;Drive-thru parkeerplaats Rusheuvel 1;Drive-thru parkeerplaats Rusheuvel 2;Herinneringshuis Van Lith;Gemeentehuis Oss;St. Gemeenschapshuis Acropolis;Wijkcentrum De Hille;Gemeenschapshuis Onder d'n Plag;Gemeenschapshuis De Berchplaets;Zalencentrum De Merx;Gemeenschaphuis De Nolder;MFC De Koppellinck;Drive-thru parkeerplaats Rusheuvel 1;Drive-thru parkeerplaats Rusheuvel 2;Herinneringshuis Van Lith;Mobiel stembureau
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;1401;1406;1415;1418;1419;1420;1421;1423;1428;1437;1438;1501;1506;1515;1518;1519;1520;1521;1523;1528;1537;1538;1541
Postcode;;;;;5341 GM;5348 XA;5345 TA;5386 AM;5346 RT;5366 BE;5367 AA;5394 AK;5396 PN;5343 VC;5344 CS;5344 KW;5351 AB;5357 PH;5345 WB;5368 AM;5373 BC;5354 KC;5351 BZ;5351 AR;5398 HK;5397 BR;5386 AS;5371 AX;5342 GC;5371 DA;5346 JH;;5344 GK;5342 CM;5342 CM;5351 BZ;5351 AR;5346 JH;5344 GK;5343 VC;;5344 VN;5341 LK;5341 GM;5341 GM;5366 BE;5345 WB;5354 KC;5351 BZ;5351 AR;5398 HK;5386 AS;;;5344 VN;5341 GM;5366 BE;5345 WB;5354 KC;5351 BZ;5351 AR;5398 HK;5386 AS;;;5344 VN;
;;2;Janssen-van Amstel, M.T.I.J;1177;40;51;41;5;55;7;5;3;7;29;16;46;1;3;76;3;30;8;16;4;5;30;8;28;55;13;13;15;15;3;16;19;2;22;14;16;11;26;11;21;53;0;72;5;14;1;2;5;4;5;27;51;5;79;3;7;0;1;7;11;11;23;2
;;3;van der Voort, S.N.W.;323;9;8;12;2;7;22;1;5;14;2;0;5;0;0;12;1;3;1;6;0;17;17;0;4;12;4;3;1;2;1;2;2;0;8;1;0;4;1;2;4;7;25;6;0;0;3;7;0;0;4;7;7;27;6;0;3;1;16;1;2;2;3;1
;;4;van Kreij, J.J.V.;219;3;5;2;22;7;0;1;8;5;3;1;6;1;0;7;0;0;1;1;0;3;3;28;3;4;0;0;1;0;0;0;1;0;0;1;0;0;5;1;7;5;1;9;3;1;0;1;23;0;0;6;4;2;11;0;1;0;0;16;0;1;3;2
;;5;van Oorsouw, M.F.;199;2;9;4;0;4;2;3;18;8;0;0;4;1;1;12;2;4;3;4;0;1;6;3;4;9;1;2;8;2;0;1;5;0;4;2;3;3;2;2;4;8;0;5;0;2;1;0;0;3;0;2;8;2;7;1;6;1;1;0;3;0;5;1
;;6;Vossenberg, L.J.A.M.;58;3;4;0;1;4;1;0;0;0;0;0;1;0;0;4;0;2;1;1;0;0;2;1;0;3;0;0;2;1;3;1;1;0;1;2;0;0;0;0;2;2;0;0;0;1;0;0;0;0;0;1;6;0;5;0;0;0;0;0;1;0;1;0
;;7;Braakman, Q.M.B.V;39;3;0;2;0;0;0;0;0;0;0;3;10;1;0;2;1;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;3;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;1;0;0;2;0
;;8;Geerts, A.J.M.;97;2;3;2;1;2;0;2;0;3;0;0;5;3;0;2;2;1;0;5;1;0;6;1;1;2;0;0;1;0;0;0;12;1;1;0;0;1;2;0;1;0;0;3;2;9;1;0;0;0;0;0;0;0;5;0;8;4;0;0;0;0;2;0
;;9;van der Vliet, J.;103;2;4;1;0;10;2;0;2;1;1;0;2;0;0;13;0;1;0;2;0;0;4;0;1;4;0;1;0;0;3;0;0;1;2;0;2;0;2;1;0;8;0;6;0;0;0;0;0;0;0;2;9;0;8;0;0;0;0;0;3;1;3;1
;;10;de Boer, L.;47;1;1;2;0;5;0;1;0;1;1;0;2;0;0;5;0;0;0;1;0;0;0;4;0;0;0;0;0;1;1;1;0;0;0;0;1;0;2;0;1;2;0;2;0;0;0;0;0;0;0;2;1;0;5;0;0;0;0;1;0;0;2;1
;;11;van Buel-Luijten, M.W.C.;46;4;0;1;1;3;0;0;0;1;0;1;8;0;0;4;0;2;0;1;0;0;0;0;0;0;0;0;3;2;0;0;2;0;0;0;0;1;2;0;0;1;0;1;0;0;0;0;0;0;2;1;2;1;1;0;0;0;0;0;1;0;0;0
;;12;van der Leest, J.A.;108;5;7;5;0;1;1;1;0;0;3;1;3;0;0;7;0;2;0;4;0;0;2;0;1;2;2;4;4;2;0;0;2;0;1;2;0;1;6;3;6;6;0;3;0;1;0;0;1;0;0;2;4;0;8;0;0;1;0;0;1;0;3;0
;;13;Schoneveld-Peters, S.J.;71;1;3;1;0;0;0;0;1;0;0;3;1;1;0;1;0;3;1;8;3;0;0;1;0;2;0;1;0;0;0;1;11;2;3;1;1;0;2;0;0;2;0;3;0;3;1;0;0;0;0;1;1;0;0;0;4;2;0;0;2;0;0;0
;;14;van Gerven, H.P.J.;278;6;22;18;0;8;0;5;1;2;5;2;12;0;1;26;0;2;0;3;0;0;5;1;1;15;1;2;2;2;2;3;5;1;4;7;2;0;11;6;7;13;0;11;0;5;0;3;2;0;1;9;14;0;12;0;3;0;1;0;8;1;3;2
;;15;Broeksteeg-Boeijen, D.W.G.L.;37;0;1;1;0;0;0;0;0;2;1;2;2;3;0;3;0;0;0;6;0;0;0;0;0;0;0;0;1;0;0;0;4;0;0;1;1;0;1;0;0;0;0;2;0;1;1;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;1;0
;;16;van Lier, M.A.W.C;75;4;5;3;0;6;1;0;0;0;1;0;6;0;0;2;0;0;1;0;0;2;2;0;0;3;1;2;0;5;0;0;1;1;2;2;0;2;1;0;0;4;0;2;0;0;1;0;0;2;2;0;0;0;8;0;0;0;0;0;0;0;1;2
;;17;van Bakel, J.P.T.;64;4;4;1;0;0;0;1;0;2;3;0;2;0;0;7;0;0;0;1;0;0;3;0;0;3;0;0;3;2;0;0;0;0;1;2;1;0;6;1;3;3;0;5;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;3;0;0;0
;;18;Altundal, N.;22;1;2;0;0;1;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;2;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0
;;19;van den Boogaard, W.W.P.;17;2;2;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0
;;20;van Kreij, M.J.M.;78;0;4;0;22;0;0;0;1;0;0;0;2;0;0;2;0;0;0;0;0;0;3;19;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;1;0;0;0;1;0;0;0;0;10;0;0;0;0;0;3;0;0;0;0;7;0;0;0;0
;;21;van Doleweerd, M.L.;23;0;0;0;0;0;0;2;0;0;0;0;0;0;0;4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;0;0;5;0;2;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;1;0
;;22;Broersen, A.M.;14;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;1;0;2;0;0;0;2;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0
