Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis Oss 1;Wijkcentrum Schadewijk;Basisschool De Korenaer;Café Zaal 't Haasje;St. Ontmoetingscentrum Meteoor;St. Gemeenschapshuis Acropolis;Gemeenschapshuis De Bongerd;Gemeenschapshuis Hart van Oijen;Gemeenschapshuis Avanti;Gymzaal Verdistraat 1;ROC De Leijgraaf;SV Ruwaard;Berghem Sport;'t Paviljoen;Wijkcentrum De Hille;Gemeenschapshuis Haren;Dorpshuis 't Slotje;Gemeenschapshuis Onder d'n Plag;Gemeenschapshuis De Berchplaets 1;Zalencentrum De Merx 1;Gemeenschaphuis De Nolder;Sportzaal De Zeuven Wilgen;MFC De Koppellinck;Gemeenschapshuis Vidi Reo;Titus Brandsma Parochie;Sporthal den Hoge Graaf;Sporthal de Rusheuvel 1;Drive-thru parkeerplaats Rusheuvel 1;Gymzaal Ruwaard II 1;Sporthal Mondriaan 1;Sporthal Mondriaan 2;Gemeenschapshuis De Berchplaets 2;Zalencentrum De Merx 2;Sporthal de Rusheuvel 2;Gymzaal Ruwaard II 2;Gymzaal Verdistraat 2;Drive-thru parkeerplaats Rusheuvel 2;Herinneringshuis Van Lith;Sociaal Cultureel Centrum  De Binnenstad;Gemeentehuis Oss 2;Gemeentehuis Oss;St. Gemeenschapshuis Acropolis;Wijkcentrum De Hille;Gemeenschapshuis Onder d'n Plag;Gemeenschapshuis De Berchplaets;Zalencentrum De Merx;Gemeenschaphuis De Nolder;MFC De Koppellinck;Drive-thru parkeerplaats Rusheuvel 1;Drive-thru parkeerplaats Rusheuvel 2;Herinneringshuis Van Lith;Gemeentehuis Oss;St. Gemeenschapshuis Acropolis;Wijkcentrum De Hille;Gemeenschapshuis Onder d'n Plag;Gemeenschapshuis De Berchplaets;Zalencentrum De Merx;Gemeenschaphuis De Nolder;MFC De Koppellinck;Drive-thru parkeerplaats Rusheuvel 1;Drive-thru parkeerplaats Rusheuvel 2;Herinneringshuis Van Lith;Mobiel stembureau
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;1401;1406;1415;1418;1419;1420;1421;1423;1428;1437;1438;1501;1506;1515;1518;1519;1520;1521;1523;1528;1537;1538;1541
Postcode;;;;;5341 GM;5348 XA;5345 TA;5386 AM;5346 RT;5366 BE;5367 AA;5394 AK;5396 PN;5343 VC;5344 CS;5344 KW;5351 AB;5357 PH;5345 WB;5368 AM;5373 BC;5354 KC;5351 BZ;5351 AR;5398 HK;5397 BR;5386 AS;5371 AX;5342 GC;5371 DA;5346 JH;;5344 GK;5342 CM;5342 CM;5351 BZ;5351 AR;5346 JH;5344 GK;5343 VC;;5344 VN;5341 LK;5341 GM;5341 GM;5366 BE;5345 WB;5354 KC;5351 BZ;5351 AR;5398 HK;5386 AS;;;5344 VN;5341 GM;5366 BE;5345 WB;5354 KC;5351 BZ;5351 AR;5398 HK;5386 AS;;;5344 VN;
;;16;de Bruijn, J.F.A.;26;0;1;0;0;2;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;2;0;0;0;1;2;0;0;0;0;0;1;2;0;1;0;3;0;1;0;0;0;0;0;0;1;1;3;0;2;0;0;0;0;0;0;0;0;0
;;17;van den Hoek, J.X.S.;23;1;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;6;1;2;0;0;0;0;0;0;1;2;0;0;1;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;18;Ranzijn, R.F.;13;2;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0
;;19;de Kleijn, W.P.J.;23;0;0;1;0;0;0;1;0;0;0;0;1;0;1;0;0;10;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0
;;20;van den Eertwegh, V.B.;17;0;0;1;0;0;0;0;1;0;0;2;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;4;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
4;CDA;;;4099;112;128;143;60;147;34;79;59;166;62;41;74;10;161;190;42;134;28;69;29;54;147;110;112;130;53;43;60;19;25;60;53;17;45;27;25;38;68;33;107;130;8;106;8;52;12;14;41;21;26;44;188;14;118;25;56;12;19;68;39;27;46;31
;;1;van den Bergh, S.M.J.N.;1772;57;56;61;8;57;18;60;16;12;27;24;38;3;36;92;20;44;18;30;7;7;38;25;61;67;13;21;29;6;20;33;23;8;19;11;13;19;30;18;63;87;3;55;5;27;8;2;11;11;18;31;99;6;59;10;28;5;4;21;13;14;24;23
;;2;van Kilsdonk, M.J.J.;553;5;9;12;12;13;2;11;23;132;3;1;1;0;1;29;8;16;2;7;1;33;78;24;4;7;6;0;9;3;0;10;3;0;3;1;1;2;3;3;0;1;0;10;1;1;0;4;4;0;0;0;4;1;12;5;3;0;10;12;0;5;1;1
;;3;van Valkenburg, G.J.;145;5;6;5;1;16;2;4;2;0;2;2;0;2;0;10;2;1;0;2;2;0;3;3;1;6;0;4;1;1;1;2;1;0;1;2;0;0;1;1;3;4;0;9;0;5;1;2;3;0;1;1;12;1;6;0;1;0;0;0;0;0;1;3
;;4;Calatz, A.J.;135;2;0;0;0;1;0;0;1;0;0;0;3;2;52;3;0;2;2;0;1;0;3;0;15;2;7;0;0;1;1;3;2;0;1;0;0;2;1;1;5;3;0;3;0;4;0;0;0;0;0;2;1;0;3;2;0;0;0;0;2;0;2;0
;;5;van Buul, L.L.M.;140;4;2;17;3;3;3;1;2;0;2;4;8;1;3;13;0;1;1;3;0;2;2;1;0;8;1;5;3;0;1;2;1;1;2;0;1;3;1;1;7;2;0;0;0;0;0;0;0;2;1;2;2;0;10;0;2;0;1;1;3;1;0;0
;;6;van den Heuvel, M.P.C.;73;0;2;0;0;1;0;0;0;1;1;0;0;2;0;2;0;0;0;9;16;0;0;1;0;0;0;0;0;0;0;0;11;7;0;0;0;0;1;0;0;1;0;2;0;1;2;0;0;0;0;0;0;0;0;0;9;4;0;0;0;0;0;0
;;7;Bloemers, K.M.M.;38;0;1;1;0;5;1;0;4;0;0;1;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;3;0;2;0;0;0;0;1;0;0;0;0;0;2;0;1;0;0;0;0;0;0;1;0;1;0;3;0;1;0;0;0;0;0;4;1
;;8;Koning, S.A.;65;5;1;4;1;0;0;0;3;0;0;0;0;0;0;3;0;3;0;3;1;0;4;0;0;3;2;0;1;0;0;0;1;0;0;0;0;0;0;0;4;1;0;3;0;6;0;2;0;0;2;0;4;0;4;0;2;0;0;0;0;0;2;0
;;9;van der Steen, L.;50;4;3;8;1;0;1;0;1;0;1;1;2;0;0;6;0;0;0;0;0;0;0;0;2;2;1;0;1;0;0;1;0;0;3;1;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;1;2;0;2;0;0;0;0;0;0;0;2;0
;;10;van Dinther, J.L.W.;106;2;0;1;20;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;7;0;38;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;13;0;0;0;1;0;0;0;0;0;0;19;0;0;0;0
;;11;Klerks-Verhallen, A.M.;30;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;24;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Irşik, N.;306;11;36;6;0;37;0;0;0;0;16;2;10;0;0;11;0;0;0;1;1;0;4;0;1;17;0;2;6;6;0;4;2;0;3;1;8;5;9;0;14;5;0;11;0;2;0;0;0;7;0;3;39;0;5;0;0;0;0;0;13;5;3;0
;;13;van Schijndel-van Eldijk, J.M.;31;0;0;1;1;0;6;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;2;4;0;0;1;0;1;0;1;0;0;2;3;0;0;0;1;0;0;0;0;0;0
;;14;Loeffen, J.J.A.;58;0;0;1;0;0;0;0;0;0;0;0;0;0;3;0;0;2;2;1;0;0;0;0;19;0;20;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0
;;15;van Erp, G.M.H.A.;87;9;3;4;0;2;0;0;0;0;0;1;1;0;0;6;0;0;0;3;0;0;0;0;0;8;0;4;2;0;0;3;0;0;10;0;0;0;0;1;2;6;0;1;0;0;0;0;0;0;1;0;10;0;3;0;2;0;0;1;2;0;1;1
;;16;van Leest - Derix, H.A.E.;20;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;1;1;0;0;0;3;0;0;0;0;0;1;0;0;2;0;0;0;0;0;1;0;2;0
;;17;Bens, V.M.J.E.;8;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;Prinssen, J.T.;20;2;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Olde Loohuis, A.G.M.;37;0;0;0;0;2;0;0;0;0;0;0;1;0;5;0;0;16;0;0;0;0;0;0;6;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;2;1;0;0;0;0;0;0
;;20;van der Loop, W.M.;79;1;0;0;0;0;0;0;0;0;0;0;0;0;60;0;0;11;1;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
;;21;van Hest, J.M.;35;1;0;4;0;2;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;1;0;3;0;0;0;0;0;0;0;0;2;0;1;1;2;2;1;2;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;0;0;0;3;0;0;0
;;22;Peters, H.M.P.;25;1;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2
;;23;Gruijters, R.A.;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;Tiellemans, H.J.;18;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;9;2;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;25;Bloemers, I.J.G.A.;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;26;van den Helm, G.M.;4;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;Peters-Goudsmits, G.L.J.M.;4;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;Plante, C.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;29;Koot, B.G.M;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;30;Schuurmans, L.H.W.J.;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;31;Voskamp-Leerdam, F.;11;0;0;0;0;0;0;2;0;0;0;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;32;Struik, P.;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0
;;33;van Hoek-Holl, M.P.C.;10;0;0;0;0;1;0;0;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;34;Urselman, L.J.;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
;;35;Verstraeten, A.G.J.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
;;36;Onturk, M.A.;68;0;6;0;0;0;0;0;0;0;7;2;0;0;0;0;1;0;0;8;0;0;0;0;0;1;0;3;0;1;0;2;4;0;1;7;0;1;10;0;2;1;0;0;0;0;0;0;0;0;0;0;3;0;2;0;0;0;0;0;1;2;3;0
;;37;van Alphen, C.W.M.;6;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
;;38;Voskamp, D.;8;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;39;van Hoek, M.J.G.;10;0;0;0;0;0;0;0;0;3;0;0;0;0;0;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
;;40;Muskens, T.;6;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;41;van den Hengel-Verhagen, J.A.G.;8;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0
;;42;van Bergen, G.J.;15;0;0;3;4;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;43;van Dijk-Verstraten, W.J.M.;20;0;0;5;1;2;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;2;0;0;0;2;1;0;0;0;0;0;1;0;0;0;0
;;44;van Boekel, P.M.M.;14;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;4;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;1;0;0;0
;;45;Spierings, C.J.M.;7;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;46;Eppink, M.H.M.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;47;Jeurissen, P.P.T.;4;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
;;48;Peters, W.P.H.J.;15;0;0;0;2;0;0;0;1;0;1;0;2;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0
;;49;Augusteijn, R.H.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;50;van der Schoot, J.L.E.M.H.;20;0;1;0;0;0;1;0;0;0;0;1;1;0;1;0;0;8;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
5;Beter Oss;;;2295;101;164;105;11;110;11;18;18;7;32;38;52;2;8;161;42;28;6;39;10;12;33;18;23;120;8;26;49;15;18;37;26;10;41;27;28;42;25;56;72;114;6;77;1;24;9;5;5;16;36;25;104;4;97;3;24;6;8;9;23;15;26;9
;;1;van Orsouw, J.H.T.;1233;49;74;52;9;71;6;11;8;4;19;18;27;1;4;94;4;13;3;17;6;2;17;11;8;60;2;18;29;7;13;25;11;3;30;13;20;22;15;23;39;69;5;43;1;11;2;1;4;8;19;14;64;3;57;3;13;3;1;6;16;9;19;4
;;2;van der Wal, H.J.C.;107;5;3;7;0;4;0;0;1;0;1;0;3;0;0;5;0;0;0;3;0;0;1;4;0;23;0;3;4;0;0;2;1;1;1;3;2;1;2;0;1;9;0;1;0;4;0;0;1;1;1;1;3;0;3;0;1;0;0;1;0;0;0;0
;;3;Dobbelsteen, M.J.;171;11;8;10;0;4;2;1;3;0;5;6;2;0;0;17;0;1;3;2;1;1;5;0;2;3;0;2;0;1;1;5;0;0;2;2;1;5;0;9;17;3;0;7;0;0;0;0;0;0;3;1;12;0;9;0;1;0;0;0;2;0;1;0
;;4;van Tilburg, L.C.M.;129;6;20;4;0;2;0;0;0;0;0;1;4;0;1;10;0;0;0;3;0;0;3;0;1;5;0;0;2;2;0;2;6;0;3;2;0;6;1;6;3;4;0;8;0;0;2;0;0;2;0;1;7;0;2;0;5;0;0;0;1;2;2;0
;;5;Smits, C.J.T.L.;100;2;26;2;0;5;2;0;0;1;2;1;4;0;0;3;0;1;0;1;0;0;1;0;0;0;0;0;4;1;1;0;2;0;2;1;1;5;0;4;2;4;1;3;0;0;0;0;0;0;3;3;2;1;5;0;0;0;0;0;1;1;0;2
;;6;Vonk, W.H.A.M.;27;0;1;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;9;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;3;0;0;0;0;0;0;0;5;0;0;0;0;1
;;7;Vidiella Arts, J.M.;81;1;3;0;0;2;0;3;0;0;0;1;0;0;0;2;36;0;0;3;1;0;0;0;7;1;0;0;0;0;0;0;0;3;0;0;1;0;0;4;1;1;0;1;0;3;0;0;0;0;0;1;0;0;2;0;1;0;0;0;0;2;0;1
;;8;Nieuwenhuizen, J.;40;0;3;7;0;5;0;0;0;0;2;1;1;0;0;4;0;0;0;1;0;0;0;0;2;5;0;0;0;0;0;0;0;0;2;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0
;;9;Bogaerts- van Hulten, M.A.G.;92;9;7;7;0;4;0;1;0;2;2;2;1;0;3;9;0;0;0;2;0;0;2;0;2;2;0;1;2;2;0;1;0;0;1;0;1;0;2;4;2;2;0;5;0;0;0;0;0;1;1;0;0;0;5;0;0;0;0;2;1;1;2;1
;;10;Haring, J.;29;4;1;1;0;1;0;0;0;0;0;6;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;2;2;0;1;0;0;0;0;0;0;0;0;3;0;2;0;0;0;0;0;0;0;0;0
;;11;Nederkoorn, M.J.W.;32;4;1;8;0;1;0;1;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;3;0;1;0;0;0;0;1;1;3;0;0;0;0;0;0;0;0;0;0;0
;;12;Brands, W.F.P.;14;0;1;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;13;Vullings, H.M.F.;13;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;van Vlijmen, A.M.;59;3;0;1;0;3;0;0;0;0;0;0;3;0;0;5;0;0;0;0;0;0;0;0;0;9;0;0;1;0;1;0;2;0;0;3;2;1;1;3;0;10;0;0;0;0;1;0;0;2;1;0;4;0;3;0;0;0;0;0;0;0;0;0
;;15;van de Camp, A.J.;8;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;Baak, C.;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0
;;17;van Werken, A.G.;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;van der Leest, J.A.;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;van Hintum, J.J.;13;2;1;3;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;van Hulten, P.J.S.;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;van der Wal -van Beuningen, A.M.;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;22;van Orsouw, J.F.M;13;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0
;;23;Klein, R.;14;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;van den Berk, W.E.C.J.;36;1;0;0;1;0;0;0;0;0;0;1;0;1;0;2;1;0;0;5;0;0;1;0;0;6;0;0;2;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;1;0;0;0;3;0;0;0;0;0;2;0;0;0
;;25;van Orsouw, J.S.M.;13;0;0;0;0;1;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;1;0
;;26;Molenkamp, F.A.;32;0;1;0;0;2;1;1;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;1;0;0;0;1;1;2;0;0;0;0;0;0;0;2;3;1;2;0;2;0;0;2;2;0;0;0;1;0
6;D66;;;3174;134;169;111;25;109;23;11;19;11;52;80;60;11;23;185;15;37;20;68;12;11;42;42;165;148;51;28;62;33;23;37;53;11;75;40;47;47;89;32;111;100;8;82;9;35;5;3;12;18;17;49;168;8;114;5;35;5;8;19;46;26;73;7
;;1;Atman, B.;1298;57;62;53;15;37;13;9;5;6;27;43;31;4;5;89;4;10;8;17;4;4;21;11;18;79;12;7;23;13;10;17;16;2;23;22;31;19;50;18;54;45;2;34;2;12;1;2;3;5;5;26;66;3;49;3;13;4;2;6;19;12;34;1
;;2;Muller, J.A.;697;21;12;17;3;18;7;1;10;4;7;16;7;2;12;41;9;11;11;19;1;6;8;7;134;22;34;7;8;3;6;10;10;3;18;2;5;11;6;7;21;18;4;11;6;12;2;0;2;4;4;3;23;3;20;2;3;1;1;2;10;4;5;0
