Verkiezing;;Gemeenteraad Rucphen 2022;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Rucphen;;;;;;;;;;;;;;;;;;;
Nummer;;0840;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Café Heerlijkheid 1810;MFA Agora;Gemeenschapshuis D'n Hoge Dries;Café de Coop;Dorpshuis De Trapkes;Sportpark Rood-Wit;Gemeenschapshuis De Lanteern;MFA Vijverstraat/ttv de Back Hands;Gemeentehuis;Gemeenschapshuis De Nieuwenbergh;MFA Agora 14 maart 2022;MFA Agora 15 maart 2022;Gemeentehuis 14 maart 2022;Gemeentehuis 15 maart 2022;Gemeenschapshuis de Lanteern 14 maart 2022;Gemeenschapshuis de Lanteern 15 maart 2022;Gemeentelijk Stembureau 16 maart 2022
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
Postcode;;;;;4715 CC;4715 CL;4721 AC;4714 EA;4714 CN;4711 AV;4711 EG;4711 EV;4715 RW;4735 TA;4715 CL;4715 CL;4715 RW;4715 RW;4711 EG;4711 EG;4711 RW
;;1;Vissenberg, A.J.;791;14;45;41;56;95;96;93;69;69;48;20;26;21;19;18;61;0
;;2;van Meel, A.W.;114;0;4;0;7;14;27;16;20;5;4;1;3;5;3;1;4;0
;;3;Tack, W.C.P.Y.;68;3;19;3;6;3;4;4;5;3;10;3;2;0;1;0;2;0
;;4;Goossens, A.J.;104;0;3;6;3;7;14;11;32;6;2;2;0;0;8;2;8;0
;;5;Otjens, J.D.;101;0;5;2;6;9;21;18;12;10;3;1;0;5;2;4;3;0
;;6;van Meel, L.D.J.C.M.;33;0;0;2;0;2;3;7;5;2;3;2;1;2;0;1;3;0
4;CDA;;;976;57;120;262;38;107;30;19;21;47;71;42;110;13;22;3;14;0
;;1;Breedveld-de Ruiter, S.;289;18;47;19;12;30;12;10;11;15;42;10;45;4;9;2;3;0
;;2;Goorden-Winde, C.M.J.;104;2;6;71;1;6;2;2;1;1;1;3;5;1;2;0;0;0
;;3;Siemons, A.P.A.M.;52;3;2;14;0;1;2;1;4;7;6;1;2;0;0;0;9;0
;;4;Lazeroms, N.J.C.M.;80;1;1;0;16;37;6;2;2;0;1;2;4;3;5;0;0;0
;;5;Lambregts, A.J.C.M.;24;0;0;15;0;2;0;0;0;1;1;1;2;0;2;0;0;0
;;6;Antonissen, P.J.M.;26;1;5;1;0;3;0;0;0;3;1;5;7;0;0;0;0;0
;;7;Engelen-Vervaart, A.C.A.;32;7;2;2;1;4;3;1;1;4;1;1;5;0;0;0;0;0
;;8;van Wezel, L.L.M.;32;7;1;14;0;2;0;0;0;2;2;2;1;1;0;0;0;0
;;9;Goossens, A.J.P.;20;4;9;1;0;0;0;0;0;0;0;2;4;0;0;0;0;0
;;10;van Bruggen, F.A.P.;7;0;0;0;0;0;3;1;0;0;0;0;2;0;0;0;1;0
;;11;van Trijp-van Overveld, E.J.M.;114;0;1;91;3;10;1;0;1;1;0;2;4;0;0;0;0;0
;;12;van Kalmthout, E.C.;118;10;26;23;5;5;1;2;1;7;10;6;19;0;3;0;0;0
;;13;Berkers, M.H.J.M.;24;3;8;0;0;1;0;0;0;1;4;3;4;0;0;0;0;0
;;14;Gevers-Konings, I.M.D.P.;6;0;0;4;0;0;0;0;0;0;0;0;1;1;0;0;0;0
;;15;Schumacher, M.H.H.;4;0;0;0;0;1;0;0;0;0;0;0;1;2;0;0;0;0
;;16;Buiks, G.J.P.M.;9;0;2;0;0;2;0;0;0;3;2;0;0;0;0;0;0;0
;;17;Naalden, A.F.M.;7;0;3;0;0;0;0;0;0;0;0;1;2;0;0;1;0;0
;;18;Konings-Vriends, M.H.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Broos, A.W.A.M.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;20;Dekkers, A.P.J.;9;1;2;0;0;0;0;0;0;2;0;1;2;1;0;0;0;0
;;21;Neggers, C.P.;7;0;5;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
;;22;Martens, J.D.M.;6;0;0;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;23;Konings, A.J.M.;5;0;0;2;0;2;0;0;0;0;0;0;0;0;1;0;0;0
