Verkiezing;;Gemeenteraad Tilburg 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Tilburg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0855;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Restaurant Lucebert;Cinecitta;Wijkcentrum In De Boomtak;Odulphuslyceum;Factorium (ingang Bisschop Zwijssenstraat);Wijkcentrum Koningshaven;Pathé Tilburg centrum;De Pelgrimhoeve;Café Bet Kolen;Wijkcentrum Zuiderkwartier;Wijkcentrum Nieuwe Stede;Sociëteit Philharmonie;Gymzaal Staringstraat;Wijkcentrum Spijkerbeemden;Sporthal De Blaak;Sportcafé De Blaak;Avans Hogeschool;Gymzaal Cederstraat;Woonzorgcentrum Joannes Zwijsen;De Wissel;Dansschool van Opstal;Wijkcentrum de Baselaer;Textielmuseum;MFA De Poorten;Wijkcentrum De Ypelaer;Gymzaal Donizettistraat;MFA De Symfonie;Sportcafé Drieburcht;2College Cobbenhagen;De Rooi Pannen;Parochiezaal de Goede Herder;Wijkcentrum 't Sant;MFA Het Kruispunt;Wijkgebouw Reinevaar;Wijkcentrum Heyhoef;Sportcentrum Reeshof;Scholencentrum Grote Beemd;TSV Gudok;Gymzaal Bergeijkstraat;Gymzaal Meerssenstraat;Sportclub 't Zand;Cultureel centrum De Schalm;Dansschool van Opstal;Sportcafé 't Ruiven;Stichting de Peppel, locatie Kruisgebouw;Raadzaal Udenhout;Buurthuis Jeruzalem;Drive Inn (evenemententerrein Het Laar);SV Reeshof;Wijkcentrum De Back;Gemeenschapshuis De Vorselaer;Klasse Theater;Gymzaal Verhulstlaan;Sporthal Dongewijk;Gymzaal Mingersbergstraat;Gymzaal Berkelseweg;Sporthal De Roomley;MFA Het Spoor;Mobiel stembureau;Mobiel stembureau;Mobiel stembureau;Mobiel stembureau;Mobiel stembureau;Mobiel Stembureau;Mobiel stembureau;Mobiel stembureau;Centraal Station Tilburg (noordzijde);Centraal Station Tilburg (zuidzijde);Interpolis;Tilburg University;´t Plein;013 Poppodium;Voormalig GGD gebouw;Wijkcentrum Koningshaven;Wijkcentrum Zuiderkwartier;013 Poppodium;Wijkcentrum Spijkerbeemden;Voormalig GGD gebouw;MFA De Poorten;Wijkcentrum de Ypelaer;Wijkcentrum 't Sant;MFA Het Kruispunt;Wijkcentrum Heyhoef;Cultureel centrum De Schalm;Het Raadhuis Udenhout;Drive Inn (evenemententerrein Het Laar);Wijkcentrum Koningshaven;Wijkcentrum Zuiderkwartier;013 Poppodium;Wijkcentrum Spijkerbeemden;Voormalig GGD gebouw;MFA De Poorten;Wijkcentrum de Ypelaer;Wijkcentrum 't Sant;MFA Het Kruispunt;Wijkcentrum Heyhoef;Cultureel centrum De Schalm;Het Raadhuis Udenhout;Drive Inn (evenemententerrein Het Laar)
;;3;Spinnewijn, S.;681;19;4;22;5;9;6;4;15;5;4;12;5;3;6;18;15;9;2;10;4;11;20;11;6;1;2;5;5;6;4;3;5;0;5;5;2;3;0;8;20;4;17;4;14;0;1;7;0;2;12;2;12;3;5;11;4;4;7;7;4;1;5;5;6;46;10;22;16;3;15;0;28;7;4;2;20;0;5;4;1;0;1;9;5;3;0;5;2;5;0;8;4;4;2;2;6;3;2;1
;;4;Schampers, S.C.M.;463;13;8;12;12;8;7;7;6;10;3;15;4;4;3;8;15;5;4;15;7;2;11;13;8;0;1;3;2;0;7;2;2;3;3;5;2;2;2;1;3;0;8;3;6;0;3;5;1;0;6;1;4;1;5;6;0;3;5;4;9;2;2;3;5;14;4;10;15;0;12;2;13;4;3;0;14;0;3;4;0;1;0;10;2;2;1;1;1;8;1;7;2;0;0;0;9;0;0;0
;;5;van Esch, J.J.V.D.M.;216;2;7;8;3;7;2;3;10;3;2;1;0;0;3;2;0;5;1;4;0;0;1;7;2;1;0;1;2;1;2;2;1;1;3;4;1;4;0;0;4;0;4;3;8;0;0;6;2;0;3;1;2;0;1;2;0;1;1;1;4;1;1;0;2;4;2;2;5;2;4;0;4;1;2;3;6;0;1;3;3;3;1;3;3;3;1;0;0;9;1;2;0;0;1;0;2;2;0;0
;;6;Molenaar, J.A.C.;325;17;7;9;13;7;3;6;3;8;11;15;0;5;0;1;3;5;3;12;2;4;7;8;1;0;0;1;1;1;0;2;1;0;1;4;0;2;0;0;0;0;2;0;0;0;0;0;1;0;3;0;5;0;1;0;0;1;7;3;2;0;0;0;1;10;2;13;13;2;40;1;11;3;2;3;11;0;1;4;0;1;0;1;1;0;0;0;3;8;0;2;1;0;0;1;2;0;0;0
;;7;Dunning, A.;152;3;6;4;2;2;3;0;2;1;2;1;1;0;1;2;1;2;1;3;1;6;6;3;1;0;0;0;2;1;2;0;5;1;1;1;1;1;0;2;1;0;2;1;0;1;0;6;1;0;7;0;1;2;1;0;2;0;0;0;4;2;0;1;0;1;1;3;5;0;6;0;4;0;2;3;0;0;5;1;2;0;0;2;0;0;1;2;0;4;0;3;3;0;0;0;1;0;0;0
;;8;Momand, M.;80;1;1;2;0;1;0;0;1;0;0;1;0;0;0;1;1;1;0;2;0;2;2;1;0;3;0;0;1;2;2;0;1;0;1;1;0;0;1;7;5;0;0;0;1;0;0;0;0;0;1;0;0;0;1;2;0;0;0;0;0;0;0;2;3;1;0;1;1;0;8;0;6;0;0;0;2;0;1;1;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0
;;9;Blokker, K.W.M.R.;149;4;1;2;8;5;2;4;0;5;4;5;0;0;1;0;2;3;3;7;2;2;2;5;4;0;0;1;1;1;0;2;1;0;0;2;2;0;0;2;0;0;2;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;4;3;2;0;1;0;0;2;0;5;6;0;1;0;17;1;1;2;7;0;3;0;0;0;0;0;0;0;1;0;0;3;2;0;0;0;0;0;0;0;0;0
;;10;Buijvoets, J.H.M.;59;0;6;3;2;1;1;1;0;1;1;2;0;2;0;0;1;1;0;0;0;2;1;2;0;0;1;0;2;0;1;0;1;0;0;0;1;2;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;1;1;6;0;0;0;0;0;2;0;0;0;1;0;0;1;1;0;1;0;0;1;0;0;0;0;1;0;1;0;0;0
;;11;van der Ven, M.C.;258;6;0;0;2;1;2;4;2;2;1;3;0;0;1;2;0;0;2;5;1;3;3;5;2;0;0;1;0;3;1;0;2;0;0;1;2;1;1;1;1;0;6;2;4;27;12;2;0;0;2;3;0;0;1;1;2;26;2;1;2;1;1;0;1;2;10;5;8;2;9;11;4;0;1;2;2;0;0;4;0;1;0;1;0;18;0;2;0;0;1;2;1;0;0;0;2;4;9;0
;;12;Eijkemans, M.;31;0;1;0;0;2;2;1;1;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;4;0;0;0;0;0;0;0;0;1;0;4;0;0;1;0;0;0;0;0;0;0;1;1;0;2;0;0;0;0;0;0;1;0;0
;;13;van der Putten, T.;20;1;1;0;1;2;0;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;2;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;14;van Houten, S.D.;144;3;3;6;1;5;0;4;4;1;2;4;0;3;1;3;4;0;4;3;0;2;7;1;2;0;1;2;2;1;0;1;2;2;5;1;0;2;0;0;2;1;0;0;2;0;0;0;0;0;1;0;1;0;0;1;0;0;5;2;3;0;2;1;1;1;2;3;4;0;3;0;9;1;0;0;0;0;2;1;0;2;1;1;0;0;0;0;0;1;0;1;0;1;4;1;2;0;0;0
;;15;Pollé, S.;56;0;0;0;1;2;1;1;0;1;1;1;0;0;0;0;1;0;2;1;1;0;4;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;1;4;0;0;0;0;0;2;0;0;0;0;1;0;0;1;0;3;1;3;0;0;0;0;1;1;0;1;0;1;2;1;1;0;0;0;0;0;1;0;2;1;0;0;0;2;2;0;0;0;0;2;0;0;0;1;0;0;1;0;0;0
;;16;Hessels, R.G.A.M.;63;1;0;0;0;0;0;1;0;0;1;2;0;0;4;0;1;0;2;1;1;0;11;1;0;2;2;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;1;0;4;0;2;1;0;0;0;0;0;0;0;1;2;4;1;3;0;0;1;0;0;0;1;0;0;0;1;1;2;0;0;1;0;0;0
;;17;Elzinga, L.;14;0;0;1;1;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;18;Borgesius, J.G.;9;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Verberk, B.W.T.;30;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;3;0;0;11;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;20;Hoogeveen-Avşar, C.;53;2;0;2;0;0;0;0;1;0;2;2;0;2;0;0;1;1;1;0;2;0;0;2;1;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;1;0;2;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;2;1;0;1;2;2;0;2;0;2;1;0;0;4;0;2;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1
;;21;de Greef, P.W.;12;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;van Tilburg, P.A.;111;1;1;7;3;0;0;0;0;2;1;1;0;2;1;2;1;0;0;0;1;3;11;3;2;0;0;1;1;0;0;0;1;1;2;1;0;2;1;0;2;0;2;0;1;0;0;1;0;0;1;0;1;0;1;0;5;0;0;4;1;0;0;0;1;3;0;2;0;1;5;1;5;0;0;1;10;0;1;0;0;0;0;0;3;0;2;0;1;0;0;0;0;0;0;0;4;0;0;0
;;23;Blommestijn, E.J.M.;8;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;Keijsers, A.J.H.;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;25;Sleijpen, R.J.A.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;26;Besselink, B.J.M.;25;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;6;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;1;0;0;0;0;0;4;0
;;27;Zijlstra, J.;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0
;;28;Kupper, H.M.;110;1;0;1;1;0;1;1;0;0;0;1;0;0;0;0;0;0;0;3;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;30;6;10;0;1;0;0;0;1;1;0;1;0;0;4;0;0;0;0;0;0;0;0;0;11;4;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;13;0;1
;;29;Oord, S.;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;30;Hermans, W.A.;8;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;31;de Lange, E.;19;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;5;2;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;32;van Nunen, A.S.;12;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;33;Melis, T.A.J.J.;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;34;Vermeulen, J.A.;7;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;35;van Rijsewijk, V.J.M.A.;119;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;29;16;1;1;0;0;0;0;0;0;0;0;1;10;1;0;1;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0
;;36;Audenaerd, C.C.M.;16;0;4;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0
;;37;van Mol, P.P.J.;16;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
;;38;Koopman, W.;10;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;39;van Gool, W.A.M.;26;0;0;1;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;1;0;0;0;6;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;40;Heuvelmans-van Leuven, M.A.W.;29;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;1;0;5;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;1;0;3;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0
;;41;de Bont, G.C.P.A.;8;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;42;Vlaanderen, R.;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;43;Werker, B.J.M.;9;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;44;de Vries, B.R.;19;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;3;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;45;van der Pol, B.W.W.;89;0;1;6;1;0;1;0;3;0;1;1;0;1;0;1;1;0;0;4;0;0;0;2;0;0;0;2;0;0;2;0;0;0;1;0;1;3;1;0;0;0;1;0;0;1;1;1;2;2;0;0;3;0;0;0;0;0;4;3;0;0;2;3;2;1;5;0;1;1;1;1;3;1;1;1;1;0;4;1;0;0;0;2;0;1;2;0;0;3;0;0;0;0;0;0;0;0;1;0
;;46;Hendrickx, M.T.M.;105;3;1;6;2;3;1;0;2;0;0;4;2;2;0;5;1;2;0;0;4;3;2;5;1;0;0;0;0;0;0;0;1;1;1;2;2;0;0;1;1;0;1;0;0;0;0;1;0;1;4;0;0;1;1;1;0;0;2;1;0;0;0;0;0;0;2;0;1;0;0;0;4;4;0;0;4;0;2;2;0;0;0;0;3;0;1;2;0;4;0;0;2;0;1;0;2;0;0;0
;;47;Onderdenwijngaard-van de Sandt, W.L.;25;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;4;0;2;0;0;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;4;0;0;1;1;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;GROENLINKS;;;15187;282;212;411;243;248;213;148;293;140;184;322;60;89;189;212;171;144;105;346;123;225;325;411;232;112;33;187;288;124;142;60;137;109;199;249;68;149;22;167;152;39;208;94;127;90;71;199;49;31;212;34;82;111;123;156;60;139;278;90;156;61;88;77;88;205;114;340;324;67;345;49;421;133;129;112;436;38;170;215;84;94;65;231;134;52;42;85;56;240;40;169;129;51;58;34;151;88;58;39
;;1;Lahlah, A.;10625;185;137;290;162;150;138;83;226;84;102;206;34;49;142;155;118;97;73;227;88;156;232;281;169;95;30;148;235;89;95;52;105;74;160;191;44;107;13;132;111;30;153;66;83;70;55;140;31;19;177;22;57;96;79;109;28;111;203;61;106;39;50;57;62;134;90;229;191;40;205;34;265;102;105;74;274;28;115;145;70;59;45;176;96;49;32;68;36;155;24;127;93;43;44;29;126;77;51;25
;;2;Kostermans, E.;1210;20;10;39;17;21;17;17;24;12;15;26;6;10;12;21;22;11;8;30;7;14;27;35;11;2;0;8;19;12;8;4;6;6;14;14;10;22;2;11;19;4;25;13;18;9;7;14;2;1;14;7;4;5;15;12;10;10;19;8;13;12;21;6;10;20;10;29;23;7;21;8;15;5;8;10;33;2;14;20;2;9;6;27;26;1;5;0;0;18;4;15;5;1;1;1;9;5;1;1
;;3;Sol, K.;493;8;9;9;13;6;16;10;5;5;6;14;2;5;6;7;9;4;5;11;3;7;7;16;4;1;0;0;3;1;7;0;5;4;4;7;3;1;4;5;2;0;7;3;3;1;3;12;4;2;1;1;7;5;4;10;3;3;11;6;9;1;0;3;1;6;2;12;14;6;18;1;23;7;5;6;12;0;7;6;1;1;0;5;3;0;0;3;3;3;2;4;2;0;2;1;1;1;1;1
;;4;Kramer, A.J.F.;191;9;8;15;3;5;3;3;1;2;5;2;0;0;1;4;2;3;0;5;1;1;6;5;1;0;0;1;1;0;3;1;0;1;0;0;0;4;0;4;0;1;1;2;2;1;1;2;1;0;2;1;0;2;4;2;2;3;3;1;3;0;0;1;0;4;0;4;6;0;5;0;4;1;0;0;6;1;1;3;2;3;1;1;0;0;0;1;0;5;0;2;2;1;1;0;1;1;0;0
;;5;Antens, M.J.M.;177;0;1;2;0;12;3;0;7;0;1;4;2;2;4;1;1;2;1;6;3;0;2;10;1;0;0;2;5;1;4;0;0;0;1;3;2;1;1;3;2;1;0;0;0;1;1;0;3;1;0;0;1;2;1;0;2;3;5;3;1;3;2;0;0;5;1;2;1;0;0;0;10;1;3;3;5;0;1;5;1;1;2;4;0;0;1;0;0;2;0;1;0;1;1;1;2;0;0;3
;;6;Heuvelmans, D.J.P.;185;4;2;4;2;2;5;2;3;4;3;3;0;1;0;3;1;1;1;8;0;2;3;2;3;0;1;0;4;1;1;1;0;0;0;1;0;3;0;0;2;0;0;1;6;1;0;4;0;0;0;0;0;0;0;1;0;1;1;2;4;1;0;0;5;5;0;6;8;1;6;1;9;2;0;0;9;2;4;3;2;0;5;3;1;1;0;3;2;5;0;2;3;0;0;0;2;0;0;0
;;7;Yilmaz, B.;204;5;4;1;2;2;2;1;0;1;7;8;1;2;10;0;0;7;0;4;0;0;3;4;6;2;0;3;9;0;3;0;5;10;5;4;1;3;0;4;1;2;0;1;1;0;0;1;1;0;2;0;0;0;1;0;1;0;2;2;1;0;0;1;0;6;1;3;3;0;7;0;2;0;1;1;5;0;1;5;2;8;4;4;2;0;0;0;1;1;1;0;1;2;5;1;0;0;1;0
;;8;van Wanrooij, N.;126;1;1;1;6;1;1;2;0;17;7;8;0;0;1;1;0;1;1;2;0;4;2;3;0;0;0;2;1;2;0;0;0;0;0;1;0;1;0;0;3;0;0;3;3;0;2;0;0;0;0;0;0;0;0;1;4;2;2;0;1;0;1;0;1;2;2;2;4;0;6;0;3;0;1;0;3;0;2;2;0;2;0;0;1;0;0;0;1;0;1;0;2;0;0;0;1;0;1;0
;;9;Schellekens, F.;829;30;25;26;21;22;5;17;9;1;16;25;9;11;6;9;6;11;4;25;9;13;12;23;12;4;0;7;2;3;7;1;8;7;2;6;3;4;1;3;8;0;8;1;8;0;0;5;3;3;3;1;4;0;5;8;6;1;14;4;9;0;4;2;4;11;3;33;38;4;39;3;40;2;1;8;46;5;12;8;0;5;1;1;1;0;3;2;4;26;3;4;6;0;0;1;3;0;1;9
;;10;Agović, N.;78;0;0;0;1;0;0;0;1;1;0;2;0;0;0;2;0;0;1;1;1;1;3;5;4;4;1;0;3;3;1;0;0;0;0;5;0;1;0;0;0;1;0;0;0;1;0;3;1;0;1;0;0;0;0;5;0;0;2;0;0;0;1;0;0;1;1;2;1;1;6;0;2;0;0;1;2;0;0;0;1;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0
