Verkiezing;;Gemeenteraad Veldhoven 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Veldhoven;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0861;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis 1;Wijkvoorziening De Ligt;Kantine Voetbalvereniging U.N.A.;Dorpscentrum d'Ouw School;Clubgebouw Sentrum '70;Gemeenschapshuis d'n Bond;Ontmoetingscentrum het Tweespan;Basisschool De Brembocht;Basisschool Dick Bruna;Restaurant Jan's Polder;Mixed Hockey Club Basko;MFA Noord;Woonzorgcomplex Rundgraafpark;De Twee Sparren;Wijkcentrum De Erikant;'t Patronaat Zeelst;Uitgaanscentrum De Kers;Blokhut D'n Bosbender;SDO Korfbal;Gemeentehuis 2;Tent Nijverheidslaan;Peter Benenson park;Gemeentehuis;Gemeentehuis;Mixed Hockey Club Basko;Mixed Hockey Club Basko;Tent Nijverheidslaan;Tent Nijverheidslaan;Tent Peter Benenson park;Tent Peter Benenson park;RSZK Merefelt
;;36;van Doesselaere, C.J.;9;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0
;;37;Gruijters, R.F.P.;2;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;38;Dickmann, A.E.M.;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;39;van Dam, G.;4;0;0;2;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;40;Vennix, R.W.H.;9;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;3;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0
;;41;Beun, S.L.;7;0;0;0;0;0;4;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;42;van Bakel, Y.Y.E.;14;0;0;0;0;0;2;1;2;0;0;0;0;0;0;0;4;1;0;1;0;2;1;0;0;0;0;0;0;0;0;0
;;43;van den Oever, A.G.C.M.;18;0;0;1;2;0;1;1;0;2;0;0;0;0;0;0;1;0;0;0;0;0;4;0;0;1;0;1;1;1;2;0
;;44;de Kort, A.H.J.;73;1;3;7;1;3;2;1;0;5;1;6;3;5;1;2;3;2;1;3;3;6;2;0;1;2;2;2;2;1;2;0
2;Gemeente Belangen Veldhoven (GBV);;;3834;138;175;196;153;192;194;205;79;159;172;115;169;88;105;208;194;95;94;114;143;108;149;97;145;21;26;60;87;67;71;15
;;1;van Dongen - Lamers, H.C.H.M.;2097;79;98;81;63;97;117;106;42;104;78;72;104;56;57;118;95;39;56;61;87;68;80;52;93;12;13;39;45;36;41;8
;;2;van Oorschot, Y.M.A.;275;8;16;12;6;22;12;16;5;8;9;17;14;6;5;12;12;4;14;21;7;6;5;6;4;2;5;6;10;2;3;0
;;3;van de Looij, P.J.M.;388;9;29;24;6;25;23;21;11;12;40;6;15;9;15;19;15;8;10;8;13;7;12;12;10;2;2;4;10;3;7;1
;;4;van Doren, H.A.M.;98;0;2;5;8;5;5;13;1;10;3;0;0;2;1;10;2;6;0;2;2;0;6;1;4;0;3;5;1;0;1;0
;;5;van der Velden, J.A.F.;231;5;4;4;63;3;5;8;3;1;4;4;4;3;5;14;4;26;6;2;2;12;10;2;9;1;0;3;4;12;8;0
;;6;Bijnen, P.A.C.M.;174;6;7;21;3;5;11;1;0;2;10;2;5;4;4;3;39;5;2;6;6;0;4;10;10;0;1;2;3;1;1;0
;;7;van Galen, T.;203;16;10;12;2;7;4;10;8;8;9;3;10;1;6;13;16;4;4;8;14;6;8;5;3;0;0;1;4;6;5;0
;;8;Lauwers, C.F.;79;4;1;16;0;2;0;2;5;0;0;0;4;1;1;1;2;1;0;1;4;1;21;1;0;0;0;0;3;3;2;3
;;9;Roosen - Goudsmit, J.H.T.;31;0;0;1;0;2;2;4;1;5;1;0;1;0;2;2;3;0;0;2;0;1;1;0;1;0;0;0;0;0;1;1
;;10;de Lepper, F.P.H.;51;0;0;0;1;1;3;8;0;1;0;3;5;4;0;7;1;0;1;1;0;3;1;0;4;2;0;0;3;2;0;0
;;11;Janssen, N.L.M.;43;1;3;4;0;2;1;4;1;1;1;2;2;1;0;3;2;1;0;1;4;0;1;0;2;1;2;0;1;1;1;0
;;12;Gerrits, D.J.J.;19;0;1;4;0;5;2;3;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0
;;13;Kauwenberg, F.C.T.;33;0;1;3;0;3;2;2;0;3;7;2;2;0;1;1;1;0;1;0;1;1;0;0;0;0;0;0;1;0;0;1
;;14;Henar, E.K.;52;4;2;3;1;11;0;4;1;0;1;1;2;0;4;2;2;0;0;1;0;1;0;6;3;1;0;0;1;1;0;0
;;15;Groenendijk, W.P.;35;2;0;6;0;2;2;0;0;4;6;2;0;1;3;1;0;1;0;0;1;2;0;1;0;0;0;0;0;0;0;1
;;16;de Wilt, G.A.M.;25;4;1;0;0;0;5;3;1;0;2;0;1;0;1;2;0;0;0;0;1;0;0;1;1;0;0;0;1;0;1;0
3;SENIOREN VELDHOVEN;;;1451;63;83;69;19;75;92;110;24;61;26;39;49;86;51;55;98;17;14;35;56;32;19;64;64;9;15;16;26;26;27;31
;;1;van Hulst, J.A.M.;846;41;55;38;13;50;46;70;14;34;19;19;20;30;30;35;45;13;8;18;39;21;12;45;39;1;5;13;19;21;15;18
;;2;Coppens, G.J.F.M.;242;10;11;5;4;13;31;20;7;7;4;16;5;14;9;6;8;4;2;9;9;4;3;10;9;5;5;2;5;2;1;2
;;3;de Greef, H.M.J.P.;183;8;8;3;1;8;2;9;2;14;2;0;21;36;7;3;8;0;2;2;5;3;1;2;15;0;3;0;1;2;7;8
;;4;van Hulst, M.N.M.;20;0;1;1;0;2;2;2;1;0;0;1;0;1;0;2;1;0;0;2;0;0;0;3;0;0;0;0;0;0;0;1
;;5;Tros, R.W.;51;0;0;9;0;1;0;2;0;1;1;0;0;0;1;3;26;0;0;1;2;0;0;0;0;1;0;0;0;1;2;0
;;6;Dings, E.M.;38;2;1;10;0;1;3;0;0;3;0;0;1;1;2;2;5;0;1;2;0;1;0;1;0;0;0;0;1;0;1;0
;;7;Manders, E.H.;10;0;3;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;1;0;0;0;0;0
;;8;Slegers, I.C.W.J.;25;1;1;2;0;0;3;3;0;1;0;0;0;0;1;1;5;0;0;0;0;2;2;0;0;0;0;0;0;0;1;2
;;9;Berg, M.;7;0;0;1;0;0;1;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
;;10;Willems - de Greef, C.M.;29;1;3;0;1;0;4;2;0;1;0;3;0;4;1;2;0;0;0;0;1;0;0;1;1;2;1;1;0;0;0;0
4;CDA;;;1109;24;52;47;53;36;55;55;39;54;39;35;23;60;37;27;71;24;34;39;46;27;24;32;50;10;14;27;30;16;13;16
;;1;van Dongen- de Kruijf, M.J.J.M.;654;11;29;26;30;18;29;34;26;25;29;23;12;38;21;14;34;16;25;19;32;18;16;17;31;3;9;18;22;8;8;13
;;2;Horsten, J.P.H.;52;0;3;8;2;0;0;3;1;3;2;1;0;2;2;3;9;1;0;0;2;1;4;1;2;0;0;1;0;1;0;0
;;3;van Brakel, C.E.P.;37;4;4;0;1;3;2;1;1;2;0;0;5;3;2;0;3;0;0;1;0;1;2;0;1;0;1;0;0;0;0;0
;;4;Tholen, M.J.P.A.;30;0;0;0;9;0;0;0;0;3;1;2;1;1;2;2;0;1;2;3;0;0;0;1;0;0;0;0;0;1;0;1
;;5;Heutinck- Schouten, M.G.;19;0;1;2;0;0;1;1;1;0;0;1;0;3;1;0;3;0;1;0;1;0;0;1;1;0;0;0;1;0;0;0
;;6;Bolsius, A.H.D.M.;108;4;4;9;4;5;7;2;1;8;3;3;3;5;3;2;16;1;1;1;4;1;1;9;6;0;0;1;1;2;1;0
;;7;Verspui, L.;78;0;2;1;0;6;5;8;6;6;0;2;2;1;3;3;1;0;4;7;5;2;0;2;4;1;0;3;1;0;1;2
;;8;Pulles, T.A.W.A.;19;0;0;0;0;1;1;3;0;2;2;0;0;1;0;0;4;1;0;0;0;1;0;0;0;1;0;0;1;1;0;0
;;9;Bienefelt, J.A.;21;2;1;0;0;0;0;0;2;4;1;0;0;3;0;0;1;2;0;0;0;1;0;0;3;0;0;1;0;0;0;0
;;10;van Loon, A.C.L.D.;32;2;1;0;0;2;6;3;0;0;1;1;0;0;0;0;0;1;1;5;1;1;0;0;0;1;3;2;1;0;0;0
;;11;Dekker, P.;7;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;2;1;0;0;0;1;0
;;12;Heutinck, F.A.J.;9;0;4;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
;;13;Storimans, J.J.P.M.;14;1;1;0;0;0;3;0;1;0;0;0;0;2;2;0;0;0;0;1;0;0;1;0;0;2;0;0;0;0;0;0
;;14;van der Wijst, M.H.M.;29;0;2;0;7;1;0;0;0;1;0;1;0;1;1;1;0;1;0;1;1;0;0;1;2;0;0;0;3;3;2;0
5;GROENLINKS / Partij van de Arbeid (P.v.d.A.);;;1970;76;88;35;50;90;100;124;66;78;72;45;103;45;38;104;103;45;59;48;105;53;73;81;80;10;15;39;52;32;53;8
;;1;Rooijakkers, J.G.W.;783;25;34;16;21;32;32;47;25;26;31;15;38;23;9;46;41;23;28;24;45;18;29;37;36;6;4;17;24;8;16;7
;;2;van Grunsven, J.C.;545;25;32;8;8;27;15;27;23;26;21;5;30;13;18;27;34;13;18;8;36;9;19;27;23;2;3;8;15;12;12;1
;;3;Meijberg, J.W.;75;4;4;1;3;5;16;6;1;2;0;4;3;0;2;2;1;1;1;2;0;1;3;3;1;0;1;1;1;0;6;0
;;4;Mandos, W.J.;57;10;0;0;0;0;3;5;2;3;3;1;3;0;2;4;3;1;1;2;2;2;0;2;2;0;0;1;2;1;2;0
;;5;Bolt-Lavrijssen, H.A.;99;2;5;1;2;2;0;5;1;5;9;0;7;2;1;8;3;1;4;9;7;1;4;3;6;0;0;3;3;3;2;0
;;6;de Haas, J.A.;51;0;5;3;3;1;1;2;8;2;0;0;2;0;0;1;1;0;0;0;4;5;2;0;2;1;1;1;3;0;3;0
;;7;Wouters, Y.D.;57;1;1;0;4;2;6;3;1;4;1;1;4;2;1;0;2;2;0;0;3;2;4;1;1;0;0;2;1;3;5;0
;;8;Goossens-Ruhr, C.H.K.;41;2;0;0;0;2;2;4;3;0;0;1;5;0;0;0;1;0;1;2;4;5;1;0;2;0;0;3;2;0;1;0
;;9;Visser, M.;34;0;0;2;1;6;2;8;0;1;1;2;0;0;3;3;3;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
;;10;Cuppen, J.J.M.;8;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0
;;11;van Oost, F.J.;26;1;1;0;0;3;0;0;1;0;2;2;2;0;0;7;1;0;1;0;1;1;0;0;1;0;2;0;0;0;0;0
;;12;Wassouf, H.;32;3;2;0;1;1;1;4;0;4;0;3;1;2;0;0;0;1;1;0;0;2;3;0;1;1;0;0;0;0;1;0
;;13;Bosch, J.G.;16;0;0;0;4;1;0;2;0;0;0;1;0;1;0;0;1;0;1;0;0;0;0;1;0;0;0;1;0;0;3;0
;;14;Ruijs-van den Bergh, Y.;25;1;1;0;1;1;0;4;0;4;0;0;3;0;0;0;2;1;0;0;0;2;0;5;0;0;0;0;0;0;0;0
;;15;Joosten, C.H.M.M.E.;58;0;2;2;0;2;12;3;0;0;3;5;1;2;0;0;6;2;3;0;2;0;2;0;4;0;3;2;0;2;0;0
;;16;Groeneveld, K.;8;0;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;1;0;0
;;17;Biezen, C.K.M.;5;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;18;van den Biggelaar, H.J.C.W.;14;1;0;0;0;0;6;2;0;0;1;0;1;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
;;19;Bazelmans, A.H.G.P.;19;0;0;0;2;1;2;1;1;0;0;2;1;0;1;2;1;0;0;0;1;3;1;0;0;0;0;0;0;0;0;0
;;20;Tops, R.L.J.H.;15;1;0;1;0;3;0;0;0;0;0;1;2;0;0;1;0;0;0;1;0;0;2;0;0;0;1;0;0;2;0;0
;;21;Hofmeester, W.F.;2;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;D66;;;1386;26;65;51;47;29;86;55;46;66;59;59;69;27;35;56;100;40;47;29;47;39;58;47;47;15;10;26;33;30;41;1
;;1;Giesbertz, H.M.M.;1176;22;55;43;41;20;73;46;39;60;44;50;62;24;27;52;82;37;46;27;42;32;50;35;39;14;10;20;26;26;32;0
;;2;Wijman, P.J.M.;42;0;5;0;1;1;4;3;1;3;0;3;1;1;4;1;3;1;0;0;2;0;1;4;0;0;0;1;2;0;0;0
;;3;van der Molen, W.P.;30;1;0;0;1;4;0;1;0;1;0;1;1;1;2;2;1;2;1;1;0;1;1;4;0;0;0;1;1;1;1;0
;;4;Simonse, C.J.H.;32;2;3;1;1;0;4;2;2;0;0;1;1;0;0;0;0;0;0;0;2;0;0;1;5;0;0;4;0;1;1;1
;;5;Blokland, F.W.P.;27;0;0;2;1;1;2;1;0;0;6;2;0;0;0;0;0;0;0;0;1;2;3;0;1;0;0;0;1;1;3;0
;;6;Köhler, C.A.;12;0;2;0;1;0;0;0;2;0;2;0;0;0;1;0;1;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0
;;7;van der Reijden, H.J.;7;0;0;2;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0
;;8;Hornman, W.M.C.J.;13;0;0;1;0;2;2;1;0;0;0;1;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;1;2;0
;;9;van Alst, M.H.A.;35;1;0;2;0;1;0;0;2;1;7;0;3;1;1;0;9;0;0;0;0;0;0;3;1;1;0;0;0;0;2;0
;;10;Evers, P.W.;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;11;Hageman, J.J.C.;8;0;0;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;1;1;0;0;0;0;0;1;0;0;0
7;Hart voor Veldhoven;;;5003;144;207;178;316;200;322;257;105;297;136;168;197;124;111;262;295;198;142;179;188;136;177;116;168;35;51;52;92;62;70;18
;;1;Prinsen, M.J.J.M.;2317;55;105;86;81;101;170;109;44;151;64;87;84;66;49;130;135;82;71;102;80;63;85;50;72;21;31;21;42;29;44;7
;;2;Luijkx-Warbroek, Y.J.;900;52;44;29;22;41;45;37;11;56;29;27;29;26;21;54;45;23;26;23;56;30;35;30;47;5;3;11;18;17;5;3
;;3;Peters, W.G.M.;226;5;6;3;69;11;11;10;3;8;5;4;2;1;3;9;11;17;8;2;1;7;6;3;3;0;3;3;4;3;5;0
;;4;Feijóo Paz, M;118;7;4;0;3;6;2;9;4;9;5;2;13;6;3;1;10;2;2;4;4;2;4;6;1;0;0;2;6;0;1;0
;;5;van Broekhoven, T.W.P.;169;5;8;2;4;6;10;9;4;14;7;5;31;3;9;5;7;6;2;7;4;3;5;4;5;0;2;1;1;0;0;0
;;6;Beens, J.T.J.;63;1;2;0;4;2;3;1;2;9;0;1;5;0;3;9;5;1;0;2;2;0;6;0;2;0;0;0;0;0;3;0
;;7;Gielis, C.M.P.;124;5;5;9;1;3;6;6;6;1;2;4;7;4;2;5;17;3;2;1;8;1;4;6;7;1;0;2;2;3;1;0
;;8;van Gaart, F.W.J.A.;103;2;3;5;0;1;2;32;1;5;4;2;2;4;0;2;4;0;0;3;7;6;0;2;6;0;0;1;8;0;0;1
;;9;Stroeks, H.M.A.;241;1;0;6;95;2;3;4;0;9;4;7;4;0;6;7;7;38;17;3;0;5;3;2;5;1;2;3;4;2;0;1
;;10;Cattenstart, P.A.M.;79;3;2;0;0;2;4;10;2;4;0;4;3;1;3;7;4;6;1;6;2;7;2;2;1;0;0;1;2;0;0;0
;;11;van Gent, J.C.W.M.;67;1;2;6;0;1;3;4;7;1;1;2;3;2;0;3;11;0;0;4;3;0;1;0;2;4;1;0;0;2;2;1
;;12;Engelen, J.A.H.M.;100;0;4;3;4;1;36;1;0;2;1;14;1;0;1;2;2;0;2;9;0;1;2;1;2;2;5;0;0;1;0;3
;;13;Akkerman, R;12;0;2;0;1;0;1;3;0;0;0;0;0;0;0;0;1;0;0;1;1;0;1;0;0;0;0;0;0;1;0;0
;;14;van Maurik, M;8;0;0;0;0;1;0;3;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
