Verkiezing;;Gemeenteraad Dongen 2022;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;
Gebied;;Gemeente Dongen;;;;;;;;;;;;;;;;
Nummer;;0766;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;Basisschool De Vlinderboom;Basisschool St. Jan;Kelly van Zon Gymzaal;Clubgebouw V.V.Dongen;Gymzaal Otterdonk;Sportzaal De Gaasjes;Dorpshuis De Geubel;Europlus;Sporthal De Salamander;Gemeentehuis - 14 maart;Gemeentehuis - 15 maart;V.V. Dongen - 14 maart;V.V. Dongen - 15 maart
Gebiednummer;;;;;1;2;4;5;6;7;8;9;10;20;21;22;23;24
Postcode;;;;;5104 JJ;5102 XS;5104 CL;5104 EG;;5103 GN;5106 NC;5109 AC;5101 TJ;5101 ZG;5104 JJ;5104 JJ;;
3;VVD;;;1135;180;66;94;73;118;70;47;91;73;34;64;95;73;57
;;1;Lepolder, P.W.A.;709;115;41;47;44;78;43;34;47;37;21;46;71;48;37
;;2;den Broeder, F.F.;51;10;4;9;1;4;2;1;4;3;1;3;2;3;4
;;3;Wens, P.P.J.C.P.;65;7;5;12;4;10;3;1;4;4;1;1;4;7;2
;;4;Cornel, I.C.M.;9;1;0;0;1;1;1;0;1;2;0;2;0;0;0
;;5;Rijnen, J.N.M.;20;3;3;0;2;1;0;2;0;1;5;1;2;0;0
;;6;Misseyer, N.C.;54;7;4;2;7;3;9;5;1;4;1;5;3;3;0
;;7;Antonioli, E.A.;24;8;3;0;1;2;2;1;2;3;0;1;0;0;1
;;8;Horsten, A.M.A.;38;5;1;4;3;6;4;1;4;4;1;0;1;2;2
;;9;van der Meijden, E.H.P.;23;1;0;10;0;2;0;0;1;2;0;1;2;4;0
;;10;Lepolder, M.C.E.;8;1;1;0;1;1;0;0;0;0;0;2;1;0;1
;;11;Brooijmans, P.W.A.M.;17;4;0;2;4;1;0;2;0;0;1;0;2;0;1
;;12;van Schijndel, J.C.B.;28;3;0;3;2;3;4;0;0;7;0;0;2;4;0
;;13;Vullings, R.G.W.;21;3;1;2;0;2;0;0;0;2;0;1;3;2;5
;;14;Rentmeester, J.M.J.;21;2;0;0;0;0;0;0;19;0;0;0;0;0;0
;;15;Schellekens, J.C.N.;7;0;3;0;2;1;0;0;0;0;0;0;1;0;0
;;16;Wijnberg, E.J.A.;9;2;0;0;0;1;1;0;1;1;2;0;1;0;0
;;17;Driessen, A.L.M.;14;5;0;3;1;0;0;0;0;1;0;0;0;0;4
;;18;Söder, C.N.A.;8;1;0;0;0;0;0;0;7;0;0;0;0;0;0
