Verkiezing;;Gemeenteraad Deurne 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Deurne;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0762;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Cultuurcentrum Deurne;Reddingiushuis;Wijkhuis D'n Houtenhoek;Sporthal de Kubus;Gerardushuis;Molen Maria-Antoinette;Hofke van Marijke;MFA 't Huis Vlierden;Basisschool De Piramide;S.C.C. Den Draai;Gemeenschapshuis De Kastanje;Ontmoetingsruimte 'de Gasterij';Gemeenschapshuis De Moost;Gemeenschapshuis De Gouden Helm;Sporthal de Kubus (2);Hofke van Marijke (2);Cultuurcentrum Deurne (2);Microsporthal;S.C.C. Den Draai (2);Cultuurcentrum Deurne;Cultuurcentrum Deurne;Gemeenschapshuis De Kastanje;Gemeenschapshuis De Kastanje;Brandweer Neerkant;Brandweer Neerkant
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;21;22;24;25;26;27;28;29
Postcode;;;;;5751 KM;5751 GA;5751 ES;5754 DV;5752 AP;5751 LN;5753 BE;5756 AM;5751 VJ;5754 AV;5757 AP;5757 DZ;5758 RX;5759 PA;5754 DV;5753 BE;5751 KM;5751 JB;5754 AV;5751 KM;5751 KM;5757 AP;5757 AP;5758 SB;5758 SB
;;15;van Lierop, B.;51;3;2;2;5;1;5;2;2;12;0;0;0;0;0;3;0;5;5;1;0;3;0;0;0;0
;;16;van Nunen, M.M.J.P.;48;3;0;2;5;1;5;3;0;4;1;2;0;0;0;3;3;3;1;2;4;5;0;1;0;0
;;17;Claassen, D.;24;1;1;0;1;0;0;6;0;0;0;0;0;0;0;1;11;0;1;1;0;1;0;0;0;0
;;18;van Kessel, K.T.M.;31;0;0;2;4;0;3;1;0;2;2;0;0;0;0;4;0;1;6;2;1;3;0;0;0;0
;;19;van Horne, F.;20;0;0;0;1;4;0;0;10;0;0;0;0;0;0;1;1;1;1;0;0;1;0;0;0;0
;;20;van Berlo, R.;33;1;3;2;2;2;0;3;0;0;1;1;0;0;0;8;2;3;0;1;0;2;0;2;0;0
;;21;Donkers, S.;30;3;1;0;2;4;3;0;0;0;2;1;0;0;0;2;0;2;1;3;0;6;0;0;0;0
;;22;de Louw, W.P.A.M.;31;6;1;0;3;0;1;7;1;1;0;1;0;0;0;0;4;2;0;1;2;1;0;0;0;0
;;23;Bax, S.J.C.;25;1;1;2;0;0;0;6;0;1;0;1;0;0;0;0;9;3;0;0;0;1;0;0;0;0
;;24;van Rijssel, R.M.H.;24;7;4;0;2;0;0;0;0;1;0;0;0;0;0;3;1;2;0;0;2;2;0;0;0;0
;;25;Swinkels, L.C.M.;13;0;1;1;2;1;1;1;0;1;0;0;0;0;0;1;0;0;1;0;2;1;0;0;0;0
;;26;van Wetten, J.F.W.;20;0;0;1;4;1;0;2;0;2;1;0;0;0;0;1;0;1;1;0;1;5;0;0;0;0
;;27;Verhoeven, D.A.G.;12;0;0;0;1;0;0;5;0;0;0;0;0;0;0;1;1;1;2;0;1;0;0;0;0;0
;;28;van Zundert-Maas, J.P.;20;0;0;0;1;2;2;4;0;0;0;0;0;0;0;3;2;1;0;2;1;2;0;0;0;0
;;29;van den Broek, L.J.M.;47;2;5;3;10;0;0;2;0;5;1;2;0;0;0;6;3;0;1;1;0;4;0;2;0;0
;;30;Geboers, W.W.J.B.;20;1;0;0;2;0;0;2;2;0;0;2;3;0;0;4;3;0;0;0;1;0;0;0;0;0
