Verkiezing;;Gemeenteraad Helmond 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Helmond;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0794;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Wijkhuis Brede school de Fonkel;Valkennest (Bethlehemkerk);ROC ter Aa;Gymzaal de Fonkel (ingang Dasstraat);Gymzaal Koekoekstraat (ingang Reigerzaal);Bibliotheek Helmond;Gymzaal Hobostraat;Wijkcentrum de Boerderij;Sporthal de Braak;Gymzaal Paulus Potterlaan;Gymzaal Montgolfierstraat;Wijkhuis de Lier;Wijkhuis de Brem;Gymzaal de Straap;Wijkhuis de Brem;Wijkcentrum Parkzicht;Gymzaal Dierdonk;Buurthuis St. Anna;Gemeenschapshuis de Loop;Wijkgebouw de Zonnesteen;Veka Sporthal;Veka Sporthal (kantine);Sporthal Suytkade (ingang zijkant);De Geseldonk;Wijkhuis 't Brandpunt;Sporthal de Veste (ingang Brandpunt);Gymzaal de Vendelier;Gymzaal 't Baken;Zaal Adelaars;Sporthal Westwijzer (ingang wijkhuis);Sporthal Westwijzer (ingang wijkhuis);Societeit de Gezelligheid;Het Speelhuis;Zalencentrum de Smed;Gymzaal Gasthuisstraat (naast St. Trudoschool);Drive-thru;Wijkhuis Brede School de Fonkel;Wijkcentrum de Boerderij;Wijkhuis de Lier;Wijkhuis de Brem;Wijkcentrum Parkzicht;Wijkgebouw de Zonnesteen;Wijkhuis 't Brandpunt;Zaal Adelaars;Sporthal Westwijzer (ingang wijkhuis);Het Speelhuis;Gymzaal Gasthuisstraat (naast St. Trudoschool);Mobiel stembureau;Wijkhuis Brede school de Fonkel;Wijkcentrum de Boerderij;Wijkhuis de Lier;Wijkhuis de Brem;Wijkcentrum Parkzicht;Wijkgebouw de Zonnesteen;Wijkhuis 't Brandpunt;Zaal Adelaars;Sporthal Westwijzer (ingang wijkhuis);Het Speelhuis;Gymzaal Gasthuisstraat (naast St. Trudoschool);Mobiel stembureau
;aangetroffen stembiljetten;;;29185;946;313;527;166;511;605;387;454;436;576;399;520;373;227;750;887;773;558;1052;514;381;449;309;914;964;1028;1233;910;970;380;482;1255;686;1178;1099;228;200;182;120;183;213;157;259;233;130;168;226;60;366;272;237;316;350;248;482;382;196;306;339;120
;meer stembiljetten dan toegelaten kiezers;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;GROENLINKS;;;4887;138;26;76;30;84;109;62;64;68;55;58;68;66;34;153;142;115;64;325;124;85;105;62;154;211;281;234;138;124;68;90;207;142;140;128;43;24;17;11;30;23;61;44;32;10;12;20;6;51;34;21;46;42;62;89;47;35;49;38;10
;;1;Tuerlings, T.Y.M.;1226;33;4;15;4;19;24;17;15;11;14;12;16;19;5;51;42;34;14;48;30;16;15;22;40;47;61;37;41;41;20;29;55;41;50;37;12;5;6;3;8;10;8;11;14;4;4;10;2;10;11;4;18;17;7;14;18;8;19;20;4
;;2;Tamarinof, L.C.;1095;19;6;12;4;12;11;11;8;8;10;5;9;16;5;34;25;18;15;24;14;14;19;13;29;113;134;130;30;31;11;13;23;25;24;29;6;4;1;0;3;1;2;20;6;2;0;4;1;15;8;3;7;7;9;53;12;11;9;7;0
;;3;van Sas, L.M.L.A.;474;3;2;2;0;3;3;2;1;0;0;1;3;3;1;8;4;4;0;201;54;27;43;2;3;0;1;4;2;2;0;1;3;1;2;2;0;1;0;0;6;0;34;0;3;0;0;0;2;0;0;0;4;1;30;0;1;1;2;0;1
;;4;Meulenbroek, D.J.A.M.;173;3;0;2;0;3;5;0;2;3;0;3;2;3;1;4;3;5;7;4;4;2;4;4;9;9;6;8;0;6;0;1;18;10;14;7;0;0;0;1;2;1;1;1;0;0;0;2;0;1;0;0;0;2;1;0;1;2;6;0;0
;;5;Yahia, S.;434;31;5;19;10;12;17;10;12;25;14;3;10;7;2;4;14;11;7;1;4;2;3;2;26;11;21;7;17;8;14;16;8;9;8;7;13;3;5;2;1;1;2;1;1;2;1;0;0;10;1;2;1;2;2;2;2;3;0;0;0
;;6;Niessen, T.M.H.;199;3;2;2;0;7;1;2;3;3;6;6;4;3;4;6;14;3;0;4;1;1;5;2;13;5;5;7;16;3;4;4;9;5;11;2;1;1;0;3;0;2;0;1;2;0;1;0;0;0;2;3;0;4;1;6;1;0;2;1;2
;;7;Hendriks, J.G.;79;1;0;2;1;3;2;1;0;1;0;0;3;3;4;7;2;0;4;6;0;0;1;0;3;0;0;4;2;0;3;2;3;4;1;3;3;2;0;0;3;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0
;;8;Rijpers, R.P.P.P.M.;50;0;1;0;1;1;0;0;0;0;0;0;1;1;0;3;1;1;0;6;1;5;5;0;0;0;2;2;2;0;0;0;0;0;4;1;0;0;0;0;0;3;4;0;0;0;1;0;0;0;0;1;1;0;2;0;0;0;0;0;0
;;9;Mahrou, A.;86;2;0;0;0;3;6;5;9;2;0;4;3;0;0;0;6;0;1;4;3;3;1;3;1;1;3;1;4;0;1;3;2;3;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;1;2;1;1;0;1;0;0;1;1;0;0
;;10;Smits, R.A.;157;8;0;3;3;7;3;0;3;3;0;2;1;0;3;5;3;7;1;16;3;6;2;2;7;1;8;6;2;8;1;1;4;1;3;5;3;1;1;0;1;1;6;1;2;1;0;0;0;1;2;0;1;1;4;0;0;0;2;1;0
;;11;Kornuyt, S.J.C.;76;0;0;3;1;0;2;0;1;0;2;3;0;0;0;1;4;5;8;0;0;1;0;1;1;1;4;0;2;2;1;2;5;3;1;3;0;1;1;0;0;1;0;0;0;0;2;1;0;3;0;3;0;0;1;0;3;1;2;0;0
;;12;Lipska, J.J.;144;6;1;2;2;4;8;11;2;0;2;9;4;6;3;11;2;1;0;2;0;1;0;0;4;5;8;5;3;2;2;1;1;3;3;2;2;1;0;0;1;0;2;3;1;0;0;0;0;5;0;0;3;0;2;5;0;2;0;0;1
;;13;Kleijn - Ehrismann, T.P.M.;70;0;1;1;1;1;4;1;2;3;0;0;0;0;0;2;0;3;0;0;4;0;0;5;5;2;2;2;1;2;1;1;5;8;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;3;1;1;1;0;3;2;0;0;0;0
;;14;Jacobs, C.J.G.M.;91;2;0;1;0;0;2;0;3;2;0;0;0;1;1;0;2;3;1;1;1;1;2;0;0;1;2;1;2;5;1;0;38;3;5;1;1;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;2;3;0;0
;;15;Volman, H.M.M.B.;16;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;1;1;0;2;1;0;1;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1
;;16;Yahia, M.;52;8;1;3;3;1;4;0;1;0;0;1;5;0;0;2;0;2;0;0;0;0;0;0;1;0;2;2;1;0;3;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;2;0;1;0;2;0;0;0;0
;;17;Verhoeven, R.L.J.M.;33;4;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;1;3;0;0;1;9;5;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;18;Panjoel, H.L.A.;11;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Bastiaansen, I.P.F.M.;13;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;2;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;20;Fleuren-Drijver, A.M.;35;0;0;1;0;0;1;0;0;2;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;8;8;7;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0
;;21;Bleekrode, R.D.J.;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
;;22;Roest, M.H.;4;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;van Pelt, E.H.J.M.;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;24;Usanmaz, T.;19;3;0;3;0;0;1;0;0;0;0;0;1;1;0;0;0;1;1;0;1;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
;;25;van de Meulengraaf, T.;17;0;0;2;0;0;0;0;0;1;0;1;0;0;0;1;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0
;;26;van Poppel, L.;27;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;2;0;1;0;0;0;0;1;1;1;1;0;2;0;1;2;1;1;5;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0
;;27;Jansen, H.J.P.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;Brekelmans, A.;11;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;0;0;0;1;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;29;Hegeman, T.H.D.;9;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0
;;30;van Rooij, C.M.A.;17;0;1;0;0;2;0;0;0;0;0;0;0;0;0;2;3;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;2;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;31;Romijn, B.;10;1;1;0;0;0;0;0;0;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
;;32;van Zwietering, K.;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;33;Megens, J.M.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;34;Bouwmans, M.A.J.;24;1;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;2;1;0;2;3;1;1;0;1;1;1;0;0;0;0;0;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;35;Hansen, E.;8;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;36;Hendriks, M.J.A.P.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;37;Tuinenbreijer, C.;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;38;Regts, A.N.;15;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0
;;39;Meinardi, A.;7;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;40;van der Drift, A.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;41;Verhoeven-Rutjens, H.J.;8;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;42;Remmers, H.K.C.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;43;van den Bos-Valk, J.W.H.M.;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;3;0
;;44;Klok, C.W.;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
;;45;Heres, W.J.;38;3;0;1;0;2;3;1;1;0;6;2;2;0;0;0;1;1;0;0;0;0;1;0;1;1;0;0;0;1;0;0;4;0;1;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0
;;46;van Hooff, W.H.P.M.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;47;Harijgens, A.;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;2;0;3;1;1;0;1;0;1;5;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;2;0
;;48;Raaijmakers, W.C.M.;11;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;49;van de Ven, J.J.M.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;50;Dortmans, C.J.M.;59;1;1;0;0;1;5;0;0;0;0;0;1;0;1;3;2;0;1;2;0;1;1;0;5;0;2;1;1;3;2;3;5;2;1;5;0;1;1;1;0;0;0;0;0;0;2;1;0;1;0;0;0;1;0;0;0;0;0;1;0
2;CDA;;;2449;69;24;45;10;23;49;15;14;34;31;9;27;15;5;23;42;53;27;66;13;21;19;12;119;89;70;129;117;159;19;26;187;52;147;140;17;9;10;7;5;17;6;31;39;11;9;38;16;24;13;15;14;15;9;42;76;13;37;53;23
;;1;Vervoort, P.T.J.;1443;11;14;22;2;9;28;9;6;7;25;2;13;11;5;11;23;34;17;21;5;12;8;9;101;49;45;91;78;120;11;14;92;27;98;88;6;2;6;2;4;11;4;14;27;9;5;25;15;5;11;6;9;8;3;21;56;4;19;33;20
;;2;van der Kant, J.H.;120;1;2;2;2;5;0;2;0;0;0;3;3;0;0;2;4;3;2;11;0;0;2;1;2;5;3;3;14;9;1;0;1;0;3;5;1;0;0;0;0;2;0;2;1;0;1;0;0;1;0;3;0;1;0;8;6;2;0;1;0
;;3;Peters, R.R.J.B.;113;2;1;6;0;6;11;1;1;10;0;2;6;1;0;1;3;7;1;3;1;2;2;1;0;0;1;0;3;0;0;0;9;3;3;2;0;1;1;1;0;0;1;2;0;1;0;1;0;4;1;0;0;1;2;2;0;0;0;5;1
;;4;Yeyden, Y.;123;51;0;5;3;2;4;0;2;3;0;1;0;3;0;1;1;0;2;2;0;3;4;0;0;1;0;1;0;0;3;3;0;0;2;0;1;4;0;2;0;0;0;0;0;0;0;0;0;11;0;5;0;0;1;0;1;0;1;0;0
;;5;Načinovič, H.W.M.;42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;1;1;0;0;0;0;0;0;0;1;0;1;0;9;2;6;9;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;1
;;6;Flapper, H.J.M.;60;0;0;1;0;0;0;0;1;0;0;0;0;0;0;5;1;1;1;2;2;0;1;0;0;2;4;3;0;2;0;0;2;0;0;0;0;0;0;2;1;1;0;7;0;0;0;0;0;0;1;1;3;0;2;7;2;4;0;1;0
;;7;van den Heuvel, L.J.P.M.;61;0;1;0;0;1;1;0;0;1;1;0;2;0;0;0;1;0;0;2;0;0;1;0;2;3;3;6;2;8;1;6;1;1;2;4;0;0;2;0;0;0;0;0;2;1;0;1;0;0;0;0;0;0;1;0;4;0;0;0;0
;;8;Načinovič, J.R.M.;35;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;1;1;0;0;0;0;0;2;6;0;4;0;0;1;0;2;0;9;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;1;0;0
;;9;Berkhout-van den Heuvel, W.H.H.M.;94;0;1;6;1;0;1;0;0;1;2;0;0;0;0;1;3;1;1;9;1;1;0;0;2;1;0;2;0;1;1;0;8;5;12;9;2;1;1;0;0;0;1;1;1;0;1;3;1;0;0;0;0;3;0;2;0;1;0;6;0
;;10;Peters, C.A.J.;25;2;1;0;0;0;0;0;3;6;2;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;1;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0
