Verkiezing;;Gemeenteraad Schouwen-Duiveland 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Schouwen-Duiveland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1676;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Brede School Noorderpolder Theo Thijssen;het Tonnenmagazijn;Dorpshuis Dreischor;Dorpshuis Noordgouwe;Dorpshuis Zonnemaire;'t Durps'uus Bruinisse;Hervormde Kerk;Verenigingsgebouw Ons Dorpshuis;Gemeentelijke gymzaal Nieuwerkerk, ingang via Burg.van Eetenstraat;Dorpshuis Oosterland;Gemeentelijke gymzaal Oosterland;Dorpshuis Ouwerkerk;Verenigingsgebouw Sirjansland;Dorpshuis de Putmeet;Dorpsuus Ellemeet;Dorpshuis 't Zuudende;Gereformeerde Kerk Haamstede;De Schutse;Groepsaccomodatie de Koebel;Dorpshuis Noordwelle;Dorpshuis Renesse;Dorpshuis Serooskerke;Verenigingsgebouw Chr.Ger.Kerk;Nieuwe Kerk, Zierikzee;Kerkcentrum Gasthuiskerk Zierikzee, ingang achterzijde via Hoge Molenstraat;Appartementengebouw Valletta;Lunchroom/Wijkhuis de Punt;Bolle Dier en Tuin;Mobiel stembureau;Mobiel stembureau;Mobiel stembureau;Nieuwe Kerk, Zierikzee (maandag);Nieuwe Kerk, Zierikzee (dinsdag);Dorpshuis Renesse (maandag);Dorpshuis Renesse (dinsdag);'t Durps'uus Bruinisse (maandag);'t Durps'uus Bruinisse (dinsdag)
;;12;Schiettekatte, M.G.;21;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;2;0;3;0;4;0;0;0;2;3;0;0;0;0
;;13;Smaal, A.C.;21;4;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3;0;1;0;0;0;3;0;3;3;0;0;0;0;1;2;0;0;0;0
;;14;Vooijs, E.W.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0
;;15;Blok, A.J.;6;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;de Hulster, A.J.;16;2;0;0;1;1;0;1;0;1;0;0;0;3;0;0;0;1;1;0;0;0;0;0;0;1;1;1;0;0;0;0;1;0;0;0;1;0
;;17;Temmink, G.W.A.;16;0;0;1;0;0;0;0;2;4;0;0;0;0;0;0;2;3;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0
6;SP (Socialistische Partij);;;861;25;32;39;16;18;23;8;16;22;13;11;20;15;35;9;30;29;51;29;11;40;7;41;39;23;60;37;68;2;1;0;20;28;11;13;4;15
;;1;Laan, R.;451;17;19;8;9;11;19;7;11;20;10;9;15;11;20;6;18;9;16;15;7;23;5;18;17;16;23;13;35;0;0;0;7;8;9;6;3;11
;;2;Schoon, J.;116;0;1;3;2;1;2;0;3;0;0;1;0;0;8;0;1;18;28;14;0;9;2;3;3;0;3;2;0;1;0;0;1;0;2;6;1;1
;;3;de Jong, J.L.M.;106;5;5;3;3;1;1;0;1;1;0;0;1;0;3;1;7;2;4;0;1;3;0;9;5;1;12;14;12;1;0;0;2;5;0;1;0;2
;;4;Pourquié, N.J.;52;2;4;0;2;0;0;0;0;0;0;1;1;0;1;0;1;0;0;0;0;0;0;2;2;1;6;4;13;0;0;0;3;8;0;0;0;1
;;5;van Herp, P.C.;91;0;1;6;0;3;0;0;1;0;2;0;2;3;1;0;3;0;2;0;3;2;0;9;10;5;14;2;7;0;1;0;7;7;0;0;0;0
;;6;Broersen, M.;45;1;2;19;0;2;1;1;0;1;1;0;1;1;2;2;0;0;1;0;0;3;0;0;2;0;2;2;1;0;0;0;0;0;0;0;0;0
7;ChristenUnie;;;1168;53;62;27;19;15;32;58;76;60;45;34;18;8;28;10;56;46;21;29;12;5;3;57;25;32;50;73;64;2;0;2;58;50;3;4;14;17
;;1;Legemate, P.;653;33;41;11;7;10;10;22;29;36;23;22;8;2;13;7;41;23;15;16;10;3;3;38;14;20;36;47;33;2;0;1;29;28;3;1;8;8
;;2;Kater-van de Beek, H.A.;157;4;4;6;5;4;4;8;25;13;6;2;3;1;3;2;6;6;0;0;1;0;0;3;2;3;2;7;8;0;0;0;10;10;0;2;3;4
;;3;Fonteine-Nieuwenhuis, G.J.;52;5;6;1;0;0;3;3;0;2;1;6;1;0;1;0;0;4;0;0;0;0;0;5;2;4;1;1;3;0;0;0;0;2;0;0;1;0
;;4;de Bruine, L.A.;51;1;2;3;0;0;0;1;8;0;11;2;2;2;2;0;0;0;0;0;0;0;0;1;0;0;2;4;4;0;0;1;3;1;0;0;1;0
;;5;Bin, C.J.;22;0;2;2;0;0;0;2;0;2;0;0;3;0;0;0;1;1;0;0;1;0;0;0;0;1;1;3;2;0;0;0;0;1;0;0;0;0
;;6;Capelle-Klap, E.W.;39;1;1;2;3;1;4;12;1;0;1;1;0;0;0;1;2;0;0;0;0;1;0;0;1;0;4;0;0;0;0;0;1;0;0;0;0;2
;;7;Lindhout, J.A.F.;16;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;3;0;1;0;0;0;1;0;2;1;0;0;0;2;3;0;0;0;0
;;8;Knepper, C.R.;26;3;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;1;0;5;0;0;0;0;2;0;0;4;0;0;0;0;3;1;0;0;0;0
;;9;Pronk, M.C.;13;0;2;0;1;0;0;0;0;0;1;1;0;0;0;0;2;0;2;0;0;0;0;0;1;0;0;0;3;0;0;0;0;0;0;0;0;0
;;10;Aarnoudse, P.M.;22;1;0;0;0;0;11;6;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;11;van der Meide, P.;4;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;12;Bin, E.C.;12;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;6;0;0;0;0;0
;;13;Klap, D.;4;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;de Pagter-ten Kate, M.R.;6;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0
;;15;Schroevers, J.A.J.;8;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;1;1;0;0;0;1;1;0;0;0;0
;;16;Stouten, J.M.;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;3;5;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Hartoog, C.C.;15;0;0;0;0;0;0;3;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
;;18;Struik, M.W.;5;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;19;Boot, I.D.;14;0;0;0;0;0;0;0;2;6;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;2;0;2;0;0;0;0;0;0;0;0;0
;;20;Eichler-de Jonge, M.C.;7;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;2;0;0;0;0
;;21;Koopman, M.;8;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0
;;22;van der Sluis-de Oude, A.;15;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;6;1;1;1;1;1;0;0;0;2;0;0;0;0;0
8;D66;;;1000;42;28;28;26;23;22;7;9;21;10;12;27;7;27;11;11;86;40;33;15;15;11;34;72;52;26;75;53;0;0;3;50;76;11;14;12;11
;;1;Fontein-Hubregtse, S.;658;29;25;16;15;17;14;5;8;17;7;10;18;1;11;7;9;46;22;18;11;6;9;26;55;33;17;48;34;0;0;1;39;50;8;5;10;11
;;2;van Doorenmalen, J.;101;5;1;2;5;0;2;0;0;1;2;0;2;1;3;2;0;12;3;4;1;6;2;0;4;5;2;9;4;0;0;2;3;11;2;5;0;0
;;3;Busker, M.S.;39;1;1;0;1;1;1;1;0;0;0;1;0;5;0;0;0;0;1;2;0;0;0;4;4;1;0;2;10;0;0;0;0;1;0;1;1;0
;;4;de Kan, R.;45;2;1;0;2;0;0;0;1;0;0;0;3;0;9;2;2;8;1;0;1;0;0;0;2;1;3;3;0;0;0;0;1;3;0;0;0;0
;;5;Krans-Hofland, M.S.J.;15;0;0;3;1;1;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;1;1;1;0;0;0;0;1;0;0;1;0
;;6;Gaanderse-Schoof, M.A.;46;0;0;0;0;1;2;0;0;0;0;0;0;0;3;0;0;16;8;6;0;2;0;1;1;2;0;2;0;0;0;0;1;0;1;0;0;0
;;7;Fontein-Hubregtse, R.M.;12;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;2;2;1;0;0;0;0;0;1;2;0;0;0;0
;;8;van Doorn, E.;27;3;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;3;4;2;3;1;0;0;0;3;4;0;0;0;0
;;9;Geluk, C.J.;57;1;0;7;2;1;2;1;0;3;0;1;4;0;0;0;0;3;4;3;2;1;0;0;0;3;0;7;3;0;0;0;2;4;0;3;0;0
9;Partij van de Arbeid (P.v.d.A.);;;1285;50;65;25;41;25;25;45;24;28;15;14;23;8;43;7;24;72;61;41;7;32;7;52;56;33;69;91;100;4;0;2;60;45;16;15;16;44
;;1;van der Vliet-Hart, C.J.;861;30;57;18;26;21;7;13;16;21;10;10;14;5;34;6;22;42;35;30;5;20;3;33;41;25;58;62;76;3;0;1;40;35;11;11;4;16
;;2;Keereweer, H.H.;52;3;0;0;5;0;0;2;0;1;0;0;0;0;1;0;0;17;7;6;0;2;0;2;0;1;0;2;0;0;0;1;1;0;0;0;1;0
;;3;Fluijt-Lambert, E.M.J.;106;2;2;3;0;0;10;19;0;3;3;2;2;0;2;0;2;1;2;0;0;0;0;1;3;2;1;3;3;0;0;0;8;1;0;1;9;21
;;4;d'Anjou-Lems, P.F.;101;5;0;2;3;1;1;0;1;1;0;0;2;1;2;0;0;4;5;1;0;4;1;8;9;3;6;14;11;1;0;0;5;6;2;0;0;2
;;5;van Mechelen, C.J.;17;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;4;0;0;0;4;1;1;0;0;0;0;1;0;0;0;0;0;2;2;0;0
;;6;Pairoux, H.J.;25;7;0;0;3;0;0;0;2;1;0;1;1;0;0;0;0;0;0;0;0;0;0;4;1;1;0;2;1;0;0;0;1;0;0;0;0;0
;;7;van der Heijden, A.W.;20;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;3;6;3;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;8;van den Wittenboer, A.M.;18;0;2;0;0;0;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;2;4;3;0;0;0;3;0;0;0;0;0
;;9;Kik-Heerebout, F.M.;43;1;3;1;0;1;6;0;4;0;1;0;4;1;2;0;0;0;2;0;0;0;1;2;1;1;1;0;1;0;0;0;1;2;0;1;1;5
;;10;Polderman, P.F.;11;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;1;0;0;0
;;11;Parlevliet, D.M.;31;0;0;1;4;2;1;11;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;1;0;4;0;0;0;1;1;0;0;1;0
