Verkiezing;;Gemeenteraad Reimerswaal 2022;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Reimerswaal;;;;;;;;;;;;;;;;;;;;;
Nummer;;0703;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Ons Dorpshuis Kruiningen;Verenigingsgebouw Geref. Gem. Kruiningen;Dorpshuis Kaj Munk Hansweert;Dorpscentrum Meerwaarde;Kerkelijk Centrum De Haven Yerseke;Dorpshuis Apeldoorn Oostdijk;Verenigingsgebouw Geref. Gem. Yerseke;Dorpshuis De Meiboom Krabbendijke;Voetbalvereniging Krabbendijke;Dorpshuis Luctor et Emergo Rilland;Gymzaal Cromvlietstraat Rilland;Brandweerkazerne Yerseke;MFC Tehaere Yerseke;Reimerswaalhal Kruiningen;Verenigingsgebouw Geref. kerk Krabbendijke;MFC Tehaere Yerseke (14 maart);MFC Tehaere Yerseke (15 maart);Ons Dorpshuis Kruiningen (14 maart);Ons Dorpshuis Kruiningen (15 maart)
;minder stembiljetten dan toegelaten kiezers;;;2;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;2;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Staatkundig Gereformeerde Partij (SGP);;;4345;181;426;21;429;206;247;583;381;325;97;89;189;250;262;379;44;69;67;100
;;1;Both, M.;2548;126;302;11;171;120;123;348;225;179;45;54;110;144;183;230;35;36;48;58
;;2;Sinke, M.M.;194;12;13;1;12;5;14;6;34;33;3;4;6;4;6;32;0;1;1;7
;;3;Otte, B.;91;8;41;0;3;0;4;3;4;0;0;0;0;2;19;1;0;1;1;4
;;4;van Iwaarden, D.;213;7;10;4;4;32;6;86;5;2;1;2;22;20;2;2;0;3;1;4
;;5;Harthoorn, L.M.;257;0;7;0;117;4;17;14;18;12;27;5;7;10;5;9;0;1;0;4
;;6;Meeuwsen, A.J.;67;1;2;0;4;0;6;3;9;13;5;0;0;0;4;16;0;2;0;2
;;7;Bliek, A.M.;129;0;4;0;3;2;11;7;33;32;0;1;1;0;5;24;1;1;3;1
;;8;Sinke, J.;129;5;6;1;11;14;8;26;11;12;3;0;7;5;2;11;3;3;0;1
;;9;Zandee, W.K.J.;79;0;1;0;6;1;10;4;15;20;0;0;0;1;0;20;0;0;0;1
;;10;Hoekman, J.A.;44;0;1;1;3;0;1;1;3;3;3;19;0;1;2;2;0;3;0;1
;;11;van Manen, M.D.;35;0;1;1;0;1;1;4;5;7;0;1;0;3;2;9;0;0;0;0
;;12;Sinke, M.W.;21;1;1;0;10;0;5;0;0;1;0;0;0;1;0;1;0;0;0;1
;;13;de Jager, J.J.;80;0;2;0;2;8;3;26;0;0;0;0;13;18;1;0;0;7;0;0
;;14;Bruinooge, A.P.;9;1;3;0;2;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0
;;15;de Dreu, J.J.;46;6;3;1;0;1;15;2;2;0;0;0;0;2;6;7;0;0;0;1
;;16;Doudeijns, C.C.;67;0;0;0;1;4;1;27;1;0;0;0;9;17;0;1;3;1;0;2
;;17;Slootweg, J.;20;1;6;0;1;0;1;1;2;0;1;0;1;1;0;3;0;0;0;2
;;18;Verhoeven, A.J.;5;0;0;0;0;2;0;0;0;0;2;1;0;0;0;0;0;0;0;0
;;19;van Veldhuisen, G.;111;2;6;0;54;2;8;4;10;5;1;0;5;2;6;3;0;2;0;1
;;20;van Dommele, L.;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0
;;21;van den Berge, C.;16;1;5;0;1;0;2;0;0;3;0;0;0;0;2;1;0;0;1;0
;;22;de Groot, A.W.;23;0;0;1;0;0;1;6;1;0;0;0;3;7;0;0;0;3;1;0
;;23;Goud, J.D.W.R.;15;0;0;0;10;1;1;1;0;0;0;0;0;0;0;0;0;1;0;1
;;24;de Nooijer, J.;26;1;3;0;2;0;0;2;0;0;0;0;0;0;6;2;0;0;4;6
;;25;Hollestelle, P.;11;2;0;0;1;0;1;0;0;2;0;2;0;0;3;0;0;0;0;0
;;26;van Burg, C.;26;0;0;0;0;2;0;6;1;0;1;0;2;10;0;0;0;4;0;0
;;27;Tollenaar, F.J.;16;0;0;0;8;0;6;0;0;0;2;0;0;0;0;0;0;0;0;0
;;28;van de Velde, J.W.;22;4;0;0;0;4;0;2;0;0;1;0;3;1;3;0;0;0;4;0
;;29;Weststrate, J.;15;0;1;0;3;0;2;0;1;0;2;0;0;0;0;5;0;0;0;1
;;30;van Liere, C.S.;27;3;8;0;0;3;0;4;0;1;0;0;0;0;4;0;0;0;2;2
2;LEEFBAAR REIMERSWAAL;;;2081;75;85;257;98;112;25;94;179;165;195;169;124;82;83;129;29;42;62;76
;;1;Weststrate, M.;740;24;26;28;35;55;12;44;64;81;57;53;57;35;38;44;13;15;23;36
;;2;Smet, J.;288;3;12;176;6;6;0;9;4;8;6;8;12;5;6;5;3;4;7;8
;;3;Wielard, J.A.C.;209;2;6;5;11;3;9;3;44;41;19;15;4;10;3;26;2;0;3;3
;;4;Boone-Tuijnman, M.A.;260;14;4;4;11;10;1;11;13;8;63;55;11;3;9;7;3;9;14;10
;;5;Kramer, A.B.;58;0;2;1;4;0;2;0;18;4;3;3;0;0;0;18;1;0;1;1
;;6;Krijger, T.P.;45;10;15;0;0;0;0;0;1;0;0;0;0;1;8;0;1;0;4;5
;;7;Wilde, W.P.;12;0;0;0;1;0;0;0;4;2;1;0;0;0;0;4;0;0;0;0
;;8;Verburg, D.A.;38;0;1;3;19;0;0;1;5;0;2;0;0;0;0;1;0;3;1;2
;;9;van der Hoest, N.;77;0;0;2;0;20;0;8;0;0;1;0;18;14;1;0;3;7;1;2
;;10;Frankemölle, S.S.;24;0;1;0;2;0;0;1;1;2;7;10;0;0;0;0;0;0;0;0
;;11;van Boven, C.J.;19;0;2;3;1;1;0;0;4;3;2;0;0;0;0;1;0;0;1;1
;;12;Schrier, A.;34;4;1;6;0;0;0;0;4;4;2;0;4;0;2;7;0;0;0;0
;;13;Fortuin, M.;14;0;1;6;0;1;0;0;2;0;0;0;1;1;0;0;0;0;1;1
;;14;Verburg, R.;24;0;1;0;2;2;0;3;2;4;0;4;0;0;0;4;0;0;1;1
;;15;Frankemölle, C.;8;0;0;0;0;0;0;0;3;0;4;0;0;0;1;0;0;0;0;0
;;16;Hillebrand, J.;27;2;3;0;0;0;0;0;1;0;11;9;0;0;0;1;0;0;0;0
;;17;Jobse, J.C.;33;4;2;3;0;1;1;0;0;1;0;2;1;4;6;1;0;0;5;2
;;18;Frankemölle-van de Griek, J.;22;1;1;0;0;0;0;2;3;0;7;6;0;0;0;2;0;0;0;0
;;19;van den Dorpel-Lagendijk, J.J.;15;0;1;0;1;0;0;0;4;2;1;2;0;1;0;3;0;0;0;0
;;20;Verburg-de Smit, A.J.G.;7;0;0;0;5;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
;;21;Biemond-Santbergen, M.J.J.M.;20;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
;;22;Meijer, W.;28;0;0;0;0;4;0;5;0;0;1;0;11;3;0;0;1;2;0;1
;;23;Reugebrink, B.M.;2;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
;;24;Dek-Keijzer, H.C.J.;23;8;4;0;0;0;0;0;0;0;0;0;0;0;9;0;0;1;0;1
;;25;van Zon, W.J.A.H.;4;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
;;26;Saaman, R.Q.;3;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
;;27;Hermes, J.W.;12;0;0;1;0;5;0;2;0;0;3;0;1;0;0;0;0;0;0;0
;;28;Slabbekoorn, J.G.;15;0;0;0;0;1;0;3;0;0;0;0;4;5;0;1;0;1;0;0
;;29;Bijl, D.N.;3;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
;;30;Turksema, E.A.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0
;;31;Pratama, A.;4;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0
;;32;Meijer, C.H.;9;2;0;0;0;3;0;1;0;1;2;0;0;0;0;0;0;0;0;0
3;ChristenUnie;;;1270;43;51;12;48;109;20;96;80;106;93;27;132;143;70;58;59;65;25;33
;;1;Bouwman, H.;356;17;8;7;24;25;11;19;24;16;67;17;19;27;15;27;12;8;6;7
;;2;van den Bogaerdt, B.P.M.;102;15;10;3;3;5;3;4;4;6;6;3;2;3;17;3;2;0;3;10
;;3;Jumelet, A.;426;6;10;1;5;63;1;47;4;19;3;1;74;77;14;3;42;40;8;8
;;4;Visser, W.M.;113;1;4;0;5;3;4;1;30;31;4;3;2;2;4;17;0;2;0;0
;;5;Minderhoud, T.D.;27;1;0;1;6;0;0;1;2;3;1;2;0;1;1;2;0;0;4;2
;;6;de Water, P.;39;0;2;0;0;1;1;0;6;17;2;0;0;3;2;3;0;2;0;0
;;7;Jumelet, J.H.E.;71;2;8;0;0;7;0;8;2;0;2;1;9;12;8;1;2;1;3;5
;;8;van de Griend, W.J.;27;0;0;0;0;2;0;6;5;3;0;0;4;6;0;1;0;0;0;0
;;9;Abori, D.;16;0;6;0;0;0;0;0;0;0;2;0;0;0;7;0;0;0;1;0
;;10;Zuijdwegt, C.M.;21;0;0;0;0;3;0;3;0;0;0;0;9;3;0;0;1;2;0;0
;;11;van Stee, J.C.;9;0;0;0;0;0;0;1;0;2;0;0;6;0;0;0;0;0;0;0
;;12;Nieuwenhuize, J.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;13;van den Bergh, J.C.J.;5;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0
;;14;van den Bogaerdt, R.;7;0;0;0;0;0;0;0;0;2;1;0;1;0;1;0;0;1;0;1
;;15;Jumelet-Vette, A.;25;1;0;0;1;0;0;6;1;0;0;0;5;7;1;0;0;3;0;0
;;16;Overbeeke, P.J.;3;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;17;Moerdijk, W.;9;0;2;0;0;0;0;0;0;0;0;0;1;1;0;0;0;5;0;0
;;18;van Dijk, G.;13;0;1;0;2;0;0;0;2;6;0;0;0;1;0;1;0;0;0;0
4;VVD;;;1060;39;43;56;40;98;3;81;27;42;71;84;131;116;83;19;26;39;23;39
;;1;Sinke, I.;570;26;24;14;30;60;1;56;7;17;29;25;76;73;44;9;18;27;11;23
;;2;van Loon, P.J.M.C.;70;1;0;2;0;1;0;8;3;6;1;2;17;13;3;2;2;8;0;1
;;3;Courtin, M.M.;47;1;1;2;0;0;0;3;2;1;2;6;11;5;6;2;4;0;0;1
;;4;van der Endt, J.N.;68;1;5;0;1;19;1;2;4;2;3;3;13;5;4;1;0;3;0;1
;;5;Weststrate, J.;60;5;9;0;0;1;0;1;2;0;2;0;0;3;21;0;0;0;9;7
;;6;Wielard, A.F.J.;24;0;1;0;3;0;0;2;6;7;1;0;0;0;0;3;1;0;0;0
;;7;van de Wouw, R.P.C.H.;40;2;0;16;3;2;1;3;0;2;5;0;2;1;1;1;0;0;0;1
;;8;van der Mast, R.G.W.;80;0;2;0;0;1;0;0;0;1;27;46;0;2;1;0;0;0;0;0
;;9;Openeer, L.T.;29;1;1;22;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0;1
;;10;Steketee, J.M.;35;0;0;0;1;8;0;5;0;0;0;2;9;9;0;0;0;0;0;1
;;11;de Braal-Paauwe, I.A.;9;2;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;1;0;3
;;12;van der Meijden, C.J.;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0
;;13;van der Endt, J.C.;3;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0
;;14;van der Meijden - de Dreu, M.J.E.;5;0;0;0;0;3;0;0;0;1;1;0;0;0;0;0;0;0;0;0
;;15;Vogelaar, I.;18;0;0;0;1;1;0;1;2;5;0;0;2;2;1;1;0;0;2;0
5;Partij van de Arbeid (P.v.d.A.);;;1081;72;53;283;32;44;0;34;34;45;97;79;42;37;82;22;9;16;35;65
;;1;Verburg, C.A.;555;31;18;203;13;19;0;16;14;18;54;34;25;17;24;15;4;7;16;27
;;2;van Stel, J.M.;40;8;7;0;3;1;0;1;0;0;0;2;1;1;11;0;0;0;2;3
;;3;Sinke-Oele, L.C.;230;10;15;9;6;19;0;9;7;2;20;23;10;15;33;1;4;8;12;27
;;4;Martijn, J.E.;85;7;1;44;2;3;0;0;1;2;8;10;0;1;3;0;0;1;2;0
;;5;Louwrink, D.;46;2;1;1;1;1;0;4;4;6;10;2;1;1;6;3;1;0;1;1
;;6;Bakx, J.;36;0;0;1;5;1;0;0;5;14;4;2;0;0;1;2;0;0;0;1
;;7;van Loo, I.M.;36;9;10;0;1;0;0;0;1;0;0;0;1;1;4;1;0;0;2;6
;;8;Martijn, F.J.A.;6;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;9;Sinke, J.;5;3;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;10;Filius, L.E.;10;2;1;2;1;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0
;;11;Verhagen, A.H.J.M.;6;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;0;0
;;12;Korstanje, J.C.;4;0;0;2;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
;;13;Knuit, C.J.;22;0;0;14;0;0;0;2;0;1;1;3;1;0;0;0;0;0;0;0
6;CDA;;;952;29;42;41;75;50;10;51;60;70;81;58;66;85;47;55;39;48;18;27
;;1;Buteijn, O.P.;496;18;27;15;21;25;7;35;22;23;23;18;44;64;35;25;25;36;13;20
;;2;Martijn-Leendertse, J.J.M.;104;4;1;0;5;20;0;6;4;5;8;2;13;13;4;3;8;6;2;0
;;3;Koeman, P.A.;89;2;9;0;18;1;0;3;15;13;1;6;0;0;2;16;0;0;1;2
;;4;Nagelkerke, J.J.;79;1;0;0;1;0;0;0;1;3;42;27;0;0;0;2;1;0;1;0
;;5;Jansen, J.C.;7;1;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0
;;6;Minnaard, W.J.;48;0;0;22;0;0;0;0;4;13;2;1;2;0;0;2;0;0;1;1
;;7;Noordam-Boot, C.M.M.;31;0;1;0;24;0;0;0;2;0;0;1;0;1;1;0;0;0;0;1
;;8;Buteijn-Leemans, F.;14;2;0;0;0;2;0;0;2;0;1;0;2;3;0;0;1;1;0;0
;;9;van den Berge-de Kunder, J.C.;33;0;0;0;3;0;0;1;10;10;0;1;1;0;1;5;0;0;0;1
;;10;van der Jagt, D.;31;0;0;3;1;2;2;4;0;0;0;0;3;4;1;0;4;5;0;2
;;11;van der Spil, Z.V.;3;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;de Kunder, J.J.L.;17;1;0;0;2;0;1;2;0;3;2;2;1;0;1;2;0;0;0;0
