Verkiezing;;Gemeenteraad Tholen 2022;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Tholen;;;;;;;;;;;;;;;;;;;;
Nummer;;0716;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;"Stembureau Ver.gebouw ""de Wingerd""";Stembureau Gemeentehuis Tholen;"Stembureau Gemeenschapscentrum ""Meulvliet""";Stembureau Zalencentrum Ger.Gemeente;Stembureau Dorpshuis 't Ouwe Raed' uus;Stembureau Sassegrave;"Stembureau Gemeenschapscentrum ""Haestinge""";Stembureau Gebouw Calvijn;Stembureau Dorpshuis de Stove;Stembureau Museum de Meestoof;"Stembureau Gemeenschapscentrum ""Wellevaete""";"Stembureau Dorpshuis ""De Vossenkuil""";Stembureau Dorpshuis De Wimpel;Stembureau Dorpshuis Ons Dorpshuis;Stembureau Gemeentehuis Tholen;Stembureau Gemeenschapscentrum Haestinge;Stembureau Gemeentehuis Tholen;Stembureau Gemeenschapscentrum Haestinge
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
Postcode;;;;;4691 BP;4691 DV;4691 HT;4691 DS;4693 BV;4694 BP;4695 BA;4695 CE;4696 BK;4697 GE;4697 BJ;4698 AM;4675 CS;4675 RJ;4691 DZ;4695 BA;4691 DZ;4695 BA
;;14;Keur, J.P.;45;7;7;9;5;2;0;0;0;2;3;1;1;0;0;3;0;5;0
;;15;ten Cate, H.J.P.;38;0;1;4;0;2;4;4;1;1;3;3;4;1;2;0;7;1;0
;;16;Hoek, G.J.;14;0;0;0;0;0;0;7;0;0;0;1;0;2;1;0;0;0;3
;;17;Adriaansen, P.J.W.C.;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;Jansen, K.F.;24;7;5;2;0;0;0;0;0;0;0;0;1;0;0;3;0;6;0
;;19;Visser, H.C.;9;0;1;1;0;0;0;3;0;0;0;0;0;0;0;0;3;0;1
;;20;Weldehiwet, A.S.;9;1;0;1;5;0;1;0;0;0;0;0;0;0;0;0;0;1;0
;;21;Potappel, G.I.;16;0;0;0;1;0;0;0;0;0;0;0;8;6;1;0;0;0;0
;;22;Noteboom, H.;18;2;1;2;7;0;1;0;2;1;1;1;0;0;0;0;0;0;0
;;23;Hommel, A.J.;11;0;0;0;0;0;0;1;0;1;0;0;9;0;0;0;0;0;0
;;24;van den Berg, M.K.C.;3;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;25;van Dijke, A.M.C.;13;4;0;0;0;1;0;0;0;0;0;0;1;5;2;0;0;0;0
3;ChristenUnie;;;1603;168;76;150;133;63;47;89;31;74;127;193;114;118;18;92;27;61;22
;;1;Hage, J.L.;650;68;27;81;64;31;20;36;14;41;23;35;48;54;6;40;10;38;14
