Verkiezing;;Gemeenteraad Vlissingen 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Vlissingen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0718;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Hal Stadhuis;Speelzaal lokaal De Combinatie;Bioscoop CineCity;Atrium  Zorgcentrum Ter Reede;Gymzaal basisschool Louise de Coligny;Lokaal Apostolisch Genootschap;Stichting ROAT;Het Bolwerk;Adventkerk;Lokaal wijkcentrum De Burgerij;Gymzaal Theo Thijssenschool;Activiteitencentrum De Kwikstaart;Lokaal Het Kroonjuweel;Kantine Korfbalvereniging Atlas;Van Duijvenvoorde Sportzaal;Gymzaal basisschool De Omnibus;Kantine VC Vlissingen;Aula Begraafplaats;Historische Kerk Oost-Souburg;Zorgcentrum Scheldehof;Uitvaartcentrum Overtoom Groen;v/m Bibliotheek 't Spui;Mobiel Stembureau;Hal Stadhuis;Hal Stadhuis;Lokaal Apostolisch Genootschap;Lokaal Apostolisch Genootschap;Stichting ROAT;Stichting ROAT;Historische Kerk Oost-Souburg;Historische Kerk Oost-Souburg
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31
Postcode;;;;;4382 LG;4382 KB;4381 LZ;4382 CJ;4384 EV;4386 GZ;4385 AM;4386 EA;4386 AL;4384 HA;4384 PA;4388 KK;4388 MD;4389 TT;4388 VL;4385 HT;4383 VV;4388 NB;4388 AH;4381 EN;4382 XW;4381 HR;4382 MA;4382 LG;4382 LG;4386 GZ;4386 GZ;4385 AM;4385 AM;4388 AH;4388 AH
;;29;Blaak, E.C.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;30;Schinkel, D.W.;30;0;0;0;0;0;0;1;1;2;0;0;6;5;1;0;0;0;0;6;0;0;0;4;0;0;0;0;0;0;0;4
;;31;Prevoo, L.P.T.M.;19;3;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;6;0;0;0;0;0;1;0;0;0;0;4;1
2;Lokale Partij Vlissingen;;;2153;175;114;144;124;133;160;65;83;71;127;114;9;16;2;7;50;65;8;20;133;70;104;3;99;132;38;42;16;20;5;4
;;1;Dooms, J.C.A.;892;67;62;65;39;58;55;27;24;28;61;42;6;6;0;1;19;28;4;8;58;27;38;2;50;64;19;16;9;8;1;0
;;2;Eggermont, S.C.G.A.;344;17;19;25;17;22;24;11;20;13;26;10;0;3;0;1;12;11;2;3;12;13;17;0;18;29;7;4;4;3;0;1
;;3;Sips, G.A.;88;6;1;6;9;1;9;3;2;4;3;5;0;0;0;0;2;1;0;2;7;0;10;1;3;5;2;4;0;2;0;0
;;4;van Dalen, C.;90;5;5;6;5;1;9;6;12;2;5;2;0;1;0;0;4;1;1;1;3;4;4;0;5;2;1;3;1;1;0;0
;;5;Wiessner-Mulder, B.;146;22;8;10;6;14;9;6;8;4;6;7;0;1;0;1;2;5;0;0;4;3;1;0;7;11;1;5;0;1;3;1
;;6;Elliott, J.A.;102;12;2;4;6;11;11;2;3;0;7;15;1;0;0;1;2;2;0;0;7;3;1;0;1;4;2;5;0;0;0;0
;;7;Hardeman, C.S.C.;73;7;5;3;3;2;7;1;3;1;2;1;0;2;0;0;4;2;1;3;7;2;7;0;1;5;0;1;1;1;0;1
;;8;van den Bout, D.J.;14;1;1;0;0;1;1;1;0;0;0;3;0;0;0;0;0;0;0;1;1;0;1;0;2;0;0;0;0;1;0;0
;;9;Francke, G.J.;67;5;0;1;6;1;5;0;2;4;2;4;0;1;0;0;0;4;0;0;16;3;8;0;2;2;0;0;0;0;1;0
;;10;Lokker, E.A.J.;21;1;1;1;0;0;1;3;0;2;1;1;0;0;0;0;0;2;0;0;2;2;3;0;0;1;0;0;0;0;0;0
;;11;Fontijn, A.R.;10;0;0;0;0;1;1;1;2;1;2;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0
;;12;van Heek, H.J.E.;11;5;0;1;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;13;Weerts, M.R.H.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Kleinepier, O.A.W.;23;5;2;0;2;2;3;2;1;1;1;0;0;0;0;0;0;1;0;0;2;0;0;0;1;0;0;0;0;0;0;0
;;15;Snoek, H.M.;38;5;4;3;9;1;0;0;1;1;0;3;1;0;0;0;0;0;0;0;0;3;3;0;2;2;0;0;0;0;0;0
;;16;Hanemaaijer, R.J.;92;4;2;6;6;11;7;1;0;4;7;9;1;0;2;1;1;2;0;0;5;6;4;0;2;2;4;2;0;3;0;0
;;17;Hardeman, R.R.L.;55;5;0;2;11;0;13;1;2;3;1;5;0;0;0;1;1;2;0;0;2;1;2;0;1;2;0;0;0;0;0;0
;;18;Kleinepier, J.J.;9;0;0;1;0;0;0;0;1;0;0;3;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;1
