Verkiezing;;Gemeenteraad Sluis 2022;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Sluis;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1714;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Kerkgebouw Open Haven Oostburg;Parochiecentrum H. Eligiuskerk Oostburg;Dorpshuis De Zevendraaier Zuidzande;Verenigingsgebouw Cadzand;Dorpshuis Nieuwvliet;MFC 't Torentje Groede;MFC De Korre Breskens;Kantine V.V. Breskens;Dorpshuis Hoofdplaat;Gymzaal IJzendijke;Protstantse Kerk Schoondijke;Dorpshuis Waterlandkerkje;Gymzaal Aardenburg;Dorpshuis Sint Kruis;Dorpshuis Eede;MFC De Keure Sluis;Dorpshuis d'Ouwe Kerke Retranchement;Kerkgebouw Open Haven Oostburg maandag;MFC De Korre Breskens maandag;MFC De Keure Sluis maandag;Kerkgebouw Open Haven Oostburg dinsdag;MFC De Korre Breskens dinsdag;MFC De Keure Sluis dinsdag
;;13;Dikker, B.E.C.;23;0;0;0;0;0;0;0;3;0;0;1;0;3;1;15;0;0;0;0;0;0;0;0
;;14;Boon, S.;24;2;2;0;0;0;3;9;0;0;0;3;2;1;0;0;0;0;0;2;0;0;0;0
;;15;Apers, B.J.W.;26;1;1;3;3;2;4;3;0;0;2;0;0;1;0;1;5;0;0;0;0;0;0;0
;;16;Foks, K.;25;1;0;0;0;1;1;2;0;0;5;1;0;8;0;1;1;0;0;0;0;0;4;0
;;17;Mesuere, H.B.L.;8;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;4;0;0;0;1;0;0;1
;;18;de Jonge, C.;12;3;0;0;0;0;0;3;2;0;1;0;0;0;0;0;1;0;0;0;0;0;2;0
;;19;Provoost, J.J.;12;0;0;0;1;4;5;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Suurmond, J.;16;2;4;0;0;1;0;0;1;2;2;2;0;0;1;0;0;0;1;0;0;0;0;0
3;Politieke Vereniging Lijst Babijn;;;653;44;65;8;16;11;31;51;37;15;59;34;18;84;11;8;21;10;38;16;6;27;31;12
;;1;Babijn, F.;482;36;57;5;10;6;23;33;22;15;41;23;15;50;11;7;15;9;38;11;5;24;18;8
;;2;Elfrink-Bliek, N.M.;40;3;2;1;4;4;8;2;2;0;7;0;0;2;0;1;1;1;0;0;0;1;1;0
