Verkiezing;;Gemeenteraad Hulst 2022;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Hulst;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0677;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stadhuis;De Blaauwe Hoeve;Gemeenschapscentrum Den Dullaert I (sporthal);Gymzaal Reynaertcollege (ingang Zandstraat);Gemeenschapscentrum Malpertuus;Gemeenschapscentrum de Kauter;Gemeenschapshuis Graauw;Gemeenschapscentrum De Warande;Gemeenschapscentrum 't Heike;Dorpscentrum Binnendéur;Dorpscentrum De Luifel;Dorpshuis Brandershole;Dorpscentrum Vogelwaarde (gymzaal);Gemeenschapshuis Hof ter Nesse;Dorpscentrum De Schuur;Reynaertland;Gemeenschapscentrum Den Dullaert II (sporthal);Gymzaal BS Inghelosenberghe;Hontenissehal Kloosterzande;Dorpscentrum Binnendéur 14 maart 2022;Gemeenschapscentrum Den Dullaert 14 maart 2022;Dorpscentrum Binnendéur 15 maart 2022;Gemeenschapscentrum Den Dullaert 15 maart 2022;Antonius Kloosterzande
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;21;22;23;24;25
Postcode;;;;;4561 EA;4561 NT;4561 NW;4561 XA;4567 BM;4568 AB;4569 AG;4564 AD;4566 AC;4587 AG;4586 AN;4583 ST;4581 BR;4589 KR;4585 AJ;4561 GX;4561 KZ;4564 AH;4587 BL;4587 AG;4561 NW;4587 AG;4561 NW;4587 CW
;;11;van Waterschoot, P.A.L.;27;0;0;2;3;0;0;1;0;0;5;1;0;0;0;0;0;2;1;3;1;0;4;4;0
;;12;de Kock, E.P.A.E.;25;0;0;0;0;0;0;1;0;0;4;1;0;2;8;1;1;0;0;1;3;0;3;0;0
;;13;Duerinck, A.P.;32;1;0;0;2;2;0;0;0;0;2;0;0;22;0;2;0;0;1;0;0;0;0;0;0
;;14;van Waes, K.P.F.;26;2;0;1;0;0;0;0;0;1;2;0;0;3;0;1;0;0;0;10;6;0;0;0;0
;;15;Steijaert, P.A.M.;7;0;1;0;1;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0
;;16;Heynze, G.M.P.;4;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0
;;17;Vermunt, K.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;de Bruijn, P.A.M.;6;0;0;0;0;0;0;0;0;0;2;1;0;1;0;0;0;0;0;0;0;0;2;0;0
;;19;Fortuin, J.D.J.;6;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;3;0;0
;;20;Moubis, F.A.J.M.;6;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0
;;21;van Driessche, R.C.G.;8;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;3;2;0;0;0;0;0;0
;;22;Blommaert, R.E.B.;6;0;0;0;0;0;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;1;0;1;0
;;23;van den Kieboom, M.C.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;van der Poorten, M.H.;11;0;0;0;0;2;4;0;0;0;2;0;0;2;0;0;1;0;0;0;0;0;0;0;0
;;25;Willaert, T.K.M.;167;9;0;0;1;30;0;0;6;2;22;7;3;9;43;3;9;3;0;7;4;2;3;4;0
4;Partij van de Arbeid (P.v.d.A.);;;1384;208;13;90;93;144;36;30;93;45;27;31;32;84;16;23;71;88;64;6;12;78;13;85;2
;;1;Lambert, R.F.M.;507;67;6;36;35;32;7;14;32;21;11;9;22;38;7;11;33;27;31;5;6;31;4;21;1
;;2;van Sikkelerus-Schuerman, J.C.E.;201;38;4;10;10;5;1;4;28;8;5;5;2;8;3;1;9;6;19;1;6;10;2;16;0
;;3;Weemaes, J.D.D.;197;42;1;21;14;31;5;3;7;1;1;2;0;0;0;2;12;25;4;0;0;9;2;15;0
;;4;Lossie, M.P.I.;84;6;0;6;16;5;5;0;5;2;3;2;3;1;0;2;3;4;2;0;0;9;0;10;0
;;5;Paping, A.F.J.M.;53;15;0;3;3;0;3;2;1;2;0;4;0;0;1;0;6;5;1;0;0;0;3;4;0
;;6;de Kort, R.P.M.;64;0;0;0;3;0;0;0;0;4;5;2;0;35;5;4;0;2;0;0;0;2;2;0;0
;;7;van Dorsselaer-Weemaes, J.J.P.;102;8;1;2;4;64;1;4;2;0;0;2;2;0;0;2;3;2;1;0;0;2;0;2;0
;;8;van Damme, A.J.A.;25;2;0;1;1;1;6;0;6;0;0;0;1;0;0;1;1;2;0;0;0;0;0;3;0
;;9;Cleven-Neelis, A.;7;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;4;0;0;0
;;10;El Belhadji, M.;27;8;0;1;0;1;0;2;2;2;0;4;0;2;0;0;0;1;0;0;0;0;0;4;0
;;11;Waumans, W.C.M.;6;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0
;;12;Steenbeek, K.;10;2;0;0;0;3;0;1;0;1;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0
;;13;de Meyer, J.I.;22;0;1;1;1;0;0;0;8;4;1;1;0;0;0;0;0;0;5;0;0;0;0;0;0
;;14;Hiel, G.M.F.;5;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
;;15;van Dam, I.R.J.M.;21;5;0;4;3;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;3;0;2;0
;;16;Smits, F.J.C.;11;3;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;3;0
;;17;van Damme-Fassaert, D.J.G.M.;42;8;0;3;2;0;5;0;2;0;1;0;0;0;0;0;3;8;0;0;0;7;0;2;1
5;HulstPLUS;;;1086;108;14;56;71;78;10;30;145;43;33;17;49;39;15;25;72;51;55;5;14;76;16;62;2
;;1;van Eck, J.F.L.M.;491;44;13;31;37;23;4;10;107;26;15;0;19;17;10;8;16;16;40;1;6;24;6;17;1
;;2;Verstraeten, E.P.;104;14;0;11;7;1;1;1;11;9;1;1;0;3;3;1;14;12;2;0;0;6;0;6;0
