Verkiezing;;Gemeenteraad Veere 2022;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Veere;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0717;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Verenigingsgebouw het Akkoord;Stembureau Verenigingsgebouw de Spil;Stembureau Verenigingsgebouw Vrouwenpolder;Stembureau Verenigingsgebouw de Zandput;Stembureau Verenigingsgebouw Amicitia;Stembureau Dorpshuis Nimmerdor;Stembureau Verenigingsgebouw Ons Huis;Stembureau Sportcentrum de Couburg;Stembureau WoZoCo de Brouwerij;Stembureau MFA Onderdak;Stembureau MFA de Soute Schakel;Stembureau Gemeentehuis Domburg;Stembureau Sporthal de Halve Maan 1;Stembureau Sporthal de Halve Maan 2;Stembureau Sportzaal de Bellink;Stembureau Verenigingsgebouw Westkapelle Herrijst;Stembureau Sportcentrum de Couburg ma;Stembureau Gemeentehuis Domburg ma;Stembureau Sporthal de Halve Maan ma;Stembureau Sportcentrum de Couburg di;Stembureau Gemeentehuis Domburg di;Stembureau Sporthal de Halve Maan di;Stembureau Mobiel: Wkp Zout Veere;Stembureau Mobiel: Okp Dom
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
Postcode;;;;;4351 AS;4352 AH;4354 AD;4353 BA;4363 BC;4364 BL;4365 AH;4371 AZ;4371 EB;4373 DA;4374 BB;4357 ET;4356 BX;4356 BX;4361 CG;4361 AE;4371 AZ;4357 ET;4356 BX;4371 AZ;4357 ET;4356 BX;;
;;2;Steketee, J.Y.W.;269;9;1;11;13;22;14;8;13;6;6;27;49;3;2;13;28;4;17;2;4;15;0;2;0
;;3;Sins, P.R.;93;0;0;2;2;3;3;8;4;2;3;5;39;3;6;0;1;0;4;1;0;7;0;0;0
;;4;Franke-Ova, M.;163;8;4;7;5;5;10;3;14;8;5;24;9;19;10;0;9;1;0;8;2;1;11;0;0
;;5;de Kraker, T.;212;4;4;0;2;1;3;0;7;5;14;143;6;2;0;4;6;2;0;3;5;0;0;1;0
;;6;Meerwaldt, J.D.;6;0;0;0;1;0;0;0;1;0;0;0;3;0;0;0;0;0;0;0;0;1;0;0;0
;;7;Duvekot, J.P.;105;8;1;45;8;3;3;0;2;0;0;8;13;1;1;0;2;0;0;3;2;3;2;0;0
;;8;Roelandschap, W.E.;23;17;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1
;;9;Kaland, J.A.;69;2;0;5;1;1;0;0;0;1;0;1;0;0;0;19;36;1;0;0;0;0;0;2;0
;;10;Boogaard, R.;18;0;0;1;0;2;1;0;0;2;0;1;0;1;0;2;6;0;0;0;0;0;1;1;0
;;11;Passenier, D.;65;1;4;4;30;0;3;1;3;0;3;3;3;4;1;0;2;1;0;1;1;0;0;0;0
;;12;de Witte, J.W.M.;24;1;1;0;0;0;0;0;1;0;0;1;0;0;0;2;16;0;0;0;0;2;0;0;0
;;13;Steketee, T.;20;0;1;1;0;1;2;1;0;0;2;5;5;1;0;0;0;0;0;0;0;1;0;0;0
;;14;Kloeg, M.C.M.;35;0;2;0;1;3;1;0;4;2;2;15;0;0;0;1;0;0;0;0;2;0;2;0;0
;;15;Dominicus, F.P.L.;20;2;1;11;0;0;0;0;0;2;1;1;0;0;0;1;0;0;0;0;0;0;1;0;0
;;16;Hollestelle, A.D.;3;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0
;;17;van de Sande, R.J.;97;1;0;0;0;1;0;3;2;0;1;0;1;0;0;33;53;1;1;0;0;0;0;0;0
;;18;van Goethem, D.;21;0;0;0;5;0;0;1;0;0;0;0;10;0;1;0;0;0;1;0;0;2;1;0;0
;;19;Kramer, H.;111;5;2;1;8;3;61;2;2;3;6;4;3;2;3;2;1;2;0;0;0;1;0;0;0
6;Staatkundig Gereformeerde Partij (SGP);;;2577;87;50;53;188;539;126;602;49;32;63;106;59;97;129;92;131;10;13;43;17;24;57;5;5
;;1;Melse, J.;1796;58;39;42;124;434;80;338;30;22;41;91;50;64;95;73;79;5;8;38;14;21;42;5;3
;;2;Jacobse, A.L.;196;6;1;1;15;23;18;77;5;2;12;2;0;5;9;5;10;0;0;2;0;1;2;0;0
;;3;te Sligte, A.N.;21;3;1;0;10;2;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;4;Mulder, L.;16;0;1;0;1;1;0;9;0;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0
;;5;de Visser, L.A.;269;2;0;3;13;24;12;151;4;3;5;2;2;7;5;7;15;3;3;0;3;2;3;0;0
;;6;Wisse, J.M.I.;61;2;0;0;3;2;3;5;8;0;5;9;2;3;10;0;0;1;0;2;0;0;6;0;0
;;7;Wisse, A.;35;1;1;0;3;12;4;0;0;1;0;0;0;1;2;0;7;0;1;0;0;0;2;0;0
;;8;Tramper, T.F.;9;0;0;0;0;5;1;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0
;;9;Meijers, W.;14;0;0;1;1;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;10;Peene, J.;26;1;0;1;0;11;2;0;0;0;0;0;1;0;0;6;4;0;0;0;0;0;0;0;0
;;11;Timmerman, M.C.;19;8;4;0;4;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;12;de Visser, P.;19;0;1;0;0;11;0;3;0;0;0;0;0;2;0;0;1;0;0;0;0;0;1;0;0
;;13;Matthijsse, I.M.;3;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;van den Brink, G.;5;0;0;1;0;2;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0
;;15;Minderhoud, J.;14;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;11;0;0;0;0;0;0;0;0
;;16;de Korte, W.L.;18;2;2;2;0;6;2;1;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
;;17;de Visser, J.C.;8;0;0;0;4;0;0;0;0;0;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0
;;18;Verhulst, G.S.;6;1;0;0;1;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Wisse, A.;42;2;0;2;9;2;0;2;0;1;0;0;1;14;5;0;0;0;0;1;0;0;1;0;2
7;ChristenUnie;;;847;60;15;79;90;47;75;39;40;30;39;80;13;42;43;24;34;11;3;19;13;3;43;2;3
;;1;Molenaar, R.M.A.;586;42;12;61;64;39;47;24;26;21;20;64;9;32;22;18;28;9;3;10;11;2;21;1;0
;;2;Kemp, P.C.;33;0;0;1;2;0;4;2;1;0;4;10;0;0;0;0;3;0;0;1;1;1;0;1;2
;;3;Jacobusse, C.;27;0;0;1;1;1;0;10;0;1;2;1;0;2;3;3;0;0;0;0;0;0;2;0;0
;;4;Maris-Dorleijn, P.W.;79;9;2;3;9;4;14;2;9;6;4;2;1;1;4;1;2;2;0;0;1;0;3;0;0
;;5;Vink, J.;17;2;0;0;0;0;1;1;1;1;8;2;0;0;0;0;1;0;0;0;0;0;0;0;0
;;6;Bimmel-Dekker, N.;67;2;0;1;9;3;4;0;2;0;0;0;2;7;13;1;0;0;0;6;0;0;16;0;1
;;7;Wattel, J.J.;21;4;1;11;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;1;0;0
;;8;Maris, A.W.;17;1;0;1;4;0;5;0;1;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0
8;D66;;;900;75;16;38;79;17;44;18;69;38;38;41;23;29;35;99;112;23;12;16;37;12;21;8;0
;;1;van Maldegem, J.J.;482;24;5;11;23;9;28;11;36;20;11;21;7;6;11;92;105;11;3;7;22;8;6;5;0
;;2;van Stiphout, M.F.;177;9;4;4;13;7;5;4;16;13;10;8;5;11;19;4;2;6;5;9;7;1;13;2;0
;;3;Schelfhout, L.J.D.M.;11;0;0;0;1;0;0;0;0;1;0;7;0;0;0;0;1;0;0;0;1;0;0;0;0
;;4;Wondergem, M.;101;7;4;5;37;1;0;1;6;2;10;3;5;7;3;1;2;3;0;0;4;0;0;0;0
;;5;Gerritsen, M.M.C.;3;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;6;de Waard, J.L.;9;0;0;0;0;0;0;0;2;0;6;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;7;Heijboer, M.A.;12;0;0;0;1;0;6;0;1;0;1;0;0;0;0;0;0;1;1;0;1;0;0;0;0
;;8;de Brauw, W.M.;38;20;2;4;0;0;0;2;0;2;0;0;1;3;1;0;0;0;1;0;0;2;0;0;0
;;9;Pouwer, A.J.;14;0;0;6;0;0;1;0;1;0;0;0;0;2;1;0;1;0;0;0;0;0;2;0;0
;;10;Keijmel-den Boer, J.M.I.;33;15;0;1;1;0;1;0;6;0;0;1;2;0;0;2;0;2;0;0;1;0;0;1;0
;;11;Maas, A.;20;0;1;7;1;0;2;0;1;0;0;1;3;0;0;0;1;0;2;0;0;1;0;0;0
