Verkiezing;;Gemeenteraad Terneuzen 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Terneuzen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0715;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Stadhuis Terneuzen;Stembureau Sportcentrum Vliegende Vaart;Stembureau MFC De Statie;Stembureau Gregoriuscentrum;Stembureau Stadhuis Terneuzen;Stembureau Sportcentrum Vliegende Vaart;Stembureau MFC De Statie;Stembureau Gregoriuscentrum;Stembureau Dienstencentrum De Veste;Stembureau Stadhuis Terneuzen;Stembureau Buurtcentrum De Triangel;Stembureau Buurthuis De Kameleon;Stembureau Sportcentrum Vliegende Vaart;Stembureau Gymzaal Leeuwenlaan;Stembureau Oud Gereformeerde Gemeente;Stembureau Buurthuis De Oudelandse Hoeve;Stembureau Buurthuis Het Rivierenhuis;Stembureau Geref. Kerk De Levensbron;Stembureau Voetbalkantine Terneuzense Boys;Stembureau De Terpkerk (Othene);Stembureau Dorpshuis Biervliet;Stembureau Protestantse Gemeente Hoek;Stembureau MFC Het Stropievat;Stembureau Welzijnscentrum 't Meulengat;Stembureau MFC De Statie;Stembureau MFC De Kirke;Stembureau Gemeenschapscentrum De Kaaie;Stembureau Cultureel centrum De Halle;Stembureau Gymzaal OBS Prinses Marijke;Stembureau Gregoriuscentrum;Stembureau Gemeenschapscentrum De Vlaschaard;Stembureau Gemeenschapshuis 't Kaaike;Stembureau Mobiel stembureau
;;16;Haak-Tange, C.;13;0;1;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;1;0;3;0;3;0;0;1;0;0;0;0;0;1;0;0
;;17;Hamelink, F.K.;13;0;1;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;1;0;2;3;0;0;1;0;0;0;0;0;0;0
7;Staatkundig Gereformeerde Partij (SGP);;;1216;16;27;2;9;18;31;1;11;18;17;5;27;62;29;41;17;25;47;22;169;74;192;198;17;3;8;46;20;8;26;1;2;27
;;1;Vlaander, A.G.;813;12;20;1;7;15;23;0;7;13;9;1;19;41;21;29;12;16;29;9;119;46;123;143;12;2;5;28;15;5;17;0;1;13
;;2;Verhelst, I.;142;1;3;0;1;1;1;0;2;3;6;0;0;8;3;6;3;2;5;8;16;8;31;15;2;0;1;7;0;0;4;0;0;5
;;3;de Mul, J.F.;44;2;1;1;0;0;4;0;0;0;0;0;1;1;1;0;2;0;1;0;7;1;9;10;2;0;0;0;0;0;0;1;0;0
;;4;Goud, C.M.J.;78;0;2;0;1;1;2;0;0;1;0;1;4;4;3;2;0;1;0;2;9;7;9;12;1;0;2;0;3;1;3;0;1;6
;;5;de Putter, K.J.;10;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;4;0;2;0;1;2;0;0;0;0;0;0;0;0;0;0
;;6;van Burg, J.J.;34;1;1;0;0;0;1;0;1;0;0;0;0;5;0;2;0;2;4;0;3;0;1;9;0;0;0;0;2;0;2;0;0;0
;;7;Guiljam, M.P.A.;26;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;1;0;1;1;0;13;0;0;0;0;7;0;0;0;0;0;0
;;8;Waverijn, M.C.H.;11;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;1;0;0;4;2;0;0;0;0;1;0;0;0;0;0;0
;;9;Kolijn, J.C.;6;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0
;;10;Rijsdam, E.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;Dieleman, D.G.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0
;;12;de Putter, P.L.;13;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;2;0;0;4;1;1;0;0;1;0;2;0;0;0;0;0;0
;;13;de Feijter, S.P.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Oppeneer, E.;7;0;0;0;0;1;0;0;0;0;0;1;0;0;0;2;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;Cazant, G.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
;;16;Stouten, M.W.;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;17;de Jonge, A.C.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0;0;0;0;0;0;0;0;0;0
;;18;Huige, W.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Geluk, J.;10;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;1;2;1;0;2;0;0;0;0;0;1;0;0;0;0
;;20;van Cadsand, A.J.;7;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;3
8;GROENLINKS;;;753;9;27;9;28;10;28;12;14;24;26;18;17;35;30;14;10;18;14;10;61;42;51;25;22;13;19;35;16;18;25;31;25;17
;;1;van Kollem, F.H.;249;5;4;5;10;6;10;3;6;7;11;2;5;13;9;5;5;4;7;1;21;10;9;4;8;6;7;10;7;9;7;11;16;6
;;2;van der Spek-Thung, A.L.T.E.M.;161;1;7;0;3;1;3;4;2;2;7;2;2;7;10;2;0;8;3;1;17;10;24;6;0;2;6;8;3;0;6;6;4;4
;;3;Pusch, L.K.;16;0;0;1;3;0;1;0;0;0;0;0;1;1;0;1;0;0;0;0;0;1;0;1;0;0;0;0;2;0;4;0;0;0
;;4;van Schaik, B.;99;0;3;1;4;1;2;5;1;4;2;0;1;5;5;4;2;3;3;2;4;1;6;9;12;3;2;2;1;2;3;3;0;3
;;5;van Waesberghe, J.L.G.M.;35;0;1;0;6;0;0;0;1;2;0;0;0;0;1;0;0;0;0;1;2;1;0;0;0;1;0;0;0;1;2;11;3;2
;;6;van Loveren-Gortzak, L.;28;0;2;2;0;1;2;0;0;0;0;0;0;1;1;0;0;0;0;0;2;1;2;0;1;0;1;12;0;0;0;0;0;0
;;7;Vergouwe, M.I.;39;1;5;0;0;1;6;0;0;3;1;1;2;0;2;0;1;2;1;2;8;1;1;0;0;0;0;0;0;0;1;0;0;0
;;8;Hoebé, T.P.;42;1;0;0;2;0;2;0;2;3;2;1;0;1;1;1;0;0;0;1;3;0;5;2;0;0;1;2;2;6;2;0;1;1
;;9;van Hage, J.W.;24;1;1;0;0;0;1;0;0;0;0;2;0;0;0;0;1;0;0;0;0;16;1;0;0;1;0;0;0;0;0;0;0;0
;;10;Kuzee, M.;13;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;0;0;0;0;1;0;3;2;0;0;0;1;0;0;0;0;1;1
;;11;Jonker, E.A.;47;0;4;0;0;0;1;0;2;3;2;9;5;7;0;1;1;1;0;2;3;1;0;1;1;0;2;0;1;0;0;0;0;0
9;SP (Socialistische Partij);;;874;23;30;10;13;29;34;18;18;44;34;27;45;37;24;20;40;29;10;18;34;43;30;30;42;22;37;17;26;12;21;35;11;11
;;1;Casteleijn, J.P.;463;10;16;7;4;14;21;5;9;22;18;13;24;22;17;13;22;18;6;13;17;13;20;19;20;12;22;9;11;6;7;21;6;6
;;2;Mulleman, S.E.A.;196;8;8;0;6;7;5;2;6;18;10;3;11;6;3;6;10;5;2;3;10;4;8;4;7;3;7;4;7;2;10;5;3;3
;;3;Smit, M.;33;0;0;0;0;0;0;0;0;1;0;0;2;1;0;0;0;0;0;0;0;23;0;1;1;0;1;2;0;0;0;0;0;1
;;4;Eeckhoudt, A.A.;27;0;1;3;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;5;5;1;0;0;0;1;0;0
;;5;Gerarts, A.M.P.;33;0;0;0;3;0;1;0;3;0;0;0;0;2;1;0;0;1;0;0;2;1;0;1;2;1;0;0;8;1;4;0;2;0
;;6;Berger, M.C.A.J.;9;0;0;0;0;0;1;0;0;0;1;4;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
;;7;ten Hake-de Keijzer, C.M.;16;0;1;0;0;1;0;0;0;0;0;4;0;0;0;0;1;4;2;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0
;;8;Rieuwers, R.F.;5;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
;;9;Aarnoudse-Onstwedder, J.C.;25;3;0;0;0;0;5;0;0;1;3;1;3;0;0;0;2;0;0;0;1;0;0;0;5;0;0;0;0;1;0;0;0;0
;;10;van den Berg, R.;5;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;11;Hegt, S.;10;1;0;0;0;4;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0
;;12;Van Nimmen, P.A.F.;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Casteleijn, R.C.J.;7;0;1;0;0;0;1;0;0;0;0;0;3;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Hollander, J.M.L.;6;0;0;0;0;1;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0
;;15;Wolffensperger, E.;11;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;8;0;0
;;16;de Die, W.;5;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
;;17;Abeloos, D.C.W.E.;2;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;Abeloos, I.M.P.;5;0;1;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;19;Dijkhuizen, K.J.;14;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;1;0;0;0;1;7;0;1;0;0;0;0;0;0;0
10;50PLUS;;;960;22;37;10;38;46;34;9;53;56;16;15;12;36;23;23;44;18;24;16;36;34;20;31;76;23;17;22;20;29;39;58;6;17
;;1;Hessing, J.C.;464;8;16;7;27;20;16;6;42;23;8;3;7;20;14;13;20;8;11;7;19;10;5;13;15;9;10;12;16;20;31;14;5;9
;;2;Dellaert, F.P.;113;7;11;0;0;5;4;0;2;6;1;4;0;7;1;6;8;4;7;7;7;12;1;1;1;1;3;0;0;2;0;1;0;4
;;3;Martens, B.G.;88;5;2;0;0;12;5;2;2;17;1;1;1;2;2;1;6;1;0;1;9;3;2;0;7;3;0;0;0;0;2;0;0;1
;;4;Prins, H.;61;1;0;2;2;0;1;0;2;0;4;0;1;0;1;0;2;0;1;1;0;2;0;1;35;3;1;0;0;0;0;1;0;0
;;5;Reuling-Lafeber, C.M.;82;0;3;1;4;2;0;0;4;3;1;2;0;0;3;2;4;1;0;0;0;2;0;1;4;3;2;2;2;2;0;32;0;2
;;6;Penning, L.P.;15;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;7;0;0;0;0;3;0;2;0;0;1;0
;;7;Whittingham, Z.C.;32;1;1;0;0;0;1;1;0;3;1;1;1;3;1;0;0;2;0;0;0;1;2;2;8;1;0;0;0;0;0;2;0;0
;;8;Hekkert, A.A.;24;0;3;0;1;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;10;2;1;1;1;0;0;1;0;0;0
;;9;van Gelder, H.M.;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
;;10;Reuling, H.F.M.;17;0;0;0;2;0;1;0;1;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;6;0;1
;;11;van der Lingen, P.;7;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0
;;12;Verkerk, H.P.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;13;Dellaert-Vanhijfte, K.C.;42;0;1;0;2;6;5;0;0;2;0;2;1;1;1;1;2;2;2;0;1;3;2;1;0;1;0;2;1;0;1;2;0;0
;;14;Wiedenhof, S.A.;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;2;0;0;0;0;1;2;4;0;0;0
11;Sociaal Terneuzen;;;605;12;17;3;18;19;27;5;25;36;15;22;34;40;19;13;28;23;10;5;28;7;9;11;14;17;13;11;15;25;38;10;33;3
;;1;d'Hooghe, J.A.M.;174;4;4;0;13;5;2;1;19;7;1;6;7;5;4;0;5;6;2;0;5;2;2;3;6;0;8;5;7;7;27;2;8;1
;;2;Wojtal, I.J.M.;122;2;4;0;0;6;8;0;0;13;3;4;3;12;3;9;10;3;2;0;8;3;3;5;4;1;1;2;1;0;5;3;4;0
;;3;van Dalen, M.J.J.;15;0;0;2;0;0;0;3;0;2;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;5;0;0;0;0;0;0;0;0
;;4;De Nooze, A.M.A.;34;0;4;0;0;0;5;0;0;2;0;1;4;5;0;0;3;5;0;0;1;1;0;0;0;0;0;0;0;0;0;1;1;1
;;5;van Nieuwenhuijzen, D.;12;0;1;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;1;1;0;0;0;2;0;0;0;0;0;4;0;0;0;0
;;6;Duale, S.;19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;3;0;0;0;1;0;12;0
;;7;Eschenröder, M.K.T.;20;0;0;1;0;0;0;1;0;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;9;1;1;0;0;1;0;0;1
;;8;van Es, E.M.;63;4;0;0;0;3;3;0;0;0;3;3;9;1;4;1;5;3;3;1;4;0;0;1;1;0;0;0;4;9;0;0;1;0
;;9;van Loon, M.H.C.;8;0;0;0;3;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0
;;10;Jansen, C.;29;0;2;0;2;0;4;0;0;0;0;0;4;4;1;0;2;2;0;0;2;0;1;0;2;0;0;1;0;0;2;0;0;0
;;11;Rolloos, S.M.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0
;;12;van den Berge - Kaijser, C.H.;9;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;2;0;0;0;3;0;0;0;0;0;0;0;0;1;0;0;0;0
;;13;Watkinson - de Zeeuw, S.P.;13;0;0;0;0;2;0;0;0;4;0;1;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Adamse, J.;10;0;0;0;0;3;0;0;0;2;0;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;Dijkstra, Y.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;van Hoecke, R.J.E.;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;6;0
;;17;van Aken, E.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0
;;18;van Aken, G.G.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;IJsebaert, J.M.N.;12;0;0;0;0;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;2;2;1;0;0;0
;;20;Becht, A.S.;5;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0
;;21;Vives Batista, P.;47;1;2;0;0;0;4;0;1;1;7;5;5;3;2;2;0;2;2;2;4;0;2;0;0;0;0;1;0;1;0;0;0;0
12;D66;;;778;28;31;9;21;18;37;9;19;31;14;7;15;46;23;17;8;29;26;13;78;24;27;26;15;13;23;63;16;13;28;18;24;9
;;1;de Kraker, P.J.;355;21;16;2;5;9;23;4;4;15;10;2;8;32;14;9;3;11;15;9;44;9;15;10;7;3;8;15;4;4;10;4;9;1
;;2;Esselbrugge, P.J.;95;2;2;0;15;1;3;0;8;2;0;0;0;0;3;1;0;0;3;0;2;0;5;1;4;3;3;1;7;6;11;5;5;2
;;3;Berkelaar, L.M.;14;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;4;1;1;0;0;0;0;1;1
;;4;van Veen-de Rechter, P.L.E.;129;5;7;6;0;3;5;2;3;9;3;2;1;3;2;2;1;9;3;0;12;13;4;2;4;2;4;5;1;1;3;6;5;1
;;5;Naughton-Dreves, J.H.;75;0;4;0;0;0;4;0;2;0;1;2;3;5;3;4;4;5;5;2;18;1;2;1;0;0;0;0;3;0;2;1;0;3
;;6;van der Heijden, P.C.M.;7;0;0;0;0;0;0;0;1;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1
;;7;Menu, J.T.M.;24;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;2;0;0;0;0;1;8;0;0;6;0;0;1;0;2;0;0
;;8;Spuesens, E.R.J.;79;0;2;1;1;4;2;2;1;2;0;1;1;3;1;1;0;1;0;0;2;1;0;4;0;1;0;41;1;0;2;0;4;0
13;Bondgenoot Cees Freeke;;;241;4;4;3;3;9;13;3;9;9;6;2;10;12;19;1;7;7;8;3;15;4;14;10;9;9;9;7;5;6;12;0;4;5
;;1;Freeke, C.J.;157;3;4;0;1;9;9;1;5;5;6;2;4;8;11;0;6;3;3;3;13;3;10;9;6;2;7;6;3;4;5;0;2;4
;;2;Steenbakker, M.R.L.;16;1;0;0;0;0;1;0;0;1;0;0;1;1;4;0;0;0;1;0;2;1;2;0;0;0;0;0;0;0;0;0;0;1
;;3;Freeke - Broekhuijzen, Y.F.;6;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0
;;4;Siben, R.;21;0;0;0;0;0;0;0;2;2;0;0;4;2;3;1;0;1;2;0;0;0;0;0;0;0;1;1;0;0;1;0;1;0
;;5;Dees - Freeke, A.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;6;Crombeen, I.;13;0;0;0;2;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;1;4;0;1;0
;;7;Spier, M.P.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0
;;8;Van Houwenis, H.T.M.;3;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;9;van Ee - Rietveld, J.;5;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0
;;10;Vonck - Buijze, D.;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0
;;11;Brand, G.M.;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Steenbakker - Kramer, M.J.;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;13;Quinn, J.G.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
;;14;Vrieswijk, A.;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;Spier, R.M.;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
14;Terneuzen Sterk;;;613;23;23;0;12;25;34;4;12;38;12;2;27;58;36;7;10;24;14;11;59;22;21;27;28;4;16;18;5;8;21;7;4;1
;;1;Stoker, P.A.F.;331;11;11;0;4;13;9;3;6;28;3;0;15;31;23;6;6;14;7;6;29;16;13;16;9;1;13;13;2;5;9;5;4;0
;;2;van Leuven, M.A.;52;0;2;0;0;8;2;0;0;3;2;0;3;8;2;0;0;2;2;2;6;0;3;0;2;1;2;0;0;0;1;0;0;1
;;3;Knuyt, J.;26;0;0;0;1;1;3;0;0;2;0;0;0;4;0;0;2;1;1;0;6;1;2;0;0;0;0;0;0;1;0;1;0;0
;;4;van de Velde, P.W.;8;0;1;0;0;2;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0
;;5;van Leuven-Ziel, M.A.;5;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;6;van Hoeve, S.;35;2;0;0;4;0;0;0;3;1;1;0;0;2;1;0;2;1;0;0;3;2;2;2;0;1;0;1;1;1;5;0;0;0
;;7;Kasse, D.;6;0;0;0;0;0;1;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;8;van Tiel, A.A.M.;88;8;9;0;3;1;13;1;1;1;3;0;7;6;1;1;0;5;0;1;8;0;1;1;14;0;0;2;0;0;0;1;0;0
;;9;van den Bergen, J.;14;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;3;0;2;0;0;4;2;0;0;0;0;0;0;0;0;0
;;10;Qader, S.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0
;;11;van Dixhoorn, J.J.;25;1;0;0;0;0;3;0;0;0;3;1;2;3;5;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;5;0;0;0
;;12;van der Hulst, R.J.H.;7;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;1;1;1;0;0;0
;;13;van den Bergen, P.G.;7;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;3;0;0;0;0;0;0;0;0;0;0
;;14;Rijnsburger, W.C.;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;Stoker, P.K.;4;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
