Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;het Omnium;Bethelkerk;gymzaal de Krul;Wijkcentrum Jan Ligthart;Stadskantoor;de Zuidwester;Wijkcentrum de Spinne 1;Wooncentrum Erasmuspark;Wijkcentrum de Spinne 2;Wijkcentrum de Pit;'t Beest;Serviceflat de Horst;Amicitia, Kloetinge;het Wilhelminahuis, Wilhelminadorp;'t Katshuis, Kattendijke;De Griffioen, Wolphaartsdijk;Heer Hendrikhuis, s-Hr Hendrikskinderen;Heer Arendhuis, s-Hr Arendskerke;Ontmoetingskerk;Mobiele stembus 1 (wo 16-03);Mobiele stembus 2 (wo 16-03);het Omnium (ma 14-03);het Omnium (di 15-03);Wijkcentrum Jan Ligthart (ma 14-03);Wijkcentrum Jan Ligthart (di 15-03);Wijkcentrum de Pit (ma 14-03);Wijkcentrum de Pit (di 15-03);Stadskantoor (ma 15-03);Stadskantoor (di 15-03);Mobiele stembus 1 (ma 14-03);Mobiele stembus 1 (di 15-03);Mobiele stembus 2 (ma 14-03);Mobiele stembus 2 (di 15-03);Ontmoetingskerk (ma 14-03);Ontmoetingskerk (di 15-03)
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;13;14;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38
Postcode;;;;;4463 AB;4461 NZ;4461 JA;4461 NB;4462 GE;4461 ET;4463 CV;4463 XZ;4463 CV;4462 TL;4461 CS;4461 WZ;4481 AH;4475 AR;4474 AT;4471 BB;4472 AN;4458 BC;4462 RA;;;4463 AB;4463 AB;4461 NB;4461 NB;4462 TL;4462 TL;4461 GE;4461 GE;;;;;;4462 RA
;;19;Zwemer, J.A.;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Markusse, G.P.A.;7;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
;;21;Verschuure, W.A.C.;6;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;22;Michielsen, C.J.C.;16;1;0;1;2;0;0;1;0;0;1;2;0;0;0;0;3;0;1;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0
2;Partij van de Arbeid / GROENLINKS;;;3090;60;96;108;82;143;55;113;192;99;248;177;91;165;75;55;155;107;116;90;7;39;59;79;32;38;89;109;90;91;42;43;24;51;34;36
;;1;Eestermans, M.;1349;25;28;47;36;61;28;51;80;42;104;78;49;87;32;10;58;36;43;48;3;16;22;31;18;18;57;49;42;33;17;23;10;34;11;22
;;2;Alting, A.;153;3;7;6;4;5;4;4;7;7;20;13;7;7;3;0;1;3;3;6;0;1;3;10;0;1;4;5;5;4;0;0;0;6;3;1
;;3;van der Pijl, W.P.C.;96;0;1;4;2;5;1;5;3;5;14;3;2;3;2;1;4;2;1;3;0;1;3;5;0;1;4;11;2;1;0;3;0;2;2;0
;;4;de Jong-van Velthoven, A.;629;12;26;21;18;30;9;18;40;16;53;33;9;44;19;13;32;20;20;16;3;8;14;13;9;11;15;21;18;27;15;5;2;3;9;7
;;5;Corstens, C.E.M.;211;7;9;9;5;15;5;4;14;7;14;17;5;5;4;4;2;8;8;10;1;6;7;7;2;2;0;9;3;7;2;3;0;2;5;3
;;6;Weekhout, N.P.;36;0;2;2;0;0;0;2;0;1;0;0;2;0;1;18;0;0;1;0;0;1;0;0;0;0;1;2;0;0;3;0;0;0;0;0
;;7;Willems-Biswane, A.M.C.;62;1;3;2;6;0;1;1;8;1;4;1;3;3;2;1;1;2;4;1;0;0;1;3;0;0;1;1;1;2;0;1;3;2;2;0
;;8;Hooymeyer, J.H.J.;96;3;5;4;0;2;2;2;3;2;1;4;1;3;4;2;37;4;2;1;0;0;0;0;0;0;1;2;2;4;0;1;3;1;0;0
;;9;van Hertum, J.A.M.;77;0;1;0;0;3;1;1;6;2;4;10;0;3;2;0;2;26;11;0;0;0;0;1;0;0;0;0;0;0;0;0;4;0;0;0
;;10;van de Weg-van Dijk, A.;49;1;1;2;2;0;1;4;0;1;6;2;3;2;0;1;1;1;1;1;0;1;0;1;0;2;0;2;3;1;1;4;0;0;2;2
;;11;Çelik, A.;116;3;7;4;4;8;1;9;13;7;13;7;1;2;1;1;1;0;4;2;0;1;2;4;0;2;6;3;3;6;0;1;0;0;0;0
;;12;Serier, T.;8;2;0;0;0;0;0;0;0;0;2;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;13;Nonnekes, A.;37;1;1;1;0;3;0;2;4;0;0;1;1;0;2;2;12;1;1;0;0;0;2;0;0;0;0;0;0;1;2;0;0;0;0;0
;;14;Fierloos, I.N.;41;1;4;4;0;3;1;1;3;2;2;2;0;2;1;1;0;1;0;0;0;3;2;1;1;0;0;2;1;0;2;1;0;0;0;0
;;15;Verheij, J.M.W.V.;22;0;0;2;1;2;1;3;0;0;2;1;0;2;0;0;0;0;1;0;0;0;1;2;1;0;0;1;0;2;0;0;0;0;0;0
;;16;Roumen, J.J.M.E.;36;0;0;0;0;4;0;0;1;0;0;1;2;0;0;0;1;0;16;1;0;0;0;0;0;0;0;0;6;0;0;1;2;0;0;1
;;17;Flipse, N.L.;32;1;1;0;3;1;0;3;0;2;4;1;2;2;1;0;3;2;0;1;0;1;1;0;0;1;0;0;1;0;0;0;0;1;0;0
;;18;Zabeli, V.;40;0;0;0;1;1;0;3;10;4;5;3;3;0;0;0;0;1;0;0;0;0;1;1;1;0;0;1;2;3;0;0;0;0;0;0
3;VVD;;;2495;136;69;113;43;148;13;39;66;31;196;125;125;158;182;38;144;80;85;102;5;41;65;74;17;18;54;62;49;86;34;14;13;29;13;28
;;1;Pille, C.;1167;76;38;51;17;60;8;17;35;12;100;68;71;65;91;12;24;30;32;50;2;25;35;35;7;6;32;34;22;46;16;6;6;14;6;18
;;2;Jasperse, B.H.;186;0;2;6;0;2;0;0;0;2;7;0;0;3;7;8;84;8;21;4;0;1;4;0;0;0;2;2;3;5;0;2;7;3;1;2
;;3;Peereboom, C.;294;12;11;15;7;25;2;5;8;6;28;11;10;24;21;3;6;4;13;17;1;1;5;10;4;2;6;8;6;8;1;2;0;4;4;4
;;4;Kruitbosch, G.M.;195;22;5;11;6;18;0;3;11;0;13;5;17;7;13;3;2;1;3;3;0;2;6;12;2;5;3;1;6;8;3;2;0;2;0;0
;;5;van Eerden, M.H.B.;33;2;0;3;0;0;1;0;2;6;1;3;0;4;1;0;0;1;1;0;0;3;1;0;1;0;1;1;0;0;1;0;0;0;0;0
;;6;Schrijver, A.A.;86;2;2;8;0;5;0;2;5;4;4;5;4;4;3;0;0;11;5;5;0;0;2;3;3;2;0;1;1;4;1;0;0;0;0;0
;;7;Waverijn, L.E.C.;60;2;3;5;0;5;0;2;0;1;4;2;1;9;4;1;0;1;2;4;0;1;2;2;0;0;0;1;3;4;0;0;0;1;0;0
;;8;van de Plasse, M.H.A.;111;6;2;2;1;7;1;3;2;0;8;3;7;24;12;2;3;2;1;7;2;0;0;6;0;2;2;1;1;0;3;0;0;1;0;0
;;9;Goedemondt, B.A.S.;21;0;0;1;0;0;0;1;0;0;2;3;0;1;0;1;0;0;1;4;0;2;0;0;0;0;2;0;1;1;0;0;0;1;0;0
;;10;Versteegh, P.J.;9;0;1;0;0;0;0;0;0;0;0;0;0;1;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0
