Verkiezing;;Gemeenteraad Het Hogeland 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Het Hogeland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1966;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Sportcentrum De Mencke 1;St. Vincentiusgebouw;Ability;Sportcentrum De Mencke 2;Rehoboth;Sporthal Scherphorn;Het Anker;Dorpshuis Nieuw Calvaria;Dorpshuis Diggelschip;'t Klokhoes;'t Schienvat;Dorpshuis Usquert;Op Roakeldais 1;Op Roakeldais 2;Sporthal De Beemden 1;Sporthal De Beemden 2;Gebouw Thedema;Gymzaal Schoolstraat;De Meenschaar;Sporthal De Vlijt;Dorpshuis Zijlvesterhoek;Dorpshuis De Kern;Ripperdahal 1;Kerkgebouw De Poort;Terra Winsum;Ripperdahal 2;HHC Winsum;De Hoogte;Dorpshuis Agricola;Concordia;Dorpshuis Op Streek;Ubbegaheem;Artharpe;Ontmoetingscentrum;Dorpshuis Vierhuizen;'t Anker;c.r. De Marne;Kantine FC LEO;Dorpshuis De Warf;Kronkelhoes;Dorpshuis Open Haard;Dorpshuis Eenrum;Dorpshuis Pieterburen;St. Vincentiusgebouw 14-03-2022;St. Vincentiusgebouw 15-03-2022;De Meenschaar 14-03-2022;De Meenschaar 15-03-2022;De Hoogte 14-03-2022;De Hoogte 15-03-2022;Kantine FC LEO 14-03-2022;Kantine FC LEO 15-03-2022
;meer stembiljetten dan toegelaten kiezers;;;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;9;1;0;1;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;18;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;9;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;10;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;3;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0
;andere verklaring;;;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;9;0;0;0
1;GemeenteBelangen Het Hogeland;;;5163;157;103;191;146;83;146;157;149;44;110;90;235;167;166;76;51;80;140;98;178;57;91;91;77;170;74;144;129;141;66;43;118;58;106;32;87;80;79;35;86;43;215;40;60;109;75;122;60;62;22;24
;;1;Dijkhuis, E.;1730;85;47;99;79;31;44;63;38;7;45;23;52;30;43;10;8;19;30;33;54;9;37;20;36;53;18;43;38;40;21;10;47;20;43;16;41;39;40;16;37;23;36;17;29;48;24;25;16;18;11;19
;;2;Torringa, R.E.;559;7;4;10;10;2;4;11;4;3;8;12;15;35;20;0;3;1;1;4;1;3;2;30;19;57;23;42;39;13;1;12;18;11;7;2;13;5;6;3;12;4;14;3;6;8;5;3;18;21;2;2
;;3;Zuidema-Verweij, M.R.G.G.;433;26;22;22;16;4;7;9;5;2;6;4;6;25;32;7;0;2;7;4;7;4;9;7;6;9;4;12;12;14;5;2;22;10;7;5;5;8;3;6;6;4;13;6;5;8;5;9;4;8;2;0
;;4;Hansems, K.E.;332;2;4;19;6;5;2;9;3;1;3;3;45;15;12;1;0;1;2;5;4;3;4;9;8;10;8;6;6;13;4;6;8;2;0;1;5;14;7;4;4;2;42;5;0;9;3;1;5;1;0;0
;;5;Venema, E.;265;0;1;0;0;0;0;0;0;0;1;0;0;0;0;15;16;26;57;14;53;4;7;0;0;0;1;0;0;0;0;0;1;2;0;0;1;0;0;0;0;0;1;1;0;0;24;37;0;2;1;0
;;6;Mulder, K.;130;0;1;1;0;0;0;0;0;0;0;0;0;1;0;15;12;14;11;10;37;0;3;2;0;1;0;0;1;0;0;1;3;0;1;0;0;0;0;0;0;0;0;0;0;0;3;13;0;0;0;0
;;7;Stel-Dost, M.J.;307;10;6;12;10;19;67;35;43;1;5;2;19;4;7;0;1;0;1;1;1;1;2;0;2;1;2;11;2;2;1;0;3;1;0;0;1;2;4;0;1;0;0;0;12;14;1;0;0;0;0;0
;;8;Cleveringa, J.;89;0;0;1;1;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;1;1;0;1;1;0;0;1;0;37;24;3;0;2;2;0;1;0;0;1;1;0;1;0;0;1;0;1;2;3;0;0
;;9;Bouwman, R.;46;0;3;1;0;4;0;1;6;18;2;0;1;1;1;0;0;1;0;2;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0
;;10;Kuipers, J.G.;120;1;0;0;2;1;0;2;0;0;3;3;69;3;1;0;0;1;0;1;3;1;1;0;0;3;0;4;2;1;1;0;0;0;0;1;1;1;1;0;0;0;2;0;1;4;1;3;1;1;0;0
;;11;Martini, J.G.;132;0;1;1;0;0;1;0;0;0;1;1;2;1;0;3;1;1;1;0;0;1;0;14;3;19;11;18;23;3;0;1;2;3;2;0;1;0;1;0;2;1;1;3;0;0;0;2;4;2;1;0
;;12;Holtkamp, A.R.H.;30;5;1;2;8;0;1;0;0;0;3;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;1;0
;;13;Groenewold, G.P.;30;0;0;2;0;0;0;0;0;0;0;0;0;0;0;4;0;0;4;8;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;7;0;0;0;0
;;14;Wolters, J.E.;93;0;0;0;1;3;0;2;1;0;2;0;2;0;2;0;0;0;0;0;0;0;2;1;0;1;0;0;0;5;0;2;4;2;2;2;3;4;7;2;13;0;23;0;0;1;0;0;0;2;3;1
;;15;Mul, E.G.;15;0;0;0;0;0;0;0;9;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0
;;16;Eisinga-Moorlag, Y.N.;30;0;0;0;0;0;0;0;0;0;0;19;2;0;1;0;0;0;0;2;0;0;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
;;17;Smits-Nienhuis, M.E.;46;2;0;3;0;3;3;1;0;1;7;1;2;2;5;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;2;1;4;0;1;3;2;0;0;0;0;0
;;18;Nienhuis, L.J.;123;1;3;3;0;0;1;0;2;1;3;2;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;2;2;2;0;2;0;0;3;4;1;5;0;2;2;3;70;0;0;0;0;1;2;2;1;0
;;19;Beerlage, E.M.;28;1;0;0;0;0;0;0;0;0;0;0;0;8;10;0;0;0;0;0;1;0;0;1;1;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;20;Jensma-Lietmeijer, T.M.;39;0;0;0;1;0;4;1;1;0;0;0;0;0;0;2;0;0;0;1;1;17;1;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;5;0;0;0;0;1;0;0;0;1;0;0;0;0
;;21;Martini, G.;14;0;0;1;0;0;0;0;0;0;0;8;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;22;van Calcar, A.W.;56;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;0;10;1;3;0;3;2;0;2;0;0;0;0;0;0;0;1
;;23;Arends, S.W.J.;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;0;1;1;0;4;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
;;24;Nienhuis, A.;22;1;0;2;0;2;2;7;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;3;0;0;0;0;0;0
;;25;Huitsing, E.G.;51;0;1;0;0;0;0;2;0;0;2;0;7;22;7;0;0;1;0;0;0;0;0;0;0;0;2;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0
;;26;Lanting, H.J.;21;1;0;0;1;0;1;2;13;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;Bouwes, B.;43;0;0;0;0;0;0;0;0;0;2;0;0;0;0;8;6;5;10;1;5;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;0;0;0;0
;;28;Bouwman, J.J.;11;3;0;0;0;0;0;0;0;0;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;29;Noorloos, J.;9;0;0;0;0;0;0;0;5;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;30;Schrader-Hof, A.E.;8;0;1;1;0;0;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;31;Moorlach, M.;3;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;32;Nienhuis-Leutscher, F.;12;3;0;0;0;3;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;33;Vels, H.;6;2;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;34;Smits, W.C.;15;0;0;1;0;0;0;0;0;0;2;1;0;3;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;1;0;0;1;0;0;0;0;0;0
;;35;Forma, H.H.;11;2;0;0;2;0;0;0;1;0;3;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;36;Henstra, E.;2;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;37;Hoekzema-Niewold, G.J.;6;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;38;van Dalen, J.C.;12;0;3;1;1;0;0;0;0;3;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;39;Smits, J.B.;17;0;0;2;2;0;0;0;2;0;5;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;40;Castel, M.J.R.;6;1;2;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;41;van Kleef, A.;13;0;0;0;0;0;0;2;2;0;1;0;0;4;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;42;Jensma, G.P.;20;0;0;1;0;2;1;1;1;0;0;0;1;0;0;0;0;0;0;0;2;5;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0
;;43;Schoonhoven, S.W.;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;4;12;1;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;44;Eisinga, R.R.;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;45;Kloosterhuis, M.D.;42;0;1;0;0;0;1;0;0;0;0;0;1;10;14;0;0;0;0;0;0;0;1;0;0;4;0;0;0;4;2;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0
;;46;Ensing, K.;4;0;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;47;van der Velde, H.;42;0;0;1;0;0;0;0;1;0;1;0;0;0;1;3;2;1;10;6;2;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;8;0;0;0;0
;;48;Nienhuis, J.F.;98;3;1;4;5;3;2;5;4;1;1;5;8;1;2;2;0;0;4;1;1;1;5;1;0;3;2;3;1;4;2;0;3;0;2;1;1;0;1;1;1;0;5;0;1;2;0;3;1;1;0;0
2;CDA;;;2862;49;59;52;44;55;110;162;48;6;17;25;5;42;28;51;32;73;105;98;87;41;75;46;91;105;55;61;49;62;67;16;89;27;138;19;106;42;108;18;67;36;38;18;39;52;51;76;17;47;24;34
;;1;Rutgers-Swartjes, K.;1310;10;23;15;19;13;19;51;23;2;8;15;1;25;17;41;25;57;80;76;68;20;53;20;40;32;23;19;25;21;29;3;59;18;40;10;18;11;28;7;48;6;11;5;17;22;34;63;6;22;8;4
;;2;Berghuis, K.P.;530;15;11;10;2;1;2;11;7;2;3;2;0;8;4;0;0;3;0;5;6;0;5;8;16;10;5;4;8;10;13;6;7;1;76;7;71;22;37;5;13;27;20;10;6;13;5;6;3;2;7;15
;;3;Dost, H.J.;187;15;15;19;14;3;29;18;5;2;3;3;3;3;0;0;0;1;0;4;0;0;1;0;0;2;1;1;0;2;3;2;1;1;2;0;1;1;0;1;4;2;0;1;4;12;3;0;1;2;0;2
;;4;Koopmans, H.;71;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;2;7;16;11;10;4;2;1;0;3;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;4;5;0;0
;;5;de Vries, J.;63;0;0;0;0;0;0;0;0;0;1;1;0;0;0;6;2;8;7;9;8;0;9;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;1;0;0;0;0
;;6;van de Wal, G.J.;75;2;2;1;0;9;17;23;7;0;0;0;0;4;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0;3;0;0
;;7;Boneschansker, P.K.;83;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;2;0;0;0;0;1;0;14;0;1;3;39;0;1;0;0;0;0;0;0;0;0;0;8;11
;;8;Faber, A.;106;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;1;2;0;7;15;28;6;12;6;0;2;3;4;2;3;0;0;0;1;0;0;0;0;0;0;0;0;0;3;7;0;0
;;9;Spijk, J.;134;1;0;3;3;22;35;49;2;0;0;1;0;1;1;1;1;0;2;0;0;0;1;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;6;1;0;0;0;0;0;0
;;10;Sienot, H.G.A.;24;6;5;2;5;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0
;;11;Helmholt, B.;31;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;2;0;0;0;16;0;2;0;1;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0
;;12;Veenwijk, R.A.;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;1;14;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
;;13;Elsinga, P.D.;48;0;1;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;2;2;6;6;0;8;3;0;1;1;6;4;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;2;0;0
;;14;Koster, B.P.;15;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;9;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;Meijer, R.P.;39;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;20;12;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0
;;16;Douma, G.J.;29;0;1;0;0;5;6;5;1;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0
;;17;Schipper, H.J.;21;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;1;3;3;0;3;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;1;2
;;18;Dijksterhuis, J.J.;9;0;0;1;0;2;1;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Kuizenga, H.;10;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;20;Miedema, D.J.;21;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;4;0;0;0;0;5;1;3;1;1;0;1;0;0;0;0;0;0;0;0
;;21;Polkerman, J.;11;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;2;1;1;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Everts, W.H.;25;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;1;1;7;2;3;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;4;0;0
3;ChristenUnie;;;2849;54;42;37;37;67;78;116;139;13;20;80;26;19;21;65;67;145;114;94;107;44;91;33;58;79;54;102;53;84;26;8;131;13;96;15;33;19;158;20;12;6;15;13;28;40;55;77;42;27;27;49
;;1;de Jong, B.;1634;27;28;24;15;40;44;55;91;9;15;44;19;10;13;44;48;101;84;73;89;26;60;10;24;36;17;42;20;47;16;6;55;6;57;4;20;6;76;10;2;1;4;8;14;23;42;56;13;11;20;29
;;2;Gijzen - van Rij, N.W.;225;4;4;0;2;1;6;8;4;0;0;0;1;5;2;5;3;5;3;2;7;4;11;3;16;4;12;13;7;11;1;0;19;3;5;2;6;3;7;0;0;1;9;1;2;5;2;3;5;4;3;1
;;3;Doesburg - Kugel, T.G.;140;0;0;1;0;2;2;1;1;0;0;7;1;1;0;10;6;24;15;6;7;1;7;1;4;4;1;0;1;3;1;2;6;1;1;1;0;1;5;0;1;0;0;0;0;0;4;9;0;1;0;1
;;4;Bremmer, G.J.H.;36;0;0;0;0;3;0;0;1;0;0;1;1;1;1;0;1;2;0;1;0;0;2;0;1;0;0;1;0;1;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;2
;;5;Geertsema, K.M.;104;0;2;0;3;3;2;3;2;0;0;3;0;0;1;0;1;0;0;0;0;0;0;7;3;9;7;14;10;4;0;0;8;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;12;3;0;2
;;6;Sterenberg, J.D.;134;7;2;3;4;13;20;32;18;1;2;4;0;0;0;0;1;1;0;2;0;0;2;0;2;0;2;0;0;2;1;0;1;0;0;0;0;1;1;0;0;0;0;0;6;6;0;0;0;0;0;0
;;7;Tempel, J.;53;0;0;0;0;0;2;1;1;0;0;6;0;1;1;0;0;0;2;0;0;4;5;4;0;6;1;6;2;0;4;0;1;1;1;0;0;0;0;0;1;0;0;2;0;0;0;0;0;1;0;0
;;8;Haan, K.H.;17;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;2;1;0;0;1;0;0;2;0;1;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;1;0;0
;;9;Oosterhoff - van Dijk, S.;56;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;1;2;2;1;1;1;2;0;0;0;4;0;2;3;12;9;1;0;1;1;0;0;1;0;0;0;1;4
;;10;de Goede, P.M.J.;75;0;0;0;0;0;0;0;1;0;0;1;0;0;2;0;1;0;0;0;0;3;1;5;2;11;8;11;6;3;1;0;4;1;2;0;0;0;0;1;0;0;0;0;0;0;2;0;7;2;0;0
;;11;Scholte - Migchels, M.;17;1;0;1;0;4;1;5;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
