Verkiezing;;Gemeenteraad Stadskanaal 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Stadskanaal;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0037;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;Sportzaal Margrietlaan;De Rank Oosterkadekerk;Gossen dans- en partycentrum;Sportzaal Aziëlaan;De Lichtbron;De Spont;Sportzaal Mr. Neuteboomstraat;Tennisvereniging Stadskanaal;MFA Noordstee;Buurthuis 't Lange End;Parochiehuis;Sporthal de Veenhorst;Sportzaal Fr. Nanningstraat;Tennisclub MTC;Chr Gereformeerde Kerk  Mussel;d'Ekkelkaamp;Brinkhof Dorpsstraat 5;De Drijscheer;De Spont;De Spont;Sporthal de Veenhorst;Sporthal de Veenhorst;Brinkhof Dorpsstraat 5;Brinkhof Dorpsstraat 5
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25
Postcode;;;;;9501 SZ;9503 KA;9503 HN;9501 CR;9501 EB;9501 VJ;9501 DB;9502 CR;9502 WB;9501 HN;9501 NP;9581 JD;9581 CZ;9581 BL;9581 EJ;9584 AR;9591 AH;9591 AR;9661 TV;9501 DB;9501 DB;9581 CZ;9581 CZ;9591 AR;9591 AR
;;4;Weinans, J.G.H.;126;1;1;0;0;1;1;2;0;2;2;0;18;13;27;32;9;5;0;0;0;1;3;7;1;0
;;5;van der Laan, P;80;0;0;1;0;0;2;0;1;0;2;0;0;0;0;0;3;6;10;50;0;1;0;2;2;0
;;6;Poortinga, H.R.;43;0;4;3;0;5;6;2;4;6;0;3;0;0;1;0;0;1;1;0;1;5;0;0;1;0
;;7;Berndt-Becker, M.G.;19;2;1;0;0;0;0;0;0;2;1;1;1;0;3;0;3;2;1;2;0;0;0;0;0;0
;;8;Remmerts, K;15;0;1;1;0;1;4;0;2;2;1;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0
;;9;Meems, B.A.;43;0;1;0;2;0;0;0;0;0;0;0;0;1;0;0;1;25;8;1;3;0;0;0;1;0
;;10;Blaauw, A;40;5;2;7;3;1;3;4;0;2;0;1;1;0;0;1;0;3;0;0;3;4;0;0;0;0
;;11;Haan, F.M.;12;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;3;3;1;0;0;0;0;0;3
;;12;Sanders-Sanders, M;128;1;0;2;0;1;1;0;0;4;1;0;19;17;21;28;12;0;0;0;2;3;5;11;0;0
;;13;Faber, E.P.;46;0;2;2;4;3;4;6;2;3;3;0;0;0;0;0;1;0;0;0;5;9;0;2;0;0
;;14;Wesseling-Meems, J;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
;;15;Wubs, J.J.;47;1;0;0;0;0;0;1;0;0;3;0;0;1;0;0;0;20;16;4;0;0;0;0;0;1
;;16;Sterenborg, J.G.;17;0;0;0;0;0;0;0;1;4;2;1;0;0;0;0;0;4;2;2;0;1;0;0;0;0
;;17;Wilzing, J.H.;20;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;8;9;0;0;0;0;0;0;2
;;18;Frankema, J.S.;28;1;1;1;1;1;1;1;4;1;3;3;0;0;0;0;0;1;0;0;5;2;0;2;0;0
3;SP (Socialistische Partij);;;1157;63;52;42;35;38;45;79;73;24;50;91;70;65;76;30;22;35;34;44;38;93;14;29;5;10
;;1;Luijken, M.;637;31;24;28;18;19;28;43;35;8;30;40;48;47;49;17;16;21;15;19;17;46;12;16;4;6
;;2;Ham, J.M.;187;14;11;3;9;8;8;11;21;5;7;22;5;5;3;2;3;3;5;4;6;27;0;4;0;1
;;3;Gelderblom-Jongeling, G.A.;55;5;3;3;0;6;1;9;4;1;3;4;2;0;0;1;0;2;3;0;4;3;1;0;0;0
;;4;Gelderblom, E.J.F.;18;0;1;0;2;1;2;2;1;1;0;4;0;0;0;0;0;0;0;1;2;1;0;0;0;0
;;5;Wanders, T.;32;1;4;1;1;2;0;3;2;0;1;5;2;0;3;0;1;2;0;0;1;1;1;1;0;0
;;6;Wagenaar, J.A.;34;4;0;0;0;0;1;0;2;0;3;0;1;4;8;2;1;0;0;0;2;3;0;3;0;0
;;7;Idema, E.;31;4;4;1;0;1;0;1;1;2;0;7;0;5;1;1;0;1;0;0;0;2;0;0;0;0
;;8;Barelds, H.J.;11;0;1;0;0;0;0;1;0;0;1;0;2;1;2;3;0;0;0;0;0;0;0;0;0;0
;;9;Lesman, N.;18;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;2;2;9;0;0;0;0;1;0
;;10;Visser, T.;9;1;0;0;0;0;0;2;0;0;1;2;0;0;1;0;0;0;1;0;0;1;0;0;0;0
;;11;Koster, J.;5;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;1;0;0
;;12;Schaank, K.S.;12;0;0;2;1;1;0;1;1;2;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;1
;;13;Greven, E.;3;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;14;de Jonge, G.B.;10;0;0;0;1;0;0;4;0;0;0;0;0;0;0;3;0;0;1;0;0;0;0;1;0;0
;;15;Hansma, M.A.;18;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;1;11;1;1;0;0;0;0
;;16;Broese van Groenou, D.E.;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
