Verkiezing;;Gemeenteraad Westerkwartier 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Westerkwartier;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1969;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Nienoordkapel;Gemeentehuis Leek;Dienstencentrum De Schutse;Cazemier Boerderij;Novatec;Het Anker;Mfc De Molenstreek;Pannenkoekenburcht Nienoord;MCO De Gaveborg;Het Bolwerk;Sportcentrum Leek;Sportpark Oostindie;Kerk De Hoeksteen;De Bibliotheek Leek;Sportcentrum Leek 2;Gemeentehuis Zuidhorn;Dorpshuis Dörpsstee;Gastkerk;Kerk De Rank;Sporthal De Bokkediek;Kerk Grijpskerk-Niezijl;'t Bartoleshûs;Dorpshuis De Wending;Dorpshuis Soltketen;Dorpshuis 't Schanshuus;De Meeden;'t Hoge Hof;Dorpshuis Den Ham;Dorpshuis Hornhuis;Kerk De Zaaier;Dorpshuis Eisseshof;Dorpshuis Heralmahuus;Dorpshuis De Vrijwilliger;Steak- en Partyhouse André Dokter;Cultureel Centrum Zuidhorn;Gemeentehuis Grootegast;Dorpshuis 't Spectrum;Dorpshuis 't Kompas;Gemeentewerf Grootegast;Sporthal De Leegens;Dorpshuis 't Hörnhuus;Mfc De Veste 1;Mfc De Veste 2;Gebouw Ons Centrum Oldekerk;Dorpshuis De Rotonde;Gemeentehuis Marum;Gebouw De Wieken;Gebouw De Weme;Ons Centrum 2;Dorpshuis Op de Welle;Dorpshuis Jonkersvaart;Gebouw Oomkegast;Gebouw Ons Centrum Marum;Dorpshuis Schleurholtshuus;De Doorrit;Sporthal De Holten;Kerk De Morgenster;de Roomsterborgh;Gemeentehuis Leek 14 maart;Gemeentehuis Zuidhorn 14 maart;Gemeentehuis Grootegast 14 maart;Gemeentehuis Marum 14 maart;Gemeentehuis Leek 15 maart;Gemeentehuis Zuidhorn 15 maart;Gemeentehuis Grootegast 15 maart;Gemeentehuis Marum 15 maart
;;10;Hoogers, D.J.;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;van der Krieke, J.J.C.;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;2;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Bergsma, H.H.;23;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;2;7;0;2;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;2;2;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;de Goede, J.;21;3;3;1;0;1;1;0;0;0;0;0;1;0;1;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0
;;14;Sikkema, J.K.;37;0;0;0;2;0;0;0;0;0;1;1;0;2;0;0;0;0;0;0;0;2;0;0;0;0;3;1;0;0;1;0;0;1;0;0;3;2;0;0;0;6;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;1;0;0;1;2;0
;;15;Koop-Cazemier, E.J.;69;2;1;0;0;1;0;0;2;0;0;1;1;0;0;0;5;3;7;4;0;1;3;1;0;0;1;1;1;0;2;0;0;0;4;6;2;0;0;0;0;0;0;0;0;3;0;0;1;0;2;2;0;1;0;0;0;2;0;0;3;0;0;1;5;0;0
;;16;Faber-Baars, M.C.J.;49;0;0;1;5;3;1;0;2;0;1;2;1;2;2;0;1;0;1;0;0;0;1;0;0;0;1;0;0;0;3;0;0;0;0;0;1;1;0;0;0;0;1;0;0;2;0;3;0;1;1;2;2;2;0;0;0;1;1;0;0;0;0;1;3;0;0
;;17;Sikkema, J.M.;44;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3;2;1;1;0;1;0;0;0;0;16;10;0;0;1;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;1;1;0
;;18;van de Kamp, P.K.;65;0;0;0;0;0;0;1;0;0;2;0;1;0;1;2;1;2;3;0;8;15;0;0;2;0;2;2;0;1;3;5;0;0;3;2;0;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;1;0;0;0
;;19;Hofman, M.T.;46;0;0;0;0;0;0;0;0;0;3;0;0;0;2;0;1;12;0;0;3;2;0;2;0;0;0;0;0;0;3;1;0;0;2;2;0;0;0;0;0;0;0;0;3;2;1;0;0;1;0;0;0;0;0;2;0;0;0;0;2;1;0;0;1;0;0
;;20;Bos, J.A.;45;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;0;0;0;0;0;0;1;0;0;0;2;3;0;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;1;0;0
;;21;Jongsma, F.;45;0;1;0;1;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;9;0;0;1;3;2;3;2;0;0;4;0;0;0;0;0;2;0;0;2;9
;;22;Lok, J.M.;15;1;0;0;1;0;0;1;2;0;0;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;1;0;0;0
;;23;Oosterhuis, M.J.;8;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;Schipper, H.;23;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;2;1;2;1;0;0;0;0;0;2;2;0;0;0;0;0;0;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0
;;25;Holsappel, P.H.;15;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;2;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0
;;26;Cornelisse, G.;32;0;0;1;1;0;1;0;2;0;0;0;4;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;8;0;0;0;1;2;0;0;0;0;1;0;0;0;0;0;4;2;0;0;2
;;27;Nederveen, H.;110;0;0;2;1;0;0;0;4;0;0;1;0;1;1;0;3;8;1;1;6;2;1;0;6;2;0;2;0;0;5;0;0;6;5;9;4;1;0;1;1;0;0;1;1;0;2;2;1;0;1;0;1;0;2;0;0;3;0;0;10;3;0;1;5;3;0
3;CDA;;;3172;73;31;55;62;26;53;67;41;19;9;53;69;87;47;20;63;44;26;38;96;79;43;15;19;21;61;63;24;38;59;14;8;23;78;60;118;12;71;43;59;48;47;56;80;71;100;14;33;27;55;25;43;61;62;5;74;42;60;29;58;25;30;77;52;63;48
;;1;Veenstra, G.;1474;20;13;19;20;6;16;21;12;12;6;20;18;25;21;4;34;32;24;29;42;39;6;9;11;13;20;31;10;33;46;11;1;19;59;39;65;9;38;26;33;21;17;23;48;51;30;3;9;10;26;13;20;21;18;1;12;24;13;14;39;19;9;32;33;48;8
;;2;Gjaltema-van der Laan, R.J.;461;6;1;9;9;2;3;5;5;1;0;4;7;5;5;8;2;0;1;2;0;5;1;0;5;0;0;0;1;1;0;0;0;0;4;3;18;3;14;5;5;2;7;7;2;7;58;9;10;15;22;7;6;34;1;0;54;4;8;4;3;1;16;10;1;6;27
;;3;Star, J.K.;108;0;0;0;1;0;0;0;0;0;0;3;0;3;0;0;4;1;0;2;1;1;0;0;0;0;33;26;2;0;0;0;0;0;4;5;2;0;0;0;1;0;0;1;2;1;2;0;0;0;0;0;1;3;0;0;0;0;0;0;6;0;1;0;2;0;0
;;4;Boog, M.H.;47;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;5;3;24;1;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;2;3;0
;;5;Jansma, A.A.;130;3;1;2;0;1;0;1;0;1;0;0;3;0;1;0;5;0;0;0;41;23;1;1;1;5;1;0;2;0;5;1;1;4;1;2;1;0;1;0;0;0;0;0;4;1;0;0;0;0;0;2;0;2;0;0;0;4;1;0;0;0;0;0;4;1;2
;;6;Slotema, J.W.P.;377;35;7;18;21;10;32;34;14;2;0;16;32;39;15;3;3;1;0;1;1;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;2;0;3;1;0;0;1;0;4;0;0;0;0;0;34;8;1;0;1;31;0;0;1
;;7;Sijbrandij, Y.;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;1;0;0;0;0;0;1;2;4;0;2;1;0;5;0;0;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;7;1;0;0;0;0;0;0;0;0;4;0;0
;;8;Voogd, F.J.;69;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;4;6;0;0;1;0;0;0;0;0;3;0;0;0;3;1;1;0;0;3;2;0;0;0;2;1;0;0;1;0;1;0;0;0;32;0;0;2;0;0;1;1;0;0;1;0;0
;;9;Nieuwland, T.T.;79;1;0;0;1;2;0;3;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;1;1;2;1;19;13;1;0;0;0;6;1;3;0;3;0;1;0;5;0;0;0;0;0;1;0;0;1;3
;;10;de Haan-Luimstra, T.;63;8;4;3;3;0;1;0;6;1;0;5;2;10;3;4;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;1;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;1;1;0;0;0
;;11;Schimmel-Galama, W.T.;34;0;0;0;1;0;0;0;0;1;0;0;0;2;0;0;0;3;1;0;0;0;0;0;0;0;5;1;8;0;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0;2;0;0;0;0;0;1
;;12;Douma, S.;28;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;13;1;4;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;13;Sels, V.R.;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0
;;14;de Wit, T.;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;2;0;0;0;1;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;Tel, T.J.;18;0;0;0;0;0;1;2;1;1;0;0;4;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;3;1;0;0;0;0;0;2;0
;;16;Been, R.A.;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2;0;3;0;1;0;0;0;0;0;0;0;2;1;0;0;0;7;7;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;4;0;0
;;17;Delemarre, H.J.;16;0;5;2;2;2;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
;;18;van der Til, P.A.;28;0;0;0;3;0;0;0;0;0;2;1;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;6;4;0;1;0;0;0;0;2;0;2;0;0;0;0;0;0;0;1;0;0;0;0
;;19;Visser-Stienstra, D.T.;29;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;2;6;1;0;0;2;0;0;0;1;0;0;0;6;0;0;0;0;2;0;0;0;0;0;0;0;2;1
;;20;Bouma, M.;15;0;0;0;0;2;0;0;2;0;1;3;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;21;Boekema, B.;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;4;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;5
;;22;van der Tuin-Kuipers, L.;71;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;8;0;2;4;3;20;3;10;1;3;1;0;4;0;0;1;0;0;0;0;1;3;0;0;1;4;0;0;0;0;0
4;GROENLINKS;;;3227;22;26;49;70;33;13;22;33;59;42;54;71;44;73;65;162;100;59;71;101;83;22;17;37;38;100;85;18;55;89;35;13;6;100;131;46;19;16;15;29;18;27;23;52;102;46;29;13;4;23;19;32;19;154;125;30;14;37;36;76;14;24;56;91;15;25
;;1;KleinJan-Uneken, A.B.;1450;13;11;22;26;11;3;16;19;35;24;20;30;18;39;31;78;55;22;30;44;19;6;12;10;5;86;67;12;33;22;15;3;3;53;48;24;8;8;8;13;13;12;12;19;19;28;15;6;1;14;12;17;9;17;28;19;9;14;24;43;4;16;32;45;4;16
;;2;Klok, E.;235;1;0;1;6;1;0;0;1;1;4;3;1;0;3;2;5;6;4;6;0;0;3;0;1;0;1;4;1;3;2;2;0;0;3;5;13;6;2;3;2;2;2;2;26;70;0;0;3;1;0;1;1;0;4;6;1;0;1;0;5;7;0;1;3;2;1
;;3;van der Hoek, K.W.;196;1;1;1;1;0;0;1;0;0;0;0;3;0;0;2;9;3;5;6;35;44;9;1;10;2;1;2;0;3;2;5;2;1;1;10;1;0;1;0;4;0;0;0;2;2;1;0;0;0;0;1;2;1;4;0;2;0;1;1;2;1;3;1;3;2;0
;;4;Bennink, N.A.;408;1;2;3;1;7;3;0;2;7;5;9;4;5;6;1;16;10;6;10;7;3;3;2;4;0;2;2;2;0;5;11;4;1;5;12;3;0;3;1;3;1;0;0;1;5;3;6;0;0;3;0;5;1;117;56;3;1;3;3;11;0;2;4;9;0;3
;;5;Bleeksma, M.;156;0;1;1;7;1;0;1;1;1;1;0;4;1;2;1;4;3;3;1;8;2;0;2;7;31;0;3;2;0;5;2;2;0;1;8;1;1;1;1;2;1;1;1;0;1;4;0;1;0;1;0;0;1;3;2;2;2;2;0;6;0;2;5;3;4;2
;;6;Feitsma, A.J.;90;1;3;10;4;3;1;2;2;0;0;9;5;9;10;6;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;1;1;1;0;0;1;2;0;0;0;0;6;0;2;0;0;5;0;0;0
;;7;Zielstra, J.;66;0;3;3;9;2;1;0;2;0;2;2;10;0;5;7;0;0;0;0;0;1;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;6;4;0;0;0;1;0;0;2
;;8;Wondergem, J.E.;169;0;1;4;1;1;0;0;1;0;1;1;2;0;1;1;33;2;10;11;1;2;0;0;2;0;1;3;0;2;1;0;0;0;20;32;0;1;0;0;1;1;0;2;1;1;3;0;0;0;1;2;0;0;2;1;0;1;0;0;2;0;0;2;13;1;0
;;9;van der Leij, D.;66;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;3;0;2;0;1;0;51;0;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0
;;10;van den Broek, H.C.M.;48;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;4;20;0;3;1;0;0;0;0;0;0;0;0;9;1;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;1
;;11;Ploeg-Quartel, J.;67;0;2;3;10;4;3;0;1;0;0;7;6;3;4;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;1;2;0;0;0;0;0;2;2;0;0;0;5;0;0;0
;;12;Blankenspoor, H.C.;31;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;22;0;0;0;0;0;0;0;0;0;0;0
;;13;Houwer, A.J.;11;0;0;0;3;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Wiglema, E.E.;21;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;2;0;0;0;0;1;0;2;4;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
;;15;Geboers, B.J.M.;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;16;Renkema, G.;21;0;0;1;1;0;0;0;3;0;0;0;0;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;1;0;0;2;1;0;0;1;0;0;0;0;0;1;0;0;0;0
;;17;Tjabringa, H.;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;10;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3;0;0
;;18;de Heer, H.G.;22;0;1;0;0;0;0;0;0;2;4;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;3;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;2;0
;;19;Albers, C.J.;20;0;0;0;0;1;0;0;0;0;0;1;0;1;0;1;3;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;4;0;0
;;20;Diepeveen, M.;15;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0
;;21;Remmers, A.J.W.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Rosier, C.J.;13;1;1;0;0;0;1;0;0;0;0;0;2;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0
;;23;Depenbrock-Wijma, L.A.;29;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;1;0;9;6;0;0;0;0;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;Kunst, B.H.;6;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
;;25;Hof, H.;16;0;0;0;0;0;0;0;0;10;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
;;26;Gelderman, A.W.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;van Reijswoud, H.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
;;28;Pellenbarg, M.H.;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
;;29;van Wijk, A.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;30;Warmelink, H.G.;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;3;0;0;0;0;0;0;0;0;0;0;0
;;31;Bakker, H.A.;18;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;4;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;1;0;0
5;Partij van de Arbeid (P.v.d.A.);;;3029;73;40;83;100;64;30;42;31;51;21;87;58;49;68;56;123;67;47;34;44;24;16;18;9;25;54;31;11;19;46;15;21;5;107;153;39;16;17;19;27;12;14;26;23;72;100;51;37;26;65;19;35;49;88;43;56;22;30;79;67;17;42;72;74;26;44
;;1;de Wit, S.;1593;50;28;68;84;46;26;29;25;42;11;62;36;34;51;40;49;24;15;13;14;12;4;12;8;12;33;25;6;8;24;4;8;2;42;49;10;10;9;4;17;7;7;14;7;34;35;32;16;9;31;8;24;21;30;12;19;10;23;56;32;4;14;47;27;6;22
;;2;Veenstra, M.F.;225;1;0;2;0;2;0;1;1;1;0;0;1;0;0;1;33;21;9;10;3;0;1;2;0;3;0;2;1;0;3;3;1;0;21;39;0;1;0;0;1;1;0;1;1;3;0;1;0;0;1;0;0;0;4;1;0;1;1;5;16;0;0;2;21;2;0
;;3;Eeken-Hermans, M.J.G.;159;3;1;1;4;1;0;0;1;2;1;4;0;0;0;2;5;2;1;4;6;0;0;0;1;2;2;0;0;0;5;1;0;1;0;4;22;2;2;9;3;2;3;1;3;3;0;1;4;0;2;1;0;1;1;1;1;9;3;0;6;8;0;0;1;15;1
;;4;Bekkering, C.V.J.;79;0;0;0;1;0;0;1;1;0;1;2;1;0;0;1;2;1;1;0;1;0;0;0;0;0;1;0;3;0;0;1;0;0;4;6;1;1;1;0;0;0;1;0;7;22;2;1;2;0;0;0;0;0;0;0;0;0;0;4;2;2;0;2;3;0;0
;;5;Cox, N.J.C.H.;103;1;1;1;1;0;0;1;0;1;5;5;6;0;1;2;4;1;3;1;0;0;2;0;0;1;2;0;0;1;2;1;1;0;0;6;3;1;5;3;2;2;0;1;2;1;3;0;1;2;0;1;2;2;3;5;1;1;1;3;1;0;1;4;1;1;0
;;6;Koenders, J.T.;94;0;1;0;0;1;2;0;0;0;0;0;0;2;1;3;1;4;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;16;2;4;3;8;0;1;13;0;0;7;0;0;0;0;0;9;1;0;0;9
;;7;Bergsma - de Lange, H.;82;2;0;0;0;1;0;1;0;0;0;1;0;0;1;1;1;0;4;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;1;0;0;0;0;0;2;0;0;2;0;1;17;1;2;5;2;2;0;3;1;0;12;0;0;1;0;0;6;0;2;0;7
;;8;Kiesbrink, T.;24;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;2;1;5;2;0;0;0;0;3;0;0;0;0;1;1;0;0;0;2
;;9;Vos, J.;33;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5;4;1;2;2;1;1;4;0;0;2;0;0;1;0;0;2;0;1;0;1
;;10;Veenstra, P.F.;25;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
;;11;Buiter, R.;54;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;14;1;2;4;5;1;1;3;0;0;11;0;0;0;2;0;5;0;0;1;1
